,Ecuador,Cabo Verde,Madagascar,Romania,USSR,Paraguay,Angola,Ethiopia PDR,Pakistan,United Republic of Tanzania,Burundi,Thailand,Mexico,Indonesia,Ethiopia,Kenya,Libya,Viet Nam,Bangladesh,Hungary,Republic of Korea,Uganda,Russian Federation,Syrian Arab Republic,Benin,Yugoslav SFR,Peru,China,Cambodia,Mozambique,Sudan (former),Morocco,"China, mainland",Argentina,South Sudan,South Africa,Bulgaria,Brazil,India
1961,373.0,1.0,120.0,312.0,1515.0,250.0,134.0,500.0,143.0,156.0,30.0,136.0,198.0,48.0,,180.0,50.0,74.0,6.0,25.0,74.0,57.0,,1.0,19.0,42.0,129.0,1000.0,189.0,64.0,190.0,5.0,1000.0,135.0,,495.0,15.0,4263.0,4690.0
1962,390.0,1.0,90.0,332.0,1650.0,200.0,134.0,525.0,152.0,173.0,23.0,138.0,198.0,48.0,,195.0,50.0,51.0,6.0,18.0,98.0,56.0,,1.0,16.0,30.0,129.0,1100.0,120.0,97.0,274.0,5.0,1100.0,140.0,,225.0,10.0,4608.0,4840.0
1963,462.0,1.0,97.0,324.0,2250.0,200.0,135.0,525.0,183.0,170.0,15.0,118.0,195.0,48.0,,195.0,30.0,60.0,6.0,0.0,72.0,41.0,,1.0,8.0,29.0,134.0,1300.0,112.0,40.0,378.0,5.0,1300.0,145.0,,330.0,2.0,5214.0,4410.0
1964,338.0,1.0,98.0,276.0,2685.0,224.0,130.0,533.0,188.0,250.0,8.0,103.0,152.0,48.0,,210.0,15.0,60.0,6.0,0.0,55.0,40.0,,1.0,12.0,17.0,117.0,1800.0,40.0,60.0,311.0,3.0,1800.0,123.0,,375.0,2.0,5912.0,4050.0
1965,379.0,1.0,97.0,315.0,2475.0,174.0,130.0,533.0,264.0,230.0,11.0,129.0,152.0,48.0,,270.0,5.0,60.0,6.0,0.0,45.0,40.0,,1.0,6.0,27.0,117.0,2200.0,40.0,58.0,541.0,5.0,2200.0,113.0,,99.0,1.0,5207.0,4009.0
1966,346.0,1.0,98.0,338.0,2595.0,83.0,130.0,538.0,255.0,220.0,11.0,142.0,144.0,48.0,,195.0,15.0,60.0,6.0,0.0,40.0,40.0,,1.0,6.0,31.0,117.0,2200.0,8.0,77.0,554.0,3.0,2200.0,110.0,,104.0,0.0,5409.0,4394.0
1967,253.0,1.0,97.0,329.0,2760.0,108.0,130.0,543.0,240.0,210.0,7.0,114.0,149.0,48.0,,225.0,5.0,60.0,6.0,0.0,38.0,42.0,,1.0,6.0,27.0,117.0,2000.0,4.0,75.0,420.0,3.0,2000.0,101.0,,78.0,7.0,5656.0,3938.0
1968,375.0,1.0,98.0,325.0,2625.0,172.0,110.0,548.0,240.0,150.0,3.0,110.0,154.0,71.0,,225.0,5.0,60.0,6.0,0.0,38.0,47.0,,1.0,6.0,14.0,1.0,1800.0,14.0,40.0,756.0,3.0,1800.0,152.0,,120.0,14.0,5665.0,4019.0
1969,249.0,1.0,98.0,301.0,3300.0,267.0,110.0,553.0,255.0,220.0,2.0,136.0,147.0,105.0,,135.0,2.0,60.0,7.0,0.0,25.0,40.0,,1.0,5.0,7.0,1.0,1800.0,16.0,40.0,571.0,3.0,1800.0,108.0,,120.0,12.0,5715.0,4386.0
1970,489.0,1.0,76.0,243.0,2940.0,277.0,120.0,558.0,255.0,200.0,1.0,129.0,152.0,71.0,,135.0,4.0,60.0,6.0,0.0,16.0,40.0,,0.0,9.0,3.0,1.0,1800.0,4.0,60.0,555.0,3.0,1800.0,60.0,,105.0,6.0,5415.0,4533.0
