,Senegal,Mali,Benin,Guinea-Bissau,Côte d'Ivoire,Nigeria,Gambia,Burkina Faso,Niger,Guinea
1961,,4000.0,2344.0,9000.0,2500.0,4714.0,5000.0,2977.0,5000.0,10000.0
1962,,4000.0,2500.0,9250.0,3125.0,5000.0,5000.0,2621.0,5000.0,10625.0
1963,,4000.0,2919.0,9500.0,4778.0,5000.0,5000.0,4565.0,5000.0,9375.0
1964,,4000.0,2844.0,7500.0,4389.0,5000.0,5200.0,7250.0,5286.0,10000.0
1965,,4000.0,2500.0,7083.0,3889.0,4935.0,5200.0,6250.0,5139.0,10000.0
1966,,6000.0,2875.0,4000.0,3889.0,4937.0,5200.0,6250.0,5333.0,10000.0
1967,,5500.0,2875.0,4000.0,3947.0,5000.0,5200.0,6359.0,5333.0,10250.0
1968,,5600.0,3000.0,4000.0,3947.0,5062.0,5440.0,5907.0,6250.0,10000.0
1969,,7000.0,3000.0,4500.0,4000.0,5556.0,5440.0,2500.0,6250.0,10000.0
1970,,7833.0,2703.0,4500.0,5135.0,6429.0,5385.0,2503.0,6250.0,9750.0
1971,,5833.0,2703.0,4500.0,5135.0,6667.0,5385.0,4059.0,6250.0,10250.0
1972,,6727.0,3000.0,4444.0,5135.0,5600.0,5385.0,4000.0,6667.0,10250.0
1973,,6667.0,1993.0,4444.0,5135.0,5385.0,5481.0,4000.0,8889.0,10000.0
1974,,7500.0,3000.0,4444.0,4750.0,6296.0,5000.0,5000.0,3200.0,9750.0
1975,,8333.0,3333.0,5000.0,4880.0,6154.0,5000.0,6923.0,2813.0,9750.0
1976,,8000.0,3333.0,5556.0,4880.0,5600.0,5000.0,6923.0,3023.0,10000.0
1977,,7500.0,3333.0,5333.0,5000.0,5600.0,5000.0,6923.0,4000.0,9750.0
1978,,7201.0,3333.0,5333.0,5119.0,5926.0,5000.0,7340.0,4375.0,9375.0
1979,,5423.0,3333.0,5333.0,5059.0,5926.0,5000.0,2970.0,7470.0,10000.0
1980,,5213.0,3333.0,5333.0,5870.0,6000.0,6190.0,5600.0,7647.0,10000.0
1981,,6984.0,3333.0,5000.0,5917.0,6250.0,6875.0,5220.0,3462.0,9750.0
1982,,5846.0,3333.0,5000.0,5858.0,6250.0,8000.0,4899.0,3966.0,9375.0
1983,,9688.0,3404.0,5000.0,5986.0,6000.0,5714.0,4140.0,2256.0,9750.0
1984,,5460.0,6638.0,7000.0,5903.0,6571.0,3333.0,2850.0,4167.0,11000.0
1985,,7121.0,6449.0,7143.0,5795.0,6579.0,6000.0,5893.0,4286.0,11200.0
1986,,7606.0,6808.0,8000.0,5224.0,6136.0,6667.0,5087.0,2500.0,11300.0
1987,,5414.0,7000.0,7500.0,5496.0,5652.0,6964.0,4247.0,3251.0,11500.0
1988,,6310.0,5752.0,7818.0,5781.0,5660.0,,4936.0,5000.0,11820.0
1989,,6387.0,6413.0,4583.0,5675.0,5833.0,,6498.0,5667.0,9332.0
1990,,4569.0,7406.0,4464.0,5596.0,6000.0,,6513.0,1964.0,7508.0
1991,,7237.0,7235.0,6183.0,5540.0,5972.0,,5692.0,6011.0,6048.0
1992,,6691.0,5562.0,6089.0,5504.0,6026.0,,6326.0,6834.0,4876.0
1993,,7527.0,6429.0,6946.0,7444.0,6120.0,,10022.0,5833.0,6000.0
1994,,3538.0,6944.0,6849.0,7307.0,5914.0,,6980.0,6154.0,6213.0
1995,,4847.0,6709.0,5689.0,6782.0,5370.0,,6661.0,6000.0,8032.0
1996,,6147.0,5926.0,5501.0,6383.0,5120.0,,7246.0,6087.0,8252.0
1997,4818.0,6384.0,5726.0,5599.0,5799.0,5197.0,,5516.0,6000.0,8468.0
1998,4948.0,8329.0,5736.0,6000.0,6400.0,5191.0,,7541.0,5718.0,8700.0
1999,6832.0,7093.0,5758.0,6189.0,6400.0,5299.0,,8056.0,5732.0,8938.0
2000,5000.0,9079.0,5781.0,6058.0,6400.0,5714.0,,11103.0,6087.0,11042.0
2001,5850.0,5066.0,5668.0,5940.0,6400.0,5594.0,,6798.0,5774.0,11097.0
2002,4783.0,4696.0,5805.0,4343.0,6400.0,5000.0,,7346.0,5778.0,11195.0
2003,4830.0,5918.0,5578.0,2792.0,6400.0,5030.0,,7850.0,6000.0,11293.0
2004,4443.0,5172.0,5578.0,5246.0,6400.0,4500.0,,7651.0,5619.0,11392.0
2005,5758.0,5351.0,5858.0,5100.0,7141.0,4798.0,,7402.0,5485.0,11493.0
2006,6131.0,5734.0,5289.0,5100.0,10692.0,4571.0,,7091.0,3888.0,11594.0
2007,5383.0,6173.0,5469.0,7015.0,10355.0,5702.0,,7102.0,4602.0,11696.0
2008,6512.0,11071.0,5953.0,4638.0,12846.0,5882.0,,8189.0,4352.0,13630.0
2009,7441.0,5694.0,5512.0,7535.0,12086.0,5692.0,,7772.0,12679.0,11897.0
2010,8332.0,7827.0,5559.0,8562.0,12071.0,5233.0,,8147.0,4826.0,12280.0
2011,7087.0,7819.0,6153.0,7585.0,12504.0,4899.0,,6685.0,4833.0,11900.0
2012,8335.0,4802.0,5856.0,6931.0,13148.0,4724.0,,7699.0,5237.0,9700.0
2013,6083.0,6364.0,5856.0,7289.0,13646.0,4615.0,,8095.0,4420.0,9900.0
2014,6631.0,6693.0,8466.0,7471.0,14143.0,4545.0,,7511.0,4420.0,10444.0
