,Mali,Brazil,Madagascar,Guyana
1961,20000.0,50310.0,23333.0,
1962,30000.0,49821.0,23333.0,
1963,30000.0,50204.0,23158.0,
1964,30000.0,50293.0,23158.0,
1965,30000.0,52826.0,23684.0,
1966,30000.0,46245.0,23684.0,
1967,30000.0,52856.0,23684.0,
1968,30000.0,62897.0,23000.0,
1969,30000.0,59606.0,23000.0,
1970,30000.0,49958.0,23000.0,
1971,30000.0,51758.0,23500.0,
1972,30000.0,54975.0,23500.0,
1973,30000.0,58487.0,23500.0,
1974,30000.0,56532.0,24000.0,
1975,30000.0,42355.0,23810.0,
1976,30000.0,50487.0,23810.0,
1977,30000.0,49694.0,23810.0,
1978,30000.0,59641.0,23636.0,
1979,30000.0,34539.0,23966.0,
1980,30000.0,35843.0,23692.0,
1981,30000.0,36291.0,23756.0,
1982,30000.0,40558.0,24167.0,
1983,30000.0,15259.0,23600.0,
1984,30000.0,35381.0,24000.0,
1985,30000.0,31265.0,25000.0,
1986,30000.0,20207.0,24680.0,
1987,30000.0,23768.0,24800.0,
1988,30000.0,24498.0,25200.0,
1989,30000.0,24275.0,25600.0,
1990,32758.0,24463.0,25127.0,
1991,30497.0,24324.0,26242.0,
1992,30000.0,24824.0,26276.0,
1993,30476.0,24663.0,26310.0,
1994,30000.0,24699.0,26344.0,
1995,30393.0,24710.0,26224.0,
1996,30364.0,25154.0,26221.0,
1997,30303.0,25003.0,26154.0,
1998,30306.0,25031.0,26186.0,
1999,30262.0,25862.0,26213.0,
2000,30556.0,25987.0,26239.0,80000.0
2001,30087.0,26271.0,26262.0,70000.0
2002,30000.0,26891.0,26282.0,67307.0
2003,29634.0,26806.0,26292.0,63406.0
2004,29336.0,26833.0,26302.0,60000.0
2005,28900.0,27036.0,26249.0,55439.0
2006,28451.0,27213.0,26038.0,50000.0
2007,27724.0,27450.0,25926.0,50282.0
2008,28864.0,27700.0,26486.0,50000.0
2009,29130.0,27932.0,26716.0,50000.0
2010,29130.0,28227.0,26956.0,50000.0
2011,29048.0,28444.0,27277.0,50000.0
2012,23324.0,28880.0,27881.0,50308.0
2013,13595.0,28880.0,27844.0,50593.0
2014,19906.0,28461.0,27741.0,51541.0
