,Cameroon,Benin,Chad,Côte d'Ivoire,Nigeria,Ghana,Sierra Leone
1961,5000.0,500.0,,37000.0,139000.0,5000.0,5000.0
1962,5000.0,500.0,,37000.0,141000.0,5000.0,5000.0
1963,5000.0,500.0,,37000.0,145000.0,5000.0,5000.0
1964,5000.0,500.0,,37000.0,158000.0,5000.0,5000.0
1965,5106.0,500.0,,37000.0,154000.0,5000.0,5000.0
1966,6140.0,500.0,,40000.0,157000.0,5000.0,5000.0
1967,8000.0,500.0,,40000.0,162000.0,12000.0,5000.0
1968,10000.0,500.0,,60000.0,167000.0,5000.0,5000.0
1969,12329.0,500.0,,60000.0,171000.0,5000.0,5000.0
1970,15688.0,1500.0,,60000.0,125000.0,5000.0,5000.0
1971,22026.0,752.0,,60000.0,125000.0,5000.0,5000.0
1972,22900.0,839.0,,40000.0,125000.0,5000.0,5000.0
1973,24700.0,309.0,,45000.0,125000.0,5000.0,5000.0
1974,24000.0,500.0,,59000.0,125000.0,5000.0,5000.0
1975,25000.0,1500.0,,59000.0,125000.0,5000.0,5000.0
1976,25500.0,500.0,,44000.0,127000.0,5000.0,6000.0
1977,26000.0,2000.0,,48000.0,129000.0,5000.0,6000.0
1978,27000.0,500.0,,57000.0,131000.0,5000.0,6000.0
1979,27500.0,500.0,,55000.0,133000.0,5000.0,6000.0
1980,28000.0,500.0,,58000.0,135000.0,5000.0,6000.0
1981,28600.0,500.0,,61000.0,137000.0,5000.0,6000.0
1982,29200.0,500.0,,74000.0,140000.0,5000.0,6000.0
1983,29600.0,500.0,,60000.0,155000.0,5000.0,6800.0
1984,30100.0,500.0,10.0,52600.0,170000.0,6000.0,5400.0
1985,30300.0,500.0,,55000.0,172000.0,7000.0,5500.0
1986,31000.0,500.0,,60519.0,174000.0,7500.0,4600.0
1987,32000.0,500.0,,57298.0,174000.0,8000.0,4100.0
1988,33000.0,500.0,,53873.0,145000.0,10000.0,3600.0
1989,33000.0,500.0,,47722.0,140000.0,11000.0,3600.0
1990,33600.0,588.0,0.0,56636.0,135000.0,12000.0,3700.0
1991,34000.0,547.0,0.0,51601.0,165000.0,11934.0,3700.0
1992,34346.0,547.0,0.0,53407.0,138100.0,14000.0,1500.0
1993,35000.0,547.0,-1.0,47636.0,153100.0,15000.0,4000.0
1994,34993.0,547.0,-1.0,55693.0,105000.0,14000.0,3937.0
1995,35016.0,551.0,-1.0,48595.0,95000.0,14700.0,3950.0
1996,35200.0,552.0,-1.0,55693.0,85000.0,15000.0,4125.0
1997,35400.0,554.0,-1.0,75020.0,82000.0,16645.0,4337.0
1998,35600.0,555.0,-1.0,83137.0,83757.0,20000.0,4543.0
1999,35800.0,556.0,-1.0,75027.0,83685.0,18957.0,4772.0
2000,36000.0,557.0,-1.0,75020.0,82000.0,19625.0,5000.0
2001,36420.0,551.0,-1.0,75020.0,82000.0,19656.0,5500.0
2002,36799.0,549.0,-1.0,72571.0,85000.0,19857.0,5800.0
2003,37080.0,553.0,-1.0,57637.0,85000.0,19997.0,6000.0
2004,37000.0,557.0,-1.0,65216.0,88000.0,20166.0,6200.0
2005,37055.0,550.0,-1.0,73792.0,85250.0,20207.0,6400.0
2006,36000.0,569.0,-1.0,64524.0,85500.0,20258.0,6500.0
2007,38049.0,570.0,-1.0,65617.0,100000.0,20500.0,6700.0
2008,39250.0,620.0,-1.0,66450.0,120000.0,20262.0,6800.0
2009,39962.0,597.0,-1.0,66729.0,162080.0,19934.0,7000.0
2010,40708.0,597.0,-1.0,67009.0,144950.0,20141.0,7261.0
2011,41477.0,600.0,-1.0,66528.0,138000.0,24000.0,7586.0
2012,46500.0,600.0,-1.0,61350.0,135000.0,24391.0,7530.0
2013,47619.0,600.0,-1.0,57272.0,132000.0,23019.0,7700.0
2014,42741.0,604.0,-1.0,55725.0,128437.0,23018.0,7869.0
