,Bangladesh,Indonesia,Myanmar,Colombia
1961,340000.0,255000.0,46000.0,-1.0
1962,350000.0,265000.0,46200.0,-1.0
1963,360000.0,275000.0,46500.0,-1.0
1964,370000.0,285000.0,48000.0,-1.0
1965,390000.0,295000.0,48300.0,-1.0
1966,420000.0,305000.0,51000.0,-1.0
1967,450000.0,315000.0,49000.0,-1.0
1968,500000.0,334000.0,51100.0,-1.0
1969,537755.0,341000.0,54500.0,-1.0
1970,738836.0,349000.0,62500.0,-1.0
1971,697071.0,356000.0,63200.0,-1.0
1972,576471.0,365000.0,64100.0,-1.0
1973,541127.0,307000.0,63400.0,-1.0
1974,544918.0,374000.0,64300.0,-1.0
1975,495157.0,300000.0,72400.0,-1.0
1976,484837.0,280000.0,74700.0,-1.0
1977,468355.0,230000.0,72100.0,-1.0
1978,478964.0,195000.0,72500.0,-1.0
1979,469200.0,195000.0,73000.0,-1.0
1980,474160.0,200000.0,73500.0,-1.0
1981,460964.0,210000.0,74000.0,-1.0
1982,459868.0,210000.0,74800.0,-1.0
1983,418220.0,210000.0,77400.0,-1.0
1984,425424.0,220000.0,98400.0,-1.0
1985,389536.0,220000.0,119700.0,-1.0
1986,361071.0,220000.0,164500.0,-1.0
1987,347365.0,230000.0,221100.0,-1.0
1988,298495.0,230000.0,238600.0,-1.0
1989,277025.0,240000.0,206200.0,-1.0
1990,287325.0,240000.0,200100.0,-1.0
1991,289250.0,250000.0,206800.0,-1.0
1992,289980.0,250000.0,207600.0,-1.0
1993,298170.0,269000.0,192300.0,-1.0
1994,305000.0,273000.0,194000.0,-1.0
1995,311000.0,230000.0,230000.0,-1.0
1996,315000.0,183762.0,216000.0,-1.0
1997,316000.0,180025.0,239100.0,-1.0
1998,323000.0,202094.0,243900.0,-1.0
1999,332000.0,205000.0,266000.0,-1.0
2000,292000.0,205000.0,261000.0,-1.0
2001,300000.0,205000.0,276000.0,-1.0
2002,278000.0,205000.0,301400.0,-1.0
2003,298000.0,205000.0,376300.0,-1.0
2004,317000.0,205000.0,351800.0,-1.0
2005,342000.0,205000.0,371700.0,-1.0
2006,388000.0,205000.0,377500.0,-1.0
2007,337820.0,205000.0,364900.0,-1.0
2008,302066.0,205000.0,370400.0,-1.0
2009,312566.0,190000.0,397300.0,-1.0
2010,314976.0,180000.0,409174.0,-1.0
2011,322135.0,200000.0,424473.0,-1.0
2012,305000.0,200000.0,428141.0,-1.0
2013,293000.0,220000.0,437841.0,-1.0
2014,313000.0,234152.0,447540.0,-1.0
