,Slovakia,United States of America,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Finland,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Montenegro,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Austria,Poland,Belarus,Denmark,Switzerland,Estonia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Zimbabwe,Croatia,Hungary,Russian Federation,Bulgaria,Yugoslav SFR,Ghana,Mexico,Sweden,Azerbaijan,Ireland,United Kingdom,Lithuania,Portugal,Netherlands,Ukraine
1961,,12836.0,-1.0,36000.0,1982.0,2361.0,,,,,,427.0,,20212.0,,300.0,,3286.0,,,,,6489.0,300.0,,,925.0,-1.0,4800.0,,1000.0,-1.0,,-1.0,500.0,,3910.0,-1.0,,8100.0,,6000.0,5990.0,,-1.0,-1.0,,,14021.0,,,7962.0,
1962,,13657.0,-1.0,39000.0,1810.0,2361.0,,,,,,435.0,,20765.0,,200.0,,3572.0,,,,,6357.0,300.0,,,1211.0,-1.0,4700.0,,800.0,-1.0,,-1.0,500.0,,2930.0,-1.0,,10800.0,,6000.0,6930.0,,-1.0,-1.0,,,15545.0,,,6876.0,
1963,,16748.0,-1.0,50000.0,1964.0,1734.0,,,,,,412.0,,22423.0,,200.0,,2814.0,,,,,8320.0,300.0,,,1080.0,-1.0,5200.0,,965.0,-1.0,,-1.0,500.0,,3830.0,-1.0,,11300.0,,6500.0,5340.0,,-1.0,-1.0,,,15748.0,,,5262.0,
1964,,16030.0,-1.0,55000.0,1833.0,1919.0,,,,,,596.0,,20663.0,,200.0,,2939.0,,,,,9447.0,300.0,,,1020.0,-1.0,8300.0,,1197.0,-1.0,,-1.0,500.0,,3640.0,-1.0,,10600.0,,6500.0,9480.0,,-1.0,-1.0,,,17984.0,,,6835.0,
1965,,17083.0,-1.0,56000.0,1971.0,1696.0,,,,,,301.0,,20848.0,,300.0,,2896.0,,,,,8096.0,200.0,,,1200.0,-1.0,5900.0,,1441.0,-1.0,,-1.0,500.0,,4690.0,-1.0,,8303.0,,6800.0,11000.0,,-1.0,-1.0,,,15546.0,,,5971.0,
1966,,19520.0,-1.0,45000.0,2159.0,1782.0,,,,,,306.0,,25092.0,,200.0,,2896.0,,,,,9607.0,150.0,,,1114.0,-1.0,7800.0,,1610.0,-1.0,,-1.0,500.0,,4686.0,-1.0,,12131.0,,7000.0,18000.0,,-1.0,-1.0,,,15952.0,,,5467.0,
1967,,18086.0,-1.0,50000.0,2139.0,1641.0,,,,,,271.0,,22403.0,,200.0,,2752.0,,,,,9958.0,150.0,,,1111.0,-1.0,12800.0,,1453.0,-1.0,,-1.0,500.0,,4673.0,-1.0,,13458.0,,7300.0,17000.0,,-1.0,-1.0,,,13717.0,,,5774.0,
1968,,13608.0,-1.0,44000.0,2385.0,1313.0,,,,,,227.0,,24282.0,,200.0,,2439.0,,,,,7590.0,100.0,,,1126.0,-1.0,9000.0,,1518.0,-1.0,,-1.0,500.0,,4707.0,-1.0,,7764.0,,7500.0,17400.0,,-1.0,-1.0,,,18899.0,,,4094.0,
1969,,17877.0,-1.0,44000.0,2368.0,1311.0,,,,,,204.0,,24896.0,,200.0,,2537.0,,,,,8111.0,100.0,,,1226.0,-1.0,12300.0,,925.0,-1.0,,-1.0,500.0,,5227.0,-1.0,,10587.0,,8126.0,16232.0,,-1.0,-1.0,,,22250.0,,,5135.0,
1970,,13457.0,-1.0,82000.0,2406.0,1465.0,,,,,,225.0,,24807.0,,200.0,,2925.0,,,,,6676.0,100.0,,,1460.0,-1.0,11044.0,,1527.0,-1.0,,-1.0,500.0,,5040.0,-1.0,,13593.0,,10399.0,11593.0,,-1.0,-1.0,,,18797.0,,,3943.0,
