,Austria,Romania,Czechia,Bulgaria,Netherlands,The former Yugoslav Republic of Macedonia,Hungary,Germany
1961,0.0,73.0,,3.0,0.0,,50.0,383.0
1962,0.0,60.0,,5.0,0.0,,60.0,319.0
1963,0.0,68.0,,2.0,0.0,,50.0,226.0
1964,0.0,67.0,,1.0,1.0,,60.0,161.0
1965,0.0,78.0,,2.0,5.0,,80.0,127.0
1966,0.0,84.0,,3.0,2.0,,90.0,100.0
1967,0.0,61.0,,5.0,1.0,,60.0,59.0
1968,0.0,77.0,,3.0,3.0,,50.0,42.0
1969,0.0,77.0,,1.0,5.0,,40.0,64.0
1970,0.0,54.0,,1.0,7.0,,50.0,61.0
1971,0.0,76.0,,1.0,9.0,,50.0,73.0
1972,0.0,58.0,,1.0,17.0,,30.0,120.0
1973,0.0,68.0,,1.0,12.0,,30.0,140.0
1974,0.0,78.0,,1.0,17.0,,30.0,123.0
1975,0.0,98.0,,3.0,34.0,,20.0,104.0
1976,0.0,110.0,,1.0,44.0,,21.0,110.0
1977,0.0,101.0,,0.0,21.0,,49.0,237.0
1978,0.0,95.0,,1.0,6.0,,58.0,226.0
1979,0.0,100.0,,1.0,2.0,,21.0,217.0
1980,0.0,97.0,,0.0,2.0,,24.0,242.0
1981,0.0,76.0,,0.0,15.0,,36.0,268.0
1982,0.0,72.0,,0.0,19.0,,27.0,347.0
1983,0.0,78.0,,0.0,19.0,,19.0,378.0
1984,0.0,78.0,,0.0,6.0,,28.0,348.0
1985,0.0,78.0,,0.0,2.0,,16.0,281.0
1986,0.0,14.0,,0.0,2.0,,30.0,251.0
1987,0.0,18.0,,0.0,5.0,,28.0,202.0
1988,0.0,12.0,,0.0,5.0,,25.0,250.0
1989,0.0,16.0,,0.0,2.0,,30.0,230.0
1990,0.0,8.0,,0.0,3.0,,616.0,230.0
1991,0.0,4.0,,0.0,1.0,,19.0,230.0
1992,0.0,2.0,,0.0,8.0,46.0,40.0,200.0
1993,0.0,70.0,0.0,0.0,22.0,55.0,40.0,200.0
1994,0.0,100.0,0.0,0.0,11.0,74.0,60.0,200.0
1995,0.0,100.0,0.0,0.0,2.0,38.0,30.0,200.0
1996,0.0,200.0,0.0,0.0,5.0,21.0,30.0,200.0
1997,0.0,200.0,0.0,0.0,9.0,15.0,25.0,200.0
1998,0.0,200.0,0.0,0.0,11.0,23.0,30.0,200.0
1999,0.0,100.0,0.0,0.0,5.0,25.0,25.0,200.0
2000,0.0,120.0,0.0,0.0,6.0,15.0,25.0,200.0
2001,0.0,120.0,0.0,0.0,5.0,15.0,25.0,200.0
2002,0.0,120.0,0.0,0.0,4.0,15.0,25.0,200.0
2003,0.0,120.0,0.0,0.0,3.0,15.0,25.0,200.0
2004,0.0,120.0,0.0,0.0,2.0,15.0,25.0,200.0
2005,0.0,120.0,0.0,0.0,5.0,15.0,25.0,200.0
2006,0.0,120.0,0.0,4.0,6.0,12.0,25.0,200.0
2007,0.0,120.0,0.0,4.0,7.0,11.0,25.0,200.0
2008,0.0,120.0,0.0,5.0,5.0,31.0,25.0,200.0
2009,0.0,130.0,0.0,7.0,6.0,21.0,25.0,200.0
2010,0.0,140.0,0.0,4.0,4.0,14.0,25.0,200.0
2011,0.0,150.0,0.0,4.0,3.0,9.0,25.0,200.0
2012,0.0,150.0,0.0,4.0,3.0,5.0,25.0,200.0
2013,0.0,150.0,0.0,4.0,4.0,4.0,25.0,200.0
2014,0.0,150.0,191.0,4.0,4.0,4.0,25.0,200.0
