,USSR,Burkina Faso,Australia & New Zealand,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Romania,Democratic People's Republic of Korea,Lao People's Democratic Republic,Zambia,Suriname,Togo,Albania,Brazil,Paraguay,Serbia,Slovenia,El Salvador,Canada,Colombia,Spain,India,Ecuador,Indonesia,Poland,Argentina,Turkey,Jordan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Slovakia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Republic of Moldova,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",New Zealand,Peru,Rwanda,Bosnia and Herzegovina,Cameroon,Netherlands,Guatemala,Austria,Bhutan,Philippines,Iraq,Madagascar,Timor-Leste,United Republic of Tanzania,Burundi,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Benin,China,Cambodia,Serbia and Montenegro,Morocco,Switzerland,Chile,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,"China, Taiwan Province of",Japan,Georgia,Azerbaijan,Nicaragua,Viet Nam,Russian Federation,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Latvia,South Africa,Tajikistan,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine,Liberia
1961,702000.0,,300.0,300.0,,1000.0,,22880.0,-1.0,,-1.0,,10000.0,300000.0,3069.0,,75.0,-1.0,,240919.0,1300.0,,,,85792.0,13500.0,,11000.0,60.0,625000.0,-1.0,980.0,4600.0,,-1.0,3500.0,,,48.0,,,,,290073.0,2000.0,163000.0,-1.0,1967.0,,,9943.0,12800.0,1000.0,,10928000.0,9947000.0,,1000.0,460.0,,,-1.0,,,,2200.0,,,1400.0,10000.0,700.0,4000.0,,,-1.0,180.0,,,2670.0,,10006582.0,14000.0,,,,700.0,-1.0,1000.0,741.0,,,-1.0,59582.0,290900.0,,,,33900.0,,,,,5000.0,,40.0,,,2113.0,3428.0,,3000.0
1962,825000.0,,336.0,336.0,,1000.0,,27200.0,-1.0,,-1.0,,8323.0,310000.0,3120.0,,79.0,-1.0,,313640.0,1800.0,,,,89434.0,16400.0,,11000.0,65.0,594000.0,-1.0,9649.0,4600.0,,-1.0,3700.0,,,50.0,,,,,287287.0,2000.0,189000.0,-1.0,5013.0,,,27326.0,7620.0,1000.0,,11172000.0,9494500.0,,1000.0,320.0,,,-1.0,,,,1800.0,,,1400.0,8000.0,700.0,4000.0,,,-1.0,216.0,,,2400.0,,9548938.0,15000.0,,,,700.0,-1.0,1000.0,874.0,,,-1.0,54438.0,268200.0,,,,32000.0,,,,,5000.0,,40.0,,,2881.0,14164.0,,3000.0
1963,890000.0,,1002.0,1002.0,,1000.0,,32000.0,-1.0,,-1.0,,8500.0,320000.0,3250.0,,64.0,-1.0,,339796.0,4500.0,,,,92267.0,18500.0,,18000.0,70.0,539000.0,-1.0,19302.0,6300.0,,-1.0,4000.0,,,30.0,,,,,282893.0,2000.0,190000.0,-1.0,2785.0,,,27426.0,5370.0,1000.0,,11580000.0,9623700.0,,1000.0,200.0,,,-1.0,,,,1630.0,,,1400.0,15000.0,700.0,4000.0,,,-1.0,140.0,,,500.0,,9678923.0,14000.0,,,,800.0,-1.0,1000.0,595.0,,,-1.0,55223.0,235000.0,,,,30000.0,,,,,5000.0,,40.0,,,1517.0,15449.0,,3000.0
1964,890000.0,,1673.0,1673.0,,1100.0,,34080.0,-1.0,,-1.0,,5300.0,330000.0,3300.0,,99.0,-1.0,,359622.0,6250.0,,,,93481.0,24800.0,,18000.0,75.0,571000.0,-1.0,12220.0,6000.0,,-1.0,4300.0,,,30.0,,,,,281167.0,3000.0,180000.0,-1.0,1757.0,,,30629.0,5720.0,1000.0,,12461000.0,9998650.0,,1000.0,,,,-1.0,,,,1660.0,,,1400.0,7000.0,700.0,5000.0,,,-1.0,150.0,,,2500.0,,10049620.0,12000.0,,,,800.0,-1.0,1000.0,445.0,,,-1.0,50970.0,217100.0,,,,32000.0,,,,,7000.0,,40.0,,,346.0,12662.0,,3000.0
1965,853000.0,,1837.0,1837.0,,1200.0,,18400.0,-1.0,,-1.0,,5600.0,340000.0,3300.0,,58.0,-1.0,,431834.0,11250.0,,,,107240.0,29700.0,,23000.0,80.0,584000.0,-1.0,16422.0,6000.0,,-1.0,4500.0,,,74.0,,,,,310676.0,3000.0,184000.0,-1.0,1729.0,,,27446.0,8040.0,1000.0,,13941000.0,8584000.0,,395.0,,,,-1.0,,,,1470.0,,,1400.0,5000.0,700.0,5000.0,,,-1.0,130.0,,,2400.0,,8637176.0,7600.0,,,,900.0,-1.0,1000.0,364.0,,,-1.0,53176.0,184400.0,,,,34900.0,,,,,7000.0,,40.0,,,350.0,12355.0,,3000.0
1966,855000.0,,1996.0,1996.0,,1200.0,,44160.0,-1.0,,-1.0,,17500.0,263000.0,3400.0,,62.0,-1.0,,490687.0,14280.0,,,,112906.0,35000.0,,23000.0,80.0,605000.0,-1.0,15689.0,6000.0,,-1.0,4500.0,,,72.0,,,,,275913.0,3000.0,185000.0,-1.0,715.0,,,54243.0,6330.0,2000.0,,14789000.0,8417000.0,,565.0,,,,-1.0,,,,1430.0,,,1400.0,1700.0,700.0,5000.0,,,-1.0,110.0,,,1050.0,,8468326.0,8100.0,,,,900.0,-1.0,1000.0,100.0,,,-1.0,51326.0,169100.0,,,,40000.0,,,,,7000.0,,40.0,,,62.0,14940.0,,3000.0
1967,850000.0,,1168.0,1168.0,,1400.0,,58400.0,-1.0,,-1.0,,49100.0,266000.0,3450.0,,43.0,-1.0,,612115.0,12860.0,,,,117357.0,48000.0,,27000.0,150.0,589000.0,-1.0,17290.0,6000.0,,-1.0,4500.0,,,47.0,,,,,310504.0,3000.0,166000.0,-1.0,354.0,,,69881.0,6740.0,2000.0,,16108287.0,8494000.0,,585.0,,,,-1.0,,,,1480.0,,,1400.0,1000.0,700.0,6000.0,,,-1.0,110.0,,,3000.0,,8546302.0,9300.0,,,,1000.0,-1.0,1000.0,100.0,,,-1.0,52302.0,141600.0,,,,38000.0,,313.0,,,11300.0,,60.0,,,124.0,14770.0,,3500.0
1968,854000.0,,1619.0,1619.0,,1600.0,,46080.0,-1.0,,-1.0,,48800.0,270000.0,3600.0,,121.0,-1.0,,721913.0,8400.0,,,,119381.0,50500.0,,27000.0,80.0,677000.0,-1.0,20200.0,7500.0,,-1.0,4800.0,,,80.0,,,,,313501.0,2900.0,185000.0,-1.0,368.0,,,132982.0,4550.0,2000.0,,16750110.0,8354000.0,,205.0,,,,-1.0,,,,1420.0,,,1400.0,600.0,700.0,6000.0,,,-1.0,97.0,,,7000.0,,8403461.0,4900.0,,,,1000.0,-1.0,1000.0,250.0,,,-1.0,49461.0,122600.0,,,,36000.0,,430.0,,,12545.0,,60.0,,,122.0,16997.0,,3500.0
1969,850000.0,,2093.0,2093.0,,1800.0,,46880.0,-1.0,,-1.0,,53700.0,274000.0,3600.0,,33.0,-1.0,,906073.0,12220.0,,,90.0,130307.0,53000.0,,32000.0,511.0,553000.0,-1.0,28200.0,8160.0,,-1.0,5000.0,,,120.0,,,,,305179.0,2100.0,160000.0,-1.0,420.0,,,163186.0,4326.0,2000.0,,16728257.0,8320000.0,,135.0,550.0,,,-1.0,,,,1460.0,,,1400.0,787.0,700.0,7000.0,,,-1.0,89.0,,,4000.0,,8365277.0,13000.0,,,,1000.0,-1.0,1000.0,3750.0,,,-1.0,45277.0,102800.0,,,,33000.0,,800.0,,,13354.0,,60.0,,,124.0,16997.0,,3500.0
1970,861000.0,,4967.0,4967.0,,2000.0,,57600.0,-1.0,,-1.0,,79100.0,278000.0,3700.0,,30.0,-1.0,,1318809.0,28300.0,,,90.0,135568.0,66500.0,2023.0,32000.0,610.0,695000.0,-1.0,25970.0,11000.0,,-1.0,5500.0,,,164.0,,,,,295462.0,1900.0,185000.0,-1.0,,,,111754.0,3770.0,3000.0,,17097328.0,7977000.0,,370.0,1337.0,,,-1.0,,,,1460.0,,,1400.0,1429.0,700.0,7000.0,,,-1.0,83.0,,,4600.0,,8019749.0,5000.0,,,,1000.0,-1.0,1000.0,4500.0,,,-1.0,42749.0,95600.0,,,,27700.0,,1000.0,,,14164.0,,80.0,,,9482.0,18211.0,,3500.0
