,Kenya,Peru,Croatia,Myanmar,Israel,Syrian Arab Republic,Bangladesh,Nepal,Ethiopia,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Iraq,Malawi,Cyprus,Spain,New Zealand,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Algeria,Slovenia,Czechoslovakia,Madagascar,Czechia,Argentina,India,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Egypt,China,Tunisia,Colombia,Yugoslav SFR,Slovakia,Lebanon,Occupied Palestinian Territory,Chile,Hungary,France,Jordan,"China, mainland",Russian Federation,Eritrea,Italy,Turkey
1961,0.0,107.0,-1.0,45.0,58.0,5684.0,1930.0,2100.0,-1.0,0.0,-1.0,1335.0,2144.0,781.0,0.0,60.0,5500.0,0.0,46.0,0.0,2730.0,450.0,-1.0,155.0,20.0,-1.0,960.0,23127.0,1040.0,3320.0,3150.0,145.0,2.0,427.0,5000.0,0.0,9.0,900.0,30.0,-1.0,112.0,0.0,1910.0,330.0,805.0,1768.0,0.0,-1.0,-1.0,1500.0,8368.0
1962,0.0,114.0,-1.0,71.0,43.0,5264.0,2161.0,2160.0,-1.0,0.0,-1.0,998.0,2960.0,677.0,0.0,57.0,5600.0,0.0,36.0,0.0,2795.0,300.0,-1.0,241.0,20.0,-1.0,942.0,23018.0,960.0,3400.0,3420.0,180.0,7.0,391.0,5000.0,0.0,30.0,925.0,42.0,-1.0,112.0,0.0,1994.0,210.0,757.0,1336.0,0.0,-1.0,-1.0,1400.0,8264.0
1963,0.0,116.0,-1.0,85.0,55.0,6299.0,2027.0,2190.0,-1.0,0.0,-1.0,995.0,2903.0,593.0,0.0,63.0,5000.0,0.0,53.0,0.0,2860.0,252.0,-1.0,311.0,20.0,-1.0,993.0,23559.0,1120.0,3480.0,3600.0,182.0,6.0,373.0,5000.0,0.0,40.0,950.0,39.0,-1.0,200.0,0.0,1990.0,300.0,685.0,2199.0,0.0,-1.0,-1.0,1400.0,8400.0
1964,0.0,114.0,-1.0,63.0,43.0,6492.0,1991.0,2220.0,-1.0,0.0,-1.0,1001.0,1987.0,659.0,0.0,50.0,5200.0,0.0,87.0,0.0,2925.0,307.0,-1.0,426.0,20.0,-1.0,1020.0,25203.0,1000.0,3600.0,3780.0,183.0,18.0,188.0,5000.0,0.0,25.0,1000.0,36.0,-1.0,193.0,0.0,1926.0,330.0,922.0,2435.0,0.0,-1.0,-1.0,1300.0,8000.0
1965,0.0,83.0,-1.0,50.0,74.0,4176.0,2040.0,2250.0,-1.0,0.0,-1.0,949.0,1764.0,648.0,0.0,31.0,6000.0,0.0,159.0,0.0,2990.0,234.0,-1.0,345.0,20.0,-1.0,1050.0,25302.0,1012.0,3600.0,3870.0,185.0,24.0,101.0,5000.0,0.0,25.0,1100.0,33.0,-1.0,319.0,0.0,846.0,260.0,1172.0,1656.0,0.0,-1.0,-1.0,1200.0,8000.0
1966,0.0,75.0,-1.0,53.0,42.0,5390.0,2124.0,2280.0,-1.0,0.0,-1.0,946.0,2501.0,676.0,0.0,13.0,6300.0,0.0,110.0,0.0,3055.0,274.0,-1.0,180.0,24.0,-1.0,1485.0,24873.0,520.0,3720.0,4770.0,180.0,14.0,126.0,4000.0,0.0,25.0,1200.0,45.0,-1.0,200.0,0.0,544.0,260.0,658.0,1937.0,0.0,-1.0,-1.0,1100.0,8000.0
1967,0.0,117.0,-1.0,64.0,37.0,6952.0,2052.0,2310.0,-1.0,0.0,-1.0,818.0,2349.0,733.0,0.0,14.0,5600.0,0.0,96.0,0.0,3120.0,680.0,-1.0,196.0,24.0,-1.0,1491.0,22551.0,832.0,3800.0,5040.0,191.0,14.0,93.0,4000.0,0.0,30.0,1250.0,36.0,-1.0,200.0,0.0,591.0,310.0,510.0,1914.0,0.0,-1.0,-1.0,800.0,7920.0
1968,0.0,207.0,-1.0,172.0,65.0,7732.0,2148.0,2340.0,-1.0,0.0,-1.0,736.0,2072.0,545.0,0.0,13.0,6000.0,0.0,85.0,0.0,3185.0,778.0,-1.0,75.0,24.0,-1.0,1486.0,23304.0,1312.0,3880.0,5040.0,178.0,0.0,83.0,4000.0,0.0,30.0,1250.0,35.0,-1.0,195.0,0.0,1012.0,280.0,464.0,1965.0,0.0,-1.0,-1.0,600.0,8240.0
1969,0.0,212.0,-1.0,222.0,38.0,9766.0,2700.0,2370.0,-1.0,0.0,-1.0,672.0,1975.0,736.0,0.0,19.0,5600.0,0.0,102.0,0.0,3250.0,638.0,-1.0,38.0,24.0,-1.0,1558.0,22884.0,1480.0,4000.0,4950.0,176.0,0.0,92.0,4000.0,0.0,30.0,1350.0,32.0,-1.0,174.0,0.0,1382.0,210.0,702.0,1749.0,0.0,-1.0,-1.0,500.0,8640.0
1970,0.0,55.0,-1.0,223.0,35.0,7805.0,3000.0,2400.0,-1.0,0.0,-1.0,584.0,1830.0,587.0,0.0,22.0,6200.0,0.0,86.0,0.0,3276.0,477.0,-1.0,58.0,30.0,-1.0,1258.0,22320.0,1120.0,4200.0,5130.0,207.0,0.0,105.0,5000.0,0.0,30.0,1150.0,30.0,-1.0,181.0,0.0,1446.0,200.0,782.0,1745.0,0.0,-1.0,-1.0,400.0,8400.0
1971,0.0,66.0,-1.0,237.0,35.0,8057.0,3600.0,2460.0,-1.0,0.0,-1.0,528.0,1920.0,767.0,0.0,25.0,7000.0,0.0,61.0,0.0,3444.0,539.0,-1.0,53.0,24.0,-1.0,881.0,24003.0,1548.0,4400.0,5760.0,209.0,0.0,92.0,5000.0,0.0,30.0,1150.0,27.0,-1.0,188.0,0.0,1462.0,210.0,562.0,2415.0,0.0,-1.0,-1.0,300.0,8240.0
