,Australia,Netherlands,Australia & New Zealand,Uruguay,Hungary,Morocco,Spain,Argentina,Mexico,Turkey
1961,1253.0,100.0,1253.0,392.0,0.0,240.0,103.0,1842.0,143.0,1480.0
1962,692.0,25.0,692.0,299.0,0.0,300.0,129.0,2328.0,141.0,548.0
1963,208.0,8.0,208.0,208.0,0.0,300.0,83.0,1980.0,145.0,400.0
1964,245.0,1.0,245.0,111.0,0.0,390.0,61.0,1455.0,147.0,240.0
1965,81.0,0.0,81.0,116.0,0.0,390.0,38.0,1203.0,154.0,310.0
1966,130.0,0.0,130.0,35.0,0.0,450.0,36.0,1239.0,275.0,184.0
1967,429.0,0.0,429.0,101.0,0.0,450.0,83.0,1332.0,302.0,180.0
1968,1245.0,36.0,1245.0,297.0,0.0,570.0,122.0,1926.0,452.0,178.0
1969,399.0,9.0,399.0,130.0,0.0,900.0,594.0,3756.0,670.0,188.0
1970,282.0,0.0,282.0,162.0,0.0,1140.0,257.0,2217.0,264.0,148.0
1971,311.0,0.0,311.0,89.0,0.0,750.0,212.0,1332.0,319.0,112.0
1972,448.0,0.0,448.0,56.0,0.0,624.0,140.0,1347.0,339.0,69.0
1973,305.0,2.0,305.0,72.0,0.0,708.0,140.0,1491.0,238.0,53.0
1974,810.0,5.0,810.0,52.0,0.0,660.0,162.0,1461.0,345.0,32.0
1975,935.0,6.0,935.0,52.0,0.0,2238.0,150.0,1338.0,394.0,55.0
1976,1397.0,4.0,1397.0,54.0,0.0,1056.0,226.0,1398.0,584.0,90.0
1977,824.0,2.0,824.0,54.0,0.0,1002.0,237.0,2250.0,814.0,80.0
1978,532.0,2.0,532.0,61.0,0.0,405.0,155.0,1800.0,318.0,48.0
1979,282.0,0.0,282.0,80.0,0.0,321.0,138.0,1680.0,184.0,40.0
1980,363.0,0.0,363.0,80.0,0.0,225.0,134.0,1485.0,233.0,30.0
1981,524.0,0.0,524.0,80.0,0.0,303.0,94.0,1533.0,301.0,31.0
1982,423.0,0.0,423.0,80.0,0.0,261.0,86.0,1719.0,454.0,27.0
1983,404.0,0.0,404.0,80.0,0.0,129.0,76.0,1800.0,537.0,7.0
1984,640.0,0.0,640.0,80.0,0.0,174.0,49.0,1707.0,324.0,5.0
1985,684.0,0.0,684.0,84.0,0.0,168.0,49.0,774.0,320.0,4.0
1986,585.0,0.0,585.0,84.0,0.0,150.0,38.0,1770.0,475.0,4.0
1987,503.0,0.0,503.0,88.0,0.0,90.0,30.0,1395.0,469.0,5.0
1988,559.0,0.0,559.0,88.0,0.0,90.0,21.0,1767.0,502.0,16.0
1989,533.0,0.0,533.0,80.0,0.0,90.0,22.0,1746.0,400.0,5.0
1990,496.0,0.0,496.0,84.0,0.0,90.0,19.0,1206.0,132.0,4.0
1991,214.0,0.0,214.0,80.0,1200.0,0.0,15.0,1053.0,92.0,4.0
1992,332.0,0.0,332.0,86.0,1120.0,0.0,12.0,907.0,56.0,12.0
1993,315.0,0.0,315.0,88.0,1080.0,0.0,12.0,671.0,51.0,8.0
1994,270.0,0.0,270.0,92.0,1200.0,0.0,7.0,629.0,69.0,15.0
1995,309.0,0.0,309.0,100.0,1177.0,0.0,4.0,597.0,63.0,9.0
1996,295.0,0.0,295.0,96.0,737.0,0.0,4.0,739.0,41.0,9.0
1997,338.0,0.0,338.0,99.0,1074.0,0.0,3.0,748.0,22.0,8.0
1998,360.0,0.0,360.0,104.0,734.0,0.0,2.0,802.0,17.0,8.0
1999,383.0,0.0,383.0,112.0,803.0,0.0,2.0,717.0,14.0,7.0
2000,382.0,0.0,382.0,120.0,227.0,0.0,2.0,602.0,8.0,6.0
2001,381.0,0.0,381.0,124.0,358.0,0.0,2.0,478.0,21.0,12.0
2002,434.0,0.0,434.0,116.0,623.0,0.0,2.0,573.0,37.0,20.0
2003,442.0,0.0,442.0,144.0,458.0,0.0,2.0,489.0,27.0,13.0
2004,416.0,0.0,416.0,148.0,402.0,0.0,1.0,466.0,18.0,3.0
2005,225.0,0.0,225.0,150.0,315.0,0.0,1.0,400.0,14.0,1.0
2006,315.0,0.0,315.0,152.0,243.0,0.0,1.0,336.0,8.0,2.0
2007,360.0,0.0,360.0,160.0,248.0,0.0,1.0,338.0,8.0,1.0
2008,352.0,0.0,352.0,180.0,263.0,0.0,1.0,332.0,8.0,2.0
2009,336.0,0.0,336.0,136.0,164.0,0.0,0.0,510.0,8.0,2.0
2010,338.0,0.0,338.0,143.0,126.0,0.0,0.0,432.0,8.0,1.0
2011,360.0,0.0,360.0,146.0,201.0,0.0,2.0,428.0,7.0,0.0
2012,351.0,0.0,351.0,140.0,72.0,0.0,1.0,848.0,14.0,0.0
2013,335.0,0.0,335.0,144.0,118.0,2.0,1.0,784.0,2.0,10.0
2014,335.0,0.0,335.0,144.0,118.0,2.0,1.0,784.0,2.0,10.0
