,USSR,Romania,Syrian Arab Republic,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Belgium,Uruguay,South Africa,Italy,Morocco,Lebanon,Croatia,Latvia,Slovenia,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Serbia,Jordan,Chile,Argentina,Spain,Kyrgyzstan,New Zealand,Cyprus,Switzerland,Israel,Japan,Republic of Moldova,Turkey,Belarus,Belgium-Luxembourg,Georgia,Mexico,Azerbaijan,France,Ukraine,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Greece,China,"China, mainland",Yemen,Algeria,Kazakhstan,Lithuania,Portugal,Brazil
1961,21000.0,,60000.0,827647.0,,,,,,,,,115000.0,,,,,,,,,,16667.0,,,393701.0,,211765.0,33333.0,,230000.0,,,44406.0,,,,138082.0,,2020000.0,,90909.0,,,,1997394.0,,,75000.0,125000.0,384920.0,,,,,,,50000.0,30000.0
1962,22000.0,,80000.0,1047500.0,,,,,,,,,120000.0,,,,,,,,,,16667.0,,,387597.0,,245000.0,33333.0,,280000.0,,,35415.0,,,,143247.0,,1740000.0,,90909.0,,,,1145618.0,,,75000.0,125000.0,385640.0,,,,,,,50000.0,30000.0
1963,21538.0,,80000.0,1394444.0,,,,,,,,,100000.0,,,,,,,,,,22222.0,,,395137.0,,433333.0,33333.0,,280000.0,,,34870.0,,,,140900.0,,3433333.0,,90909.0,,,,1126469.0,,,75000.0,125000.0,322260.0,,,,,,,50000.0,30000.0
1964,23846.0,,80000.0,1848750.0,,,,,,,,,83333.0,,,,,,,,,,22222.0,,,416667.0,,408750.0,36842.0,,400000.0,,,34257.0,,,,144270.0,,2466667.0,,90909.0,,,,1116183.0,,,75000.0,125000.0,388440.0,,,,,,,50000.0,30151.0
1965,24615.0,,35000.0,1475000.0,,,,,,,,,75000.0,,,,,,,,,,22222.0,,,371471.0,,385000.0,42105.0,,190000.0,,,31033.0,,,,148110.0,,2850000.0,,90909.0,,,,1023854.0,,,75000.0,120000.0,343440.0,,,,,,,50000.0,37795.0
1966,24615.0,,30000.0,1527500.0,,,,,,,,,45833.0,,,,,,,,,,22222.0,,,388497.0,,385000.0,47368.0,,150000.0,,,29282.0,,,,152508.0,,2775000.0,,86667.0,,,,569847.0,57143.0,,75000.0,126068.0,350100.0,,,,,,,50000.0,28158.0
1967,30769.0,,36000.0,1443750.0,,,,,,,,,68778.0,,,,,,,,,,26354.0,,,326558.0,,362500.0,50000.0,,140000.0,,,44395.0,,,,151659.0,,280000.0,,95833.0,,,,681876.0,60714.0,,76190.0,124242.0,386920.0,,,,,,,50714.0,21019.0
1968,33846.0,,28480.0,1450000.0,,,,,,,,,110347.0,,,,,,,,,,31250.0,,,349077.0,,393333.0,61000.0,,130000.0,,,51462.0,,,,145345.0,,295385.0,,92308.0,,,,866362.0,60714.0,,76190.0,97093.0,396660.0,,,,,,,50069.0,15776.0
1969,30000.0,,23491.0,2035000.0,,,,,,,,,100945.0,,,,,,,,,,,,,278838.0,,545000.0,61000.0,,130000.0,,,39002.0,,,,124878.0,,188800.0,,93750.0,,,,551079.0,60000.0,,76190.0,91300.0,344760.0,,,,,,,55743.0,22679.0
1970,23750.0,,13032.0,2617500.0,,,,,,,,,118980.0,,,,,,,,,,,,,196916.0,,750000.0,27900.0,,105000.0,,,43217.0,,,,121387.0,,215000.0,,55556.0,,,,433239.0,60000.0,,73913.0,98319.0,359400.0,,,,,,,59527.0,18648.0
1971,24583.0,,16364.0,1568000.0,,,,,,,,,124128.0,,,,,,,,,,60000.0,,,184542.0,,400000.0,33271.0,,100000.0,,,40900.0,,,,113471.0,,108500.0,,96296.0,,,,375530.0,60000.0,,73913.0,92966.0,378200.0,,,,,,,59868.0,23477.0
1972,24762.0,,26394.0,976667.0,,,,,,,,,145017.0,,,,,,,,,,15714.0,,,156574.0,,151667.0,37931.0,,110000.0,,,45175.0,,,,98064.0,,73134.0,,151852.0,,,,344777.0,60000.0,,73913.0,95297.0,408575.0,,,,,,,62866.0,27537.0
1973,26000.0,,46894.0,1054000.0,,,,,,,,,198766.0,,,,,,,,,,26667.0,,,123156.0,,182000.0,37910.0,,275000.0,,,40383.0,,,,95382.0,,107860.0,,183333.0,,,,344381.0,60000.0,,73469.0,90700.0,404175.0,,,,,,,24969.0,34835.0
1974,25455.0,,41839.0,1743333.0,,,,,,,,,134568.0,,,,,,,,,,14286.0,,,150146.0,,166667.0,22687.0,,95000.0,,,42691.0,,,,103454.0,,58214.0,,125714.0,,,,229954.0,58095.0,,73469.0,92488.0,352725.0,,,,,,,44991.0,38044.0
1975,24286.0,,39444.0,784000.0,,,,,,,,,120000.0,,,,,,,,,,30714.0,,,154070.0,,200000.0,53134.0,,180000.0,,,46152.0,,,,107594.0,,51798.0,,140162.0,,,,570129.0,57826.0,,74510.0,96272.0,369850.0,,,,,,,41875.0,40606.0
1976,25333.0,,30792.0,1513333.0,,,,,,,,,120000.0,,,,,,,,,,54359.0,,,155646.0,,300000.0,45522.0,,210000.0,,,49239.0,,,,103761.0,,92744.0,,148810.0,,,,397414.0,57391.0,,74510.0,95807.0,332650.0,,,,,,,45641.0,38666.0
1977,25938.0,,28133.0,1885000.0,,,,,,,,,120000.0,,,,,,,,,,76250.0,,,150613.0,,250000.0,30299.0,,180000.0,,,53694.0,,,,90543.0,,57241.0,,110000.0,,,,414907.0,57391.0,,74074.0,90842.0,299125.0,,,,,,,26297.0,38157.0
1978,26800.0,,25776.0,1150000.0,,,,,,,,,100000.0,,,,,,,,,,34167.0,,,137510.0,,233333.0,75185.0,,214286.0,,,48984.0,,,,96011.0,,96831.0,,127273.0,,,,387574.0,59043.0,,74074.0,88645.0,287775.0,,,,,,,32391.0,37453.0
1979,27333.0,,41966.0,1002500.0,,,,,,,,,100000.0,,,,,,,,,,31400.0,,,143786.0,,175000.0,67778.0,,300000.0,,,53362.0,,,,120875.0,,86033.0,,92308.0,,,,366816.0,55532.0,,74074.0,89626.0,259250.0,,,33333.0,,,,40730.0,37661.0
1980,26667.0,,55643.0,525000.0,,,,,,,,,83333.0,,,,,,,,,,54737.0,,,162517.0,,175000.0,56296.0,,271429.0,,,54543.0,,,,113468.0,,93750.0,,90909.0,,,,389326.0,59787.0,,77778.0,91665.0,273750.0,,,31746.0,,,,47864.0,37271.0
1981,26667.0,,58594.0,542000.0,,,,,,,,,66667.0,,,,,,,,,,65000.0,,,170917.0,,160000.0,63333.0,,294118.0,,,61089.0,,,,105205.0,,74850.0,,90909.0,,,,656150.0,55532.0,,81481.0,90658.0,413600.0,,,33684.0,,,,43310.0,39033.0
1982,26000.0,,61571.0,522000.0,,,,,,,,,80000.0,,,,,,,,,,70000.0,,,176812.0,,160000.0,72083.0,,333333.0,,,70191.0,,,,120606.0,,113333.0,,93455.0,,,,659732.0,59043.0,,78706.0,91658.0,417600.0,,,34068.0,,,,46696.0,39439.0
1983,27778.0,,32500.0,337500.0,,,,,,,250000.0,,87500.0,,,,,,,,,,22963.0,,,187990.0,,150000.0,70833.0,,666667.0,,,71323.0,,,,108209.0,,107143.0,,91410.0,,,,706430.0,53340.0,,101933.0,86941.0,451833.0,,,34068.0,,,,51545.0,37274.0
1984,27333.0,,43333.0,246250.0,,,,,,,173684.0,,111111.0,,,,,,,,,,23500.0,,,192028.0,,150000.0,54167.0,,736842.0,,,65556.0,,,,97378.0,,107785.0,,90361.0,,,,610605.0,56064.0,,84061.0,89940.0,418633.0,,,35424.0,,,,38725.0,33498.0
1985,33333.0,80000.0,66667.0,133182.0,113000.0,59375.0,,,42105.0,53875.0,171631.0,69565.0,109091.0,,,,32653.0,,,,,,11200.0,,69492.0,92722.0,,150000.0,60000.0,38462.0,684211.0,,,74997.0,,33333.0,,95208.0,,110515.0,,90909.0,,72220.0,,660262.0,55319.0,53235.0,78571.0,84439.0,99213.0,28571.0,28571.0,35738.0,,,,38036.0,33275.0
1986,33333.0,70175.0,62500.0,138462.0,120000.0,62500.0,,,68421.0,47875.0,100990.0,69565.0,125000.0,,,,61224.0,,,,,,20000.0,,63729.0,89689.0,,150000.0,35000.0,76923.0,576923.0,,,83333.0,,50000.0,,81645.0,,108333.0,,89474.0,,70100.0,,782016.0,54936.0,62909.0,82840.0,85042.0,103786.0,35714.0,35714.0,39206.0,,,,30519.0,27974.0
1987,26667.0,52632.0,69087.0,129840.0,153750.0,62500.0,,,47368.0,66750.0,109375.0,69565.0,138462.0,,,,48980.0,,,,,,50000.0,,48305.0,89508.0,,128205.0,50000.0,50000.0,640000.0,,,79481.0,,50000.0,,64622.0,,112704.0,,89000.0,,66920.0,,624480.0,54553.0,62335.0,72086.0,84108.0,86705.0,42857.0,42857.0,44154.0,,,,33312.0,27022.0
