,Sudan,Jordan,Chad,Cameroon,Congo,China,South Sudan,Central African Republic,Sudan (former),"China, mainland",Mali,Nigeria,Ethiopia PDR,Senegal
1961,-1.0,0.0,1725.0,4200.0,48.0,0.0,-1.0,700.0,1400.0,0.0,0.0,9900.0,4000.0,85.0
1962,-1.0,0.0,1800.0,4200.0,51.0,0.0,-1.0,720.0,1500.0,0.0,0.0,10100.0,4100.0,90.0
1963,-1.0,0.0,1875.0,4350.0,53.0,0.0,-1.0,740.0,1500.0,0.0,0.0,11600.0,4200.0,95.0
1964,-1.0,0.0,1950.0,4200.0,54.0,0.0,-1.0,760.0,1750.0,0.0,0.0,11000.0,4300.0,100.0
1965,-1.0,0.0,2025.0,4350.0,56.0,0.0,-1.0,780.0,2000.0,0.0,0.0,11400.0,4400.0,100.0
1966,-1.0,0.0,2100.0,4500.0,57.0,0.0,-1.0,800.0,2000.0,0.0,0.0,8300.0,4500.0,90.0
1967,-1.0,0.0,2175.0,4274.0,59.0,0.0,-1.0,850.0,1950.0,0.0,0.0,7900.0,4600.0,1170.0
1968,-1.0,0.0,2250.0,4099.0,59.0,0.0,-1.0,860.0,1750.0,0.0,0.0,10300.0,4700.0,330.0
1969,-1.0,0.0,2250.0,4500.0,60.0,0.0,-1.0,900.0,1750.0,0.0,0.0,6500.0,4900.0,910.0
1970,-1.0,0.0,2325.0,4888.0,60.0,0.0,-1.0,900.0,1750.0,0.0,0.0,10900.0,5000.0,150.0
1971,-1.0,0.0,2325.0,5148.0,60.0,0.0,-1.0,900.0,1900.0,0.0,0.0,6300.0,5200.0,300.0
1972,-1.0,0.0,2325.0,6300.0,63.0,0.0,-1.0,900.0,1650.0,0.0,0.0,9100.0,5400.0,500.0
1973,-1.0,0.0,2400.0,5431.0,63.0,0.0,-1.0,950.0,1600.0,0.0,0.0,18200.0,5600.0,870.0
1974,-1.0,0.0,2550.0,6769.0,63.0,0.0,-1.0,950.0,1600.0,0.0,2.0,4900.0,6000.0,500.0
1975,-1.0,0.0,2625.0,8278.0,65.0,0.0,-1.0,1000.0,1600.0,0.0,0.0,20800.0,6500.0,590.0
1976,-1.0,0.0,2775.0,8637.0,66.0,0.0,-1.0,1000.0,1750.0,0.0,0.0,16600.0,6300.0,380.0
1977,-1.0,0.0,2400.0,8780.0,68.0,0.0,-1.0,1030.0,1600.0,0.0,0.0,14200.0,6800.0,380.0
1978,-1.0,0.0,2550.0,7080.0,69.0,0.0,-1.0,1060.0,1750.0,0.0,0.0,10600.0,7200.0,162.0
1979,-1.0,0.0,2850.0,7163.0,71.0,0.0,-1.0,1080.0,2000.0,0.0,0.0,10400.0,7500.0,59.0
1980,-1.0,361.0,3000.0,7350.0,72.0,0.0,-1.0,1100.0,2250.0,0.0,0.0,9400.0,7800.0,100.0
1981,-1.0,492.0,3150.0,7500.0,74.0,0.0,-1.0,1200.0,2500.0,0.0,0.0,7800.0,8000.0,150.0
1982,-1.0,516.0,3150.0,7575.0,75.0,0.0,-1.0,1200.0,3250.0,0.0,0.0,7400.0,8000.0,150.0
1983,-1.0,727.0,3225.0,7500.0,77.0,0.0,-1.0,1300.0,2750.0,0.0,0.0,14400.0,8100.0,170.0
1984,-1.0,501.0,3000.0,7800.0,78.0,0.0,-1.0,1400.0,2500.0,0.0,0.0,14300.0,8200.0,170.0
1985,-1.0,473.0,3000.0,7800.0,81.0,0.0,-1.0,1400.0,2250.0,0.0,0.0,14700.0,8300.0,170.0
1986,-1.0,597.0,3000.0,7950.0,84.0,0.0,-1.0,1315.0,2150.0,0.0,0.0,15300.0,8400.0,170.0
1987,-1.0,557.0,3000.0,7950.0,86.0,700.0,-1.0,1181.0,2150.0,700.0,0.0,14500.0,8500.0,170.0
1988,-1.0,0.0,3000.0,7980.0,87.0,700.0,-1.0,1319.0,2490.0,700.0,0.0,27500.0,8600.0,170.0
1989,-1.0,414.0,3000.0,8070.0,90.0,805.0,-1.0,1627.0,2248.0,805.0,0.0,20400.0,8700.0,170.0
1990,-1.0,572.0,2798.0,8145.0,93.0,1330.0,-1.0,1280.0,2000.0,1330.0,0.0,20800.0,8800.0,145.0
1991,-1.0,512.0,3864.0,8250.0,96.0,1400.0,-1.0,1290.0,1750.0,1400.0,0.0,21900.0,8900.0,151.0
1992,-1.0,993.0,3199.0,8489.0,99.0,1400.0,-1.0,1300.0,2400.0,1400.0,0.0,23100.0,9000.0,122.0
1993,-1.0,781.0,2617.0,8740.0,102.0,500.0,-1.0,1290.0,2500.0,500.0,0.0,24300.0,-1.0,130.0
1994,-1.0,841.0,3301.0,10501.0,106.0,700.0,-1.0,1420.0,2550.0,700.0,0.0,25300.0,-1.0,138.0
1995,-1.0,810.0,4032.0,8355.0,105.0,400.0,-1.0,1570.0,3200.0,400.0,0.0,28700.0,-1.0,160.0
1996,-1.0,474.0,4647.0,8370.0,108.0,300.0,-1.0,1680.0,5800.0,300.0,0.0,31700.0,-1.0,133.0
1997,-1.0,868.0,5624.0,8400.0,102.0,200.0,-1.0,1800.0,4264.0,200.0,0.0,33000.0,-1.0,114.0
1998,-1.0,759.0,5337.0,8430.0,105.0,400.0,-1.0,1920.0,4519.0,400.0,0.0,33000.0,-1.0,115.0
1999,-1.0,811.0,4672.0,8460.0,108.0,400.0,-1.0,2300.0,1951.0,400.0,0.0,33800.0,-1.0,118.0
2000,-1.0,987.0,4611.0,8490.0,110.0,500.0,-1.0,2420.0,2704.0,500.0,0.0,34500.0,-1.0,121.0
2001,-1.0,146.0,5543.0,8556.0,111.0,1000.0,-1.0,2550.0,3826.0,1000.0,0.0,34800.0,-1.0,122.0
2002,-1.0,98.0,5519.0,8520.0,112.0,1000.0,-1.0,2680.0,3601.0,1000.0,0.0,37000.0,-1.0,180.0
2003,-1.0,188.0,4875.0,9337.0,106.0,1200.0,-1.0,2790.0,5300.0,1200.0,0.0,39400.0,-1.0,192.0
2004,-1.0,186.0,5851.0,9000.0,107.0,1500.0,-1.0,2800.0,2950.0,1500.0,0.0,42200.0,-1.0,205.0
2005,-1.0,205.0,5793.0,12465.0,112.0,1500.0,-1.0,2732.0,2500.0,1500.0,0.0,45100.0,-1.0,219.0
2006,-1.0,406.0,4737.0,9781.0,104.0,1500.0,-1.0,3000.0,900.0,1500.0,0.0,48300.0,-1.0,235.0
2007,-1.0,0.0,3038.0,8478.0,99.0,1500.0,-1.0,3205.0,1300.0,1500.0,0.0,49000.0,-1.0,190.0
2008,-1.0,0.0,3624.0,9286.0,110.0,1500.0,-1.0,3237.0,200.0,1500.0,0.0,49300.0,-1.0,191.0
2009,-1.0,0.0,3368.0,9000.0,101.0,1500.0,-1.0,3391.0,850.0,1500.0,0.0,40255.0,-1.0,155.0
2010,-1.0,188.0,3210.0,9300.0,102.0,1500.0,-1.0,3700.0,850.0,1500.0,0.0,50734.0,-1.0,196.0
2011,-1.0,319.0,3150.0,6347.0,104.0,1500.0,-1.0,3500.0,3300.0,1500.0,0.0,51000.0,-1.0,157.0
2012,2550.0,1143.0,3300.0,6450.0,110.0,1500.0,3300.0,3500.0,-1.0,1500.0,0.0,51250.0,-1.0,160.0
2013,2100.0,777.0,3450.0,6450.0,116.0,1500.0,3300.0,3600.0,-1.0,1500.0,0.0,51000.0,-1.0,165.0
2014,2500.0,777.0,3452.0,6782.0,109.0,1500.0,1250.0,3754.0,-1.0,1500.0,571.0,54444.0,-1.0,164.0
