,Fiji,South Africa,Pakistan,Georgia,Azerbaijan,Uganda,Barbados,New Zealand,Niue,Bahamas,Jordan,Bolivia (Plurinational State of),Iraq,Armenia,Gambia,Saudi Arabia,Belize,Chad,Mexico,Seychelles,Malaysia,Argentina,Thailand,Madagascar,Lesotho,Peru,Tonga,Brunei Darussalam,Cook Islands,Uruguay,Zimbabwe,Venezuela (Bolivarian Republic of),Dominican Republic,Lao People's Democratic Republic,French Polynesia,Morocco,Faroe Islands,Democratic Republic of the Congo,Grenada,Guatemala,Comoros,Sri Lanka,Kazakhstan,France,Dominica,Finland,Poland,Democratic People's Republic of Korea,Burundi,Jamaica,Republic of Moldova,Algeria,United Republic of Tanzania,Republic of Korea,Spain,Singapore,"China, Macao SAR",Ghana,Lithuania,American Samoa,Cameroon,Kyrgyzstan,Togo,Hungary,Italy,Switzerland,Swaziland,Niger,Bulgaria,Guinea-Bissau,Ecuador,Uzbekistan,Turkmenistan,Saint Vincent and the Grenadines,Benin,Tunisia,Iceland,Burkina Faso,Philippines,Central African Republic,Guinea,Indonesia,Romania,New Caledonia,Bangladesh,Honduras,Solomon Islands,"China, mainland",Gabon,Malawi,Austria,Egypt,Viet Nam,Greece,Japan,Sweden,United Kingdom,Estonia,Mongolia,Paraguay,Netherlands,Nigeria,El Salvador,Saint Lucia,Chile,Mauritania,Sao Tome and Principe,United Arab Emirates,Saint Kitts and Nevis,Suriname,Costa Rica,Mozambique,"China, Taiwan Province of",Namibia,Lebanon,Rwanda,Kuwait,Turkey,Belarus,Trinidad and Tobago,"China, Hong Kong SAR",United States of America,Russian Federation,Ireland,Côte d'Ivoire,Norway,Portugal,Angola,India,Occupied Palestinian Territory,Germany,Iran (Islamic Republic of),Sudan (former),Botswana,Aruba,Panama,Denmark,Ukraine,Cuba,Congo,Canada,Vanuatu,Nicaragua,Tajikistan,Senegal,Haiti,Sierra Leone,Syrian Arab Republic,Nepal,Israel,Antigua and Barbuda,Cyprus,Malta,Papua New Guinea,Australia,Guyana,Latvia,Colombia,Mauritius,Samoa,Mali,Brazil,Kenya,Djibouti
1961,104559.0,1416476.0,143991.0,,,234555.0,132052.0,2460134.0,122.0,673.0,74006.0,1841.0,36082.0,,16446.0,2873.0,19855.0,200418.0,1512472.0,21094.0,677930.0,1756983.0,1553490.0,258103.0,15780.0,982501.0,7940.0,2097.0,15193.0,173286.0,443708.0,39818.0,1002401.0,139.0,41898.0,793156.0,9.0,249358.0,15033.0,132411.0,22391.0,662018.0,,5702264.0,22004.0,148983.0,1529836.0,135051.0,29360.0,507042.0,,1631751.0,327621.0,16074.0,2625320.0,1127019.0,19942.0,512686.0,,223.0,271237.0,,34956.0,492415.0,5018334.0,581560.0,32870.0,78971.0,552516.0,46017.0,356777.0,,,12319.0,61424.0,471030.0,53256.0,4864.0,984869.0,110846.0,122353.0,815006.0,782766.0,2140.0,239358.0,258056.0,11521.0,643391.0,5565.0,104817.0,183790.0,382670.0,141248.0,425992.0,627021.0,614961.0,1520902.0,,32738.0,21458.0,4642377.0,1310728.0,131644.0,28615.0,153272.0,,24334.0,,24075.0,10757.0,138348.0,303356.0,1365127.0,9592.0,85756.0,16425.0,64735.0,784027.0,,295957.0,433560.0,15183782.0,,1755447.0,426388.0,143310.0,306963.0,253551.0,720970.0,,2333782.0,208734.0,763728.0,58770.0,,136296.0,2697166.0,,2811363.0,18387.0,6395019.0,16545.0,113237.0,,495128.0,88899.0,72002.0,136602.0,267403.0,422781.0,44340.0,133836.0,29805.0,81117.0,4919315.0,154521.0,,473324.0,324875.0,27208.0,94172.0,1432428.0,380401.0,
1962,134798.0,2213214.0,138219.0,,,206583.0,132833.0,2565210.0,163.0,898.0,83694.0,1879.0,89334.0,,17259.0,2211.0,16545.0,244675.0,1548634.0,22443.0,670840.0,2757152.0,1421618.0,369528.0,9237.0,934146.0,5350.0,1769.0,13454.0,167611.0,610009.0,37888.0,1046694.0,184.0,51426.0,1013820.0,9.0,234044.0,15878.0,119288.0,25504.0,747890.0,,4643892.0,21940.0,162204.0,1735026.0,128722.0,26490.0,519400.0,,1782270.0,356574.0,88894.0,2860619.0,1185040.0,34925.0,554097.0,,525.0,267428.0,,30385.0,475166.0,5406641.0,454448.0,34941.0,103155.0,616806.0,46471.0,394371.0,,,12476.0,48946.0,481931.0,27254.0,10650.0,963529.0,107151.0,90806.0,721018.0,815213.0,1327.0,324863.0,256820.0,10634.0,1148385.0,5676.0,133897.0,199996.0,355292.0,94021.0,539498.0,573600.0,594893.0,1712894.0,,70441.0,25893.0,4912212.0,1265072.0,156347.0,33139.0,165426.0,,25992.0,,21822.0,13942.0,165145.0,331249.0,1238922.0,10497.0,129505.0,15731.0,36469.0,684837.0,,247619.0,649850.0,16747822.0,,1544893.0,463643.0,210566.0,319759.0,276558.0,875180.0,,2284229.0,217323.0,993240.0,25253.0,,126094.0,3223522.0,,2254601.0,19739.0,5363445.0,16061.0,180246.0,,479981.0,78830.0,74095.0,454140.0,266403.0,499932.0,40289.0,168420.0,32525.0,83191.0,5846348.0,150600.0,,497550.0,331745.0,33152.0,73739.0,1176452.0,458200.0,
1963,176839.0,2463769.0,245084.0,,,275109.0,160484.0,2700699.0,338.0,1032.0,84639.0,2365.0,57472.0,,14998.0,5895.0,20247.0,229148.0,1628369.0,20210.0,693496.0,2327146.0,1488839.0,332066.0,13109.0,932705.0,5119.0,1505.0,14867.0,239086.0,328960.0,93389.0,840891.0,131.0,44860.0,1168434.0,9.0,211912.0,18941.0,172786.0,24040.0,661218.0,,6337160.0,24749.0,130076.0,1085759.0,154262.0,17085.0,553251.0,,1225518.0,389285.0,24490.0,2316013.0,1356347.0,10433.0,529057.0,,466.0,290897.0,,30817.0,575509.0,5018796.0,553002.0,40081.0,111045.0,519834.0,40737.0,484210.0,,,14247.0,57490.0,651574.0,23280.0,13365.0,1096260.0,103873.0,93008.0,740739.0,885000.0,1627.0,466034.0,236726.0,10970.0,1433782.0,5410.0,122464.0,110102.0,452421.0,165078.0,524642.0,482237.0,633810.0,1775875.0,,87318.0,27926.0,4849539.0,1392872.0,173952.0,35281.0,184517.0,58018.0,21182.0,,20368.0,14741.0,159269.0,345700.0,1539762.0,10497.0,128620.0,6459.0,47427.0,613141.0,,271797.0,496223.0,18219865.0,,1822072.0,549759.0,192564.0,346079.0,220177.0,1080143.0,,2315728.0,233913.0,963987.0,37718.0,,152038.0,3441043.0,,1534987.0,21647.0,6803364.0,18271.0,219795.0,,391605.0,112695.0,65745.0,465356.0,247068.0,634377.0,60196.0,204911.0,52210.0,88835.0,4976287.0,131814.0,,509142.0,369194.0,32428.0,61324.0,1582067.0,608965.0,
1964,201176.0,1956792.0,222956.0,,,271344.0,133647.0,2836720.0,559.0,1223.0,95840.0,3310.0,47285.0,,14652.0,6399.0,25893.0,380079.0,2545809.0,26772.0,689168.0,3185904.0,2218772.0,334489.0,21684.0,809530.0,6215.0,1519.0,13287.0,200725.0,314988.0,52055.0,805950.0,67.0,46850.0,1154137.0,9.0,197756.0,14445.0,163602.0,22676.0,779255.0,,7688818.0,32062.0,111963.0,2325304.0,107257.0,35846.0,575513.0,,1417220.0,415879.0,34326.0,3436978.0,1030786.0,20369.0,513403.0,,485.0,271279.0,,38725.0,568888.0,5220688.0,503135.0,47531.0,108072.0,670125.0,35297.0,490738.0,,,14639.0,64142.0,553620.0,28620.0,15950.0,1078383.0,138118.0,69783.0,794357.0,801214.0,2892.0,352056.0,259639.0,11143.0,1850489.0,7625.0,156778.0,127180.0,511333.0,81307.0,532058.0,602837.0,594409.0,1554412.0,,116303.0,30659.0,5353960.0,1410251.0,175413.0,40249.0,205469.0,69622.0,22936.0,,21989.0,8565.0,170903.0,324718.0,2016672.0,11582.0,126350.0,21505.0,14434.0,778350.0,,267288.0,614181.0,20366742.0,,1440471.0,607503.0,201452.0,421561.0,237738.0,974714.0,,2544520.0,211999.0,870396.0,49771.0,,140698.0,3413672.0,,1788893.0,18753.0,8646599.0,19110.0,270830.0,,452008.0,67592.0,67200.0,369111.0,299831.0,587989.0,43073.0,208175.0,48912.0,86536.0,6821360.0,120331.0,,480869.0,370336.0,31775.0,65674.0,1070133.0,492611.0,
1965,189252.0,1196501.0,174327.0,,,272943.0,152117.0,2834443.0,364.0,1158.0,96102.0,4229.0,60696.0,,18925.0,11682.0,23254.0,238983.0,3799070.0,21916.0,737021.0,3657590.0,2145504.0,300589.0,10190.0,731729.0,6754.0,920.0,14510.0,245243.0,537127.0,71095.0,624906.0,99.0,39856.0,1097786.0,,131960.0,25955.0,149718.0,19132.0,730811.0,,8491167.0,36718.0,100512.0,1903334.0,188202.0,27188.0,613595.0,,1162018.0,378116.0,58130.0,3263509.0,1113680.0,10739.0,654688.0,,426.0,304529.0,,36917.0,657567.0,6504453.0,523148.0,51396.0,112505.0,568527.0,20582.0,441286.0,,,16059.0,55914.0,495997.0,22758.0,20236.0,1058829.0,118429.0,62612.0,895502.0,690007.0,1547.0,322729.0,394996.0,11678.0,1927862.0,8013.0,138949.0,127473.0,440659.0,53325.0,659653.0,656103.0,831960.0,1583886.0,,86163.0,33119.0,5830938.0,1477347.0,178857.0,52620.0,217313.0,75424.0,24429.0,,18419.0,19504.0,179403.0,312763.0,2502232.0,12487.0,157706.0,18594.0,82540.0,844055.0,,292631.0,502622.0,21067600.0,,1428751.0,604718.0,190826.0,466661.0,255858.0,859253.0,,2975770.0,227327.0,892653.0,65531.0,,175132.0,3980686.0,,2278696.0,11477.0,7673438.0,14815.0,306162.0,,471251.0,75275.0,61638.0,344539.0,261571.0,711695.0,23311.0,322004.0,44646.0,97844.0,6158488.0,154123.0,,583896.0,366110.0,24440.0,53679.0,1730971.0,479677.0,
1966,150469.0,1189587.0,272046.0,,,315705.0,147912.0,2938645.0,265.0,126.0,106452.0,5956.0,73856.0,,20161.0,12212.0,32611.0,92818.0,2831369.0,23391.0,773985.0,3568533.0,2256882.0,404895.0,7240.0,792058.0,10387.0,873.0,15377.0,298890.0,425192.0,135871.0,638938.0,146.0,37761.0,930334.0,1.0,137524.0,24778.0,194051.0,21984.0,652269.0,,8742381.0,31274.0,158222.0,1764485.0,271488.0,30603.0,594483.0,,1110025.0,429539.0,106395.0,3350431.0,1192056.0,8661.0,540202.0,,149.0,259252.0,,41295.0,584430.0,6119549.0,639174.0,52260.0,169341.0,784655.0,17461.0,460639.0,,,16999.0,39577.0,623478.0,23881.0,21283.0,1081073.0,118645.0,97631.0,972535.0,936234.0,1845.0,362126.0,495910.0,9723.0,2472812.0,9412.0,220953.0,171411.0,437895.0,40292.0,1252999.0,497211.0,614202.0,2666782.0,,31977.0,24755.0,5289057.0,1497400.0,178677.0,51501.0,167625.0,23207.0,24778.0,,18624.0,19584.0,218508.0,306772.0,2564378.0,18944.0,152417.0,16108.0,27071.0,810979.0,,248869.0,599764.0,24072775.0,,1526868.0,617043.0,212788.0,516453.0,237718.0,888597.0,,2781992.0,220612.0,829477.0,61486.0,,198297.0,3649338.0,,1904794.0,34406.0,9065236.0,17857.0,270146.0,,536430.0,85739.0,74846.0,204366.0,260958.0,742087.0,17029.0,235437.0,63902.0,102816.0,5531791.0,147934.0,,634370.0,374729.0,15068.0,37358.0,2027823.0,496619.0,
1967,193343.0,2536531.0,254510.0,,,307502.0,160636.0,2920890.0,236.0,808.0,89370.0,6516.0,48734.0,,25934.0,10713.0,38838.0,112259.0,3658562.0,28581.0,805298.0,2903700.0,2128644.0,388745.0,13211.0,790617.0,11238.0,623.0,12186.0,185225.0,597156.0,156245.0,731875.0,367.0,29520.0,953605.0,1.0,174506.0,29298.0,170837.0,25208.0,652938.0,,8142083.0,33668.0,140683.0,1817049.0,332487.0,36575.0,531221.0,,773570.0,409008.0,52803.0,4218046.0,1271426.0,8247.0,464775.0,,197.0,250161.0,,34950.0,753322.0,6388634.0,737812.0,70645.0,166856.0,976705.0,18987.0,462048.0,,,15792.0,52218.0,404428.0,33527.0,30152.0,1013437.0,122802.0,84879.0,938581.0,1491556.0,1495.0,307158.0,529778.0,11717.0,2451184.0,8634.0,363031.0,227165.0,413363.0,26682.0,1335644.0,570450.0,787632.0,2502977.0,,62107.0,28555.0,6079294.0,1160034.0,180062.0,48995.0,148657.0,,27676.0,,18990.0,24514.0,231034.0,312686.0,2157601.0,21174.0,167679.0,20502.0,19749.0,881876.0,,240974.0,362941.0,20680746.0,,1818491.0,611839.0,230574.0,560285.0,267085.0,754470.0,,2920819.0,324774.0,738542.0,58306.0,,213235.0,3746195.0,,2483480.0,62929.0,6672409.0,21821.0,300681.0,,472433.0,73576.0,26463.0,203500.0,273772.0,851431.0,8955.0,296399.0,50629.0,100440.0,6846062.0,152817.0,,715104.0,332092.0,10971.0,44953.0,1789817.0,678564.0,
1968,210508.0,3271987.0,226112.0,,,281085.0,133392.0,3290441.0,75.0,315.0,99115.0,6037.0,51516.0,,22938.0,12189.0,45316.0,120749.0,3020468.0,29728.0,922669.0,2616075.0,2194450.0,421655.0,22465.0,797835.0,9892.0,611.0,15926.0,169199.0,506062.0,148633.0,682556.0,234.0,31821.0,1115551.0,,185499.0,30946.0,209686.0,24271.0,700061.0,,11131868.0,38201.0,158577.0,2261780.0,243844.0,37605.0,530607.0,,898257.0,421101.0,47270.0,4051768.0,1360420.0,9604.0,462872.0,,233.0,261697.0,,37530.0,646104.0,5849217.0,848345.0,73622.0,168452.0,795069.0,17420.0,462635.0,,,17943.0,67997.0,306062.0,32195.0,37490.0,983693.0,137312.0,77186.0,1027835.0,1164716.0,1549.0,316405.0,584340.0,8330.0,2244637.0,9067.0,330062.0,184822.0,467404.0,20950.0,1000099.0,659934.0,842002.0,2234786.0,,24268.0,32642.0,7288203.0,1235392.0,201246.0,47678.0,178039.0,11720.0,24732.0,,18291.0,33424.0,320142.0,459143.0,2191060.0,25901.0,187816.0,22234.0,33375.0,778346.0,,284848.0,425176.0,20487255.0,,1865468.0,717370.0,218915.0,534894.0,305221.0,827897.0,,3292222.0,506407.0,869290.0,33283.0,,281865.0,3761375.0,,2019821.0,42503.0,6134801.0,17893.0,289844.0,,573481.0,72428.0,87274.0,217791.0,265113.0,960064.0,3682.0,324427.0,70300.0,105714.0,6502212.0,147234.0,,877566.0,383918.0,14368.0,39014.0,2259756.0,882967.0,
1969,197786.0,1626393.0,278669.0,,,307156.0,111620.0,3609916.0,60.0,5534.0,90306.0,7043.0,64895.0,,27482.0,19847.0,37576.0,140249.0,3062159.0,20579.0,1031594.0,3147147.0,2252385.0,365319.0,28193.0,553672.0,7923.0,797.0,15466.0,318426.0,699520.0,91477.0,706969.0,180.0,31343.0,1258516.0,,212977.0,29406.0,229659.0,29781.0,646503.0,,13061288.0,38560.0,295876.0,1358533.0,362173.0,31758.0,448467.0,,1336781.0,397350.0,69421.0,4435586.0,1409140.0,7667.0,427291.0,,,280244.0,,46052.0,958734.0,6230785.0,930099.0,81226.0,131151.0,886429.0,20783.0,434365.0,,,18143.0,81366.0,356658.0,35584.0,39583.0,920174.0,136070.0,63307.0,1238911.0,1074230.0,1008.0,264425.0,529322.0,11239.0,2087056.0,8653.0,258181.0,228475.0,658910.0,26657.0,912776.0,1176544.0,1049748.0,1567783.0,,25072.0,31864.0,8416698.0,1131478.0,197773.0,45382.0,151647.0,11604.0,21487.0,,18075.0,26265.0,381224.0,396901.0,2146691.0,26241.0,172976.0,20610.0,39207.0,886325.0,,275709.0,416577.0,18506697.0,,1910807.0,689349.0,254456.0,532218.0,315190.0,741401.0,41522.0,4134463.0,370052.0,823957.0,37679.0,,307169.0,3954983.0,,2100322.0,67556.0,4984843.0,19107.0,283888.0,,363859.0,70295.0,62273.0,312307.0,239227.0,960625.0,9335.0,326398.0,59401.0,121086.0,6119532.0,160715.0,,817563.0,384107.0,19467.0,41768.0,2386455.0,753783.0,
1970,204121.0,1883073.0,209908.0,,,330015.0,123353.0,3823852.0,180.0,3924.0,97122.0,7172.0,61620.0,,20714.0,25014.0,41056.0,122015.0,1993146.0,19770.0,1077422.0,3681983.0,2443972.0,384142.0,11048.0,746910.0,5477.0,809.0,20161.0,288442.0,680392.0,185755.0,882498.0,411.0,28286.0,1301598.0,,211918.0,23743.0,239096.0,26356.0,688768.0,,11988780.0,28923.0,367137.0,1678270.0,328704.0,43240.0,448937.0,,1485209.0,409783.0,64800.0,4770321.0,1461583.0,6488.0,512898.0,,115.0,291790.0,,54510.0,1115042.0,7703415.0,948220.0,92157.0,151474.0,861280.0,18646.0,453112.0,,,16205.0,78839.0,388763.0,23469.0,51075.0,1108320.0,120550.0,64132.0,1308994.0,540029.0,1145.0,289504.0,493783.0,10145.0,2047097.0,7924.0,172784.0,283391.0,625974.0,28868.0,1002055.0,1541201.0,784045.0,1866998.0,,37769.0,50470.0,8881168.0,995195.0,183009.0,26585.0,187900.0,11604.0,22983.0,,11884.0,19919.0,444440.0,396136.0,1797162.0,26422.0,170236.0,23802.0,56711.0,902852.0,,252539.0,348734.0,23091815.0,,2026815.0,758512.0,265461.0,517999.0,325805.0,966705.0,57327.0,5761455.0,428842.0,923484.0,39217.0,,311489.0,4173831.0,,3029302.0,52472.0,8552183.0,16353.0,260486.0,,378070.0,58703.0,76925.0,218586.0,221544.0,1107538.0,10052.0,339478.0,33895.0,117319.0,7205834.0,130675.0,,751555.0,370544.0,13753.0,78695.0,2787692.0,602032.0,156.0
