,Kenya,Bolivia (Plurinational State of),Peru,Belarus,Uruguay,United Kingdom,India,Armenia,Brazil,Nepal,Ethiopia,Denmark,Canada,United States of America,Greece,Afghanistan,Iraq,Austria,Netherlands,Japan,Eritrea,Bulgaria,Australia & New Zealand,Bangladesh,Iran (Islamic Republic of),Pakistan,Morocco,Kyrgyzstan,Argentina,Yugoslav SFR,Ukraine,Germany,Belgium,Czechoslovakia,Ethiopia PDR,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,China,Tunisia,Uzbekistan,Latvia,Cyprus,Portugal,Slovakia,Czechia,Chile,Hungary,Kazakhstan,Estonia,Australia,France,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,9912.0,-1.0,-1.0,-1.0,5689.0,-1.0,2225.0,-1.0,6018.0,4000.0,-1.0,10135.0,4357.0,5537.0,1910.0,3632.0,5365.0,-1.0,8850.0,2982.0,-1.0,3859.0,6009.0,5230.0,8750.0,5798.0,2500.0,-1.0,6900.0,1063.0,-1.0,3391.0,-1.0,3052.0,5000.0,9937.0,-1.0,7437.0,2347.0,4317.0,-1.0,5745.0,9633.0,5714.0,10000.0,-1.0,-1.0,3776.0,2952.0,-1.0,-1.0,7792.0,7389.0,-1.0,-1.0,5087.0,8865.0,-1.0,5495.0,5714.0,-1.0,5294.0,10270.0,8041.0,6500.0
1962,10027.0,-1.0,-1.0,-1.0,6642.0,-1.0,2342.0,-1.0,7875.0,4063.0,-1.0,7388.0,6972.0,7204.0,1743.0,3846.0,5540.0,-1.0,11110.0,3116.0,-1.0,2123.0,7474.0,5124.0,8750.0,4562.0,4545.0,-1.0,6981.0,856.0,-1.0,3787.0,-1.0,3186.0,5000.0,9583.0,-1.0,7866.0,2376.0,3836.0,-1.0,6411.0,9748.0,5500.0,10000.0,-1.0,-1.0,3806.0,2564.0,-1.0,-1.0,8116.0,5483.0,-1.0,-1.0,6652.0,8397.0,-1.0,4954.0,5500.0,-1.0,6552.0,12555.0,7640.0,6497.0
1963,9877.0,-1.0,-1.0,-1.0,5288.0,-1.0,2258.0,-1.0,3645.0,4118.0,-1.0,9616.0,7878.0,6142.0,1782.0,3846.0,5264.0,-1.0,8645.0,3379.0,-1.0,2757.0,7432.0,4845.0,8750.0,6275.0,7143.0,-1.0,6376.0,629.0,-1.0,3764.0,-1.0,3151.0,5000.0,10609.0,-1.0,7606.0,2373.0,4787.0,-1.0,5606.0,9814.0,5750.0,10000.0,-1.0,-1.0,4030.0,2593.0,-1.0,-1.0,9663.0,7628.0,-1.0,-1.0,6307.0,7230.0,-1.0,5250.0,5750.0,-1.0,6207.0,14401.0,7809.0,6001.0
1964,10000.0,-1.0,-1.0,-1.0,4719.0,-1.0,1898.0,-1.0,7965.0,3889.0,-1.0,10668.0,6447.0,5422.0,1583.0,3846.0,5208.0,-1.0,11579.0,2032.0,-1.0,4087.0,9407.0,4430.0,8750.0,5025.0,6000.0,-1.0,6337.0,726.0,-1.0,3659.0,-1.0,3731.0,4995.0,12276.0,-1.0,7933.0,2139.0,5075.0,-1.0,5816.0,10129.0,5333.0,7500.0,-1.0,-1.0,4030.0,3395.0,-1.0,-1.0,7865.0,4966.0,-1.0,-1.0,8741.0,6334.0,-1.0,4400.0,5333.0,-1.0,6731.0,13950.0,8736.0,6401.0
1965,10000.0,-1.0,-1.0,-1.0,6318.0,-1.0,2419.0,-1.0,6041.0,3947.0,-1.0,9430.0,7912.0,8008.0,1474.0,4060.0,7416.0,-1.0,10229.0,3893.0,-1.0,3146.0,8579.0,4263.0,8750.0,6275.0,5000.0,-1.0,7516.0,620.0,-1.0,4404.0,-1.0,3356.0,5000.0,13185.0,-1.0,9179.0,2517.0,6848.0,-1.0,6320.0,9468.0,5556.0,10500.0,-1.0,-1.0,3806.0,3659.0,-1.0,-1.0,7865.0,10330.0,-1.0,-1.0,6192.0,4612.0,-1.0,6772.0,5556.0,-1.0,5833.0,13887.0,8457.0,6028.0
1966,10000.0,-1.0,-1.0,-1.0,5553.0,-1.0,1921.0,-1.0,6296.0,4000.0,-1.0,9309.0,7207.0,5699.0,1310.0,4274.0,7501.0,-1.0,10646.0,2167.0,-1.0,5533.0,10741.0,4155.0,10000.0,5025.0,5556.0,-1.0,5677.0,455.0,-1.0,3991.0,-1.0,2887.0,5000.0,15000.0,-1.0,9400.0,3622.0,6912.0,-1.0,7486.0,8917.0,6250.0,11000.0,-1.0,-1.0,3832.0,3414.0,-1.0,-1.0,8457.0,9032.0,-1.0,-1.0,9977.0,6295.0,-1.0,6812.0,6250.0,-1.0,6286.0,14084.0,7797.0,5701.0
1967,10000.0,-1.0,-1.0,-1.0,6112.0,-1.0,1738.0,-1.0,6414.0,4048.0,-1.0,6414.0,5752.0,6368.0,1784.0,4274.0,7893.0,-1.0,11919.0,3654.0,-1.0,4848.0,6845.0,5112.0,10000.0,4714.0,4000.0,-1.0,7206.0,241.0,-1.0,4503.0,-1.0,4119.0,5000.0,-1.0,-1.0,9219.0,3117.0,6205.0,-1.0,6934.0,9120.0,6500.0,10500.0,-1.0,-1.0,3806.0,4089.0,-1.0,-1.0,8642.0,12299.0,-1.0,-1.0,4831.0,5987.0,-1.0,5954.0,6500.0,-1.0,6667.0,20303.0,8906.0,6701.0
1968,10000.0,-1.0,-1.0,-1.0,5237.0,-1.0,2465.0,-1.0,6332.0,4091.0,-1.0,2366.0,8098.0,8096.0,1167.0,4437.0,7726.0,-1.0,9743.0,4878.0,-1.0,2399.0,8015.0,4733.0,10000.0,5577.0,6481.0,-1.0,9492.0,692.0,-1.0,4395.0,-1.0,3705.0,5048.0,-1.0,-1.0,7977.0,3045.0,4557.0,-1.0,7498.0,9919.0,6222.0,7650.0,-1.0,-1.0,3191.0,3974.0,-1.0,-1.0,9383.0,7703.0,-1.0,-1.0,6934.0,5557.0,-1.0,5575.0,6222.0,-1.0,7500.0,17247.0,9017.0,6201.0
1969,10000.0,-1.0,8000.0,-1.0,6912.0,-1.0,1940.0,-1.0,6992.0,4130.0,-1.0,4447.0,7521.0,8416.0,1444.0,4487.0,7098.0,-1.0,13551.0,-1.0,-1.0,2839.0,8663.0,4863.0,10000.0,4433.0,7308.0,-1.0,6300.0,356.0,-1.0,4753.0,-1.0,5126.0,5111.0,-1.0,-1.0,10778.0,2912.0,5208.0,-1.0,6028.0,10377.0,6977.0,8250.0,-1.0,-1.0,-1.0,4122.0,-1.0,-1.0,8148.0,9622.0,-1.0,-1.0,7453.0,6500.0,-1.0,5711.0,6977.0,-1.0,7059.0,20925.0,9595.0,6600.0
1970,10000.0,-1.0,15667.0,-1.0,6204.0,-1.0,2603.0,-1.0,6989.0,4167.0,-1.0,14848.0,9087.0,6511.0,1000.0,4274.0,8241.0,-1.0,13493.0,-1.0,-1.0,3460.0,9201.0,4863.0,10000.0,5379.0,10506.0,-1.0,9800.0,451.0,-1.0,4238.0,-1.0,4041.0,5175.0,-1.0,-1.0,14963.0,3289.0,5376.0,-1.0,5124.0,11881.0,7111.0,4400.0,-1.0,-1.0,-1.0,3969.0,-1.0,-1.0,12346.0,9672.0,-1.0,-1.0,7393.0,6039.0,-1.0,6612.0,7111.0,-1.0,6091.0,24712.0,10514.0,5989.0
