,Indonesia,Bhutan,Trinidad and Tobago,Dominica,Sri Lanka,Togo,Melanesia,United Republic of Tanzania,Malaysia,Grenada,Nepal,Ethiopia,Kenya,Ethiopia PDR,Lao People's Democratic Republic,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Madagascar,Saint Lucia,Malawi,India,Honduras
1961,4714.0,4217.0,,,1429.0,,,2000.0,4231.0,,,,,,3000.0,,,,,,,600.0,
1962,3556.0,4286.0,,,1429.0,,,2000.0,4000.0,,,,,,3000.0,,,,,,,714.0,
1963,6000.0,4405.0,,,1429.0,,,2000.0,4286.0,,,,,,2833.0,,,,,,,702.0,
1964,7529.0,4398.0,,,1429.0,,,2000.0,4167.0,,,,,,3133.0,,,,,,,727.0,
1965,7000.0,4503.0,,,1429.0,,,2000.0,4286.0,,,,,,3233.0,,,,,,,702.0,
1966,5800.0,4503.0,,,1429.0,,,2000.0,4200.0,,,,,,3143.0,,,,,,,533.0,
1967,5773.0,4505.0,,,1429.0,,,2000.0,4200.0,,,,,,3286.0,,,,,,,411.0,
1968,5746.0,4505.0,,,1429.0,,,2280.0,4200.0,,,,,,2857.0,,,,,,,400.0,
1969,5099.0,4505.0,,,1429.0,,,2570.0,4200.0,,,,,,3429.0,,,,,,,405.0,
1970,5340.0,4505.0,,,1429.0,,,2150.0,4273.0,,,,,,3167.0,,,,,,,400.0,
1971,5003.0,4516.0,,,1429.0,,,2010.0,4615.0,,,,,,3429.0,,,,,,,469.0,
1972,5496.0,4516.0,,,1429.0,,,1610.0,4182.0,,,,,,3429.0,,,778.0,,,,382.0,
1973,6238.0,4574.0,,,1429.0,,,3364.0,4200.0,,,,,,3429.0,,,1295.0,,,,422.0,
1974,5110.0,4574.0,,,1429.0,,,3280.0,4200.0,,,,,,3429.0,,,1682.0,,,,538.0,
1975,5283.0,4681.0,,,2222.0,,,4040.0,4200.0,,,,,,2667.0,,,1944.0,,,,521.0,
1976,5750.0,4688.0,,,1429.0,,,2440.0,4200.0,,,,,,3333.0,,,1944.0,,,,454.0,
1977,6992.0,4694.0,,,1429.0,,,2000.0,4200.0,,,,,,3333.0,,,1944.0,,,,471.0,
1978,6122.0,4660.0,,,1429.0,,,2000.0,4200.0,,,,2500.0,,3667.0,,,1952.0,,,,623.0,
1979,6330.0,4673.0,,,1429.0,,,2800.0,4200.0,,,,3333.0,2857.0,3429.0,,,1944.0,,,,596.0,
1980,6481.0,4685.0,,,1956.0,,,2000.0,4333.0,,,,2500.0,2857.0,3250.0,,,2148.0,,,,627.0,
1981,6683.0,4746.0,,,1910.0,,3125.0,3000.0,4333.0,,,,2500.0,2857.0,3111.0,3125.0,,2107.0,,,,934.0,
1982,5129.0,4704.0,,,1943.0,,2500.0,3400.0,4384.0,,,,2500.0,2857.0,3000.0,2500.0,,2302.0,,,,779.0,
1983,5130.0,4746.0,,,1944.0,,3000.0,2000.0,4359.0,,,,2500.0,2857.0,2909.0,3000.0,,2604.0,,,,790.0,
1984,5994.0,3424.0,,,2008.0,,4000.0,1600.0,4357.0,,,,2500.0,3333.0,3091.0,4000.0,,2210.0,,,,813.0,
1985,4914.0,4762.0,3378.0,,2023.0,,5588.0,1200.0,4313.0,6020.0,1846.0,,2500.0,3000.0,3333.0,5588.0,2900.0,2241.0,,2500.0,3125.0,851.0,
1986,4519.0,5385.0,3459.0,,1986.0,,4667.0,1400.0,4333.0,6962.0,1846.0,,2500.0,2857.0,3333.0,4667.0,3067.0,2301.0,,2500.0,3125.0,835.0,5333.0
1987,4790.0,6212.0,3514.0,,1992.0,,5294.0,3000.0,4316.0,7045.0,2000.0,,2500.0,2857.0,3000.0,5294.0,3367.0,2567.0,3333.0,2833.0,3125.0,780.0,5333.0
1988,4460.0,6087.0,3514.0,15000.0,2079.0,,5067.0,2000.0,4350.0,5048.0,2256.0,,2500.0,2857.0,2500.0,5067.0,4028.0,2744.0,3333.0,2833.0,3125.0,723.0,5333.0
