,Paraguay,Saint Kitts and Nevis,Kenya,Timor-Leste,Peru,"China, Taiwan Province of",Mozambique,Niue,Myanmar,Burkina Faso,Malaysia,India,Melanesia,Armenia,Dominican Republic,Philippines,South Sudan,Brazil,Australia & New Zealand,Thailand,Ethiopia,Indonesia,Pakistan,Liberia,Spain,Zambia,Zimbabwe,Iran (Islamic Republic of),Malawi,Venezuela (Bolivarian Republic of),Cyprus,Papua New Guinea,Antigua and Barbuda,New Zealand,Yemen,Guyana,Seychelles,Bahamas,Bangladesh,French Polynesia,Tonga,Wallis and Futuna Islands,Senegal,Madagascar,French Guiana,Suriname,Kiribati,Costa Rica,Guinea,Cuba,Guadeloupe,Fiji,Rwanda,Morocco,Mexico,Ecuador,Egypt,Israel,Réunion,Vanuatu,China,Tunisia,Côte d'Ivoire,Colombia,Polynesia,Sudan (former),Jamaica,United Republic of Tanzania,Saint Lucia,Samoa,Australia,Jordan,Micronesia,Tuvalu,"China, mainland",Nauru,Haiti,Barbados
1961,-1.0,-1.0,40000.0,40000.0,-1.0,88064.0,59259.0,10000.0,-1.0,-1.0,-1.0,65556.0,79429.0,-1.0,-1.0,90678.0,-1.0,-1.0,121538.0,39683.0,-1.0,60084.0,76486.0,46875.0,354833.0,58182.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,68462.0,-1.0,30612.0,69444.0,-1.0,92308.0,-1.0,76923.0,-1.0,-1.0,27333.0,-1.0,-1.0,146875.0,-1.0,-1.0,66667.0,-1.0,35000.0,-1.0,-1.0,134143.0,-1.0,-1.0,-1.0,-1.0,71429.0,55398.0,-1.0,14493.0,-1.0,32801.0,-1.0,-1.0,26250.0,-1.0,15116.0,-1.0,-1.0,178125.0,-1.0,53509.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,40000.0,40000.0,-1.0,91378.0,59259.0,10000.0,-1.0,-1.0,-1.0,64681.0,79096.0,-1.0,-1.0,90857.0,-1.0,-1.0,112718.0,39683.0,-1.0,60000.0,103274.0,46875.0,214900.0,59091.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,60154.0,-1.0,31837.0,70556.0,-1.0,97692.0,-1.0,78571.0,-1.0,-1.0,30000.0,-1.0,-1.0,145455.0,-1.0,-1.0,75000.0,-1.0,35000.0,-1.0,62500.0,151351.0,-1.0,-1.0,-1.0,-1.0,70270.0,49837.0,-1.0,14493.0,-1.0,33074.0,-1.0,-1.0,26250.0,-1.0,15385.0,-1.0,-1.0,175758.0,-1.0,47500.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,40000.0,40000.0,-1.0,95679.0,59259.0,12500.0,-1.0,-1.0,-1.0,64681.0,78889.0,-1.0,-1.0,90909.0,-1.0,-1.0,162727.0,39683.0,-1.0,60417.0,101885.0,46364.0,163304.0,55000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,81883.0,-1.0,32653.0,70556.0,-1.0,97692.0,-1.0,80000.0,-1.0,-1.0,30000.0,-1.0,-1.0,144118.0,-1.0,-1.0,79167.0,-1.0,35000.0,-1.0,66667.0,155564.0,-1.0,-1.0,-1.0,-1.0,70000.0,52486.0,-1.0,14493.0,-1.0,33468.0,-1.0,-1.0,24444.0,-1.0,15909.0,-1.0,-1.0,173529.0,-1.0,50000.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,40000.0,40000.0,-1.0,93984.0,62963.0,12500.0,-1.0,-1.0,-1.0,67234.0,79176.0,-1.0,-1.0,90678.0,-1.0,-1.0,199157.0,39683.0,-1.0,60744.0,62748.0,46667.0,209440.0,55833.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,97771.0,-1.0,33878.0,67368.0,-1.0,92143.0,-1.0,81250.0,-1.0,-1.0,32500.0,-1.0,-1.0,142857.0,-1.0,-1.0,70350.0,-1.0,35250.0,-1.0,66667.0,162389.0,-1.0,-1.0,-1.0,-1.0,71429.0,48993.0,-1.0,14493.0,-1.0,33553.0,-1.0,-1.0,24444.0,-1.0,15977.0,-1.0,-1.0,171429.0,-1.0,46094.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,40000.0,40000.0,-1.0,110989.0,62963.0,15000.0,-1.0,-1.0,-1.0,67089.0,78649.0,-1.0,-1.0,91389.0,-1.0,-1.0,241687.0,40413.0,-1.0,61570.0,63000.0,46471.0,173267.0,56667.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,134518.0,-1.0,34694.0,67368.0,-1.0,91765.0,-1.0,82353.0,-1.0,-1.0,34286.0,-1.0,-1.0,144444.0,-1.0,-1.0,79720.0,-1.0,35000.0,-1.0,66667.0,174878.0,-1.0,-1.0,-1.0,-1.0,70000.0,51219.0,-1.0,14493.0,-1.0,33796.0,-1.0,-1.0,25556.0,-1.0,16231.0,-1.0,-1.0,177778.0,-1.0,47015.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,40000.0,40000.0,-1.0,100315.0,62963.0,-1.0,-1.0,-1.0,-1.0,67708.0,77083.0,-1.0,-1.0,93056.0,-1.0,-1.0,200825.0,40714.0,-1.0,61475.0,64130.0,47059.0,117333.0,57500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,135464.0,-1.0,35510.0,64500.0,-1.0,90696.0,-1.0,83333.0,-1.0,-1.0,35238.0,-1.0,-1.0,145946.0,-1.0,-1.0,78310.0,-1.0,33333.0,-1.0,64615.0,181615.0,-1.0,-1.0,-1.0,-1.0,70213.0,36914.0,-1.0,14000.0,-1.0,34237.0,-1.0,-1.0,25556.0,-1.0,16667.0,-1.0,-1.0,178378.0,-1.0,33333.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,40000.0,40000.0,-1.0,124314.0,64286.0,-1.0,-1.0,-1.0,-1.0,68367.0,77451.0,-1.0,-1.0,93094.0,-1.0,-1.0,171688.0,40212.0,-1.0,61885.0,64328.0,47143.0,107260.0,54615.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,114156.0,-1.0,36327.0,64500.0,-1.0,124132.0,-1.0,84211.0,-1.0,-1.0,36190.0,-1.0,-1.0,147368.0,-1.0,-1.0,83777.0,-1.0,36735.0,-1.0,65574.0,171500.0,-1.0,-1.0,-1.0,-1.0,70000.0,38924.0,-1.0,14667.0,-1.0,36584.0,-1.0,-1.0,24000.0,-1.0,18315.0,-1.0,-1.0,178947.0,-1.0,33333.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,40000.0,36909.0,-1.0,119627.0,64286.0,-1.0,-1.0,-1.0,-1.0,68800.0,72273.0,-1.0,-1.0,92500.0,-1.0,-1.0,177908.0,40714.0,-1.0,62195.0,62951.0,45946.0,112571.0,52857.0,-1.0,-1.0,-1.0,-1.0,-1.0,97385.0,-1.0,118301.0,-1.0,37143.0,65000.0,-1.0,129118.0,-1.0,85000.0,-1.0,-1.0,35455.0,-1.0,-1.0,148718.0,-1.0,-1.0,82225.0,-1.0,30556.0,-1.0,65000.0,169410.0,-1.0,-1.0,-1.0,-1.0,69811.0,33417.0,-1.0,14375.0,-1.0,37990.0,-1.0,-1.0,25000.0,-1.0,19928.0,-1.0,-1.0,179487.0,-1.0,28286.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,40000.0,37545.0,-1.0,91243.0,64286.0,15000.0,-1.0,-1.0,-1.0,68217.0,63333.0,-1.0,-1.0,92857.0,-1.0,-1.0,117672.0,40476.0,-1.0,63008.0,62879.0,46316.0,77079.0,54286.0,-1.0,-1.0,-1.0,-1.0,-1.0,95429.0,-1.0,68522.0,-1.0,37959.0,65000.0,-1.0,120222.0,-1.0,85714.0,-1.0,-1.0,36364.0,-1.0,-1.0,150000.0,-1.0,-1.0,77060.0,-1.0,37193.0,-1.0,65359.0,151136.0,-1.0,-1.0,-1.0,-1.0,70000.0,34126.0,-1.0,14706.0,-1.0,38007.0,-1.0,-1.0,25000.0,-1.0,20863.0,-1.0,-1.0,185000.0,-1.0,30476.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,40000.0,38309.0,78711.0,112613.0,67857.0,14667.0,-1.0,-1.0,-1.0,67843.0,65584.0,-1.0,-1.0,92941.0,-1.0,-1.0,217348.0,40714.0,-1.0,63306.0,77930.0,46667.0,154096.0,55714.0,-1.0,-1.0,-1.0,-1.0,-1.0,99304.0,-1.0,97992.0,-1.0,38980.0,65500.0,-1.0,119600.0,-1.0,86364.0,-1.0,-1.0,38636.0,-1.0,-1.0,151220.0,-1.0,-1.0,51760.0,-1.0,37034.0,-1.0,64935.0,137072.0,-1.0,-1.0,-1.0,-1.0,70175.0,33562.0,-1.0,14500.0,-1.0,38190.0,-1.0,-1.0,25000.0,-1.0,21505.0,-1.0,-1.0,185366.0,-1.0,28696.0,-1.0,-1.0,-1.0
