,Israel,Japan,Switzerland,Australia,Greece,France,Republic of Korea,Italy,Slovenia,Montenegro,Germany,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),China,United States of America,Australia & New Zealand,Bulgaria,"China, mainland",Chile,Cyprus,Canada,Spain,Kyrgyzstan,New Zealand
1961,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1962,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1963,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1964,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1965,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1966,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1967,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1968,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1969,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1970,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,2000.0,-1.0,-1.0,,,,,,2000.0
1971,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,2500.0,-1.0,-1.0,,,,,,2500.0
1972,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,2845.0,-1.0,-1.0,,,,,,2845.0
1973,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,3638.0,-1.0,-1.0,,,,,,3638.0
1974,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,5608.0,-1.0,-1.0,,,,,,5608.0
1975,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,4415.0,-1.0,-1.0,,,,,,4415.0
1976,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,6076.0,-1.0,-1.0,,,,,,6076.0
1977,,,-1.0,,,76.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,7965.0,-1.0,-1.0,,,,,,7965.0
1978,,,-1.0,,,652.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,9576.0,-1.0,-1.0,,,,,,9576.0
1979,,,-1.0,,,1500.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,18650.0,-1.0,-1.0,,,,,,18650.0
1980,,,-1.0,80.0,42.0,3800.0,,,,,-1.0,-1.0,,-1.0,,-1.0,4800.0,18045.0,-1.0,-1.0,,,,,,17965.0
1981,,,-1.0,140.0,258.0,5900.0,,,,,-1.0,-1.0,,-1.0,,-1.0,6260.0,29928.0,-1.0,-1.0,,,,,,29788.0
1982,,,-1.0,200.0,643.0,7900.0,,,,,-1.0,-1.0,,-1.0,,-1.0,14060.0,25553.0,-1.0,-1.0,10.0,,,,,25353.0
1983,,,-1.0,277.0,1023.0,9300.0,,,,,-1.0,-1.0,,-1.0,,-1.0,12200.0,35581.0,-1.0,-1.0,35.0,,,,,35304.0
1984,,,-1.0,311.0,1502.0,15300.0,,23150.0,,,-1.0,-1.0,,-1.0,,-1.0,16330.0,90311.0,-1.0,-1.0,200.0,,,,,90000.0
1985,,36300.0,-1.0,502.0,6082.0,13700.0,,22550.0,,,-1.0,-1.0,,-1.0,,-1.0,19960.0,105502.0,-1.0,-1.0,450.0,2.0,,,,105000.0
1986,,33800.0,-1.0,968.0,4358.0,22600.0,,49300.0,,,-1.0,-1.0,,-1.0,,-1.0,22000.0,140968.0,-1.0,-1.0,1280.0,2.0,,,,140000.0
1987,,34600.0,-1.0,1567.0,2500.0,31400.0,100.0,115320.0,,,-1.0,-1.0,200.0,-1.0,,-1.0,26310.0,204567.0,-1.0,-1.0,2950.0,4.0,,700.0,,203000.0
1988,1200.0,47200.0,-1.0,2462.0,8010.0,38400.0,2900.0,184200.0,,,-1.0,-1.0,500.0,-1.0,,-1.0,29700.0,232462.0,-1.0,-1.0,8485.0,5.0,113.0,1000.0,,230000.0
1989,1200.0,43700.0,-1.0,3261.0,11203.0,48700.0,4000.0,240390.0,,,-1.0,-1.0,2679.0,-1.0,,-1.0,36300.0,193261.0,-1.0,-1.0,25700.0,8.0,225.0,3000.0,,190000.0
1990,1533.0,69100.0,526.0,3385.0,25186.0,54380.0,5460.0,321820.0,,,-1.0,-1.0,2515.0,-1.0,1.0,-1.0,35380.0,283385.0,-1.0,-1.0,37300.0,15.0,410.0,6000.0,,280000.0
1991,1300.0,45700.0,110.0,3323.0,38301.0,59348.0,6420.0,309350.0,,,-1.0,-1.0,5025.0,-1.0,4.0,-1.0,26850.0,236323.0,-1.0,-1.0,55000.0,25.0,200.0,1151.0,,233000.0
1992,1341.0,53800.0,498.0,4067.0,50353.0,79060.0,8263.0,374457.0,-1.0,,-1.0,-1.0,10048.0,-1.0,50.0,-1.0,47450.0,265067.0,-1.0,-1.0,85000.0,140.0,220.0,10748.0,200.0,261000.0
1993,1400.0,52100.0,450.0,5500.0,46032.0,82926.0,8538.0,310463.0,-1.0,,-1.0,-1.0,10138.0,-1.0,500.0,-1.0,44630.0,239500.0,-1.0,-1.0,95000.0,300.0,220.0,9294.0,200.0,234000.0
1994,1500.0,52900.0,300.0,4500.0,45000.0,75281.0,8741.0,344158.0,-1.0,,-1.0,7.0,9239.0,-1.0,2000.0,-1.0,35740.0,225500.0,-1.0,-1.0,115500.0,400.0,310.0,11234.0,200.0,221000.0
1995,1530.0,48800.0,388.0,4280.0,40650.0,74525.0,12184.0,314032.0,-1.0,,-1.0,72.0,8854.0,-1.0,3000.0,-1.0,34300.0,227280.0,-1.0,-1.0,115000.0,450.0,340.0,9332.0,200.0,223000.0
1996,1500.0,43900.0,695.0,3422.0,55660.0,72172.0,12860.0,344000.0,-1.0,,-1.0,85.0,10546.0,-1.0,4000.0,-1.0,28576.0,231422.0,-1.0,-1.0,145000.0,400.0,180.0,8061.0,100.0,228000.0
1997,1595.0,39400.0,317.0,3381.0,40900.0,71270.0,14170.0,254903.0,-1.0,,-1.0,190.0,10438.0,-1.0,5000.0,-1.0,31751.0,248381.0,-1.0,-1.0,140000.0,457.0,150.0,8811.0,153.0,245000.0
1998,1600.0,36700.0,24.0,3850.0,43610.0,68452.0,14700.0,265200.0,-1.0,,-1.0,700.0,5053.0,-1.0,10000.0,-1.0,33203.0,243850.0,-1.0,-1.0,146000.0,450.0,250.0,6716.0,60.0,240000.0
1999,1821.0,41100.0,391.0,3197.0,58000.0,73082.0,13188.0,333596.0,-1.0,,-1.0,840.0,10895.0,-1.0,20000.0,-1.0,24494.0,220197.0,-1.0,-1.0,105000.0,390.0,210.0,8543.0,150.0,217000.0
2000,1578.0,44400.0,400.0,5000.0,73600.0,83705.0,13825.0,345692.0,-1.0,,-1.0,1400.0,8939.0,25.0,17948.0,850000.0,30844.0,266638.0,-1.0,850000.0,115500.0,350.0,230.0,14285.0,300.0,261638.0
2001,1900.0,41800.0,345.0,4000.0,40000.0,78894.0,14000.0,329300.0,-1.0,,-1.0,2350.0,7611.0,25.0,19630.0,950000.0,23406.0,274702.0,-1.0,950000.0,135000.0,400.0,130.0,13200.0,350.0,270702.0
2002,2900.0,39700.0,250.0,3752.0,55000.0,77401.0,13500.0,379383.0,-1.0,,-1.0,2500.0,11163.0,25.0,21000.0,1000000.0,23678.0,252247.0,-1.0,1000000.0,128000.0,290.0,130.0,13400.0,500.0,248495.0
2003,4010.0,37400.0,93.0,2930.0,63927.0,74135.0,12000.0,322800.0,250.0,,-1.0,5500.0,10549.0,25.0,25000.0,1050000.0,21772.0,240930.0,8.0,1050000.0,125000.0,70.0,100.0,10000.0,350.0,238000.0
2004,5160.0,29100.0,374.0,3023.0,58000.0,77815.0,10000.0,429186.0,240.0,,-1.0,4000.0,10886.0,25.0,35000.0,1100000.0,24222.0,312023.0,21.0,1100000.0,145000.0,85.0,160.0,11390.0,400.0,309000.0
2005,4665.0,36400.0,374.0,4222.0,70100.0,76635.0,8509.0,415052.0,238.0,,-1.0,8000.0,11293.0,24.0,30000.0,1100000.0,33747.0,322222.0,40.0,1100000.0,150000.0,155.0,150.0,10931.0,300.0,318000.0
2006,5524.0,32500.0,321.0,5625.0,87200.0,76062.0,11551.0,434650.0,144.0,-1.0,-1.0,10962.0,12000.0,24.0,32339.0,1150000.0,21228.0,335009.0,40.0,1150000.0,170000.0,150.0,80.0,18463.0,400.0,329384.0
