,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Democratic Republic of the Congo,Belize,Ethiopia,Guyana,South Africa,Lebanon,Tajikistan,Tunisia,Brazil,Paraguay,Niger,Serbia,Slovenia,Congo,Argentina,Colombia,Spain,India,Jamaica,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,Bolivia (Plurinational State of),Montenegro,Dominican Republic,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",New Zealand,Peru,Rwanda,Lithuania,Netherlands,Lesotho,Bhutan,Turkmenistan,Norway,Philippines,Libya,United Republic of Tanzania,Burundi,Belgium,Luxembourg,Czechia,Bangladesh,Italy,Germany,Uganda,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Morocco,Chile,Uruguay,Hungary,Ireland,Egypt,Malawi,Algeria,Slovakia,Israel,Japan,Belarus,Denmark,Georgia,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Yemen,Mauritania,Russian Federation,Austria,Venezuela (Bolivarian Republic of),Romania,Latvia,Ukraine,Sierra Leone,Croatia,Bulgaria,Myanmar,China
1961,1969000.0,,34524.0,23066.0,208800.0,1800.0,-1.0,,85.0,7000.0,300.0,,,-1.0,3500.0,-1.0,,,3200.0,19056.0,39000.0,37860.0,1176809.0,1600.0,25991.0,-1.0,,26830.0,2550.0,,6853.0,122000.0,,,12820.0,27888.0,11900.0,780.0,53000.0,3000.0,,910.0,,7742.0,10200.0,-1.0,,135972.0,3010000.0,11458.0,21340.0,42400.0,,23909.0,16871.0,-1.0,,132.0,-1.0,300.0,10000.0,51700.0,,,,38000.0,14327.0,40581.0,17000.0,441.0,9180.0,,-1.0,3362.0,,,63000.0,12400.0,580.0,60530.0,1300.0,665.0,-1.0,5807.0,,1405.0,13900.0,,4500.0,,14568.0,,,,-1.0,,1003.0,3271.0,88600.0,,,1440.0,,12576.0,13783.0,3010000.0
1962,4323000.0,,34005.0,22662.0,214100.0,1800.0,-1.0,,85.0,8000.0,300.0,,,-1.0,3500.0,-1.0,,,3400.0,22471.0,42087.0,31205.0,1258150.0,1650.0,9572.0,-1.0,,20032.0,2900.0,,5425.0,123900.0,,,10140.0,32802.0,9200.0,1079.0,54000.0,3000.0,,920.0,,6662.0,10700.0,-1.0,,138805.0,3300000.0,11343.0,21710.0,50378.0,,16469.0,12000.0,-1.0,,50.0,-1.0,300.0,10000.0,52900.0,,,,40000.0,13798.0,48105.0,10000.0,441.0,9250.0,,-1.0,2800.0,,,54000.0,11220.0,630.0,83933.0,1600.0,766.0,-1.0,6000.0,,1630.0,13300.0,,3500.0,,12545.0,,,,-1.0,,890.0,4529.0,152006.0,,,1500.0,,13170.0,11014.0,3300000.0
1963,7768000.0,,31494.0,19425.0,208400.0,1800.0,-1.0,,85.0,7000.0,300.0,,,-1.0,3600.0,-1.0,,,3500.0,19350.0,51799.0,30901.0,1325327.0,1750.0,7145.0,-1.0,,21530.0,2650.0,,6773.0,135500.0,,,8050.0,40863.0,7505.0,967.0,65000.0,3000.0,,920.0,,7007.0,13500.0,-1.0,,127474.0,2800000.0,12069.0,22990.0,48360.0,,20043.0,11000.0,-1.0,,23.0,-1.0,400.0,11618.0,57300.0,,,,40000.0,11492.0,46737.0,16000.0,374.0,6802.0,,-1.0,1700.0,,,53000.0,10130.0,630.0,91479.0,1500.0,473.0,-1.0,6000.0,,925.0,9290.0,,3000.0,,16000.0,,,,-1.0,,1176.0,4357.0,139200.0,,,1500.0,,22775.0,24921.0,2800000.0
1964,7750000.0,,31131.0,19020.0,223800.0,1800.0,-1.0,,167.0,8000.0,375.0,,,-1.0,3500.0,-1.0,,,3700.0,16025.0,47693.0,25567.0,1300300.0,1650.0,28745.0,-1.0,,30715.0,4000.0,,6991.0,126500.0,,,7080.0,45287.0,6465.0,779.0,66000.0,3000.0,,900.0,,7085.0,12700.0,-1.0,,107240.0,2700000.0,12111.0,23650.0,30144.0,,19492.0,11000.0,-1.0,,,-1.0,300.0,15000.0,63000.0,,,,50000.0,9837.0,46887.0,15000.0,1100.0,7205.0,,-1.0,1900.0,,,50000.0,6070.0,750.0,83308.0,1600.0,922.0,-1.0,5720.0,,1010.0,8400.0,,3000.0,,15783.0,,,,-1.0,,1113.0,2725.0,94400.0,,,1600.0,,36237.0,23045.0,2700000.0
1965,4623000.0,,32468.0,21448.0,203200.0,1800.0,-1.0,,123.0,9000.0,450.0,,,-1.0,3700.0,-1.0,,,3800.0,20355.0,45042.0,29195.0,1121800.0,1400.0,29668.0,-1.0,,23836.0,5000.0,,6448.0,127700.0,,,6170.0,42984.0,6624.0,1142.0,68000.0,3000.0,,910.0,,7115.0,12600.0,-1.0,,94965.0,2700000.0,11020.0,19690.0,48215.0,,16020.0,13200.0,-1.0,,,-1.0,300.0,22736.0,66500.0,,,,50000.0,9268.0,42581.0,19000.0,934.0,7024.0,,-1.0,2400.0,,,50000.0,7258.0,750.0,85253.0,1600.0,825.0,-1.0,5690.0,,1815.0,7910.0,,2500.0,,13800.0,,,,-1.0,,1070.0,2891.0,98862.0,,,1600.0,,51209.0,15455.0,2700000.0
1966,3763000.0,,35010.0,23361.0,218900.0,1800.0,-1.0,,140.0,9000.0,490.0,,,-1.0,3850.0,-1.0,,,3900.0,19832.0,51979.0,27200.0,1109300.0,2700.0,30797.0,-1.0,,24806.0,4500.0,,6141.0,128100.0,,,4770.0,44088.0,5698.0,1032.0,79000.0,3000.0,,910.0,,7208.0,13600.0,-1.0,,104003.0,2400000.0,11649.0,21015.0,74000.0,,14182.0,12800.0,-1.0,,,-1.0,375.0,19000.0,68430.0,,,,55000.0,9072.0,35691.0,14000.0,776.0,5187.0,,-1.0,2200.0,,,55000.0,10722.0,756.0,93494.0,1200.0,1125.0,-1.0,4170.0,,535.0,8050.0,,2000.0,,14164.0,,,,-1.0,,1515.0,3560.0,119500.0,,,1500.0,,54128.0,17080.0,2400000.0
1967,3379000.0,,31695.0,20638.0,246900.0,1800.0,-1.0,,132.0,9000.0,370.0,,,-1.0,4220.0,-1.0,,,4000.0,17743.0,44110.0,28400.0,1095600.0,4000.0,30948.0,-1.0,,19101.0,4900.0,,5137.0,130000.0,,,4870.0,30069.0,6289.0,992.0,64000.0,3000.0,,910.0,,5993.0,14400.0,-1.0,,100765.0,2400000.0,11057.0,21180.0,64500.0,,11578.0,12100.0,-1.0,,,-1.0,360.0,19000.0,68500.0,,,,60000.0,9133.0,30689.0,13000.0,900.0,4331.0,,-1.0,2100.0,,,54100.0,8500.0,750.0,86601.0,1000.0,1260.0,-1.0,4070.0,,455.0,6920.0,,3000.0,,16187.0,,,,-1.0,,1447.0,3924.0,118800.0,,,1600.0,,55186.0,17702.0,2400000.0
1968,3137000.0,,37170.0,23142.0,230700.0,1800.0,-1.0,,123.0,9000.0,324.0,,,-1.0,4300.0,-1.0,,,4200.0,12340.0,50180.0,28174.0,1029200.0,5013.0,40964.0,-1.0,,21408.0,3200.0,,5022.0,131800.0,,,2700.0,17077.0,5803.0,751.0,50000.0,3000.0,,910.0,,5147.0,14700.0,-1.0,,99956.0,2300000.0,14028.0,23710.0,65400.0,,11053.0,11126.0,-1.0,,,-1.0,350.0,19000.0,68800.0,,,,65000.0,8092.0,25278.0,19000.0,271.0,4558.0,,-1.0,1700.0,,,65400.0,16950.0,750.0,83450.0,700.0,1260.0,-1.0,4580.0,,435.0,6000.0,,3950.0,,20234.0,,,,-1.0,,1239.0,4422.0,111222.0,,,1500.0,,38688.0,16411.0,2300000.0
1969,3267000.0,,51611.0,31326.0,193800.0,1800.0,-1.0,,141.0,9000.0,265.0,,,-1.0,4300.0,-1.0,,,4300.0,18360.0,50000.0,25384.0,1039800.0,3110.0,22572.0,-1.0,,29380.0,3750.0,,4918.0,133500.0,,,2350.0,15992.0,5253.0,758.0,48000.0,3000.0,,910.0,,5462.0,15234.0,-1.0,,128284.0,2200000.0,20285.0,25090.0,72880.0,,12046.0,10485.0,-1.0,,,-1.0,340.0,20000.0,34442.0,,,,68000.0,7878.0,24917.0,21000.0,285.0,4179.0,,-1.0,1300.0,,,51000.0,10880.0,750.0,85440.0,800.0,2100.0,-1.0,3980.0,,420.0,5100.0,,970.0,,22581.0,,,,-1.0,,974.0,5204.0,96900.0,,,1600.0,,28251.0,23344.0,2200000.0
1970,3130000.0,,56711.0,32211.0,188600.0,1800.0,-1.0,,162.0,7000.0,212.0,,,-1.0,4100.0,-1.0,,,4400.0,19450.0,40000.0,26600.0,988800.0,2767.0,30400.0,-1.0,,34762.0,3685.0,,4512.0,135900.0,,,3000.0,13874.0,14019.0,917.0,50000.0,4000.0,,920.0,,5446.0,16028.0,-1.0,,125006.0,2200000.0,24500.0,24570.0,78755.0,,12793.0,12195.0,-1.0,,,-1.0,340.0,22000.0,38382.0,,,,70000.0,8888.0,22659.0,14000.0,474.0,4530.0,,-1.0,1500.0,,,61000.0,10740.0,756.0,78500.0,900.0,2520.0,-1.0,5890.0,,400.0,6000.0,,3190.0,,29542.0,,,,-1.0,,946.0,5673.0,106000.0,,,1500.0,,24166.0,25900.0,2200000.0
