,Costa Rica,Cuba,El Salvador,Dominica,Trinidad and Tobago,Peru,Belize,Mexico,Dominican Republic,Panama,Puerto Rico,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Nicaragua,Saint Lucia
1961,-1.0,6000.0,-1.0,400.0,145.0,900.0,-1.0,-1.0,3500.0,800.0,-1.0,-1,11348.0,-1.0,18.0
1962,-1.0,6000.0,-1.0,410.0,155.0,950.0,-1.0,-1.0,4200.0,800.0,-1.0,-1,11338.0,-1.0,18.0
1963,-1.0,10500.0,-1.0,420.0,166.0,900.0,-1.0,-1.0,3700.0,800.0,-1.0,-1,11328.0,-1.0,20.0
1964,-1.0,10300.0,-1.0,430.0,150.0,850.0,-1.0,-1.0,4000.0,800.0,-1.0,-1,11318.0,-1.0,20.0
1965,-1.0,11000.0,-1.0,440.0,134.0,1195.0,-1.0,-1.0,4000.0,800.0,-1.0,-1,11307.0,-1.0,20.0
1966,-1.0,15000.0,-1.0,450.0,125.0,1400.0,-1.0,-1.0,4000.0,850.0,-1.0,-1,11297.0,-1.0,20.0
1967,-1.0,9005.0,-1.0,460.0,159.0,1470.0,-1.0,-1.0,4200.0,900.0,-1.0,-1,11287.0,-1.0,18.0
1968,-1.0,9887.0,-1.0,470.0,152.0,1655.0,-1.0,-1.0,4600.0,1000.0,-1.0,-1,11277.0,-1.0,18.0
1969,-1.0,8023.0,-1.0,480.0,163.0,2020.0,-1.0,-1.0,4700.0,980.0,-1.0,-1,11266.0,-1.0,16.0
1970,-1.0,3013.0,-1.0,490.0,158.0,2705.0,-1.0,-1.0,4900.0,1030.0,-1.0,-1,9294.0,-1.0,16.0
1971,-1.0,2778.0,-1.0,500.0,160.0,3270.0,-1.0,-1.0,5000.0,1010.0,-1.0,-1,9215.0,-1.0,10.0
1972,-1.0,8057.0,-1.0,510.0,170.0,4365.0,-1.0,-1.0,5200.0,1100.0,-1.0,-1,9071.0,-1.0,20.0
1973,-1.0,6871.0,-1.0,520.0,175.0,4485.0,-1.0,-1.0,5700.0,1200.0,-1.0,-1,6445.0,-1.0,22.0
1974,-1.0,7747.0,-1.0,530.0,180.0,4540.0,-1.0,-1.0,5900.0,1200.0,-1.0,-1,7016.0,-1.0,18.0
1975,-1.0,7464.0,-1.0,550.0,180.0,3950.0,-1.0,-1.0,5800.0,1200.0,-1.0,-1,7676.0,-1.0,18.0
1976,-1.0,8421.0,-1.0,580.0,185.0,3955.0,-1.0,-1.0,5600.0,1200.0,-1.0,-1,7785.0,-1.0,20.0
1977,-1.0,14357.0,-1.0,600.0,175.0,3020.0,-1.0,-1.0,6226.0,1200.0,-1.0,-1,7987.0,-1.0,20.0
1978,-1.0,19556.0,-1.0,650.0,180.0,3052.0,-1.0,-1.0,6176.0,1200.0,-1.0,-1,6312.0,-1.0,20.0
1979,-1.0,21433.0,-1.0,630.0,185.0,2974.0,-1.0,-1.0,6200.0,1200.0,-1.0,-1,6838.0,-1.0,18.0
1980,-1.0,17241.0,-1.0,650.0,190.0,4016.0,-1.0,-1.0,6500.0,600.0,-1.0,-1,6788.0,-1.0,19.0
1981,-1.0,13116.0,-1.0,680.0,190.0,3675.0,-1.0,-1.0,6500.0,650.0,-1.0,-1,7665.0,-1.0,17.0
1982,-1.0,9700.0,-1.0,710.0,200.0,4275.0,-1.0,-1.0,6600.0,1300.0,-1.0,-1,7660.0,-1.0,20.0
1983,-1.0,8200.0,-1.0,700.0,170.0,4836.0,-1.0,-1.0,4689.0,1100.0,-1.0,-1,8097.0,-1.0,22.0
1984,-1.0,9100.0,-1.0,710.0,150.0,5852.0,-1.0,-1.0,4778.0,1200.0,-1.0,-1,8654.0,-1.0,22.0
1985,-1.0,9000.0,-1.0,520.0,140.0,5000.0,-1.0,-1.0,6661.0,1200.0,-1.0,-1,8209.0,-1.0,23.0
1986,-1.0,9100.0,-1.0,580.0,120.0,5100.0,-1.0,-1.0,5647.0,1260.0,-1.0,-1,8078.0,-1.0,23.0
1987,-1.0,9900.0,-1.0,670.0,120.0,5100.0,-1.0,-1.0,5710.0,1340.0,-1.0,-1,8904.0,-1.0,24.0
1988,-1.0,10600.0,-1.0,650.0,120.0,5200.0,-1.0,-1.0,6653.0,1350.0,-1.0,-1,9248.0,-1.0,24.0
1989,-1.0,12700.0,-1.0,640.0,130.0,5200.0,176.0,-1.0,8486.0,1000.0,-1.0,-1,9021.0,-1.0,25.0
1990,-1.0,10500.0,-1.0,630.0,106.0,5400.0,47.0,-1.0,5017.0,500.0,-1.0,-1,9327.0,0.0,20.0
1991,-1.0,12019.0,-1.0,560.0,140.0,5850.0,69.0,-1.0,3962.0,650.0,-1.0,-1,9235.0,2967.0,26.0
1992,-1.0,6784.0,-1.0,620.0,137.0,6000.0,75.0,86.0,3694.0,625.0,-1.0,-1,7245.0,3060.0,27.0
1993,1384.0,7278.0,0.0,601.0,135.0,6000.0,91.0,95.0,4848.0,660.0,-1.0,-1,8460.0,3155.0,27.0
1994,1900.0,6866.0,2940.0,615.0,133.0,6400.0,75.0,95.0,4229.0,735.0,-1.0,-1,9934.0,3251.0,27.0
1995,2450.0,5617.0,2900.0,619.0,132.0,7000.0,79.0,103.0,5749.0,896.0,-1.0,-1,10442.0,3347.0,28.0
1996,1906.0,6967.0,2411.0,625.0,130.0,5211.0,23.0,107.0,5767.0,802.0,-1.0,-1,11454.0,3445.0,30.0
1997,1850.0,7703.0,3000.0,632.0,131.0,6250.0,49.0,122.0,6400.0,1000.0,-1.0,-1,8585.0,3544.0,29.0
1998,1321.0,9071.0,2902.0,639.0,132.0,7244.0,76.0,120.0,4700.0,710.0,-1.0,-1,6382.0,3643.0,28.0
1999,2645.0,9233.0,2629.0,620.0,133.0,6902.0,99.0,121.0,6239.0,1050.0,130.0,-1,6344.0,3744.0,24.0
2000,1396.0,11928.0,2800.0,624.0,135.0,6700.0,117.0,122.0,6180.0,1000.0,135.0,-1,6401.0,3846.0,23.0
2001,2427.0,13471.0,2706.0,653.0,140.0,6806.0,132.0,126.0,5154.0,1276.0,140.0,-1,5908.0,3949.0,19.0
2002,3598.0,22500.0,2777.0,687.0,145.0,6425.0,135.0,121.0,7511.0,900.0,151.0,-1,5739.0,4054.0,19.0
2003,1682.0,17212.0,2864.0,708.0,150.0,6654.0,75.0,114.0,7135.0,1000.0,143.0,-1,5027.0,4163.0,18.0
2004,1263.0,22587.0,3017.0,732.0,160.0,6653.0,40.0,115.0,5305.0,1150.0,324.0,-1,5689.0,4277.0,16.0
2005,2112.0,22565.0,3161.0,756.0,165.0,6313.0,45.0,114.0,4738.0,1100.0,331.0,-1,5285.0,4393.0,17.0
2006,1931.0,17483.0,3321.0,777.0,168.0,5600.0,42.0,41.0,4478.0,1050.0,335.0,-1,7882.0,4511.0,9.0
2007,1492.0,21335.0,3505.0,812.0,170.0,5307.0,15.0,130.0,4739.0,1100.0,340.0,-1,7127.0,4631.0,6.0
2008,1653.0,26581.0,3715.0,824.0,177.0,5400.0,23.0,100.0,3930.0,926.0,324.0,-1,7447.0,4752.0,8.0
2009,1748.0,27027.0,3952.0,833.0,182.0,6000.0,36.0,150.0,4495.0,926.0,315.0,-1,7000.0,4621.0,9.0
2010,1453.0,19795.0,4218.0,950.0,200.0,6185.0,33.0,247.0,4559.0,1271.0,308.0,-1,5062.0,3054.0,9.0
2011,1628.0,16242.0,4511.0,831.0,186.0,5872.0,31.0,340.0,5040.0,930.0,303.0,-1,7474.0,2200.0,10.0
2012,1540.0,15305.0,4600.0,840.0,180.0,5800.0,22.0,438.0,5163.0,866.0,280.0,-1,6728.0,8900.0,10.0
2013,2415.0,16400.0,4600.0,850.0,180.0,5768.0,26.0,283.0,4926.0,743.0,300.0,-1,7229.0,7800.0,8.0
2014,2500.0,16720.0,5419.0,886.0,182.0,5735.0,26.0,209.0,4524.0,645.0,325.0,-1,7542.0,6862.0,9.0
