,India,Paraguay,Saint Kitts and Nevis,Kenya,Timor-Leste,Peru,"China, Taiwan Province of",Mozambique,Niue,Myanmar,Burkina Faso,Malaysia,Grenada,Melanesia,Armenia,Dominican Republic,Philippines,South Sudan,Brazil,Australia & New Zealand,Thailand,Ethiopia,Indonesia,Pakistan,Liberia,Spain,Zambia,Zimbabwe,Iran (Islamic Republic of),Malawi,Venezuela (Bolivarian Republic of),Cyprus,Papua New Guinea,Antigua and Barbuda,New Zealand,Yemen,Guyana,Seychelles,Bahamas,Bangladesh,French Polynesia,Djibouti,Algeria,United Arab Emirates,Senegal,Madagascar,Turkey,French Guiana,Suriname,Kiribati,Costa Rica,Guinea,Cuba,Guadeloupe,Fiji,Rwanda,Morocco,Mexico,Ecuador,Egypt,Israel,Réunion,Vanuatu,China,Tunisia,Côte d'Ivoire,Colombia,Polynesia,Sudan (former),Tonga,Jamaica,United Republic of Tanzania,Saint Lucia,Samoa,Australia,France,Jordan,Micronesia,Tuvalu,"China, mainland",Nauru,Tokelau,Haiti,Wallis and Futuna Islands,Barbados
1961,1475000.0,10000.0,1200.0,1000.0,8000.0,-1.0,29026.0,16000.0,4.0,-1.0,3300.0,100000.0,-1.0,1390.0,-1.0,-1.0,1605000.0,-1.0,55000.0,2054.0,250000.0,-1.0,715000.0,56600.0,1500.0,2129.0,32000.0,-1.0,-1.0,-1.0,5670.0,-1.0,1000.0,5700.0,1157.0,-1.0,750.0,125.0,2300.0,120000.0,-1.0,-1.0,-1.0,-1,3000.0,41000.0,-1,-1.0,-1.0,470.0,-1.0,33000.0,16000.0,2000.0,140.0,-1.0,-1.0,113002.0,-1.0,-1.0,250.0,-1.0,250.0,334026.0,17000.0,2000.0,-1.0,8689.0,-1.0,500.0,99107.0,21000.0,1550.0,3900.0,897.0,-1,-1.0,570.0,245.0,305000.0,100.0,40.0,-1.0,4000.0,980.0
1962,1520000.0,10300.0,1200.0,1000.0,8000.0,-1.0,30840.0,16000.0,4.0,-1.0,3350.0,105000.0,-1.0,1400.0,-1.0,-1.0,1590000.0,-1.0,58000.0,2198.0,250000.0,-1.0,720000.0,116700.0,1500.0,2149.0,32500.0,-1.0,-1.0,-1.0,6166.0,-1.0,1000.0,5800.0,1173.0,-1.0,780.0,127.0,2400.0,127000.0,-1.0,-1.0,-1.0,-1,3100.0,51000.0,-1,-1.0,-1.0,480.0,-1.0,33000.0,18000.0,1000.0,140.0,-1.0,50.0,129723.0,-1.0,-1.0,250.0,-1.0,260.0,315840.0,17000.0,2000.0,-1.0,8844.0,-1.0,550.0,100352.0,21000.0,1560.0,4000.0,1025.0,-1,-1.0,580.0,250.0,285000.0,100.0,40.0,-1.0,4000.0,1010.0
1963,1520000.0,10600.0,1200.0,1000.0,8000.0,-1.0,33038.0,16000.0,5.0,-1.0,3400.0,110000.0,-1.0,1420.0,-1.0,-1.0,1600000.0,-1.0,60000.0,2506.0,250000.0,-1.0,725000.0,124300.0,1530.0,1878.0,33000.0,-1.0,-1.0,-1.0,6678.0,-1.0,1000.0,5900.0,1261.0,-1.0,800.0,127.0,2500.0,127000.0,-1.0,-1.0,-1.0,-1,3200.0,51000.0,-1,-1.0,-1.0,490.0,-1.0,33000.0,19000.0,1000.0,140.0,-1.0,60.0,136523.0,-1.0,-1.0,470.0,-1.0,280.0,333038.0,17000.0,2000.0,-1.0,9100.0,-1.0,600.0,105707.0,22000.0,1570.0,4200.0,1245.0,-1,-1.0,590.0,255.0,300000.0,100.0,40.0,-1.0,4000.0,1040.0
1964,1580000.0,11000.0,1100.0,1000.0,8000.0,-1.0,38759.0,17000.0,5.0,-1.0,3450.0,105000.0,-1.0,1441.0,-1.0,-1.0,1605000.0,-1.0,62000.0,3306.0,250000.0,-1.0,735000.0,82200.0,1540.0,2618.0,33500.0,-1.0,-1.0,-1.0,7265.0,-1.0,1000.0,6000.0,1623.0,-1.0,830.0,128.0,2600.0,129000.0,-1.0,-1.0,-1.0,-1,3300.0,65000.0,-1,-1.0,-1.0,500.0,-1.0,33000.0,16884.0,1200.0,141.0,-1.0,100.0,138875.0,-1.0,-1.0,600.0,-1.0,300.0,333759.0,17300.0,2000.0,-1.0,9207.0,-1.0,650.0,104645.0,22000.0,1580.0,4250.0,1683.0,-1,-1.0,600.0,260.0,295000.0,100.0,42.0,-1.0,4000.0,1070.0
1965,1590000.0,11300.0,1100.0,1000.0,8000.0,-1.0,52309.0,17000.0,6.0,-1.0,3500.0,107000.0,-1.0,1455.0,-1.0,-1.0,1645000.0,-1.0,64000.0,4012.0,254600.0,-1.0,745000.0,69300.0,1580.0,2599.0,34000.0,-1.0,-1.0,-1.0,7900.0,-1.0,1000.0,6100.0,2233.0,-1.0,850.0,128.0,2700.0,156000.0,-1.0,-1.0,-1.0,-1,3400.0,72000.0,-1,-1.0,-1.0,520.0,-1.0,33000.0,23916.0,1500.0,140.0,-1.0,200.0,157880.0,-1.0,-1.0,700.0,-1.0,315.0,367309.0,32900.0,2000.0,-1.0,9358.0,-1.0,700.0,101039.0,23000.0,1590.0,4350.0,1779.0,-1,-1.0,640.0,260.0,315000.0,120.0,42.0,-1.0,4000.0,1100.0
1966,1625000.0,11600.0,1100.0,1000.0,8000.0,-1.0,50990.0,17000.0,-1.0,-1.0,3600.0,126000.0,-1.0,1480.0,-1.0,-1.0,1675000.0,-1.0,66000.0,5844.0,256500.0,-1.0,750000.0,88500.0,1600.0,4048.0,34500.0,-1.0,-1.0,-1.0,8610.0,-1.0,1000.0,6200.0,3942.0,-1.0,870.0,129.0,2800.0,143300.0,-1.0,-1.0,5.0,-1,3500.0,74000.0,-1,-1.0,-1.0,540.0,-1.0,33000.0,23493.0,1500.0,150.0,-1.0,420.0,166886.0,-1.0,-1.0,250.0,-1.0,330.0,350990.0,55400.0,2100.0,-1.0,9552.0,-1.0,750.0,76489.0,23000.0,1595.0,4500.0,1902.0,-1,-1.0,660.0,260.0,300000.0,120.0,42.0,-1.0,4000.0,1130.0
1967,1675000.0,12000.0,1100.0,1000.0,8000.0,-1.0,73246.0,18000.0,-1.0,-1.0,3800.0,129000.0,-1.0,1580.0,-1.0,-1.0,1685000.0,-1.0,68000.0,5494.0,304000.0,-1.0,755000.0,86200.0,1650.0,3915.0,35500.0,-1.0,-1.0,-1.0,9391.0,-1.0,1050.0,6300.0,3653.0,-1.0,890.0,129.0,2900.0,207300.0,-1.0,-1.0,5.0,-1,3600.0,76000.0,-1,-1.0,-1.0,560.0,-1.0,33000.0,25133.0,1500.0,180.0,-1.0,400.0,168104.0,-1.0,-1.0,300.0,-1.0,350.0,373246.0,56100.0,2200.0,-1.0,10335.0,-1.0,800.0,74558.0,24000.0,1610.0,5000.0,1841.0,-1,-1.0,680.0,240.0,300000.0,120.0,45.0,-1.0,4250.0,1150.0
1968,1720000.0,12300.0,1100.0,1000.0,8120.0,-1.0,74767.0,18000.0,-1.0,-1.0,3900.0,131000.0,-1.0,1113.0,-1.0,-1.0,1665000.0,-1.0,70000.0,5444.0,307800.0,-1.0,765000.0,76800.0,1700.0,4334.0,37000.0,-1.0,-1.0,-1.0,10280.0,-1.0,633.0,6400.0,3620.0,-1.0,910.0,130.0,3000.0,219500.0,-1.0,-1.0,10.0,-1,3700.0,78000.0,-1,-1.0,-1.0,580.0,-1.0,33000.0,32890.0,1600.0,110.0,-1.0,1300.0,176932.0,-1.0,-1.0,350.0,-1.0,370.0,371767.0,24000.0,2300.0,-1.0,10865.0,-1.0,850.0,41004.0,25000.0,1630.0,5500.0,1824.0,-1,-1.0,700.0,220.0,297000.0,120.0,45.0,-1.0,4250.0,1180.0
1969,1760000.0,12600.0,1100.0,1000.0,8260.0,-1.0,61224.0,18000.0,150.0,-1.0,4000.0,134000.0,-1.0,931.0,-1.0,-1.0,1625000.0,-1.0,72000.0,5813.0,323000.0,-1.0,775000.0,83000.0,1760.0,2929.0,38000.0,-1.0,-1.0,-1.0,10949.0,-1.0,334.0,6500.0,3385.0,-1.0,930.0,130.0,3100.0,216400.0,-1.0,-1.0,15.0,-1,3800.0,80000.0,-1,-1.0,-1.0,600.0,-1.0,33000.0,30824.0,1700.0,212.0,-1.0,1000.0,168985.0,-1.0,-1.0,350.0,-1.0,385.0,381224.0,25000.0,2500.0,-1.0,11345.0,-1.0,900.0,43950.0,30000.0,1655.0,5800.0,2428.0,-1,-1.0,740.0,200.0,320000.0,140.0,45.0,-1.0,4250.0,1210.0
1970,1730000.0,14110.0,1100.0,1000.0,8428.0,92572.0,79730.0,19000.0,220.0,-1.0,4200.0,136000.0,-1.0,2079.0,-1.0,-1.0,1580000.0,-1.0,73000.0,5738.0,342000.0,-1.0,785000.0,88295.0,1820.0,9631.0,39000.0,-1.0,-1.0,-1.0,11740.0,-1.0,1142.0,6600.0,2587.0,-1.0,955.0,131.0,3200.0,209300.0,-1.0,-1.0,10.0,-1,4000.0,85000.0,-1,-1.0,-1.0,620.0,-1.0,33000.0,20704.0,1800.0,537.0,-1.0,500.0,153027.0,-1.0,-1.0,350.0,-1.0,400.0,409730.0,19500.0,2900.0,-1.0,11648.0,-1.0,950.0,44551.0,30000.0,1670.0,6000.0,3151.0,-1,-1.0,760.0,180.0,330000.0,140.0,48.0,-1.0,4250.0,1230.0
