,Mauritania,Kenya,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Saudi Arabia,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Ethiopia,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Republic of Korea,South Africa,Norway,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Mongolia,Guatemala,Algeria,Slovenia,United Arab Emirates,Tajikistan,Latvia,Luxembourg,Israel,Zambia,Belgium,Turkmenistan,Lesotho,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Argentina,Portugal,Poland,"China, mainland",Russian Federation,Ukraine,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,Uzbekistan,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,Morocco,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Pakistan,Kuwait,Sudan (former),Czechia,Bhutan,Georgia,India,Austria,Czechoslovakia,Ethiopia PDR,Sweden,Qatar,Mexico,USSR,Romania,Ecuador,Jordan,New Zealand,Ireland,Albania,Western Sahara,Slovakia,France,Italy,Australia,Sudan,Lithuania,Finland,Netherlands,Oman,Turkey,Eritrea,Republic of Moldova,Belgium-Luxembourg
1961,300.0,12666.0,362.0,-1.0,-1.0,-1.0,8500.0,727000.0,31511.0,100.0,17000.0,-1.0,799439.0,-1.0,189232.0,200000.0,465.0,29947.0,649375.0,58000.0,153600.0,127000.0,353.0,991055.0,371000.0,17000.0,30.0,949583.0,-1.0,-1.0,-1.0,-1.0,-1.0,69730.0,-1.0,-1.0,-1.0,3885.0,29310.0,45535.0,-1.0,50892.0,-1.0,3526362.0,1480.0,48140.0,380000.0,12800.0,-1.0,-1.0,44920.0,521765.0,-1.0,-1.0,-1.0,741500.0,126771.0,680000.0,3526000.0,-1.0,-1.0,91000.0,198446.0,100000.0,-1.0,-1.0,1552018.0,-1.0,-1.0,1549115.0,2237476.0,692300.0,350000.0,900000.0,60201.0,1450000.0,1584300.0,304683.0,5183000.0,1150000.0,700.0,-1.0,187000.0,-1.0,76.0,-1.0,2000.0,-1.0,3205000.0,187648.0,692966.0,935000.0,332597.0,-1.0,233103.0,13400000.0,284000.0,93015.0,94970.0,26543.0,146373.0,8734.0,-1.0,-1.0,2259100.0,219620.0,964512.0,-1,-1.0,201034.0,102574.0,-1.0,2786000.0,-1.0,-1.0,128345.0
1962,300.0,14001.0,299.0,-1.0,-1.0,-1.0,8800.0,723086.0,28454.0,100.0,19500.0,-1.0,829612.0,-1.0,184949.0,250000.0,647.0,33589.0,672464.0,62000.0,164059.0,126000.0,300.0,851705.0,351000.0,23000.0,35.0,980000.0,-1.0,-1.0,-1.0,-1.0,-1.0,65075.0,-1.0,-1.0,-1.0,4000.0,35250.0,40180.0,-1.0,54976.0,-1.0,5191299.0,1480.0,49000.0,400000.0,13500.0,-1.0,-1.0,42610.0,551048.0,-1.0,-1.0,-1.0,360900.0,134464.0,663000.0,5191000.0,-1.0,-1.0,92000.0,192515.0,100000.0,-1.0,-1.0,1512480.0,-1.0,-1.0,1613459.0,2139462.0,612800.0,350000.0,1000000.0,66890.0,1449395.0,1164000.0,302700.0,4944000.0,1100000.0,700.0,-1.0,186600.0,-1.0,175.0,-1.0,2200.0,-1.0,3312000.0,193080.0,692369.0,950000.0,344135.0,-1.0,192645.0,16200000.0,250475.0,150865.0,105000.0,31207.0,164219.0,8250.0,-1.0,-1.0,2176500.0,209600.0,820498.0,-1,-1.0,205400.0,100263.0,-1.0,2800000.0,-1.0,-1.0,136993.0
1963,300.0,12460.0,301.0,-1.0,-1.0,-1.0,9000.0,803156.0,30443.0,150.0,20500.0,-1.0,938255.0,-1.0,174930.0,500000.0,494.0,30756.0,718830.0,70000.0,179300.0,124000.0,420.0,850146.0,350000.0,18000.0,40.0,930008.0,-1.0,-1.0,-1.0,-1.0,-1.0,65175.0,-1.0,-1.0,-1.0,4000.0,31992.0,46810.0,-1.0,50725.0,-1.0,4176301.0,1498.0,58000.0,350000.0,10000.0,-1.0,-1.0,38740.0,489433.0,-1.0,-1.0,-1.0,695100.0,126073.0,748500.0,4176000.0,-1.0,-1.0,92000.0,192200.0,120000.0,-1.0,-1.0,1568356.0,-1.0,-1.0,1907257.0,2499800.0,565100.0,350000.0,900000.0,68228.0,1447100.0,1966665.0,343375.0,4548000.0,1050000.0,700.0,-1.0,196300.0,-1.0,1907.0,-1.0,2400.0,-1.0,3019000.0,229051.0,690056.0,967500.0,450230.0,-1.0,232423.0,20470000.0,224100.0,164793.0,75730.0,35381.0,173608.0,8992.0,-1.0,-1.0,2538500.0,204061.0,814765.0,-1,-1.0,262300.0,101096.0,-1.0,2850000.0,-1.0,-1.0,133790.0
1964,300.0,11001.0,576.0,-1.0,-1.0,-1.0,9300.0,765156.0,31164.0,250.0,22000.0,-1.0,949992.0,-1.0,167000.0,420000.0,356.0,23877.0,755423.0,59000.0,181726.0,121000.0,900.0,873337.0,369000.0,17000.0,45.0,562040.0,-1.0,-1.0,-1.0,-1.0,-1.0,73145.0,-1.0,-1.0,-1.0,3500.0,29992.0,39285.0,-1.0,52951.0,-1.0,3479576.0,1401.0,58000.0,350000.0,15000.0,-1.0,-1.0,42110.0,524590.0,-1.0,-1.0,-1.0,552600.0,110496.0,741400.0,3479000.0,-1.0,-1.0,93000.0,179400.0,100000.0,-1.0,-1.0,1616508.0,-1.0,-1.0,2036350.0,2223514.0,478300.0,350000.0,800000.0,70903.0,1381000.0,1746680.0,357786.0,4160000.0,1000000.0,700.0,-1.0,176400.0,-1.0,181.0,-1.0,2400.0,-1.0,2774000.0,227182.0,681817.0,970000.0,438700.0,-1.0,211709.0,21674000.0,195500.0,163759.0,91472.0,38031.0,183644.0,8095.0,-1.0,-1.0,2360100.0,196517.0,835306.0,-1,-1.0,252200.0,87080.0,-1.0,2750000.0,-1.0,-1.0,127589.0
1965,300.0,9308.0,834.0,-1.0,-1.0,-1.0,10000.0,681901.0,33550.0,160.0,24000.0,-1.0,1041475.0,-1.0,203280.0,400000.0,304.0,20639.0,826976.0,70000.0,188998.0,119000.0,1000.0,965056.0,405000.0,12800.0,50.0,629980.0,-1.0,-1.0,-1.0,-1.0,-1.0,52105.0,-1.0,-1.0,-1.0,3000.0,30697.0,19934.0,-1.0,52595.0,-1.0,3244834.0,1240.0,46080.0,272112.0,13500.0,-1.0,-1.0,38274.0,502859.0,-1.0,-1.0,-1.0,383700.0,125569.0,688500.0,3244000.0,-1.0,-1.0,98000.0,176190.0,100000.0,-1.0,-1.0,1690106.0,-1.0,-1.0,2183249.0,2477127.0,422200.0,350000.0,1000000.0,79733.0,1374410.0,1675500.0,371567.0,3709944.0,1300000.0,750.0,-1.0,185300.0,-1.0,164.0,-1.0,2500.0,-1.0,2682000.0,220080.0,653838.0,981500.0,465000.0,-1.0,226285.0,19737008.0,232771.0,157035.0,85950.0,35207.0,187790.0,7400.0,-1.0,-1.0,2429800.0,186204.0,929849.0,-1,-1.0,252200.0,98590.0,-1.0,2770000.0,-1.0,-1.0,146214.0
1966,300.0,8943.0,761.0,-1.0,-1.0,-1.0,10500.0,336000.0,41175.0,160.0,26700.0,-1.0,1111604.0,-1.0,284360.0,270000.0,400.0,21900.0,766965.0,62000.0,187900.0,117000.0,752.0,1044770.0,394000.0,12600.0,60.0,393990.0,-1.0,-1.0,-1.0,-1.0,-1.0,48900.0,-1.0,-1.0,-1.0,2500.0,32040.0,42420.0,-1.0,41000.0,-1.0,2671761.0,1509.0,55000.0,300788.0,14136.0,-1.0,-1.0,38696.0,491149.0,-1.0,-1.0,-1.0,410700.0,111150.0,678000.0,2671000.0,-1.0,-1.0,93000.0,178250.0,90000.0,-1.0,-1.0,1809287.0,-1.0,-1.0,2482876.0,3019439.0,387900.0,350000.0,1000000.0,80937.0,1337800.0,2088000.0,415849.0,4148617.0,1521000.0,840.0,-1.0,154600.0,-1.0,95.0,-1.0,2500.0,-1.0,2640000.0,229902.0,686781.0,990000.0,568300.0,-1.0,240750.0,19396000.0,245700.0,143215.0,64520.0,33986.0,186760.0,8000.0,-1.0,-1.0,2641600.0,178707.0,1010784.0,-1,-1.0,321200.0,119993.0,-1.0,2710000.0,-1.0,-1.0,171948.0
1967,300.0,9574.0,569.0,-1.0,-1.0,-1.0,19098.0,646000.0,41760.0,350.0,26700.0,-1.0,1169881.0,-1.0,351240.0,250000.0,450.0,22700.0,784522.0,78000.0,178600.0,116000.0,1890.0,1094038.0,343000.0,15200.0,65.0,558040.0,-1.0,-1.0,-1.0,-1.0,-1.0,43340.0,-1.0,-1.0,-1.0,2500.0,31079.0,29800.0,-1.0,64700.0,-1.0,2085569.0,1483.0,61000.0,364752.0,13395.0,-1.0,-1.0,50400.0,450000.0,-1.0,-1.0,-1.0,496200.0,106734.0,644500.0,2085000.0,-1.0,-1.0,86000.0,185120.0,95000.0,-1.0,-1.0,1860835.0,-1.0,-1.0,2440900.0,3286528.0,352300.0,316000.0,1000000.0,80268.0,1499817.0,2104000.0,386936.0,3735924.0,1500000.0,882.0,-1.0,161900.0,-1.0,74.0,-1.0,2700.0,-1.0,2824800.0,231700.0,708097.0,950000.0,530036.0,-1.0,238461.0,19125008.0,257100.0,144036.0,58390.0,37220.0,182590.0,10500.0,-1.0,-1.0,2818300.0,180810.0,1056818.0,-1,-1.0,345900.0,107451.0,-1.0,2725000.0,-1.0,-1.0,165828.0
1968,320.0,10562.0,604.0,-1.0,-1.0,-1.0,22057.0,631000.0,34741.0,350.0,24900.0,-1.0,1253888.0,-1.0,332040.0,300000.0,500.0,24700.0,789712.0,64000.0,175900.0,115000.0,192.0,1403720.0,312000.0,13700.0,90.0,723470.0,-1.0,-1.0,-1.0,-1.0,-1.0,38505.0,-1.0,-1.0,-1.0,2000.0,30105.0,39560.0,-1.0,65000.0,-1.0,2246604.0,1459.0,46750.0,400218.0,13463.0,-1.0,-1.0,71870.0,386812.0,-1.0,-1.0,-1.0,538800.0,135000.0,627500.0,2246000.0,-1.0,-1.0,91000.0,173470.0,95000.0,-1.0,-1.0,1925629.0,-1.0,-1.0,2402979.0,3583199.0,315900.0,317000.0,800000.0,80937.0,1922972.0,2135000.0,402249.0,3939115.0,1634000.0,3000.0,-1.0,173600.0,2.0,-1.0,-1.0,2900.0,-1.0,3375200.0,238396.0,710250.0,930000.0,556718.0,-1.0,251829.0,19353008.0,291960.0,135031.0,71440.0,62725.0,183320.0,9700.0,1095.0,-1.0,2781200.0,175312.0,1340995.0,-1,-1.0,358700.0,107062.0,-1.0,2730000.0,-1.0,-1.0,167335.0
1969,320.0,9477.0,1057.0,-1.0,-1.0,-1.0,18000.0,626117.0,29587.0,150.0,25600.0,-1.0,1304809.0,-1.0,282180.0,180000.0,600.0,28300.0,760428.0,58000.0,184697.0,113000.0,333.0,1584713.0,300000.0,15300.0,100.0,736350.0,-1.0,-1.0,-1.0,-1.0,-1.0,25290.0,-1.0,-1.0,-1.0,1419.0,36708.0,33024.0,-1.0,62000.0,-1.0,2282057.0,1335.0,52600.0,357270.0,8294.0,-1.0,-1.0,44350.0,381905.0,-1.0,-1.0,-1.0,457000.0,119000.0,758800.0,2281000.0,-1.0,-1.0,91700.0,181703.0,90000.0,-1.0,-1.0,2028309.0,-1.0,-1.0,2414942.0,3787117.0,283100.0,317000.0,750000.0,72241.0,2109979.0,2072000.0,411662.0,3868013.0,1606000.0,3300.0,-1.0,155800.0,3.0,-1.0,-1.0,2900.0,-1.0,2758200.0,273836.0,779446.0,940000.0,593368.0,-1.0,244965.0,22484000.0,307471.0,125650.0,56999.0,63550.0,198374.0,9000.0,1266.0,-1.0,2858500.0,175080.0,1521163.0,-1,-1.0,372600.0,99341.0,-1.0,2645000.0,-1.0,-1.0,170367.0
1970,320.0,11000.0,543.0,-1.0,-1.0,-1.0,15000.0,1126117.0,25044.0,150.0,26300.0,-1.0,1351545.0,-1.0,343100.0,300000.0,700.0,29500.0,730269.0,44000.0,184036.0,111000.0,0.0,2056137.0,280000.0,15200.0,110.0,854790.0,-1.0,-1.0,-1.0,-1.0,-1.0,17440.0,-1.0,-1.0,-1.0,1216.0,40860.0,41445.0,-1.0,36967.0,-1.0,2352543.0,1223.0,51100.0,215892.0,6505.0,-1.0,-1.0,47380.0,284000.0,-1.0,-1.0,-1.0,356200.0,105000.0,924100.0,2352000.0,-1.0,-1.0,92800.0,186330.0,90000.0,-1.0,-1.0,2114790.0,-1.0,-1.0,2244766.0,4003863.0,225800.0,315000.0,600000.0,72241.0,2224100.0,1915000.0,403355.0,3930859.0,1543000.0,2500.0,-1.0,157424.0,4.0,-1.0,-1.0,3000.0,-1.0,2764900.0,290229.0,801443.0,950000.0,609760.0,-1.0,224051.0,21297008.0,288443.0,133920.0,40848.0,56080.0,214278.0,9000.0,1420.0,-1.0,2936000.0,179283.0,2000057.0,-1,-1.0,403500.0,104642.0,-1.0,2575000.0,-1.0,-1.0,187453.0
