,Slovakia,Israel,Portugal,Tunisia,Cyprus,Turkey,Jordan,Mexico,Morocco,Greece,Algeria,Ukraine,Spain,Croatia,Lebanon,Italy,Malta
1961,,1400.0,40660.0,,42672.0,11600.0,,,15000.0,39295.0,23950.0,,375400.0,,-1.0,105200.0,1700.0
1962,,1500.0,26565.0,,55880.0,11610.0,,,15000.0,26930.0,20000.0,,392700.0,,-1.0,48300.0,1540.0
1963,,1500.0,29835.0,,71120.0,12230.0,,,18000.0,47750.0,20000.0,,346000.0,,-1.0,25300.0,1600.0
1964,,1500.0,36932.0,,37592.0,14500.0,,,18000.0,38160.0,21338.0,,379100.0,,-1.0,105500.0,1670.0
1965,,1600.0,61280.0,,42672.0,12400.0,,,18000.0,42370.0,22359.0,,395300.0,,-1.0,56200.0,1727.0
1966,,2000.0,34628.0,,60960.0,14000.0,,,27000.0,34650.0,18700.0,,336900.0,,-1.0,43700.0,1727.0
1967,,2400.0,18778.0,,55880.0,13500.0,,,15000.0,45900.0,18300.0,,315700.0,,-1.0,52200.0,1625.0
1968,,2800.0,41708.0,,61976.0,15800.0,,,15000.0,23900.0,17200.0,,289600.0,,-1.0,58700.0,2032.0
1969,,3350.0,49812.0,,40640.0,16000.0,,,23000.0,31050.0,18900.0,,313800.0,,-1.0,88300.0,1422.0
1970,,3100.0,47643.0,,48768.0,16000.0,,,28000.0,21540.0,19400.0,,299600.0,,-1.0,76400.0,1441.0
1971,,3500.0,65145.0,,32512.0,13700.0,,,18000.0,25310.0,17000.0,,251500.0,,-1.0,58500.0,842.0
1972,,4100.0,40164.0,,38608.0,17600.0,4.0,,23000.0,26480.0,15852.0,,253100.0,,-1.0,57000.0,517.0
1973,,3700.0,18416.0,,14224.0,17100.0,,,26000.0,27330.0,14685.0,,313200.0,,-1.0,61700.0,621.0
1974,,3800.0,49746.0,,6096.0,13000.0,1.0,,15000.0,29130.0,12213.0,,235800.0,,-1.0,69500.0,736.0
1975,,3500.0,35324.0,30.0,20320.0,12900.0,23.0,,18000.0,27800.0,13458.0,,219500.0,,-1.0,66000.0,546.0
1976,,3400.0,40000.0,50.0,32572.0,12000.0,,,21000.0,22370.0,8872.0,,224200.0,,-1.0,70700.0,493.0
1977,,800.0,19970.0,80.0,19304.0,19000.0,,,23000.0,21410.0,8477.0,,177900.0,,-1.0,62400.0,467.0
1978,,1600.0,16000.0,100.0,18288.0,18000.0,,,24000.0,24050.0,7434.0,,198600.0,,-1.0,68000.0,444.0
1979,,350.0,30000.0,200.0,18491.0,15000.0,,,25000.0,24240.0,7030.0,,185400.0,,-1.0,60300.0,290.0
1980,,800.0,20000.0,300.0,12700.0,17000.0,,43.0,25000.0,23550.0,2156.0,,197000.0,,-1.0,63400.0,379.0
1981,,900.0,20000.0,350.0,27432.0,12500.0,,150.0,26000.0,26410.0,1693.0,,198000.0,,-1.0,60400.0,328.0
1982,,1000.0,30000.0,400.0,12802.0,14000.0,,179.0,27000.0,24400.0,1700.0,,191800.0,,-1.0,60850.0,283.0
1983,,1000.0,20000.0,500.0,13200.0,14000.0,,200.0,28000.0,23200.0,2188.0,,187900.0,,-1.0,48700.0,370.0
1984,,700.0,20000.0,600.0,10400.0,13000.0,,145.0,24700.0,19820.0,2074.0,,165900.0,,-1.0,54700.0,370.0
1985,,500.0,20000.0,650.0,7600.0,12725.0,,55.0,25400.0,21264.0,1850.0,,153500.0,,-1.0,60300.0,360.0
1986,,500.0,20000.0,700.0,25000.0,15000.0,,,31200.0,20906.0,1941.0,,150500.0,,-1.0,55100.0,320.0
1987,,650.0,20000.0,800.0,7000.0,13000.0,,,17600.0,16057.0,2976.0,,157400.0,,-1.0,30020.0,300.0
1988,,450.0,20000.0,850.0,15500.0,13500.0,,42.0,29800.0,22491.0,3150.0,,162400.0,,-1.0,27000.0,280.0
1989,,200.0,20000.0,850.0,8500.0,12000.0,,45.0,13200.0,20368.0,5638.0,,152825.0,,-1.0,32740.0,262.0
1990,,200.0,20952.0,900.0,9400.0,15000.0,0.0,47.0,29600.0,16131.0,3684.0,,142850.0,,-1.0,29240.0,2.0
1991,,200.0,21092.0,960.0,5730.0,15000.0,0.0,59.0,14100.0,18517.0,5658.0,,128800.0,,-1.0,59040.0,0.0
1992,,200.0,21116.0,1100.0,5100.0,15000.0,0.0,113.0,22900.0,18930.0,2768.0,100.0,132600.0,-1.0,-1.0,48849.0,0.0
1993,,200.0,21139.0,1039.0,17000.0,15000.0,0.0,65.0,21000.0,16006.0,3978.0,100.0,119600.0,-1.0,-1.0,47565.0,-1.0
1994,-1.0,200.0,21163.0,1020.0,2600.0,15000.0,0.0,78.0,22000.0,16320.0,2966.0,100.0,109400.0,500.0,-1.0,28194.0,-1.0
1995,,200.0,21186.0,1000.0,6300.0,13000.0,0.0,68.0,22485.0,15748.0,2909.0,100.0,110098.0,471.0,-1.0,44400.0,-1.0
1996,,200.0,21210.0,999.0,8800.0,14400.0,0.0,54.0,22469.0,17034.0,3223.0,100.0,118400.0,468.0,-1.0,44000.0,-1.0
1997,,200.0,21233.0,999.0,5100.0,14400.0,0.0,43.0,22462.0,19134.0,2400.0,100.0,109315.0,466.0,-1.0,40500.0,-1.0
1998,,200.0,21257.0,1000.0,4850.0,13700.0,0.0,75.0,23000.0,18494.0,3766.0,100.0,105384.0,463.0,7000.0,42500.0,-1.0
1999,,200.0,21280.0,1000.0,5400.0,14000.0,0.0,78.0,22437.0,18612.0,4135.0,100.0,93900.0,461.0,7400.0,39176.0,-1.0
2000,,200.0,21304.0,1000.0,7300.0,14000.0,0.0,43.0,22849.0,20192.0,3952.0,100.0,93863.0,458.0,4600.0,38079.0,-1.0
2001,,200.0,21327.0,1000.0,2850.0,13500.0,0.0,40.0,24000.0,16464.0,4640.0,100.0,73211.0,456.0,5000.0,16282.0,-1.0
2002,,197.0,21351.0,1000.0,7200.0,13500.0,0.0,12.0,22641.0,15015.0,4592.0,100.0,95000.0,453.0,3200.0,24015.0,-1.0
2003,,198.0,21374.0,1000.0,6550.0,14000.0,0.0,0.0,25000.0,14789.0,3886.0,100.0,70100.0,451.0,2300.0,18637.0,-1.0
2004,,200.0,21282.0,1000.0,6250.0,14000.0,0.0,0.0,22719.0,14594.0,4191.0,100.0,91400.0,448.0,2500.0,19060.0,-1.0
2005,,200.0,21579.0,1000.0,6942.0,12000.0,0.0,5.0,25000.0,14815.0,3003.0,100.0,59900.0,446.0,2720.0,31665.0,-1.0
2006,,180.0,22000.0,1000.0,5650.0,12388.0,0.0,50.0,22708.0,14506.0,3711.0,100.0,56100.0,415.0,2900.0,26110.0,-1.0
2007,,180.0,20000.0,1000.0,3839.0,12161.0,0.0,28.0,22620.0,15000.0,4138.0,100.0,56100.0,442.0,2800.0,32784.0,-1.0
2008,,200.0,21000.0,900.0,6519.0,12097.0,0.0,73.0,22522.0,15049.0,3216.0,100.0,60795.0,440.0,2714.0,31224.0,-1.0
2009,,191.0,21500.0,903.0,3514.0,14413.0,0.0,0.0,22403.0,14427.0,3384.0,100.0,53200.0,438.0,2200.0,30020.0,-1.0
2010,,193.0,21597.0,860.0,10560.0,14172.0,0.0,76.0,20000.0,14156.0,2829.0,90.0,56286.0,400.0,2112.0,25337.0,-1.0
2011,,202.0,23000.0,860.0,12725.0,13972.0,0.0,76.0,20500.0,13952.0,2865.0,100.0,38380.0,452.0,2133.0,44749.0,-1.0
2012,,204.0,21966.0,855.0,9123.0,14218.0,0.0,35.0,21519.0,13747.0,3136.0,150.0,45414.0,500.0,2190.0,30841.0,-1.0
2013,,211.0,21841.0,870.0,6178.0,14261.0,0.0,0.0,22024.0,13542.0,3053.0,160.0,38882.0,500.0,2203.0,9445.0,-1.0
2014,,206.0,21736.0,869.0,11034.0,13985.0,0.0,0.0,21941.0,13337.0,3655.0,200.0,35731.0,460.0,2158.0,31486.0,-1.0
