,Austria,USSR,Romania,Japan,Poland,Syrian Arab Republic,Turkey,Republic of Korea,Saudi Arabia,Pakistan,Czechoslovakia,France,Czechia,Bangladesh,Italy,Croatia,Hungary,Germany,Russian Federation,Portugal,Yugoslav SFR,Sweden,China,Serbia and Montenegro,Democratic People's Republic of Korea,"China, mainland",Chile,Cyprus,Spain,Bosnia and Herzegovina,Bulgaria,Netherlands,Ukraine,India
1961,8.0,100000.0,17030.0,1430.0,15300.0,413.0,10700.0,5659.0,,,3600.0,2335.0,,,12170.0,,20000.0,1190.0,,122.0,39525.0,794.0,45000.0,,2200.0,45000.0,3800.0,,7843.0,,10800.0,-1.0,,
1962,9.0,100000.0,13114.0,1330.0,14800.0,428.0,9000.0,5567.0,,,2400.0,2600.0,,,14040.0,,18800.0,1776.0,,172.0,43090.0,700.0,55000.0,,2200.0,55000.0,3800.0,,9744.0,,5959.0,-1.0,,
1963,,100000.0,12595.0,560.0,13000.0,668.0,9500.0,5179.0,,,3300.0,1732.0,,,14170.0,,22900.0,1636.0,,113.0,39680.0,685.0,65000.0,,2200.0,65000.0,3800.0,,7760.0,,6284.0,-1.0,,
1964,,115000.0,14131.0,791.0,15920.0,362.0,9000.0,4926.0,,,3800.0,2912.0,,,9570.0,,25600.0,2020.0,,217.0,45260.0,567.0,70000.0,,2200.0,70000.0,3800.0,,4333.0,,8187.0,-1.0,,
1965,,105000.0,13882.0,700.0,19117.0,600.0,10000.0,5576.0,,,4400.0,3043.0,,,9860.0,,29200.0,1275.0,,137.0,47400.0,374.0,75000.0,,2200.0,75000.0,3800.0,,1886.0,,7371.0,-1.0,,
1966,,114000.0,17414.0,700.0,20122.0,400.0,10000.0,5812.0,,,6100.0,1392.0,,,11320.0,,27700.0,1363.0,,114.0,49440.0,,83000.0,,2200.0,83000.0,3800.0,,1261.0,,12235.0,-1.0,,
1967,,101200.0,21658.0,600.0,22800.0,400.0,7000.0,6111.0,,,5400.0,1316.0,,,7210.0,,27100.0,1220.0,,70.0,41760.0,,85000.0,,2200.0,85000.0,3800.0,,834.0,,12655.0,-1.0,,
1968,,100800.0,21940.0,600.0,21125.0,421.0,9400.0,6314.0,,,4300.0,346.0,,,4750.0,,17300.0,1190.0,,87.0,11696.0,,87000.0,,2200.0,87000.0,3800.0,,350.0,,6867.0,-1.0,,
1969,,96700.0,22522.0,600.0,16194.0,368.0,8200.0,7337.0,,,1700.0,100.0,,,2135.0,,21600.0,890.0,,101.0,13410.0,,87000.0,,2200.0,87000.0,3800.0,,333.0,,9501.0,-1.0,,
1970,,93000.0,14728.0,500.0,13600.0,755.0,8400.0,6611.0,,,2000.0,205.0,,,1008.0,,16500.0,946.0,,86.0,16960.0,,90000.0,,2200.0,90000.0,3600.0,,314.0,,8865.0,-1.0,,
1971,,95900.0,21600.0,500.0,11400.0,426.0,8000.0,4831.0,,,2500.0,200.0,,,465.0,,15300.0,1042.0,,-1.0,14560.0,,92000.0,,2300.0,92000.0,3600.0,,112.0,,7533.0,-1.0,,
1972,,90300.0,18758.0,400.0,11000.0,371.0,8500.0,4534.0,,,3000.0,200.0,,,292.0,,14800.0,273.0,,-1.0,11200.0,,95000.0,,2300.0,95000.0,3500.0,,93.0,,6946.0,-1.0,,
1973,,80600.0,22426.0,400.0,8900.0,356.0,8300.0,4170.0,,,2600.0,200.0,,,170.0,,18500.0,0.0,,-1.0,11360.0,,97000.0,,2300.0,97000.0,3000.0,,98.0,,6397.0,-1.0,,
1974,,75500.0,23098.0,400.0,11200.0,304.0,8900.0,3545.0,,,2600.0,200.0,,,188.0,,15600.0,-1.0,,-1.0,11000.0,,96000.0,,2300.0,96000.0,3200.0,,1526.0,,4899.0,-1.0,,
1975,,61100.0,25651.0,300.0,11372.0,276.0,7000.0,2576.0,,,2472.0,200.0,,,125.0,,10600.0,-1.0,,-1.0,8320.0,,94000.0,,2300.0,94000.0,3600.0,,107.0,,6235.0,-1.0,,
1976,,60500.0,24900.0,300.0,10465.0,225.0,12000.0,663.0,,,1615.0,200.0,,,81.0,,13600.0,-1.0,,-1.0,8960.0,,92000.0,,2300.0,92000.0,3800.0,,126.0,,6311.0,-1.0,,
1977,,52100.0,27400.0,300.0,14073.0,194.0,9100.0,646.0,,,1520.0,200.0,,,96.0,,17664.0,-1.0,,-1.0,8640.0,,90000.0,,2300.0,90000.0,4000.0,,603.0,,4822.0,-1.0,,
1978,,42400.0,27200.0,200.0,14115.0,41.0,8500.0,650.0,,,1556.0,2500.0,,,47.0,,11019.0,-1.0,,-1.0,7680.0,,88550.0,,2300.0,88550.0,3500.0,,1090.0,,3970.0,-1.0,,
1979,,35200.0,29700.0,200.0,2803.0,18.0,11000.0,650.0,,,1897.0,3400.0,,,20.0,,14559.0,-1.0,,-1.0,5600.0,,89950.0,,2300.0,89950.0,3500.0,,976.0,,5427.0,-1.0,,
1980,,33300.0,26100.0,100.0,4267.0,0.0,14000.0,900.0,,,1620.0,5400.0,,,10.0,,11148.0,-1.0,,-1.0,4320.0,,76000.0,,2500.0,76000.0,3600.0,,356.0,,2822.0,-1.0,,
1981,,26000.0,22800.0,100.0,4965.0,,12000.0,1000.0,,,413.0,6600.0,,,10.0,,9491.0,-1.0,,-1.0,4640.0,,50000.0,,3000.0,50000.0,3600.0,,720.0,,3758.0,-1.0,,
1982,,30000.0,22500.0,50.0,3999.0,,9800.0,1000.0,,,620.0,4700.0,,,,,8250.0,-1.0,,-1.0,5280.0,,36000.0,,3500.0,36000.0,3600.0,,1241.0,,3432.0,-1.0,,
1983,,41000.0,28300.0,50.0,2876.0,,8220.0,1000.0,,,645.0,6400.0,,,,,9379.0,-1.0,,-1.0,6400.0,,28900.0,,4000.0,28900.0,3700.0,,343.0,,4423.0,-1.0,,
1984,,41000.0,33450.0,24.0,1902.0,,8875.0,950.0,,,795.0,2700.0,,,,,10698.0,-1.0,,-1.0,5920.0,,33000.0,,5000.0,33000.0,3800.0,,1042.0,,3750.0,-1.0,,
1985,,31000.0,29564.0,14.0,2053.0,,4350.0,900.0,,,942.0,800.0,,,,,11185.0,-1.0,,-1.0,7680.0,,54884.0,,6000.0,54884.0,3800.0,,1771.0,,2214.0,-1.0,,
1986,,24000.0,24000.0,15.0,2498.0,,4500.0,700.0,,,664.0,2100.0,,,-1.0,,12043.0,-1.0,,-1.0,9280.0,,54993.0,,7500.0,54993.0,3800.0,,5955.0,,3582.0,-1.0,,
1987,,21000.0,35800.0,17.0,3555.0,,5100.0,482.0,,,694.0,2500.0,,,-1.0,,13219.0,-1.0,,-1.0,4800.0,,65000.0,,8000.0,65000.0,4000.0,,1981.0,,1368.0,-1.0,,
1988,,24000.0,26300.0,20.0,2984.0,,4950.0,846.0,,,73.0,2400.0,,,-1.0,,8035.0,-1.0,,-1.0,808.0,-1.0,68000.0,,8500.0,68000.0,4000.0,,529.0,,604.0,-1.0,,
1989,,24000.0,27800.0,20.0,2483.0,,6000.0,587.0,,,0.0,200.0,,,-1.0,,4290.0,-1.0,,-1.0,2288.0,-1.0,26302.0,,8800.0,26302.0,4000.0,,632.0,,472.0,-1.0,,
1990,0.0,16000.0,13840.0,20.0,794.0,0.0,3600.0,505.0,,,0.0,200.0,,,-1.0,,1709.0,-1.0,,-1.0,1573.0,-1.0,31100.0,,9500.0,31100.0,4000.0,,767.0,,389.0,-1.0,,
1991,0.0,14000.0,11200.0,0.0,50.0,0.0,4400.0,682.0,,,0.0,200.0,,,-1.0,,1400.0,-1.0,,-1.0,1550.0,-1.0,17982.0,,10000.0,17982.0,4000.0,,583.0,,395.0,-1.0,,
1992,9.0,,7400.0,0.0,26.0,0.0,4409.0,600.0,,-1.0,0.0,200.0,,,-1.0,40.0,400.0,-1.0,11600.0,-1.0,,-1.0,24364.0,657.0,10800.0,24364.0,4000.0,-1.0,7215.0,0.0,0.0,-1.0,4598.0,-1.0
1993,4.0,,1440.0,0.0,187.0,-1.0,4350.0,600.0,,-1.0,,200.0,-1.0,,-1.0,16.0,100.0,-1.0,7700.0,-1.0,,-1.0,27254.0,180.0,10500.0,27254.0,4000.0,-1.0,4037.0,,27.0,-1.0,3000.0,-1.0
1994,3.0,,1080.0,0.0,361.0,-1.0,2800.0,365.0,,-1.0,,200.0,-1.0,-1.0,-1.0,20.0,690.0,-1.0,3400.0,-1.0,,-1.0,22003.0,769.0,12000.0,22003.0,4000.0,-1.0,1818.0,,0.0,-1.0,2000.0,-1.0
1995,1200.0,,1416.0,0.0,224.0,-1.0,2350.0,421.0,-1.0,-1.0,,2.0,-1.0,-1.0,-1.0,0.0,690.0,-1.0,4300.0,-1.0,,-1.0,22400.0,615.0,11000.0,22400.0,4000.0,-1.0,8218.0,,10.0,-1.0,1000.0,
1996,0.0,,13000.0,0.0,112.0,-1.0,3500.0,407.0,,-1.0,,0.0,-1.0,,-1.0,-1.0,2017.0,-1.0,4000.0,-1.0,,-1.0,20620.0,629.0,11000.0,20620.0,4000.0,-1.0,5582.0,,0.0,-1.0,1000.0,
1997,0.0,,9600.0,0.0,150.0,-1.0,2300.0,448.0,,,,260.0,-1.0,,-1.0,-1.0,2086.0,-1.0,3000.0,-1.0,,-1.0,19225.0,457.0,11000.0,19225.0,4000.0,,9980.0,,21.0,10000.0,1000.0,
1998,0.0,,11100.0,0.0,50.0,-1.0,1000.0,267.0,,,,400.0,-1.0,,-1.0,-1.0,1989.0,-1.0,2200.0,-1.0,,-1.0,16896.0,200.0,12000.0,16896.0,4000.0,,22527.0,,3.0,6300.0,1000.0,
1999,0.0,,7300.0,1.0,50.0,-1.0,777.0,326.0,,,,370.0,-1.0,,507.0,-1.0,350.0,-1.0,4100.0,-1.0,,-1.0,13000.0,200.0,12000.0,13000.0,4000.0,,17160.0,,-1.0,9800.0,1000.0,
2000,0.0,,1400.0,1.0,50.0,-1.0,1244.0,263.0,,,,370.0,-1.0,,437.0,-1.0,129.0,-1.0,7100.0,-1.0,,-1.0,17000.0,30.0,12500.0,17000.0,4048.0,,7047.0,,-1.0,4700.0,2000.0,
2001,0.0,,2800.0,1.0,50.0,-1.0,1000.0,235.0,,,,260.0,-1.0,,221.0,-1.0,150.0,-1.0,5400.0,-1.0,,-1.0,20186.0,20.0,12500.0,20186.0,4095.0,,3146.0,,-1.0,5100.0,1000.0,
2002,0.0,,5600.0,1.0,50.0,-1.0,900.0,224.0,,,,360.0,-1.0,,1281.0,-1.0,120.0,-1.0,2900.0,-1.0,,-1.0,30104.0,21.0,12800.0,30104.0,4180.0,,4271.0,,-1.0,14300.0,1000.0,
2003,2500.0,,3200.0,1.0,50.0,-1.0,800.0,26.0,,,,700.0,-1.0,,2986.0,-1.0,600.0,-1.0,1800.0,-1.0,,-1.0,26000.0,22.0,12800.0,26000.0,4290.0,,2152.0,,-1.0,10900.0,1000.0,
2004,2500.0,,1900.0,1.0,50.0,-1.0,600.0,32.0,,,,6800.0,-1.0,,1281.0,-1.0,600.0,-1.0,1500.0,-1.0,,-1.0,36000.0,23.0,13000.0,36000.0,4350.0,,2960.0,,-1.0,2000.0,1000.0,
2005,1900.0,,4700.0,1.0,50.0,-1.0,55.0,100.0,,,,7100.0,-1.0,,1200.0,-1.0,500.0,-1.0,1500.0,-1.0,,-1.0,41348.0,44.0,13000.0,41348.0,4385.0,,1806.0,,-1.0,1500.0,1000.0,
