,Austria,USSR,Japan,Poland,Syrian Arab Republic,Turkey,Czechia,Czechoslovakia,France,Republic of Korea,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,China,Serbia and Montenegro,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Croatia,Portugal,Netherlands,Ukraine
1961,8000.0,5000.0,6137.0,8864.0,8360.0,15070.0,,7541.0,11704.0,7941.0,5494.0,9658.0,9811.0,3328.0,,9022.0,8983.0,9200.0,5000.0,,3143.0,5000.0,10556.0,11101.0,,10000.0,,
1962,8182.0,5000.0,7112.0,7400.0,9705.0,15000.0,,5380.0,14254.0,7939.0,5375.0,9535.0,8441.0,3571.0,,5435.0,8848.0,8159.0,5500.0,,3143.0,5500.0,10556.0,11079.0,,11316.0,,
1963,,5000.0,4516.0,8125.0,14714.0,15079.0,,6984.0,14397.0,7864.0,5360.0,11602.0,10234.0,3742.0,,6008.0,8937.0,10270.0,5417.0,,3143.0,5417.0,10556.0,11713.0,,10000.0,,
1964,,4600.0,7126.0,8844.0,9073.0,15000.0,,7092.0,16026.0,8221.0,5414.0,10918.0,11228.0,4442.0,,8042.0,9991.0,10698.0,5385.0,,3143.0,5385.0,10556.0,11478.0,,13072.0,,
1965,,3875.0,7000.0,8534.0,16949.0,14925.0,,10562.0,16413.0,9904.0,6548.0,11131.0,12397.0,4392.0,,6459.0,10000.0,9689.0,5357.0,,3143.0,5357.0,10556.0,11444.0,,11913.0,,
1966,,4653.0,7000.0,9536.0,8000.0,14925.0,,10076.0,16018.0,10332.0,7442.0,12030.0,12128.0,5246.0,,8098.0,10866.0,,5425.0,,3143.0,5425.0,10556.0,11741.0,,9268.0,,
1967,,4419.0,6316.0,11457.0,13333.0,14894.0,,8679.0,22007.0,10182.0,7735.0,11886.0,13903.0,5957.0,,9239.0,10735.0,,5484.0,,3143.0,5484.0,10556.0,11551.0,,11667.0,,
1968,,4520.0,6316.0,13718.0,10879.0,14921.0,,9940.0,17387.0,11144.0,7609.0,11869.0,12806.0,6347.0,,5993.0,6800.0,,5541.0,,3143.0,5541.0,10556.0,11146.0,,11013.0,,
1969,,4477.0,6316.0,10584.0,9583.0,14909.0,,11258.0,12500.0,12587.0,7795.0,11472.0,15699.0,6088.0,,8137.0,8152.0,,5541.0,,3143.0,5541.0,10556.0,11327.0,,10860.0,,
1970,,4559.0,5556.0,9714.0,10990.0,15000.0,,11403.0,15769.0,12511.0,6386.0,11212.0,12996.0,5571.0,,8831.0,9447.0,,5625.0,,3143.0,5625.0,9730.0,12031.0,,9247.0,,
1971,,5128.0,5556.0,8085.0,11933.0,15094.0,,11979.0,15385.0,12477.0,8445.0,10242.0,14891.0,6731.0,,8016.0,9076.0,,5644.0,,2875.0,5644.0,10286.0,12174.0,,,,
1972,,4829.0,5556.0,8333.0,8451.0,14912.0,,13780.0,15385.0,12658.0,7533.0,10855.0,16090.0,5759.0,,7831.0,9587.0,,5758.0,,2875.0,5758.0,10000.0,10941.0,,,,
1973,,4855.0,5556.0,8018.0,9648.0,15091.0,,11251.0,15385.0,12572.0,8155.0,10559.0,17638.0,,,8774.0,10561.0,,5808.0,,2875.0,5808.0,9375.0,10652.0,,,,
1974,,4660.0,5556.0,8421.0,6020.0,15085.0,,11612.0,15385.0,12943.0,7241.0,13239.0,15442.0,,,5405.0,10458.0,,5818.0,,2875.0,5818.0,9143.0,11500.0,,,,
1975,,3942.0,5556.0,9575.0,6120.0,14894.0,,14593.0,15385.0,12493.0,8066.0,7716.0,17158.0,,,11220.0,9209.0,,5732.0,,2875.0,5732.0,9474.0,10388.0,,,,
1976,,4201.0,5556.0,9440.0,6839.0,15000.0,,8312.0,15385.0,14476.0,7568.0,3951.0,15862.0,,,8706.0,11825.0,,5679.0,,2875.0,5679.0,9500.0,9065.0,,,,
1977,,3831.0,5556.0,13974.0,6159.0,14918.0,,8661.0,15385.0,12617.0,8483.0,4051.0,17839.0,,,9640.0,13458.0,,5625.0,,2875.0,5625.0,10000.0,33500.0,,,,
1978,,2701.0,5556.0,17256.0,5616.0,14912.0,,10549.0,15625.0,12745.0,8553.0,1880.0,11876.0,,,7493.0,14264.0,,5545.0,,2875.0,5545.0,9459.0,35855.0,,,,
1979,,2362.0,5556.0,12817.0,5143.0,15068.0,,10562.0,15455.0,12745.0,8973.0,2500.0,17050.0,,,9451.0,13286.0,,5803.0,,2875.0,5803.0,9459.0,72836.0,,,,
1980,,2094.0,5556.0,10907.0,,15054.0,,11530.0,15429.0,12857.0,7352.0,2632.0,14832.0,,,7221.0,12304.0,,6333.0,,3125.0,6333.0,9474.0,35600.0,,,,
1981,,2301.0,5556.0,12051.0,,15000.0,,12906.0,15349.0,12500.0,6162.0,5556.0,17874.0,,,6856.0,12646.0,,5263.0,,3529.0,5263.0,9474.0,17647.0,,,,
1982,,2941.0,5556.0,10888.0,,15077.0,,12525.0,15667.0,12500.0,6148.0,,16673.0,,,6784.0,13086.0,,5455.0,,3889.0,5455.0,9474.0,49442.0,,,,
1983,,3534.0,5556.0,11243.0,,14945.0,,10304.0,15238.0,12500.0,7313.0,,16179.0,,,8250.0,12800.0,,7102.0,,4444.0,7102.0,9487.0,31759.0,,,,
1984,,3565.0,5854.0,11268.0,,15042.0,,12520.0,14595.0,12667.0,7163.0,,17780.0,,,6575.0,12375.0,,7674.0,,5000.0,7674.0,9500.0,57253.0,,,,
1985,,2650.0,4828.0,11792.0,,15000.0,,13457.0,14545.0,12500.0,6344.0,,17179.0,,,4139.0,16158.0,,11931.0,,5000.0,11931.0,9500.0,48521.0,,,,
1986,,2308.0,5357.0,11501.0,,15000.0,,14280.0,16154.0,12500.0,6452.0,,20742.0,,,7818.0,15415.0,,8729.0,,5769.0,8729.0,9500.0,44177.0,,,,
1987,,2100.0,5484.0,12187.0,,15000.0,,13715.0,15625.0,15449.0,9109.0,,19677.0,,,4944.0,13909.0,,12264.0,,5333.0,12264.0,9524.0,41882.0,,,,
1988,,2727.0,5714.0,11226.0,,14559.0,,8488.0,15000.0,15523.0,7245.0,,18459.0,,,4518.0,9890.0,,12830.0,,5667.0,12830.0,9524.0,41008.0,,,,
1989,,4503.0,5714.0,11701.0,,14286.0,,,15385.0,15407.0,6030.0,,21143.0,,,7108.0,13333.0,,10959.0,,5867.0,10959.0,9524.0,56937.0,,,,
1990,,3279.0,5714.0,12178.0,,14400.0,,,15385.0,15683.0,8337.0,,9623.0,,,7524.0,12534.0,,14810.0,,6333.0,14810.0,9524.0,73048.0,,,,
1991,,4516.0,,6757.0,,14212.0,,0.0,15385.0,23041.0,8000.0,,8717.0,,,6392.0,15800.0,,9880.0,,6250.0,9880.0,9524.0,57723.0,,,,
1992,90000.0,,,6842.0,,13083.0,,,15385.0,24000.0,7475.0,,10336.0,,3596.0,,,,13314.0,8213.0,6391.0,13314.0,9524.0,68714.0,13793.0,,,7331.0
1993,74962.0,,,12143.0,,14380.0,,,15385.0,30000.0,6261.0,,6061.0,,3003.0,5453.0,,,14048.0,8824.0,5932.0,14048.0,9524.0,49412.0,16000.0,,,6000.0
1994,72417.0,,,8454.0,,11200.0,,,15385.0,20278.0,13500.0,,17250.0,,2613.0,,,,12951.0,8181.0,6667.0,12951.0,9524.0,31508.0,14286.0,,,6667.0
1995,60000.0,,,6493.0,,14688.0,,,5000.0,21050.0,12873.0,,17250.0,,4778.0,5015.0,,,14000.0,7261.0,6471.0,14000.0,9524.0,63953.0,,,,5000.0
1996,,,,7467.0,,14286.0,,,,20350.0,39394.0,,19564.0,,3636.0,,,,13774.0,9264.0,6471.0,13774.0,9524.0,37238.0,,,,5000.0
1997,,,,6818.0,,14375.0,,,16883.0,19478.0,35848.0,,18844.0,,3333.0,4346.0,,,12920.0,9104.0,6471.0,12920.0,9524.0,24008.0,,,83333.0,5000.0
1998,,,,7143.0,,12500.0,,,16194.0,17800.0,36039.0,,19311.0,,3667.0,4316.0,,,13872.0,5831.0,6857.0,13872.0,9524.0,13647.0,,,57273.0,5000.0
