,Kenya,Peru,"China, Taiwan Province of",Israel,Philippines,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Austria,Spain,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Slovenia,Czechia,Argentina,Costa Rica,"China, mainland",Germany,Belgium,Morocco,Finland,Switzerland,Mexico,Slovakia,Ecuador,China,Colombia,Chile,Hungary,Greece,Australia,France,Thailand,Lithuania,Poland,Netherlands,Belgium-Luxembourg,Italy,Turkey
1961,-1.0,50000.0,-1.0,-1.0,-1.0,22831.0,15723.0,16946.0,-1.0,32000.0,-1.0,42857.0,57692.0,13333.0,-1.0,30237.0,28027.0,-1.0,-1.0,-1.0,22222.0,-1.0,25385.0,26312.0,-1.0,35000.0,-1.0,-1.0,38462.0,-1.0,-1.0,25385.0,-1.0,-1.0,3108.0,-1.0,39833.0,29555.0,-1.0,-1.0,-1.0,-1.0,148760.0,60196.0,15000.0
1962,-1.0,50000.0,-1.0,-1.0,-1.0,22831.0,15686.0,16990.0,-1.0,30000.0,-1.0,45000.0,62500.0,13066.0,-1.0,30221.0,28572.0,-1.0,-1.0,-1.0,27273.0,-1.0,26933.0,24633.0,-1.0,25000.0,-1.0,-1.0,38462.0,-1.0,-1.0,26933.0,-1.0,-1.0,3025.0,-1.0,39208.0,27592.0,-1.0,-1.0,-1.0,-1.0,85685.0,59815.0,15000.0
1963,-1.0,50000.0,-1.0,-1.0,-1.0,22831.0,15686.0,16954.0,-1.0,30000.0,-1.0,40606.0,52273.0,26415.0,-1.0,34824.0,29000.0,-1.0,-1.0,-1.0,25720.0,-1.0,28281.0,29160.0,-1.0,25556.0,-1.0,-1.0,37037.0,-1.0,-1.0,28281.0,-1.0,-1.0,5833.0,-1.0,38960.0,27211.0,-1.0,-1.0,-1.0,-1.0,83624.0,60000.0,15000.0
1964,-1.0,50000.0,22815.0,-1.0,-1.0,22831.0,15686.0,16896.0,-1.0,30966.0,-1.0,42353.0,56250.0,24706.0,-1.0,30357.0,27284.0,-1.0,-1.0,-1.0,29598.0,-1.0,27931.0,31099.0,-1.0,30000.0,-1.0,-1.0,37778.0,-1.0,-1.0,27926.0,-1.0,-1.0,5438.0,-1.0,33275.0,25897.0,-1.0,-1.0,-1.0,-1.0,102144.0,57352.0,15000.0
1965,-1.0,50000.0,17561.0,-1.0,-1.0,22831.0,15717.0,17083.0,-1.0,22201.0,-1.0,46333.0,54000.0,23529.0,-1.0,32749.0,28015.0,-1.0,-1.0,-1.0,28770.0,-1.0,29310.0,23984.0,-1.0,25000.0,-1.0,-1.0,37778.0,-1.0,-1.0,28936.0,-1.0,-1.0,4970.0,-1.0,37620.0,24974.0,-1.0,-1.0,-1.0,-1.0,80141.0,55381.0,15000.0
1966,-1.0,44460.0,40563.0,-1.0,-1.0,20905.0,16869.0,15944.0,-1.0,21931.0,-1.0,44865.0,53103.0,19275.0,-1.0,29457.0,29038.0,-1.0,-1.0,-1.0,32692.0,-1.0,29643.0,33941.0,-1.0,24903.0,-1.0,-1.0,37143.0,-1.0,-1.0,30051.0,-1.0,-1.0,7029.0,-1.0,34302.0,25481.0,-1.0,-1.0,-1.0,-1.0,80822.0,59550.0,15000.0
1967,-1.0,47754.0,38753.0,-1.0,-1.0,14630.0,17256.0,16222.0,-1.0,22767.0,-1.0,43125.0,40952.0,19740.0,-1.0,35315.0,27132.0,-1.0,-1.0,-1.0,50250.0,-1.0,30000.0,26684.0,-1.0,25000.0,-1.0,-1.0,37857.0,-1.0,-1.0,30243.0,-1.0,-1.0,9299.0,-1.0,43219.0,23172.0,-1.0,-1.0,-1.0,-1.0,81923.0,57579.0,15000.0
1968,-1.0,42764.0,80788.0,-1.0,-1.0,18270.0,17044.0,18183.0,-1.0,23571.0,-1.0,48182.0,48209.0,21372.0,-1.0,32424.0,29573.0,-1.0,-1.0,-1.0,38889.0,-1.0,32909.0,31275.0,-1.0,25000.0,-1.0,-1.0,39286.0,-1.0,-1.0,33996.0,-1.0,-1.0,8066.0,-1.0,37939.0,28163.0,-1.0,-1.0,-1.0,-1.0,105042.0,61707.0,15000.0
1969,-1.0,41809.0,81394.0,-1.0,-1.0,15062.0,16228.0,19566.0,-1.0,25484.0,-1.0,35778.0,47500.0,21191.0,-1.0,28017.0,27353.0,-1.0,-1.0,-1.0,39209.0,-1.0,35455.0,27005.0,-1.0,30000.0,-1.0,-1.0,41379.0,-1.0,-1.0,36803.0,-1.0,-1.0,18366.0,10800.0,31889.0,29677.0,-1.0,-1.0,-1.0,-1.0,58824.0,61260.0,15000.0
1970,-1.0,58976.0,89237.0,-1.0,-1.0,13708.0,20993.0,20532.0,-1.0,26667.0,-1.0,40000.0,43750.0,20470.0,-1.0,25618.0,27508.0,-1.0,-1.0,-1.0,37560.0,-1.0,37356.0,28510.0,-1.0,30000.0,-1.0,-1.0,43333.0,-1.0,-1.0,40856.0,-1.0,-1.0,18785.0,12600.0,28129.0,30957.0,-1.0,-1.0,-1.0,-1.0,45455.0,59018.0,15000.0
