,Slovakia,Uzbekistan,Romania,Turkmenistan,USSR,Norway,Australia,Mexico,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Democratic People's Republic of Korea,Germany,Croatia,Tajikistan,Turkey,"China, mainland",Estonia,Serbia,Brazil,Finland,Serbia and Montenegro,Armenia,Australia & New Zealand,Morocco,Slovenia,Chile,Hungary,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,South Africa,Austria,Ecuador,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Egypt,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Bosnia and Herzegovina,Montenegro,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,Albania,Azerbaijan,Ireland,Peru,United Kingdom,Lithuania,Bulgaria,Netherlands,China
1961,,,11626.0,,8971.0,30905.0,4290.0,,,,,,,16077.0,,20012.0,,,8742.0,10000.0,,,7341.0,13479.0,,,4290.0,5005.0,,8495.0,11077.0,7343.0,29861.0,7240.0,,1778.0,22296.0,5062.0,17865.0,17123.0,7313.0,24419.0,,28131.0,31031.0,,,8854.0,21471.0,13278.0,12000.0,,,,3995.0,5000.0,10611.0,,,11122.0,,,6626.0,,16745.0,10000.0,23786.0,,9841.0,25211.0,10000.0
1962,,,9773.0,,9046.0,22485.0,4136.0,,,,,,,16659.0,,24645.0,,,10299.0,8333.0,,,7701.0,12401.0,,,4136.0,5290.0,,9105.0,9649.0,5692.0,32791.0,9310.0,,1296.0,22367.0,3864.0,19239.0,14223.0,12057.0,23820.0,,29476.0,39791.0,,,8956.0,20790.0,14648.0,10600.0,,,,5546.0,5000.0,9548.0,,,12893.0,,,6329.0,,12559.0,9896.0,24968.0,,8211.0,31758.0,8333.0
1963,,,9751.0,,7115.0,22707.0,4125.0,,,,,,,14603.0,,25081.0,,,12987.0,8667.0,,,7227.0,16265.0,,,4125.0,4500.0,,11005.0,10322.0,8212.0,34113.0,9676.0,,1935.0,20702.0,4013.0,18202.0,16254.0,12319.0,20604.0,,27599.0,30366.0,,,8747.0,20630.0,15325.0,9600.0,,,,6775.0,5000.0,9936.0,,,11524.0,,,5834.0,,13212.0,9896.0,26304.0,,9810.0,29712.0,8667.0
1964,,,10110.0,,7293.0,26280.0,4816.0,,,,,,,16762.0,,27930.0,,,10500.0,10000.0,,,8040.0,15941.0,,,4816.0,3667.0,,11478.0,10707.0,8424.0,35703.0,8526.0,,1744.0,23325.0,5389.0,18571.0,15812.0,11136.0,29273.0,,31484.0,36932.0,,,10222.0,21422.0,17652.0,11800.0,,,,5358.0,5000.0,11146.0,,,12026.0,,,6747.0,,16471.0,9896.0,29891.0,,11057.0,33693.0,10000.0
1965,,,12223.0,,9145.0,25408.0,4068.0,,,,,,,17439.0,,24281.0,,,10616.0,11538.0,,,7876.0,17152.0,,,4068.0,4597.0,,11948.0,11701.0,7397.0,33162.0,8881.0,,849.0,20159.0,5287.0,17952.0,18442.0,14010.0,28361.0,,30176.0,33255.0,,,9809.0,20032.0,17538.0,11100.0,,,,6610.0,6000.0,10685.0,,,14193.0,,,5021.0,,16135.0,9455.0,29293.0,,11153.0,25538.0,11538.0
1966,,,10921.0,,8709.0,22097.0,4448.0,,,,,,,17935.0,,24221.0,,,11612.0,9286.0,,,7755.0,12766.0,,,4448.0,3684.0,,16057.0,11024.0,6424.0,26217.0,8493.0,,612.0,25221.0,4495.0,17857.0,17780.0,14892.0,21769.0,,29610.0,34519.0,,,10941.0,20006.0,18032.0,16800.0,,,,5127.0,5500.0,12482.0,,,13671.0,,,6709.0,,19400.0,9418.0,27618.0,,13535.0,25652.0,9286.0
1967,,,11314.0,,9411.0,32801.0,2993.0,,,,,,,17800.0,,29914.0,,,12245.0,10000.0,,,7714.0,16895.0,,,2993.0,5229.0,,13000.0,11006.0,6236.0,34938.0,8448.0,,970.0,27201.0,5467.0,17949.0,17886.0,10970.0,32206.0,,31597.0,40765.0,,,11152.0,21598.0,19669.0,14700.0,,,,7318.0,5500.0,12391.0,,,14141.0,,,7725.0,,17637.0,10198.0,27394.0,,12182.0,32575.0,10000.0
1968,,,10996.0,,10358.0,33631.0,5139.0,,,,,,,17983.0,,30189.0,,,11884.0,10000.0,,,8239.0,18494.0,,,5139.0,7000.0,,11413.0,12494.0,5958.0,33733.0,9711.0,,636.0,29059.0,6295.0,16667.0,19795.0,12065.0,30816.0,,33980.0,38867.0,,,9754.0,22829.0,20095.0,15201.0,,,,8334.0,5500.0,10455.0,,,14476.0,,,6729.0,,18519.0,9691.0,25111.0,,10030.0,31944.0,10000.0
1969,,,11221.0,,10664.0,30889.0,3314.0,,,,,,,18605.0,,28352.0,,,11979.0,10000.0,,,8431.0,17997.0,,,3314.0,5333.0,,12100.0,12831.0,7135.0,35929.0,9782.0,,737.0,29896.0,4444.0,17500.0,19567.0,11211.0,25491.0,,32849.0,38312.0,,,10578.0,24911.0,20079.0,17200.0,,,,7088.0,4000.0,10928.0,,,14685.0,,,8363.0,,30864.0,9151.0,30689.0,,11723.0,33369.0,10000.0
1970,,,9509.0,,11652.0,31788.0,5443.0,,,,,,,19400.0,,26843.0,,,9692.0,10385.0,,,8274.0,19939.0,,,5443.0,8870.0,,12931.0,10415.0,5015.0,33045.0,8263.0,,2917.0,26559.0,4000.0,17500.0,15920.0,14271.0,28616.0,,30055.0,39113.0,,,12658.0,20703.0,21259.0,16199.0,,,,6736.0,4000.0,11339.0,,,16204.0,,,9215.0,,30769.0,8416.0,29676.0,,12606.0,30438.0,10385.0
