,"China, Taiwan Province of",Japan,Bhutan,Ethiopia PDR,Egypt,Pakistan,Thailand,Nepal,Viet Nam,Bangladesh,Iran (Islamic Republic of),Peru,Brazil,Cambodia,"China, mainland",El Salvador,Uzbekistan,Côte d'Ivoire,Zimbabwe,Cameroon,Myanmar,China,India
1961,11052.0,360.0,,,2000.0,,10057.0,30000.0,8100.0,834000.0,9036.0,750.0,35628.0,1897.0,32000.0,-1.0,,,1500.0,,5382.0,43052.0,917000.0
1962,7734.0,320.0,,,2000.0,,7129.0,30000.0,9800.0,697300.0,6897.0,1660.0,40688.0,1800.0,30000.0,-1.0,,,1500.0,,8666.0,37734.0,847000.0
1963,6696.0,300.0,,,2000.0,,5304.0,32000.0,12000.0,688000.0,4821.0,3620.0,36094.0,2400.0,36000.0,-1.0,,,1500.0,,18014.0,42696.0,869000.0
1964,6819.0,270.0,,,2000.0,,5188.0,32000.0,13000.0,671800.0,4000.0,3630.0,41795.0,2400.0,40000.0,-1.0,,,1500.0,,19028.0,46819.0,845100.0
1965,7527.0,218.0,,,2000.0,,7194.0,32000.0,14300.0,886000.0,6000.0,3400.0,47269.0,1500.0,38000.0,-1.0,,,1500.0,,17324.0,45527.0,758400.0
1966,6596.0,0.0,,,2100.0,,9648.0,32000.0,13100.0,876200.0,10000.0,2520.0,33692.0,1800.0,57000.0,-1.0,,,1500.0,,24902.0,63596.0,796800.0
1967,5343.0,,9.0,,2100.0,,7327.0,32000.0,12000.0,971000.0,4000.0,2620.0,43173.0,4500.0,58000.0,-1.0,,,1500.0,,21297.0,63343.0,880100.0
1968,6753.0,,10.0,,2100.0,,4095.0,47000.0,12000.0,897000.0,6000.0,2635.0,48424.0,6400.0,48800.0,-1.0,,,1500.0,,30046.0,55553.0,526700.0
1969,7030.0,,10.0,,2900.0,,2124.0,46000.0,12000.0,976000.0,6000.0,3000.0,45952.0,12870.0,46000.0,-1.0,,,1500.0,,30881.0,53030.0,767600.0
1970,4208.0,,15.0,,5000.0,,1365.0,51700.0,11700.0,918000.0,4000.0,4100.0,33304.0,10000.0,45000.0,-1.0,,,1500.0,,30473.0,49208.0,749300.0
1971,1276.0,,15.0,,5500.0,130.0,1863.0,54813.0,9400.0,694000.0,2160.0,5715.0,31432.0,5500.0,44000.0,-1.0,,,1500.0,,39614.0,45276.0,815300.0
1972,708.0,,15.0,,4800.0,646.0,9136.0,57850.0,10000.0,896261.0,2900.0,5530.0,32307.0,5200.0,55000.0,-1.0,,,1500.0,,79211.0,55708.0,700200.0
1973,431.0,,15.0,,4600.0,1947.0,17145.0,54410.0,12000.0,888857.0,2700.0,5110.0,58306.0,3500.0,82500.0,-1.0,,,1500.0,,104614.0,82931.0,792800.0
1974,275.0,,15.0,,3900.0,2862.0,23178.0,33131.0,12000.0,583000.0,2500.0,2950.0,34670.0,3300.0,95000.0,-1.0,,,1500.0,,92275.0,95275.0,664300.0
1975,221.0,,18.0,,4000.0,1135.0,9914.0,33000.0,12300.0,511000.0,2300.0,3000.0,27648.0,2500.0,98000.0,-1.0,,,1500.0,,46518.0,98221.0,584500.0
1976,121.0,,18.0,,4000.0,815.0,6756.0,34000.0,14170.0,650000.0,2100.0,2700.0,47860.0,3000.0,114000.0,-1.0,,,1500.0,100.0,42459.0,114121.0,737400.0
1977,35.0,,20.0,,4400.0,1079.0,8477.0,33000.0,15280.0,735000.0,2000.0,2500.0,34469.0,2500.0,136700.0,-1.0,,,1500.0,120.0,33492.0,136735.0,797400.0
1978,88.0,,20.0,100.0,4400.0,1603.0,16731.0,40000.0,14470.0,835000.0,1800.0,2600.0,16562.0,2000.0,157100.0,-1.0,,,1500.0,90.0,58043.0,157188.0,884400.0
1979,27.0,,20.0,100.0,4400.0,2107.0,15813.0,47000.0,14800.0,760000.0,1300.0,2700.0,25143.0,1000.0,130000.0,-1.0,,,1500.0,160.0,94765.0,130027.0,834300.0
1980,14.0,,20.0,300.0,4500.0,1323.0,16575.0,57000.0,17980.0,635000.0,1000.0,1379.0,26174.0,300.0,130000.0,-1.0,,,1500.0,170.0,93697.0,130014.0,940700.0
1981,7.0,,30.0,300.0,3500.0,1220.0,16499.0,51959.0,16540.0,570000.0,400.0,1136.0,36416.0,700.0,125000.0,-1.0,,,1500.0,180.0,91044.0,125007.0,825700.0
1982,10.0,,30.0,300.0,2000.0,1153.0,10528.0,35320.0,17120.0,575000.0,200.0,1580.0,14655.0,1100.0,101000.0,-1.0,,,1500.0,180.0,33932.0,101010.0,734200.0
1983,,,30.0,300.0,2000.0,1297.0,9953.0,30400.0,24900.0,581000.0,170.0,1660.0,10993.0,1800.0,93000.0,-1.0,,,1500.0,180.0,58958.0,93000.0,759800.0
1984,,,30.0,300.0,2000.0,1145.0,8308.0,23666.0,20000.0,676000.0,140.0,1093.0,20880.0,1270.0,128000.0,-1.0,,,1500.0,180.0,51537.0,128000.0,833000.0
1985,,,50.0,300.0,2000.0,616.0,13003.0,27200.0,22040.0,924000.0,130.0,1800.0,21184.0,2100.0,482000.0,-1.0,,,1500.0,180.0,50177.0,482000.0,1145700.0
1986,,,60.0,300.0,2000.0,635.0,9720.0,47190.0,26100.0,1057942.0,38.0,1800.0,28737.0,3000.0,200000.0,-1.0,,,1950.0,180.0,45249.0,200000.0,802700.0
1987,,,75.0,300.0,2000.0,704.0,7342.0,19840.0,31950.0,772300.0,22.0,1900.0,20495.0,5400.0,172000.0,-1.0,,,1950.0,183.0,41549.0,172000.0,697200.0
1988,,,90.0,300.0,2000.0,223.0,9652.0,14450.0,17140.0,512304.0,25.0,1900.0,13533.0,2900.0,175000.0,-1.0,,,1950.0,185.0,36510.0,175000.0,690900.0
1989,,,90.0,300.0,2000.0,127.0,8929.0,13554.0,15700.0,543386.0,25.0,1900.0,7120.0,1980.0,180000.0,-1.0,,,1950.0,185.0,42721.0,180000.0,677400.0
1990,0.0,0.0,97.0,332.0,1600.0,293.0,14727.0,13000.0,11746.0,541704.0,24.0,190.0,3016.0,1600.0,190000.0,-1.0,,,2300.0,186.0,31091.0,190000.0,777600.0
1991,0.0,0.0,84.0,300.0,1100.0,94.0,10015.0,14000.0,10500.0,583439.0,27.0,150.0,2845.0,1400.0,169900.0,-1.0,,,2300.0,190.0,25396.0,169900.0,875400.0
1992,0.0,0.0,85.0,300.0,750.0,7.0,8678.0,15000.0,11600.0,588097.0,25.0,170.0,2553.0,1895.0,175000.0,-1.0,4800.0,,2850.0,192.0,26832.0,175000.0,726500.0
1993,0.0,0.0,84.0,,760.0,47.0,10000.0,9000.0,14400.0,478300.0,10.0,180.0,2721.0,2345.0,173000.0,-1.0,5200.0,,2828.0,190.0,47226.0,173000.0,694700.0
1994,0.0,0.0,89.0,,780.0,46.0,7000.0,9000.0,6600.0,559700.0,-1.0,180.0,1755.0,1800.0,120000.0,-1.0,2300.0,,2904.0,190.0,30477.0,120000.0,738700.0
1995,0.0,0.0,86.0,,800.0,31.0,5700.0,9000.0,7500.0,458500.0,-1.0,198.0,1651.0,915.0,100000.0,-1.0,1300.0,,3000.0,190.0,37456.0,100000.0,737000.0
1996,0.0,0.0,86.0,,850.0,29.0,4300.0,11150.0,8000.0,507236.0,-1.0,190.0,442.0,1700.0,100500.0,-1.0,2000.0,,3000.0,190.0,47300.0,100500.0,897000.0
