,Guinea,Cuba,Kenya,"China, Taiwan Province of",Mozambique,Morocco,Ethiopia PDR,Comoros,Mexico,Dominican Republic,Ethiopia,Central African Republic,Indonesia,China,Jamaica,Malawi,United Republic of Tanzania,Venezuela (Bolivarian Republic of),South Africa,Democratic Republic of the Congo,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Uganda,Thailand,Haiti
1961,1000.0,-1.0,75000.0,7014.0,57000.0,1000.0,1500.0,1000.0,174343.0,3500.0,-1.0,5000.0,6800.0,15014.0,1214.0,1000.0,210000.0,10455.0,3000.0,600.0,-1,197000.0,8000.0,21000.0,50000.0,2000.0,-1.0,50000.0
1962,1000.0,-1.0,70000.0,7413.0,53000.0,1000.0,1500.0,1700.0,177152.0,2000.0,-1.0,5000.0,5800.0,15413.0,1295.0,1000.0,220000.0,10515.0,3000.0,600.0,-1,209000.0,8000.0,23000.0,50000.0,2000.0,-1.0,50000.0
1963,1000.0,-1.0,80000.0,8094.0,54000.0,1000.0,1600.0,1600.0,183804.0,2000.0,-1.0,5000.0,5600.0,16094.0,1295.0,1000.0,220000.0,10066.0,3000.0,600.0,-1,242000.0,8000.0,26000.0,50000.0,1000.0,-1.0,50000.0
1964,1000.0,-1.0,78000.0,8704.0,56000.0,1300.0,2500.0,1400.0,211670.0,1300.0,-1.0,5000.0,4200.0,16704.0,1214.0,1000.0,226620.0,11107.0,3000.0,600.0,-1,289000.0,8000.0,25880.0,50000.0,1000.0,-1.0,50000.0
1965,1000.0,-1.0,77000.0,8644.0,55000.0,1300.0,3000.0,1200.0,202392.0,950.0,-1.0,5000.0,5000.0,16644.0,647.0,1000.0,216304.0,11015.0,3000.0,700.0,-1,326000.0,8000.0,25020.0,50000.0,1133.0,-1.0,44000.0
1966,1000.0,-1.0,72800.0,8962.0,50811.0,1300.0,3100.0,1000.0,205406.0,900.0,-1.0,500.0,5300.0,16962.0,650.0,1000.0,232458.0,11157.0,3000.0,800.0,-1,320000.0,8000.0,23465.0,50000.0,809.0,-1.0,44000.0
1967,1000.0,-1.0,66950.0,8981.0,50239.0,1300.0,3200.0,1000.0,208786.0,850.0,-1.0,500.0,5600.0,16981.0,650.0,1000.0,242416.0,10857.0,5000.0,800.0,-1,310000.0,8000.0,23270.0,50000.0,809.0,-1.0,40000.0
1968,1000.0,-1.0,55900.0,8598.0,50000.0,1300.0,3400.0,900.0,185565.0,750.0,-1.0,500.0,4600.0,16598.0,650.0,1000.0,249299.0,10524.0,7000.0,800.0,-1,310000.0,8000.0,23140.0,50000.0,400.0,-1.0,32000.0
1969,1000.0,-1.0,52000.0,8806.0,50000.0,1300.0,3700.0,800.0,188845.0,700.0,-1.0,500.0,3400.0,16806.0,650.0,1000.0,256847.0,10401.0,7000.0,800.0,-1,310000.0,8000.0,24125.0,50000.0,0.0,-1.0,30000.0
1970,1000.0,5500.0,52000.0,7510.0,40995.0,1300.0,2500.0,700.0,178770.0,650.0,-1.0,500.0,2300.0,15510.0,650.0,1000.0,250369.0,10112.0,7000.0,800.0,-1,310000.0,8000.0,22800.0,50000.0,0.0,80.0,30000.0
