,Switzerland,Israel,Uzbekistan,Romania,Jordan,Saudi Arabia,Egypt,Mexico,Kenya,France,Zimbabwe,Costa Rica,Italy,Zambia,Lebanon,Turkey,Syrian Arab Republic,Tunisia,Cyprus,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Greece,Morocco,"China, mainland",Chile,Algeria,Argentina,Peru,Spain,Lithuania,Portugal,Occupied Palestinian Territory,Malta
1961,-1.0,200.0,,-1.0,,-1.0,840.0,,-1.0,20109.0,-1.0,-1.0,46000.0,,125.0,300.0,-1.0,1900.0,265.0,-1.0,,-1.0,3440.0,4168.0,6000.0,-1.0,3200.0,5000.0,1500.0,270.0,10060.0,,,-1.0,-1.0
1962,-1.0,250.0,,-1.0,,-1.0,840.0,,-1.0,19105.0,-1.0,-1.0,48000.0,,125.0,325.0,-1.0,1700.0,270.0,-1.0,,-1.0,3237.0,4576.0,5000.0,-1.0,3400.0,5000.0,1502.0,270.0,10335.0,,,-1.0,-1.0
1963,-1.0,300.0,,-1.0,,-1.0,840.0,,-1.0,21530.0,-1.0,-1.0,47000.0,,125.0,340.0,-1.0,2400.0,275.0,-1.0,,-1.0,3237.0,4730.0,5400.0,-1.0,3400.0,5000.0,1414.0,270.0,12185.0,,,-1.0,-1.0
1964,-1.0,350.0,,-1.0,,-1.0,840.0,,-1.0,21640.0,-1.0,-1.0,49208.0,,125.0,350.0,-1.0,2400.0,280.0,-1.0,,-1.0,3521.0,4830.0,8500.0,-1.0,3500.0,4520.0,990.0,270.0,13062.0,,,-1.0,-1.0
1965,-1.0,400.0,,-1.0,,-1.0,840.0,,-1.0,21470.0,-1.0,-1.0,55450.0,,50.0,360.0,-1.0,3000.0,288.0,-1.0,,-1.0,3723.0,4790.0,6000.0,-1.0,3500.0,5700.0,1125.0,270.0,14159.0,,,-1.0,-1.0
1966,-1.0,415.0,,-1.0,,-1.0,939.0,,-1.0,19860.0,-1.0,-1.0,59607.0,,50.0,375.0,-1.0,3200.0,294.0,-1.0,,-1.0,3602.0,4700.0,4006.0,-1.0,3700.0,5080.0,2491.0,275.0,14134.0,,,-1.0,-1.0
1967,-1.0,470.0,,-1.0,,-1.0,668.0,,-1.0,19175.0,-1.0,-1.0,62482.0,,45.0,390.0,-1.0,2950.0,308.0,-1.0,,-1.0,3885.0,4861.0,5000.0,-1.0,3200.0,4460.0,2738.0,285.0,14561.0,,,-1.0,-1.0
1968,-1.0,475.0,,-1.0,,-1.0,420.0,,-1.0,16208.0,-1.0,-1.0,61443.0,,45.0,400.0,-1.0,2000.0,321.0,-1.0,,-1.0,3885.0,4760.0,6000.0,-1.0,3000.0,5270.0,3110.0,350.0,13610.0,,,-1.0,-1.0
1969,-1.0,660.0,,-1.0,,-1.0,420.0,,-1.0,17081.0,-1.0,-1.0,62218.0,,45.0,440.0,-1.0,1700.0,334.0,-1.0,,-1.0,4087.0,4460.0,5400.0,-1.0,2700.0,4040.0,3380.0,230.0,13208.0,,,-1.0,-1.0
1970,-1.0,970.0,,-1.0,,-1.0,420.0,,-1.0,17000.0,-1.0,-1.0,63379.0,,41.0,500.0,-1.0,1450.0,468.0,-1.0,,-1.0,4451.0,4600.0,6000.0,-1.0,2400.0,4000.0,3675.0,220.0,22375.0,,,-1.0,-1.0
1971,-1.0,1005.0,,-1.0,,-1.0,420.0,,-1.0,16755.0,-1.0,-1.0,63742.0,,46.0,625.0,-1.0,1980.0,508.0,-1.0,,-1.0,4451.0,4600.0,5400.0,-1.0,2000.0,5010.0,3790.0,200.0,24000.0,,,-1.0,-1.0
1972,-1.0,765.0,,-1.0,,-1.0,420.0,,-1.0,17000.0,-1.0,-1.0,62299.0,,46.0,550.0,-1.0,2400.0,562.0,-1.0,,-1.0,4492.0,4600.0,6000.0,-1.0,1900.0,3070.0,4280.0,200.0,21800.0,,,-1.0,-1.0
1973,-1.0,580.0,,-1.0,1.0,-1.0,840.0,,-1.0,18400.0,-1.0,-1.0,59094.0,,51.0,750.0,-1.0,2100.0,562.0,-1.0,,-1.0,4856.0,4693.0,6000.0,-1.0,1600.0,3470.0,4030.0,200.0,26100.0,,,-1.0,-1.0
1974,-1.0,420.0,,-1.0,,-1.0,420.0,,-1.0,17600.0,-1.0,-1.0,57546.0,,65.0,700.0,-1.0,2200.0,562.0,-1.0,,-1.0,4371.0,4300.0,5800.0,-1.0,1600.0,4090.0,4300.0,175.0,26800.0,,,-1.0,-1.0
1975,-1.0,240.0,,-1.0,,-1.0,420.0,,-1.0,16188.0,-1.0,-1.0,53730.0,,50.0,850.0,-1.0,2380.0,401.0,-1.0,,-1.0,4128.0,4000.0,5800.0,-1.0,2100.0,4310.0,4376.0,290.0,19300.0,,,-1.0,-1.0
1976,-1.0,450.0,,-1.0,2.0,-1.0,916.0,,-1.0,17000.0,-1.0,-1.0,52685.0,,50.0,950.0,-1.0,2400.0,401.0,-1.0,,-1.0,4290.0,3900.0,6000.0,-1.0,2000.0,4730.0,2820.0,290.0,21500.0,,,-1.0,-1.0
1977,-1.0,325.0,,-1.0,20.0,-1.0,431.0,,-1.0,14693.0,-1.0,-1.0,51738.0,,50.0,1000.0,-1.0,2350.0,435.0,-1.0,,-1.0,4371.0,3900.0,6200.0,-1.0,1700.0,3210.0,2800.0,213.0,24500.0,,,-1.0,-1.0
1978,-1.0,359.0,,-1.0,,-1.0,1166.0,,-1.0,14867.0,-1.0,-1.0,52359.0,,50.0,1200.0,-1.0,2800.0,187.0,-1.0,,-1.0,4006.0,3900.0,6200.0,-1.0,1740.0,3310.0,2880.0,189.0,26800.0,,,-1.0,-1.0
1979,-1.0,310.0,,-1.0,,-1.0,1657.0,,-1.0,15216.0,-1.0,-1.0,51154.0,,50.0,1000.0,-1.0,1700.0,201.0,-1.0,,-1.0,3925.0,3780.0,6300.0,-1.0,2300.0,3780.0,3000.0,133.0,25940.0,,,-1.0,-1.0
1980,-1.0,250.0,,-1.0,,-1.0,1980.0,16.0,-1.0,14494.0,-1.0,-1.0,53433.0,,50.0,1000.0,-1.0,1600.0,154.0,-1.0,,-1.0,3729.0,3470.0,6300.0,-1.0,2400.0,2670.0,2990.0,160.0,21900.0,,,-1.0,-1.0
1981,-1.0,250.0,,-1.0,,-1.0,1956.0,4.0,-1.0,14800.0,-1.0,-1.0,53341.0,,60.0,848.0,-1.0,2900.0,147.0,-1.0,,-1.0,3937.0,3380.0,6400.0,-1.0,2600.0,1930.0,3030.0,195.0,23900.0,,,-1.0,-1.0
1982,-1.0,270.0,,-1.0,,-1.0,2209.0,17.0,-1.0,14500.0,-1.0,-1.0,51429.0,,60.0,1341.0,-1.0,2100.0,174.0,-1.0,,-1.0,4638.0,3500.0,2800.0,-1.0,2700.0,1340.0,3890.0,202.0,22800.0,,,-1.0,-1.0
1983,-1.0,310.0,,-1.0,4.0,-1.0,1260.0,1.0,-1.0,14200.0,-1.0,-1.0,50656.0,,80.0,1300.0,-1.0,1500.0,181.0,-1.0,,-1.0,4791.0,3500.0,2000.0,-1.0,3000.0,1700.0,3795.0,197.0,23500.0,,,-1.0,-1.0
1984,-1.0,270.0,,-1.0,,-1.0,1680.0,,-1.0,14300.0,-1.0,-1.0,51696.0,,100.0,950.0,-1.0,1300.0,187.0,-1.0,,-1.0,5000.0,3400.0,1800.0,-1.0,3684.0,2010.0,3300.0,194.0,25640.0,,,-1.0,-1.0
1985,-1.0,240.0,,-1.0,,-1.0,2100.0,9.0,-1.0,13500.0,-1.0,-1.0,49113.0,,120.0,1200.0,-1.0,1350.0,147.0,-1.0,,-1.0,4869.0,3380.0,1600.0,-1.0,1862.0,800.0,3840.0,119.0,27061.0,,,-1.0,-1.0
1986,-1.0,270.0,,-1.0,,-1.0,2100.0,23.0,-1.0,14000.0,-1.0,-1.0,49839.0,,155.0,1400.0,-1.0,1500.0,147.0,-1.0,,-1.0,5406.0,2864.0,1800.0,-1.0,1862.0,830.0,3400.0,116.0,26000.0,,,-1.0,-1.0
1987,-1.0,330.0,,-1.0,,-1.0,2520.0,84.0,-1.0,13000.0,-1.0,-1.0,49111.0,,185.0,1450.0,-1.0,1700.0,147.0,-1.0,,-1.0,4502.0,3320.0,2000.0,-1.0,2232.0,1370.0,3800.0,122.0,25320.0,,,-1.0,-1.0
