,"China, Taiwan Province of",Romania,USSR,Norway,Paraguay,Pakistan,Ethiopia,Luxembourg,Czechia,Bangladesh,Italy,Germany,Croatia,Uzbekistan,Brazil,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Argentina,Australia,Spain,Ireland,India,Austria,Japan,Poland,Canada,Turkey,Belarus,Denmark,Ethiopia PDR,The former Yugoslav Republic of Macedonia,Latvia,United Kingdom,France,Republic of Korea,Uruguay,Bosnia and Herzegovina,Hungary,Russian Federation,Yugoslav SFR,Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Algeria,Colombia,Lithuania,Bulgaria,Netherlands,China
1961,9.0,2.0,881.0,6.0,0.0,3156.0,,,,3582.0,65.0,4976.0,,,0.0,,0.0,,,207.0,32.0,0.0,0.0,0.0,20000.0,21.0,1039.0,24960.0,2000.0,67.0,,1247.0,500.0,,,10.0,447.0,55.0,0.0,,60.0,,23.0,,0.0,40.0,,47600.0,374.0,0.0,,121.0,57.0,47609.0
1962,10.0,1.0,353.0,10.0,0.0,3462.0,,,,3497.0,55.0,5028.0,,,0.0,,0.0,,,295.0,38.0,0.0,0.0,0.0,20000.0,21.0,844.0,19270.0,1000.0,67.0,,782.0,500.0,,,16.0,400.0,34.0,0.0,,80.0,,27.0,,0.0,50.0,,50470.0,266.0,0.0,,35.0,55.0,50480.0
1963,20.0,10.0,132.0,14.0,0.0,3323.0,,,,3035.0,50.0,5822.0,,,0.0,,0.0,,,349.0,53.0,0.0,0.0,0.0,20000.0,28.0,718.0,23650.0,2000.0,80.0,,1266.0,500.0,,,16.0,621.0,42.0,0.0,,120.0,,31.0,,0.0,40.0,,62580.0,370.0,0.0,,52.0,51.0,62600.0
1964,20.0,100.0,233.0,23.0,0.0,3419.0,,,,2786.0,55.0,5745.0,,,0.0,,0.0,,,403.0,40.0,0.0,0.0,0.0,14000.0,29.0,512.0,27360.0,3000.0,80.0,,1359.0,500.0,,,16.0,866.0,41.0,0.0,,141.0,,30.0,,0.0,60.0,,63774.0,332.0,0.0,,11.0,68.0,63793.0
1965,8.0,50.0,220.0,31.0,0.0,3091.0,,,,2877.0,55.0,5513.0,,,0.0,,0.0,,,433.0,14.0,0.0,0.0,0.0,22000.0,31.0,399.0,27200.0,5000.0,64.0,,1036.0,500.0,,,32.0,894.0,73.0,0.0,,140.0,,32.0,,0.0,70.0,,61110.0,297.0,0.0,,1.0,71.0,61118.0
1966,4.0,100.0,273.0,45.0,0.0,3218.0,,,,2957.0,30.0,5697.0,,,0.0,,0.0,,,316.0,8.0,0.0,0.0,0.0,19000.0,32.0,326.0,31500.0,5000.0,67.0,,989.0,500.0,,,79.0,1066.0,98.0,0.0,,120.0,,40.0,,0.0,70.0,,58205.0,271.0,0.0,,6.0,73.0,58209.0
1967,3.0,2.0,213.0,55.0,0.0,3796.0,,,,3218.0,30.0,6471.0,,,0.0,,6.0,,,262.0,12.0,6.0,0.0,0.0,18000.0,31.0,237.0,36110.0,6000.0,65.0,,735.0,500.0,,,69.0,1263.0,105.0,0.0,,200.0,,51.0,,0.0,70.0,,49105.0,268.0,0.0,,6.0,93.0,49108.0
1968,2.0,8.0,84.0,37.0,0.0,3096.0,,,,3351.0,30.0,6490.0,,,0.0,,19.0,,,339.0,15.0,19.0,0.0,0.0,24000.0,20.0,178.0,14830.0,4000.0,70.0,,595.0,500.0,,,95.0,1454.0,168.0,0.0,,300.0,,56.0,,0.0,70.0,,49910.0,294.0,0.0,,2.0,86.0,49912.0
1969,2.0,14.0,129.0,17.0,0.0,3340.0,,,,3266.0,30.0,6753.0,,,0.0,,172.0,,,376.0,10.0,172.0,0.0,0.0,20000.0,19.0,115.0,29760.0,7000.0,29.0,,653.0,510.0,,,52.0,1752.0,139.0,0.0,,500.0,,62.0,,0.0,60.0,,50820.0,306.0,0.0,,1.0,105.0,50822.0
1970,2.0,12.0,177.0,9.0,0.0,3569.0,,,,3224.0,30.0,7415.0,,,0.0,,340.0,,,346.0,19.0,340.0,3.0,0.0,24000.0,17.0,82.0,36150.0,14000.0,25.0,,1259.0,510.0,,,68.0,1689.0,172.0,0.0,,800.0,,91.0,,0.0,60.0,,56490.0,292.0,0.0,,1.0,146.0,56492.0
1971,1.0,11.0,264.0,10.0,0.0,3935.0,,,,2831.0,30.0,8141.0,,,0.0,,309.0,,,393.0,10.0,309.0,0.0,0.0,30000.0,16.0,65.0,27570.0,16000.0,15.0,,1527.0,510.0,,,89.0,1611.0,105.0,0.0,,900.0,,93.0,,0.0,60.0,,68775.0,227.0,0.0,,1.0,210.0,68776.0
1972,1.0,43.0,438.0,19.0,0.0,3736.0,,,,2872.0,45.0,8663.0,,,0.0,,67.0,,,216.0,7.0,67.0,2.0,0.0,27000.0,11.0,47.0,31540.0,11000.0,8.0,,2295.0,520.0,,,179.0,1639.0,81.0,0.0,,900.0,,47.0,,0.0,50.0,,73290.0,311.0,0.0,,0.0,213.0,73291.0
1973,1.0,79.0,339.0,17.0,0.0,3750.0,,,,2647.0,15.0,8682.0,,,0.0,,47.0,,,175.0,3.0,47.0,17.0,0.0,27000.0,11.0,32.0,25790.0,11000.0,7.0,,2402.0,520.0,,,321.0,1699.0,155.0,0.0,,600.0,,53.0,,0.0,60.0,,72135.0,230.0,0.0,,0.0,192.0,72136.0
1974,3.0,129.0,381.0,24.0,0.0,3160.0,,,,2943.0,10.0,7954.0,,,0.0,,64.0,,,318.0,1.0,64.0,29.0,0.0,26000.0,12.0,26.0,30903.0,14300.0,4.0,,3586.0,520.0,,,507.0,1409.0,161.0,0.0,,800.0,,73.0,,0.0,60.0,,80885.0,222.0,0.0,,1.0,197.0,80888.0
1975,4.0,66.0,477.0,29.0,0.0,3291.0,,,,2894.0,10.0,7890.0,,,0.0,,31.0,,,417.0,3.0,31.0,28.0,10.0,33000.0,9.0,22.0,39757.0,5625.0,41.0,,2214.0,500.0,,,624.0,1486.0,150.0,0.0,,930.0,,112.0,,0.0,60.0,,82040.0,485.0,0.0,,0.0,173.0,82044.0
1976,3.0,40.0,420.0,25.0,0.0,3632.0,,,,2914.0,5.0,8743.0,,,0.0,,76.0,,,376.0,14.0,76.0,56.0,10.0,29000.0,10.0,19.0,39958.0,11600.0,94.0,,1930.0,500.0,,,721.0,1415.0,164.0,0.0,,980.0,,199.0,,0.0,60.0,,77525.0,322.0,0.0,,0.0,156.0,77528.0
1977,3.0,79.0,420.0,23.0,0.0,2886.0,,,,3087.0,5.0,9222.0,,,0.0,,89.0,,,241.0,21.0,89.0,84.0,10.0,23000.0,13.0,16.0,33673.0,20752.0,90.0,,2348.0,450.0,,,834.0,1348.0,112.0,0.0,,1860.0,,346.0,,0.0,60.0,,90895.0,430.0,0.0,,0.0,135.0,90898.0
1978,2.0,83.0,330.0,26.0,0.0,3031.0,,,,5340.0,5.0,9381.0,,,0.0,,166.0,,,377.0,32.0,166.0,112.0,10.0,25000.0,9.0,16.0,18003.0,25000.0,275.0,,3227.0,380.0,,,964.0,1227.0,70.0,0.0,,1067.0,,416.0,,0.0,30.0,,96530.0,523.0,0.0,,0.0,97.0,96532.0
1979,2.0,143.0,600.0,28.0,0.0,2866.0,,,,5280.0,3.0,11734.0,,,15.0,,94.0,,,353.0,176.0,94.0,420.0,10.0,28000.0,19.0,15.0,31983.0,15300.0,100.0,,5096.0,200.0,,,1193.0,1952.0,88.0,0.0,,1267.0,,316.0,,0.0,30.0,,99435.0,467.0,0.0,,0.0,111.0,99437.0
1980,1.0,131.0,1779.0,31.0,0.0,2919.0,,,,5580.0,1.0,13731.0,,,75.0,,63.0,,,167.0,16.0,63.0,281.0,15.0,21000.0,21.0,14.0,27731.0,10300.0,63.0,,6428.0,300.0,,,1625.0,2306.0,74.0,0.0,,6632.0,,312.0,,0.0,30.0,,132895.0,503.0,0.0,,0.0,153.0,132896.0
1981,1.0,139.0,3000.0,37.0,0.0,2736.0,,,,5460.0,1.0,12606.0,,,85.0,,49.0,,,72.0,15.0,49.0,281.0,25.0,34000.0,20.0,13.0,25845.0,13000.0,17.0,,7572.0,400.0,,,2262.0,2365.0,64.0,0.0,,4364.0,,436.0,,0.0,30.0,,144130.0,587.0,0.0,,0.0,151.0,144131.0
1982,1.0,235.0,4320.0,36.0,0.0,2699.0,,,,5340.0,3.0,14672.0,,,60.0,,71.0,,,19.0,15.0,71.0,283.0,25.0,27000.0,23.0,12.0,24704.0,17100.0,3.0,,8115.0,530.0,,,2886.0,2350.0,42.0,0.0,,4473.0,,462.0,,0.0,20.0,,128300.0,357.0,0.0,,0.0,185.0,128300.0
1983,1.0,498.0,3270.0,48.0,0.0,2193.0,,,,5461.0,20.0,14968.0,,,60.0,,120.0,,,30.0,15.0,120.0,115.0,50.0,27000.0,23.0,10.0,39561.0,22900.0,3.0,,9560.0,400.0,,,3497.0,2166.0,34.0,0.0,,1203.0,,564.0,,0.0,20.0,,119455.0,317.0,0.0,,0.0,184.0,119456.0
1984,0.0,593.0,3690.0,37.0,0.0,2428.0,,,,5777.0,60.0,15321.0,,,60.0,,297.0,,,134.0,15.0,297.0,140.0,50.0,28000.0,30.0,9.0,46702.0,20500.0,1.0,,10841.0,450.0,,,3848.0,2369.0,25.0,0.0,,861.0,,630.0,,0.0,0.0,,157290.0,289.0,0.0,,0.0,141.0,157290.0
1985,1.0,235.0,4320.0,33.0,0.0,2454.0,,,,5544.0,250.0,11000.0,,,60.0,,260.0,,,399.0,15.0,260.0,69.0,25.0,28000.0,42.0,8.0,51486.0,19400.0,1.0,,11300.0,530.0,,,3887.0,1962.0,23.0,0.0,,814.0,,561.0,,0.0,0.0,,172060.0,330.0,0.0,,0.0,82.0,172061.0
1986,0.0,120.0,12210.0,31.0,0.0,2120.0,,,,5141.0,305.0,11000.0,,,60.0,,233.0,,,329.0,15.0,233.0,95.0,70.0,26000.0,111.0,7.0,49858.0,19700.0,3.0,,12500.0,700.0,,,5044.0,3690.0,28.0,0.0,,868.0,,356.0,,115.0,0.0,,184359.0,364.0,10.0,,0.0,136.0,184359.0
1987,0.0,119.0,18210.0,30.0,0.0,1882.0,,,,4768.0,334.0,11000.0,,,60.0,,172.0,,,422.0,15.0,172.0,99.0,50.0,32000.0,149.0,6.0,47048.0,26500.0,12.0,,9950.0,1100.0,,,4511.0,4150.0,24.0,0.0,,723.0,,288.0,,90.0,1.0,,172760.0,429.0,7.0,,0.0,102.0,172760.0
1988,0.0,198.0,15360.0,29.0,0.0,2335.0,,,,5009.0,250.0,10000.0,,,60.0,,199.0,,,428.0,79.0,199.0,163.0,40.0,34000.0,169.0,6.0,57000.0,21000.0,32.0,,11500.0,1300.0,,,4173.0,3285.0,22.0,0.0,,1009.0,,315.0,,248.0,1.0,,174746.0,386.0,3.0,,0.0,87.0,174746.0
1989,0.0,130.0,13530.0,25.0,0.0,2150.0,,,,5076.0,250.0,9000.0,,,60.0,,292.0,,,224.0,80.0,292.0,338.0,60.0,35000.0,196.0,6.0,50037.0,18200.0,20.0,,13550.0,1400.0,,,5069.0,3398.0,23.0,0.0,,797.0,,338.0,,233.0,1.0,,192621.0,452.0,3.0,,0.0,112.0,192621.0
1990,0.0,88.0,10980.0,21.0,0.0,2125.0,,,,5087.0,200.0,11000.0,,,55.0,,603.0,,,206.0,85.0,603.0,166.0,70.0,40000.0,225.0,5.0,46776.0,22700.0,5.0,,14050.0,1500.0,,,5719.0,3596.0,17.0,0.0,,659.0,,153.0,,525.0,3.0,,214660.0,350.0,0.0,,0.0,99.0,214660.0
1991,0.0,18.0,10980.0,28.0,0.0,2006.0,,,,5096.0,100.0,16000.0,,,60.0,,428.0,,,221.0,228.0,428.0,119.0,70.0,46000.0,250.0,5.0,41714.0,23400.0,5.0,,8500.0,1409.0,,,5474.0,3325.0,10.0,0.0,,1520.0,,153.0,,425.0,6.0,,209153.0,300.0,0.0,,0.0,59.0,209153.0
1992,0.0,15.0,,42.0,0.0,1992.0,,,,5073.0,100.0,4000.0,130.0,50.0,75.0,13.0,706.0,,17.0,67.0,99.0,706.0,186.0,50.0,43000.0,284.0,5.0,34844.0,30100.0,0.0,1730.0,8200.0,1409.0,15.0,14.0,5434.0,2750.0,9.0,0.0,20.0,2930.0,3600.0,,2000.0,626.0,6.0,1700.0,185500.0,200.0,0.0,400.0,0.0,34.0,185500.0
1993,0.0,3.0,,47.0,0.0,1880.0,140.0,,1900.0,5048.0,200.0,4000.0,139.0,60.0,60.0,28.0,1425.0,,23.0,71.0,40.0,1425.0,966.0,80.0,44000.0,343.0,6.0,37028.0,41800.0,0.0,1035.0,8479.0,,1.0,18.0,6383.0,3355.0,10.0,0.0,19.0,1127.0,4500.0,,1700.0,1097.0,18.0,900.0,202405.0,175.0,0.0,2300.0,65.0,14.0,202405.0
1994,0.0,3.0,,38.0,0.0,2104.0,142.0,,2550.0,5057.0,700.0,5000.0,110.0,60.0,35.0,56.0,1506.0,,3.0,71.0,80.0,1506.0,1226.0,40.0,42000.0,357.0,3.0,60638.0,38600.0,0.0,935.0,7604.0,,4.0,8.0,5707.0,4320.0,12.0,0.0,19.0,384.0,8000.0,,2000.0,1361.0,10.0,400.0,241745.0,150.0,0.0,2600.0,77.0,21.0,241745.0
1995,0.0,17.0,,38.0,0.0,2237.0,227.0,,2288.0,5040.0,1000.0,5000.0,77.0,100.0,40.0,158.0,1632.0,,1.0,126.0,50.0,1632.0,1366.0,40.0,46000.0,260.0,4.0,28263.0,25500.0,0.0,1520.0,5300.0,,1.0,11.0,5395.0,4375.0,6.0,0.0,18.0,756.0,7500.0,,800.0,1118.0,12.0,800.0,235681.0,116.0,0.0,2200.0,78.0,12.0,235681.0
1996,0.0,72.0,,38.0,0.0,2153.0,127.0,,1500.0,5041.0,1100.0,4000.0,54.0,100.0,50.0,65.0,2792.0,,0.0,79.0,20.0,2792.0,935.0,40.0,46000.0,220.0,4.0,31735.0,35400.0,0.0,958.0,5200.0,,14.0,6.0,6149.0,4940.0,4.0,0.0,16.0,914.0,6500.0,,500.0,2215.0,6.0,500.0,226625.0,79.0,0.0,4200.0,70.0,8.0,226625.0
1997,0.0,253.0,,31.0,0.0,2377.0,101.0,,2000.0,5154.0,900.0,4000.0,89.0,130.0,80.0,12.0,4988.0,,1.0,141.0,8.0,4988.0,651.0,40.0,49000.0,220.0,4.0,46600.0,40000.0,1.0,1068.0,5864.0,,16.0,75.0,6942.0,5725.0,6.0,0.0,6.0,823.0,7000.0,,700.0,3399.0,20.0,900.0,228446.0,63.0,0.0,7300.0,91.0,12.0,228446.0
1998,0.0,836.0,,31.0,0.0,2561.0,104.0,,3504.0,5160.0,700.0,4000.0,162.0,130.0,125.0,11.0,7668.0,,1.0,224.0,11.0,7668.0,676.0,40.0,46000.0,658.0,4.0,54527.0,40000.0,2.0,2619.0,7600.0,,4.0,4.0,6981.0,6722.0,8.0,0.0,8.0,723.0,9000.0,,800.0,3280.0,20.0,1300.0,241465.0,150.0,0.0,16000.0,117.0,18.0,241465.0
