,USSR,Australia & New Zealand,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,South Africa,Zambia,Lebanon,Tunisia,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,South Sudan,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Egypt,Bolivia (Plurinational State of),Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,New Zealand,Portugal,Netherlands,Guatemala,Slovakia,Romania,Norway,Philippines,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Poland,Italy,Germany,Sweden,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Malta,Zimbabwe,Syrian Arab Republic,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Sudan,Azerbaijan,Mauritius,Lithuania,Russian Federation,Austria,Latvia,Ukraine,United Kingdom,Ireland,Croatia,Bulgaria,Occupied Palestinian Territory
1961,101600.0,102651.0,84921.0,,2000.0,-1.0,,-1.0,24000.0,,400.0,6300.0,-1.0,-1.0,-1.0,,,61004.0,41200.0,-1.0,25300.0,550000.0,2000.0,450.0,,49660.0,20000.0,20000.0,78768.0,,,,5325.0,12590.0,276600.0,21343.0,6300.0,,,12258.0,16500.0,-1.0,,1169000.0,135000.0,700.0,19000.0,17730.0,,69651.0,-1.0,,28200.0,3203.0,12800.0,,-1.0,,,200.0,-1.0,214200.0,100011.0,25200.0,,142999.0,400.0,,,-1.0,8000.0,947.0,16000.0,-1.0,-1.0,1084.0,-1.0,,7999.0,5700.0,,112800.0,,8000.0,,,100.0,,,5288.0,,,393000.0,1000.0,,14281.0,-1.0
1962,100600.0,99016.0,83776.0,,2200.0,-1.0,,-1.0,26000.0,,400.0,6500.0,-1.0,-1.0,-1.0,,,68024.0,41800.0,-1.0,29500.0,550000.0,2000.0,480.0,,58440.0,21000.0,20000.0,88470.0,,,,6665.0,11492.0,283510.0,22965.0,6200.0,,,12791.0,17000.0,-1.0,,1205000.0,140000.0,700.0,20000.0,15240.0,,87839.0,-1.0,,26400.0,1658.0,12800.0,,-1.0,,,320.0,-1.0,219600.0,116323.0,18300.0,,148374.0,200.0,,,-1.0,10900.0,1257.0,18000.0,-1.0,-1.0,1246.0,-1.0,,8374.0,4050.0,,121400.0,,8000.0,,,100.0,,,4466.0,,,423000.0,1000.0,,13913.0,-1.0
1963,101100.0,96219.0,78119.0,,2400.0,-1.0,,-1.0,26000.0,,500.0,14600.0,-1.0,-1.0,-1.0,,,83036.0,32700.0,-1.0,30345.0,570000.0,2000.0,480.0,,52860.0,22000.0,17000.0,103020.0,,,,8684.0,13188.0,349570.0,25109.0,6300.0,,,12349.0,17700.0,-1.0,,1180000.0,140000.0,700.0,20500.0,18100.0,,81809.0,-1.0,,29700.0,2296.0,12800.0,,-1.0,,,190.0,-1.0,219700.0,114465.0,25200.0,,148962.0,400.0,,,-1.0,8500.0,1084.0,26000.0,-1.0,-1.0,1246.0,-1.0,,8962.0,4800.0,,68700.0,,14000.0,,,120.0,,,6172.0,,,434000.0,1000.0,,21483.0,-1.0
1964,117200.0,120418.0,102218.0,,2600.0,-1.0,,-1.0,29000.0,,800.0,6900.0,-1.0,-1.0,-1.0,,,65521.0,42900.0,-1.0,58533.0,600000.0,2000.0,500.0,,62510.0,24000.0,18000.0,67950.0,,,,12930.0,12211.0,354080.0,21912.0,6400.0,,,14049.0,20200.0,-1.0,,1104000.0,145000.0,700.0,21000.0,18200.0,,71325.0,-1.0,,28000.0,2178.0,13000.0,,-1.0,,,150.0,-1.0,216300.0,86703.0,25900.0,,153225.0,400.0,,,-1.0,25000.0,873.0,22000.0,-1.0,-1.0,1260.0,-1.0,,8225.0,4650.0,,98700.0,,13885.0,,,120.0,,,5669.0,,,514000.0,1000.0,,22194.0,-1.0
1965,127000.0,122610.0,104310.0,,2800.0,-1.0,,-1.0,26000.0,,800.0,10300.0,-1.0,-1.0,-1.0,,,85531.0,47200.0,-1.0,68100.0,625000.0,1800.0,500.0,,74661.0,25000.0,5900.0,59100.0,,,,12923.0,10783.0,309010.0,25584.0,6500.0,,,14303.0,18500.0,-1.0,,1370000.0,145000.0,700.0,21007.0,18300.0,,42241.0,-1.0,,30000.0,2093.0,13000.0,,-1.0,,,340.0,-1.0,230800.0,90175.0,26700.0,,156534.0,600.0,,,-1.0,13336.0,1020.0,22968.0,-1.0,-1.0,1858.0,-1.0,,11534.0,7750.0,,101300.0,,10557.0,,,122.0,,,6199.0,,,413000.0,1000.0,,16853.0,-1.0
1966,155400.0,140435.0,122111.0,,3000.0,-1.0,,-1.0,37000.0,,1000.0,10700.0,-1.0,-1.0,-1.0,,,80686.0,41900.0,-1.0,83800.0,655000.0,1800.0,550.0,,52891.0,25100.0,10300.0,44125.0,,,,12438.0,10935.0,332530.0,32231.0,6600.0,,,14786.0,21800.0,-1.0,,1159000.0,148000.0,700.0,27741.0,18324.0,,55437.0,-1.0,,32000.0,2737.0,13000.0,,-1.0,,,100.0,-1.0,248100.0,95524.0,28000.0,,159782.0,700.0,,,-1.0,23690.0,1020.0,25000.0,-1.0,-1.0,1471.0,-1.0,,11782.0,10450.0,,99400.0,,11607.0,,,77.0,,,8519.0,,,489000.0,1000.0,,34726.0,-1.0
1967,179000.0,113145.0,93671.0,,3200.0,-1.0,,-1.0,36000.0,,1389.0,8800.0,-1.0,-1.0,-1.0,,,118316.0,31300.0,-1.0,84100.0,700000.0,1800.0,550.0,,56406.0,20000.0,10000.0,133211.0,,,,11658.0,11858.0,398530.0,27000.0,6700.0,,,22949.0,34400.0,-1.0,,1342000.0,148000.0,813.0,31861.0,19474.0,,75510.0,-1.0,,31000.0,3621.0,13300.0,,-1.0,,,150.0,-1.0,261800.0,117317.0,37600.0,,163204.0,700.0,,,-1.0,13000.0,481.0,30000.0,-1.0,-1.0,1583.0,-1.0,,15204.0,7200.0,,84600.0,,11837.0,,,103.0,,,8079.0,,,505000.0,1000.0,,30886.0,-1.0
1968,165000.0,145300.0,119840.0,,3400.0,-1.0,,-1.0,28000.0,,1123.0,9800.0,-1.0,-1.0,-1.0,,,82602.0,31500.0,-1.0,104357.0,730000.0,2000.0,600.0,,79021.0,26146.0,11000.0,129100.0,,,,12907.0,4431.0,384010.0,32000.0,6800.0,,,21845.0,26600.0,-1.0,,1323530.0,153000.0,1016.0,23298.0,25460.0,,76459.0,-1.0,,24700.0,4216.0,13300.0,,-1.0,,,200.0,-1.0,241500.0,112366.0,29200.0,,163384.0,400.0,,,-1.0,18000.0,157.0,35000.0,-1.0,-1.0,1461.0,-1.0,,10384.0,6950.0,,86700.0,,11757.0,,,64.0,,,9470.0,,,506000.0,1000.0,,17533.0,-1.0
1969,163000.0,170400.0,140523.0,,3700.0,-1.0,,-1.0,26000.0,,1200.0,13400.0,-1.0,-1.0,-1.0,,,136553.0,30000.0,-1.0,96200.0,750000.0,2200.0,600.0,,54696.0,30840.0,11000.0,134800.0,,,,18957.0,7425.0,379920.0,32000.0,6800.0,,,19819.0,31400.0,-1.0,,1192035.0,158000.0,1000.0,29003.0,29877.0,,78627.0,-1.0,,38800.0,2966.0,13500.0,,-1.0,,,250.0,-1.0,250100.0,93471.0,34200.0,,173698.0,400.0,,,-1.0,18000.0,0.0,38000.0,-1.0,-1.0,1819.0,-1.0,,15698.0,6300.0,,81100.0,,9823.0,,,59.0,,,10401.0,,,559000.0,1000.0,,28663.0,-1.0
1970,177000.0,110860.0,81289.0,,4000.0,-1.0,,-1.0,23000.0,,1200.0,12700.0,-1.0,-1.0,-1.0,,,141913.0,34000.0,-1.0,62200.0,780000.0,2400.0,700.0,,60393.0,31000.0,11500.0,139800.0,,,,17471.0,10032.0,408902.0,36000.0,6800.0,,,30748.0,33200.0,-1.0,,1112997.0,163000.0,1219.0,35514.0,29571.0,,62285.0,-1.0,,40000.0,3776.0,13500.0,,-1.0,,,250.0,-1.0,254000.0,83632.0,38600.0,,186647.0,400.0,,,-1.0,18000.0,181.0,40000.0,-1.0,-1.0,2542.0,-1.0,,23647.0,9550.0,,70300.0,,12291.0,,,65.0,,,10239.0,,,549000.0,1000.0,,34842.0,-1.0
