,"China, Taiwan Province of",Romania,Cameroon,Greece,Sudan,Mexico,Ethiopia,Democratic Republic of the Congo,Nigeria,Senegal,Mali,Mauritania,Congo,Bulgaria,Benin,Iran (Islamic Republic of),China,Latvia,Sudan (former),"China, mainland",Chad,South Sudan,Central African Republic,Thailand
1961,,,62000.0,2020.0,,-1.0,,45000.0,307000.0,2000.0,-1.0,2300.0,3500.0,,,1000.0,,,-1.0,,17500.0,,-1.0,
1962,,,62500.0,2510.0,,-1.0,,46000.0,318000.0,2000.0,-1.0,2400.0,3500.0,,,1250.0,,,-1.0,,18000.0,,-1.0,
1963,,,63000.0,3360.0,,-1.0,,47000.0,295000.0,2000.0,-1.0,2500.0,3500.0,,,1500.0,,,-1.0,,18500.0,,-1.0,
1964,,,64000.0,2800.0,,-1.0,,48000.0,321000.0,2000.0,-1.0,2500.0,3600.0,,,1750.0,,,-1.0,,19000.0,,-1.0,
1965,,,64500.0,2350.0,,-1.0,,49000.0,318000.0,2000.0,-1.0,2700.0,3600.0,,,2000.0,,,-1.0,,19500.0,,-1.0,
1966,,,65000.0,2840.0,,-1.0,,50000.0,324000.0,1300.0,-1.0,2700.0,3600.0,,,2200.0,,,-1.0,,20000.0,,-1.0,
1967,,,64531.0,4190.0,,-1.0,,52000.0,304000.0,17500.0,-1.0,2750.0,3700.0,,,2500.0,,,-1.0,,20000.0,,-1.0,
1968,,,62851.0,2480.0,,-1.0,,50000.0,532000.0,4900.0,-1.0,2800.0,3700.0,,,2700.0,,,-1.0,,21000.0,,-1.0,
1969,,,45989.0,2650.0,,-1.0,,55000.0,394000.0,13000.0,-1.0,2900.0,3700.0,,,2950.0,,,-1.0,,21000.0,,-1.0,
1970,,,54922.0,3100.0,,-1.0,,51600.0,635000.0,2290.0,-1.0,3000.0,3700.0,,,3200.0,,,-1.0,,22000.0,,-1.0,
1971,,,58295.0,3800.0,,-1.0,,52400.0,405000.0,4700.0,-1.0,2900.0,3700.0,,,3400.0,,,-1.0,,22000.0,,-1.0,
1972,6639.0,,70000.0,4600.0,,-1.0,,53300.0,331000.0,7900.0,-1.0,2500.0,3700.0,,,3600.0,6639.0,,-1.0,,23000.0,,-1.0,
1973,8431.0,,68175.0,3714.0,,-1.0,,53700.0,450000.0,12900.0,-1.0,2000.0,3700.0,,,3800.0,8431.0,,-1.0,,23000.0,,-1.0,
1974,6688.0,,73539.0,2814.0,,-1.0,,55900.0,89000.0,8000.0,-1.0,2300.0,3700.0,,,4000.0,6688.0,,-1.0,,24000.0,,-1.0,
1975,6314.0,,75000.0,2366.0,,-1.0,,57600.0,236000.0,5900.0,-1.0,2700.0,3750.0,,,4250.0,6314.0,,-1.0,,25000.0,,-1.0,
1976,10399.0,,79000.0,3465.0,,-1.0,,57900.0,184000.0,6835.0,-1.0,2700.0,3800.0,,,4500.0,10399.0,,-1.0,,25000.0,,-1.0,
1977,10335.0,,84000.0,4171.0,,-1.0,,58100.0,164000.0,10710.0,-1.0,3000.0,3800.0,,,4700.0,10335.0,,-1.0,,25000.0,,-1.0,
1978,11393.0,,89000.0,3077.0,,-1.0,,57900.0,132000.0,8145.0,-1.0,3000.0,3900.0,,,4900.0,11393.0,,-1.0,,26000.0,,-1.0,
1979,9229.0,,90000.0,2244.0,,-1.0,,59800.0,103000.0,2764.0,-1.0,3300.0,4000.0,,,4900.0,9229.0,,-1.0,,27000.0,,-1.0,
1980,7176.0,,90000.0,3757.0,,-1.0,,61500.0,76000.0,5000.0,-1.0,3800.0,4100.0,,,4900.0,7176.0,,-1.0,,28000.0,,-1.0,
1981,5250.0,,90000.0,4478.0,,-1.0,,63200.0,92000.0,7000.0,-1.0,3800.0,4100.0,,,5600.0,5250.0,,-1.0,,28000.0,,-1.0,
1982,5594.0,,91000.0,1980.0,,-1.0,,65100.0,54000.0,7000.0,-1.0,4000.0,4200.0,,,5800.0,5594.0,,-1.0,,28000.0,,-1.0,
1983,2540.0,,90000.0,2100.0,,-1.0,,67000.0,113000.0,7500.0,-1.0,4200.0,4300.0,,,6000.0,2540.0,,-1.0,,28500.0,,-1.0,
1984,5651.0,,92000.0,2100.0,,-1.0,,68800.0,164000.0,7500.0,-1.0,4500.0,4400.0,,,6150.0,5651.0,,-1.0,,28000.0,,-1.0,
1985,7800.0,,92000.0,1600.0,,-1.0,,70400.0,183000.0,7500.0,-1.0,4700.0,4600.0,,,6407.0,7800.0,,-1.0,,28000.0,,-1.0,
1986,8631.0,,93000.0,2400.0,,-1.0,,71200.0,150000.0,7600.0,-1.0,4800.0,4600.0,,,8360.0,8631.0,,-1.0,,28000.0,,-1.0,
1987,5208.0,,93500.0,1962.0,,-1.0,,73500.0,145000.0,7600.0,-1.0,5000.0,4800.0,,,6838.0,27208.0,,-1.0,22000.0,28000.0,,-1.0,
1988,5655.0,,94000.0,1800.0,,-1.0,,74900.0,308000.0,7600.0,-1.0,5000.0,5000.0,,,6048.0,25655.0,,-1.0,20000.0,28000.0,,-1.0,
1989,959.0,,95000.0,957.0,,-1.0,,76600.0,204000.0,7600.0,-1.0,5200.0,5500.0,,,3000.0,20959.0,,-1.0,20000.0,28000.0,,-1.0,
1990,292.0,-1.0,95600.0,700.0,,-1.0,,77000.0,230000.0,9002.0,-1.0,5300.0,6000.0,,-1.0,1000.0,23292.0,,62000.0,23000.0,34192.0,,20000.0,
1991,173.0,-1.0,96000.0,639.0,,-1.0,,78000.0,231000.0,7493.0,-1.0,5500.0,6500.0,,-1.0,932.0,38173.0,,55000.0,38000.0,19032.0,,20059.0,
1992,20.0,-1.0,95326.0,842.0,,64.0,,79000.0,243000.0,7565.0,-1.0,5300.0,7000.0,,-1.0,927.0,40020.0,,75000.0,40000.0,19700.0,,20210.0,
1993,56.0,-1.0,95746.0,850.0,,36.0,,80000.0,243000.0,7639.0,-1.0,4600.0,7200.0,-1.0,-1.0,923.0,60056.0,,77000.0,60000.0,20369.0,,20067.0,-1.0
1994,4.0,-1.0,96182.0,850.0,,111.0,-1.0,81000.0,253000.0,7715.0,-1.0,5000.0,7059.0,-1.0,-1.0,918.0,52004.0,,78000.0,52000.0,21040.0,,22000.0,-1.0
1995,0.0,-1.0,96500.0,1500.0,,75.0,-1.0,82660.0,285000.0,7792.0,-1.0,5049.0,7300.0,-1.0,-1.0,913.0,68000.0,,98000.0,68000.0,21713.0,,24000.0,-1.0
1996,10.0,-1.0,97078.0,1558.0,,90.0,-1.0,80827.0,315000.0,7872.0,-1.0,5042.0,7517.0,-1.0,-1.0,908.0,37010.0,,92000.0,37000.0,22387.0,,26000.0,-1.0
1997,0.0,-1.0,97000.0,1451.0,,83.0,-1.0,80000.0,250000.0,7953.0,-1.0,5036.0,7115.0,-1.0,-1.0,904.0,29500.0,,35000.0,29500.0,23063.0,,28000.0,-1.0
1998,10.0,-1.0,97500.0,1401.0,,52.0,-1.0,79000.0,305000.0,8035.0,-1.0,5003.0,7400.0,-1.0,-1.0,899.0,20010.0,,140000.0,20000.0,23740.0,,30000.0,
1999,1.0,-1.0,98000.0,1500.0,,102.0,-1.0,78000.0,563000.0,8120.0,500.0,4977.0,7561.0,-1.0,-1.0,894.0,40001.0,,18000.0,40000.0,24419.0,,36000.0,
2000,13.0,-1.0,99857.0,1900.0,,72.0,-1.0,74295.0,575000.0,7927.0,600.0,4950.0,7355.0,-1.0,-1.0,890.0,40013.0,,77000.0,40000.0,25100.0,,37000.0,
2001,0.0,-1.0,99989.0,1700.0,,1.0,,80000.0,580000.0,8197.0,800.0,4921.0,7306.0,-1.0,-1.0,885.0,30000.0,,117000.0,30000.0,25782.0,,40000.0,
2002,0.0,-1.0,98500.0,1700.0,,34.0,,82924.0,587000.0,7800.0,1000.0,4913.0,7303.0,-1.0,-1.0,880.0,20000.0,,110000.0,20000.0,26466.0,,42000.0,
2003,0.0,-1.0,103625.0,1700.0,,28.0,,87757.0,625000.0,8181.0,1200.0,4803.0,7315.0,-1.0,-1.0,874.0,22456.0,-1.0,114000.0,22456.0,27013.0,,43000.0,
2004,0.0,-1.0,105000.0,1700.0,,60.0,,90000.0,659000.0,8242.0,1300.0,4757.0,7436.0,-1.0,,867.0,23259.0,,92000.0,23259.0,27556.0,,43241.0,
2005,0.0,-1.0,107442.0,1700.0,,28.0,,95564.0,694000.0,8318.0,1400.0,4713.0,7780.0,-1.0,,860.0,21000.0,,78000.0,21000.0,27798.0,,44698.0,
2006,0.0,-1.0,108264.0,1700.0,,50.0,,98688.0,732000.0,8418.0,1300.0,4668.0,7237.0,-1.0,,854.0,20000.0,,25000.0,20000.0,28128.0,,46000.0,
2007,0.0,-1.0,108973.0,1800.0,,26.0,,101046.0,743000.0,7850.0,1200.0,4623.0,6915.0,-1.0,,847.0,22000.0,,41000.0,22000.0,28500.0,,47700.0,
2008,0.0,-1.0,109367.0,1800.0,,16.0,,102739.0,724000.0,8758.0,1113.0,4576.0,7625.0,-1.0,,840.0,25280.0,,6000.0,25280.0,29450.0,,49252.0,
2009,0.0,-1.0,105000.0,1828.0,,16.0,,103840.0,489590.0,9009.0,607.0,4529.0,6999.0,-1.0,,833.0,29026.0,,26000.0,29026.0,29984.0,,50562.0,
2010,0.0,-1.0,106000.0,2004.0,,9.0,,104407.0,469690.0,9291.0,754.0,4480.0,7100.0,-1.0,,826.0,22707.0,,26000.0,22707.0,30494.0,,51921.0,
