,Australia & New Zealand,Jamaica,Romania,France,Venezuela (Bolivarian Republic of),Australia,Iraq,Pakistan,Philippines,Belgium,Japan,Kenya,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Germany,Sweden,Albania,China,Finland,Slovakia,"China, Hong Kong SAR",Slovenia,Congo,Canada,Colombia,Spain,Lebanon,New Zealand,Malta,Austria,Israel,Indonesia,Belgium-Luxembourg,Jordan,Denmark,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Hungary,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),Peru,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Singapore,Cyprus,United Arab Emirates,Lithuania,Bulgaria,Netherlands,Occupied Palestinian Territory
1982,98066.0,74171.0,,139552.0,,138889.0,72941.0,59121.0,,,150913.0,,,,46553.0,127890.0,,134507.0,124492.0,,147393.0,,,253056.0,,,60957.0,63265.0,163939.0,80000.0,63568.0,,93837.0,300000.0,16009.0,287682.0,125000.0,,128998.0,164537.0,,,109185.0,100884.0,122857.0,117104.0,109889.0,70617.0,157143.0,137500.0,,81734.0,142361.0,,80304.0,,333333.0,147111.0,,83333.0,279167.0,,112449.0,274091.0,
1983,123049.0,72914.0,,126765.0,,162857.0,84000.0,78011.0,,,149569.0,,,,47009.0,127558.0,,132632.0,118995.0,,148408.0,,,243243.0,,,61058.0,64000.0,156389.0,92000.0,81250.0,,87243.0,300000.0,19995.0,340461.0,96774.0,,122142.0,162698.0,,,119268.0,96611.0,125714.0,126930.0,126740.0,76854.0,150000.0,148571.0,,77889.0,138298.0,,79691.0,,340000.0,148148.0,,88889.0,177143.0,,150622.0,240455.0,
1984,122862.0,73600.0,,122143.0,,145568.0,85217.0,74709.0,,,142016.0,,,,47366.0,120310.0,68462.0,129758.0,137927.0,,54157895.0,,,210526.0,,,82185.0,60000.0,162636.0,83333.0,92857.0,,113243.0,302778.0,27989.0,249767.0,126429.0,,125119.0,171429.0,,,119477.0,118405.0,125714.0,127919.0,198858.0,74176.0,152500.0,156000.0,,83495.0,136364.0,,65864.0,,306857.0,,,88889.0,233311.0,,143838.0,236400.0,
1985,126746.0,73920.0,,130580.0,,148728.0,93333.0,76445.0,,,147115.0,,,,47913.0,112059.0,96364.0,133018.0,91136.0,,150078.0,,,177500.0,,,72291.0,60000.0,159437.0,85714.0,93333.0,,108293.0,296667.0,20447.0,254980.0,172634.0,,121269.0,153061.0,,,138283.0,110597.0,125714.0,126494.0,191960.0,75978.0,157500.0,150407.0,,87403.0,136364.0,,119066.0,,316111.0,150000.0,,104074.0,279290.0,,97277.0,234000.0,
1986,121166.0,72147.0,,128462.0,,147087.0,76190.0,85353.0,,,147137.0,,,,46779.0,127573.0,96667.0,123890.0,148382.0,,150801.0,,,180488.0,,,59780.0,63942.0,164118.0,100000.0,86705.0,,109101.0,303571.0,20250.0,255556.0,111447.0,,138794.0,170635.0,,,153394.0,101663.0,125714.0,122862.0,91495.0,77844.0,200000.0,153200.0,,86526.0,139683.0,,132942.0,,299268.0,150714.0,,106308.0,440000.0,,114805.0,278500.0,
1987,119890.0,75215.0,,124426.0,,143333.0,73016.0,80283.0,,,147096.0,,,,45528.0,126824.0,98000.0,134434.0,137385.0,,148012.0,,,179730.0,,,80073.0,63109.0,162623.0,111111.0,93567.0,,113408.0,300000.0,24152.0,206667.0,97682.0,,119639.0,198413.0,,,134390.0,92771.0,128571.0,128034.0,90908.0,80000.0,211765.0,142083.0,,87588.0,140800.0,,105619.0,,300000.0,147931.0,,115000.0,405535.0,,95234.0,315625.0,
1988,105835.0,76483.0,,129688.0,,133895.0,70270.0,80890.0,,,144073.0,,,,45795.0,126020.0,95455.0,131880.0,144121.0,,151875.0,,,177529.0,,,71634.0,65922.0,162268.0,120000.0,80569.0,,114045.0,301282.0,20750.0,148571.0,106330.0,,115242.0,173469.0,,110000.0,154483.0,66757.0,125714.0,128734.0,96774.0,82840.0,176471.0,141634.0,,90074.0,139844.0,,103824.0,,306316.0,151724.0,,104459.0,555704.0,,121045.0,296875.0,
1989,122347.0,75257.0,,155167.0,,161818.0,62214.0,83436.0,,,137455.0,,,,43819.0,119991.0,96000.0,148557.0,141000.0,,145379.0,,,187500.0,,,83324.0,65000.0,165031.0,127273.0,85308.0,,118318.0,302857.0,17370.0,174786.0,133758.0,,119332.0,176190.0,,110000.0,157931.0,106371.0,125714.0,133948.0,124906.0,85890.0,176471.0,134348.0,,86388.0,151515.0,,117813.0,,297955.0,145161.0,,112250.0,555484.0,,156737.0,320000.0,
1990,112540.0,166667.0,,145925.0,,142933.0,74146.0,93406.0,,,140696.0,,,,45279.0,115146.0,97778.0,130461.0,138427.0,97500.0,145687.0,137308.0,,175263.0,,120482.0,71343.0,65000.0,162705.0,125000.0,84444.0,,115933.0,294828.0,24544.0,161429.0,109925.0,,128477.0,152845.0,,110000.0,126818.0,84405.0,133333.0,132268.0,127053.0,89641.0,205714.0,120000.0,142857.0,85422.0,150781.0,40000.0,112993.0,,312500.0,145588.0,,86222.0,736550.0,,113468.0,354706.0,
1991,113810.0,164706.0,,159083.0,,143524.0,90452.0,90782.0,,,136387.0,,,,46655.0,119146.0,97895.0,134584.0,119284.0,85714.0,147126.0,149259.0,,175385.0,,121156.0,74378.0,66809.0,162274.0,121554.0,85106.0,,122911.0,302000.0,22629.0,215300.0,192548.0,,119526.0,160715.0,,110000.0,156774.0,92897.0,132386.0,135741.0,133859.0,93496.0,168302.0,119231.0,180328.0,86365.0,148077.0,40217.0,118159.0,,266667.0,147027.0,,123718.0,914120.0,,117762.0,367500.0,
1992,110748.0,163158.0,,163375.0,,136835.0,68182.0,90691.0,,,134613.0,83982.0,,,46920.0,132101.0,98462.0,122588.0,116388.0,95833.0,151682.0,159355.0,,171875.0,69231.0,120913.0,58237.0,70000.0,163755.0,124535.0,88000.0,,102400.0,301744.0,23086.0,228667.0,148605.0,,118203.0,160441.0,128571.0,110000.0,155000.0,74448.0,132198.0,139367.0,89604.0,94520.0,167811.0,119048.0,181494.0,85982.0,155875.0,39459.0,119884.0,,406250.0,151613.0,,120000.0,1000332.0,,85714.0,330223.0,
1993,105739.0,170000.0,,165145.0,,121007.0,66667.0,92895.0,,,138102.0,91057.0,98166.0,,47536.0,133600.0,100741.0,167218.0,92070.0,96296.0,147887.0,101707.0,102564.0,179773.0,73023.0,120673.0,62150.0,68182.0,163997.0,121429.0,88889.0,,125963.0,300000.0,30065.0,215500.0,113802.0,,115221.0,146667.0,141667.0,110000.0,146176.0,,132009.0,139915.0,132305.0,95134.0,167319.0,120000.0,182658.0,86285.0,159261.0,39706.0,115508.0,,416667.0,147826.0,,122875.0,812364.0,,76923.0,350000.0,
1994,107576.0,163100.0,,147879.0,,140000.0,67826.0,103246.0,,,134542.0,164010.0,100000.0,,47191.0,122516.0,98750.0,151393.0,91429.0,107273.0,150093.0,167179.0,119118.0,189246.0,71905.0,120000.0,54810.0,85217.0,166530.0,131944.0,80556.0,,150000.0,300000.0,22258.0,172653.0,160173.0,,111168.0,156863.0,133333.0,110000.0,147813.0,,131818.0,142135.0,111111.0,97143.0,166827.0,122308.0,183818.0,84005.0,167019.0,40139.0,108516.0,,433333.0,150000.0,,117647.0,909587.0,,80000.0,250625.0,
1995,97531.0,167729.0,,172008.0,,136364.0,66667.0,104478.0,,,133481.0,144705.0,96756.0,,49438.0,133826.0,100667.0,153622.0,,105455.0,149278.0,118049.0,69182.0,216509.0,105814.0,119767.0,54980.0,94111.0,158133.0,126316.0,70833.0,,185486.0,297758.0,37660.0,176400.0,172727.0,,165390.0,173590.0,135714.0,110000.0,140000.0,,131624.0,148539.0,138516.0,97297.0,166335.0,120244.0,184974.0,86731.0,156788.0,39889.0,120488.0,,387895.0,149153.0,,98421.0,1041516.0,,80000.0,340000.0,
1996,96552.0,164145.0,,167874.0,,134286.0,68000.0,102857.0,,,135321.0,155019.0,98706.0,,47423.0,135500.0,99744.0,171419.0,69640.0,96000.0,147310.0,194000.0,71546.0,200000.0,114348.0,119540.0,54753.0,107143.0,171852.0,149236.0,71154.0,,205468.0,300909.0,31476.0,196000.0,183333.0,,138724.0,167548.0,150000.0,110000.0,143750.0,,131427.0,151985.0,224034.0,95872.0,165843.0,117647.0,186126.0,82968.0,161391.0,40300.0,131091.0,,453684.0,147222.0,,107500.0,795729.0,,75000.0,315625.0,180654.0
1997,95323.0,154434.0,,174286.0,,120412.0,56364.0,105146.0,,,126782.0,142359.0,103833.0,66667.0,48910.0,130867.0,99167.0,159072.0,,109091.0,142198.0,142222.0,70183.0,204909.0,112391.0,116667.0,56455.0,126667.0,169240.0,176627.0,71429.0,,224163.0,298246.0,21042.0,209967.0,145658.0,,115122.0,170799.0,135714.0,113636.0,123333.0,,131221.0,150220.0,146168.0,95263.0,165352.0,109091.0,187274.0,86382.0,176195.0,39989.0,127123.0,,452632.0,142105.0,,100909.0,1142113.0,,80000.0,305000.0,119551.0
1998,93333.0,161195.0,,172294.0,,111111.0,52174.0,109497.0,,,124922.0,113670.0,114754.0,66667.0,47836.0,132297.0,98235.0,158870.0,,109091.0,140095.0,128718.0,44612.0,209563.0,129250.0,120455.0,57477.0,109375.0,170743.0,185000.0,66667.0,120000.0,115512.0,300000.0,25665.0,191304.0,202108.0,,120194.0,188743.0,125000.0,115385.0,116667.0,,130925.0,146865.0,174589.0,95500.0,164860.0,118322.0,188455.0,115886.0,163312.0,39895.0,117291.0,,415417.0,140000.0,,93333.0,170166.0,,71667.0,204545.0,130882.0
1999,92823.0,165805.0,68000.0,180161.0,,107130.0,45714.0,109117.0,,,129020.0,97140.0,90000.0,62500.0,47529.0,128783.0,100323.0,172328.0,,107273.0,133433.0,142653.0,55462.0,213788.0,139487.0,120225.0,60111.0,112766.0,171250.0,226667.0,70968.0,124684.0,260739.0,291478.0,23526.0,281845.0,257553.0,,114421.0,181703.0,121429.0,113750.0,119355.0,,130700.0,160617.0,186395.0,95238.0,164368.0,121053.0,189587.0,136913.0,155999.0,40095.0,100769.0,,414286.0,133333.0,,118696.0,154413.0,,73333.0,169565.0,154662.0
2000,76452.0,162188.0,67727.0,177610.0,,103094.0,34783.0,105729.0,,220588.0,125556.0,99016.0,63636.0,62500.0,45888.0,131666.0,98710.0,157153.0,,103333.0,150070.0,142222.0,58232.0,220000.0,115000.0,120000.0,58129.0,191840.0,187293.0,336735.0,47619.0,125000.0,241093.0,293600.0,21110.0,,208105.0,,122934.0,183162.0,133333.0,108333.0,129032.0,,130526.0,162340.0,198835.0,95349.0,163876.0,125000.0,190715.0,134354.0,185825.0,39259.0,102118.0,,425385.0,150000.0,,113043.0,203070.0,,75000.0,257143.0,184485.0
