,Russian Federation,Portugal,Poland,Chile,Yugoslav SFR,Turkey,Denmark,China,Serbia and Montenegro,"China, mainland",Czechoslovakia,USSR,France,Spain,Romania,Italy,Bulgaria,Hungary,Germany
1961,,58.0,1350.0,648.0,1461.0,130.0,44.0,3500.0,,3500.0,13.0,5000.0,161.0,237.0,0.0,1178.0,1400.0,700.0,383.0
1962,,93.0,1165.0,648.0,1332.0,113.0,55.0,4200.0,,4200.0,10.0,5000.0,168.0,464.0,0.0,977.0,1400.0,690.0,350.0
1963,,46.0,1300.0,648.0,1359.0,100.0,48.0,4550.0,,4550.0,12.0,5000.0,209.0,265.0,0.0,701.0,1300.0,860.0,364.0
1964,,67.0,1520.0,648.0,1422.0,100.0,54.0,4900.0,,4900.0,8.0,6000.0,211.0,116.0,0.0,709.0,1500.0,640.0,232.0
1965,,85.0,1505.0,648.0,1365.0,100.0,64.0,5355.0,,5355.0,9.0,5550.0,61.0,76.0,0.0,753.0,2000.0,640.0,208.0
1966,,91.0,1395.0,648.0,1167.0,94.0,70.0,5425.0,,5425.0,12.0,5100.0,42.0,58.0,0.0,485.0,1800.0,510.0,164.0
1967,,15.0,1070.0,648.0,516.0,96.0,62.0,5495.0,,5495.0,11.0,4900.0,14.0,23.0,0.0,320.0,1490.0,400.0,150.0
1968,,36.0,965.0,648.0,494.0,84.0,0.0,5495.0,,5495.0,3.0,4400.0,6.0,21.0,0.0,149.0,1500.0,230.0,117.0
1969,,56.0,850.0,504.0,539.0,84.0,0.0,5600.0,,5600.0,2.0,3400.0,9.0,19.0,0.0,72.0,1300.0,250.0,136.0
1970,,48.0,855.0,504.0,481.0,85.0,0.0,5705.0,,5705.0,5.0,3100.0,9.0,6.0,0.0,36.0,1200.0,300.0,124.0
1971,,33.0,810.0,432.0,350.0,82.0,0.0,5775.0,,5775.0,3.0,2450.0,9.0,6.0,0.0,22.0,1200.0,160.0,38.0
1972,,56.0,655.0,270.0,323.0,78.0,0.0,5845.0,,5845.0,3.0,3250.0,210.0,14.0,0.0,13.0,863.0,230.0,0.0
1973,,32.0,765.0,270.0,316.0,80.0,53.0,5775.0,,5775.0,2.0,3450.0,280.0,98.0,0.0,11.0,810.0,200.0,0.0
1974,,30.0,694.0,288.0,271.0,70.0,38.0,5740.0,,5740.0,2.0,2750.0,269.0,27.0,0.0,13.0,860.0,180.0,0.0
1975,,42.0,654.0,270.0,227.0,80.0,60.0,5670.0,,5670.0,2.0,2650.0,270.0,22.0,0.0,16.0,836.0,240.0,0.0
1976,,57.0,604.0,180.0,193.0,72.0,52.0,5600.0,,5600.0,1.0,2500.0,343.0,31.0,0.0,19.0,646.0,268.0,0.0
1977,,42.0,499.0,180.0,162.0,80.0,51.0,5590.0,,5590.0,2.0,2500.0,310.0,48.0,0.0,20.0,680.0,303.0,0.0
1978,,25.0,133.0,180.0,126.0,80.0,45.0,5425.0,,5425.0,2.0,2500.0,234.0,16.0,0.0,6.0,740.0,431.0,0.0
1979,,70.0,245.0,180.0,105.0,94.0,62.0,4200.0,,4200.0,1.0,2500.0,257.0,15.0,0.0,3.0,426.0,421.0,0.0
1980,,74.0,258.0,180.0,110.0,90.0,64.0,3325.0,,3325.0,1.0,2500.0,196.0,15.0,0.0,1.0,282.0,358.0,0.0
1981,,91.0,230.0,180.0,121.0,74.0,72.0,2310.0,,2310.0,0.0,2600.0,182.0,16.0,0.0,0.0,291.0,196.0,0.0
1982,,123.0,160.0,180.0,147.0,60.0,73.0,1424.0,,1424.0,0.0,2500.0,168.0,1.0,0.0,0.0,569.0,66.0,0.0
1983,,50.0,106.0,180.0,144.0,69.0,85.0,1505.0,,1505.0,0.0,2500.0,168.0,4.0,0.0,0.0,367.0,140.0,0.0
1984,,51.0,109.0,180.0,143.0,42.0,105.0,1610.0,,1610.0,0.0,2500.0,214.0,7.0,0.0,0.0,383.0,96.0,0.0
1985,,33.0,136.0,180.0,181.0,36.0,85.0,2205.0,,2205.0,0.0,2500.0,182.0,5.0,0.0,0.0,226.0,673.0,0.0
1986,,74.0,182.0,180.0,104.0,40.0,115.0,1855.0,,1855.0,0.0,2500.0,154.0,5.0,0.0,0.0,218.0,573.0,0.0
1987,,39.0,166.0,180.0,25.0,34.0,113.0,1855.0,,1855.0,0.0,2500.0,112.0,0.0,0.0,0.0,179.0,670.0,0.0
1988,,80.0,133.0,180.0,51.0,42.0,87.0,840.0,,840.0,0.0,2500.0,98.0,0.0,0.0,0.0,67.0,183.0,0.0
1989,,39.0,41.0,184.0,38.0,25.0,40.0,735.0,,735.0,0.0,865.0,119.0,1.0,0.0,0.0,91.0,50.0,0.0
1990,,65.0,5.0,165.0,29.0,31.0,85.0,637.0,,637.0,0.0,895.0,133.0,1.0,0.0,0.0,39.0,29.0,0.0
1991,,120.0,2.0,162.0,29.0,34.0,97.0,641.0,,641.0,0.0,895.0,133.0,0.0,0.0,0.0,2.0,24.0,0.0
1992,2650.0,123.0,10.0,154.0,,30.0,152.0,665.0,6.0,665.0,0.0,,203.0,0.0,0.0,0.0,0.0,20.0,0.0
1993,1600.0,208.0,27.0,168.0,,25.0,135.0,595.0,28.0,595.0,,,217.0,0.0,0.0,0.0,1.0,50.0,0.0
1994,240.0,218.0,20.0,179.0,,16.0,158.0,560.0,25.0,560.0,,,210.0,0.0,0.0,0.0,0.0,50.0,0.0
1995,274.0,185.0,10.0,173.0,,25.0,208.0,524.0,20.0,524.0,,,266.0,0.0,0.0,0.0,1.0,150.0,0.0
1996,230.0,147.0,15.0,180.0,,16.0,151.0,521.0,15.0,521.0,,,371.0,0.0,0.0,0.0,0.0,150.0,0.0
1997,220.0,151.0,5.0,201.0,,8.0,312.0,426.0,10.0,426.0,,,326.0,0.0,0.0,0.0,1.0,150.0,0.0
1998,235.0,217.0,5.0,211.0,,5.0,82.0,396.0,8.0,396.0,,,570.0,0.0,0.0,0.0,0.0,50.0,0.0
1999,313.0,134.0,5.0,198.0,,9.0,231.0,340.0,2.0,340.0,,,560.0,0.0,0.0,0.0,0.0,10.0,0.0
2000,250.0,57.0,5.0,207.0,,7.0,66.0,431.0,2.0,431.0,,,462.0,0.0,0.0,0.0,0.0,10.0,0.0
2001,200.0,139.0,5.0,216.0,,7.0,90.0,518.0,1.0,518.0,,,526.0,0.0,0.0,0.0,0.0,10.0,0.0
2002,150.0,229.0,5.0,225.0,,7.0,22.0,347.0,2.0,347.0,,,441.0,0.0,0.0,0.0,0.0,10.0,0.0
2003,180.0,198.0,5.0,229.0,,4.0,275.0,350.0,2.0,350.0,,,630.0,0.0,0.0,0.0,0.0,10.0,0.0
2004,220.0,104.0,5.0,234.0,,1.0,452.0,385.0,2.0,385.0,,,574.0,0.0,0.0,0.0,0.0,10.0,0.0
2005,200.0,98.0,5.0,259.0,,1.0,852.0,364.0,2.0,364.0,,,619.0,0.0,0.0,0.0,0.0,10.0,0.0
2006,120.0,77.0,5.0,254.0,,1.0,361.0,623.0,,623.0,,,640.0,1.0,0.0,0.0,64.0,10.0,0.0
2007,150.0,163.0,5.0,347.0,,0.0,315.0,413.0,,413.0,,,609.0,0.0,0.0,0.0,1.0,10.0,0.0
2008,331.0,120.0,5.0,350.0,,1.0,172.0,207.0,,207.0,,,672.0,3.0,0.0,0.0,14.0,10.0,0.0
2009,40.0,114.0,5.0,373.0,,0.0,196.0,179.0,,179.0,,,446.0,0.0,0.0,0.0,0.0,10.0,0.0
