,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,USSR,Romania,Azerbaijan,Uzbekistan,United Kingdom,Denmark,Ireland,The former Yugoslav Republic of Macedonia,Japan,Latvia,Yugoslav SFR,Slovakia,Czechia,Austria,Chile,Hungary,New Zealand,Estonia,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Republic of Moldova,Slovenia,Finland,Netherlands,Russian Federation,Kyrgyzstan,Norway,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,71460.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,14286.0,28154.0,35426.0,27342.0,49033.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,78913.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38333.0,-1.0,14286.0,36609.0,49278.0,36501.0,46519.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30769.0,-1.0,-1.0,-1.0,91446.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29231.0,-1.0,14286.0,33555.0,50476.0,33838.0,48338.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34615.0,-1.0,-1.0,-1.0,85057.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41250.0,-1.0,14286.0,30388.0,57216.0,29408.0,45702.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34615.0,-1.0,-1.0,-1.0,85349.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,14286.0,43200.0,74086.0,42968.0,54320.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30769.0,-1.0,-1.0,-1.0,61977.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43684.0,-1.0,13333.0,43793.0,94194.0,43808.0,57434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36364.0,-1.0,-1.0,-1.0,28447.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53889.0,-1.0,14286.0,45504.0,71828.0,44144.0,52340.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45714.0,-1.0,-1.0,-1.0,54313.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53095.0,-1.0,13889.0,50534.0,42593.0,50084.0,57181.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42857.0,-1.0,-1.0,-1.0,87040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49556.0,-1.0,14029.0,41541.0,47059.0,40000.0,60591.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,72817.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42000.0,-1.0,20661.0,42535.0,35797.0,42647.0,53083.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
