,Uzbekistan,Russian Federation,United States of America,USSR,Turkey,Australia & New Zealand,Kazakhstan,China,Ethiopia PDR,Morocco,"China, mainland",Mexico,Ethiopia,Algeria,Argentina,Australia,Spain,Portugal,Occupied Palestinian Territory,India
1961,,,2169.0,500.0,14.0,92.0,,0.0,1030.0,126.0,0.0,1473.0,,0.0,0.0,92.0,4050.0,0.0,0.0,4450.0
1962,,,2299.0,500.0,15.0,314.0,,0.0,1070.0,117.0,0.0,1453.0,,0.0,0.0,314.0,4050.0,0.0,0.0,4500.0
1963,,,1493.0,500.0,14.0,769.0,,0.0,1090.0,108.0,0.0,1424.0,,0.0,0.0,769.0,4050.0,0.0,0.0,4550.0
1964,,,1165.0,550.0,14.0,976.0,,0.0,1120.0,99.0,0.0,2352.0,,0.0,0.0,976.0,4050.0,0.0,0.0,4600.0
1965,,,1424.0,650.0,14.0,1532.0,,0.0,1144.0,95.0,0.0,6597.0,,0.0,0.0,1532.0,4950.0,0.0,0.0,4620.0
1966,,,1259.0,550.0,17.0,1693.0,,0.0,1170.0,68.0,0.0,4013.0,,0.0,0.0,1693.0,6308.0,0.0,0.0,4780.0
1967,,,690.0,700.0,20.0,751.0,,0.0,1196.0,72.0,0.0,3430.0,,0.0,0.0,751.0,4914.0,0.0,0.0,5125.0
1968,,,923.0,550.0,17.0,433.0,,0.0,1222.0,54.0,0.0,5791.0,,0.0,1.0,433.0,968.0,0.0,0.0,5777.0
1969,,,866.0,750.0,18.0,1107.0,,0.0,1248.0,36.0,0.0,7016.0,,0.0,7.0,1107.0,1284.0,0.0,0.0,5802.0
1970,,,971.0,850.0,19.0,1352.0,,0.0,1276.0,36.0,0.0,10597.0,,0.0,83.0,1352.0,1980.0,0.0,0.0,5879.0
1971,,,970.0,650.0,30.0,425.0,,0.0,1250.0,23.0,0.0,7953.0,,0.0,210.0,425.0,1422.0,2600.0,0.0,5977.0
1972,,,950.0,500.0,31.0,498.0,,0.0,1276.0,5.0,0.0,7920.0,,0.0,327.0,498.0,3042.0,3000.0,0.0,4233.0
1973,,,900.0,350.0,29.0,1450.0,,0.0,1280.0,5.0,0.0,7666.0,,0.0,369.0,1450.0,3096.0,2000.0,0.0,6138.0
1974,,,950.0,300.0,32.0,1591.0,,0.0,1280.0,0.0,0.0,14522.0,,0.0,176.0,1591.0,3069.0,2500.0,0.0,6478.0
1975,,,400.0,500.0,33.0,516.0,,0.0,1280.0,0.0,0.0,7397.0,,0.0,339.0,516.0,3213.0,2700.0,0.0,6736.0
1976,,,800.0,400.0,27.0,1559.0,,0.0,1280.0,0.0,0.0,16149.0,,0.0,122.0,1559.0,2583.0,1200.0,0.0,6830.0
1977,,,870.0,550.0,12.0,2987.0,,0.0,1280.0,0.0,0.0,17162.0,,0.0,92.0,2987.0,1341.0,700.0,0.0,7065.0
1978,,,1000.0,350.0,8.0,2143.0,,0.0,1280.0,0.0,0.0,21640.0,,0.0,70.0,2143.0,1544.0,300.0,0.0,7030.0
1979,,,580.0,300.0,8.0,733.0,,0.0,1300.0,0.0,0.0,17388.0,,0.0,45.0,733.0,1782.0,300.0,0.0,7333.0
1980,,,510.0,300.0,5.0,1336.0,,0.0,1300.0,0.0,0.0,18937.0,,0.0,29.0,1336.0,1107.0,100.0,0.0,7199.0
1981,,,613.0,250.0,4.0,461.0,,0.0,1320.0,0.0,0.0,8996.0,,0.0,167.0,461.0,1791.0,200.0,0.0,7485.0
1982,,,470.0,550.0,4.0,2194.0,,0.0,1320.0,0.0,0.0,18346.0,,0.0,423.0,2194.0,1674.0,100.0,0.0,7821.0
1983,,,710.0,635.0,4.0,1772.0,,0.0,1320.0,0.0,0.0,10341.0,,0.0,591.0,1772.0,1810.0,200.0,0.0,8313.0
1984,,,780.0,550.0,4.0,1880.0,,0.0,1320.0,0.0,0.0,12117.0,,0.0,630.0,1880.0,1739.0,100.0,0.0,9181.0
1985,,,860.0,550.0,3.0,1190.0,,0.0,1330.0,0.0,0.0,10399.0,,0.0,329.0,1190.0,1314.0,100.0,0.0,9113.0
1986,,,852.0,600.0,4.0,1521.0,,0.0,1340.0,0.0,0.0,13165.0,,0.0,738.0,1521.0,1122.0,0.0,0.0,8922.0
1987,,,1040.0,700.0,2.0,1890.0,,0.0,1350.0,0.0,0.0,9029.0,,0.0,990.0,1890.0,664.0,0.0,0.0,10519.0
1988,,,1100.0,550.0,4.0,1315.0,,0.0,1360.0,0.0,0.0,7182.0,,0.0,1125.0,1315.0,592.0,0.0,0.0,8155.0
1989,,,830.0,550.0,2.0,741.0,,0.0,1482.0,0.0,0.0,8105.0,,0.0,1170.0,741.0,125.0,0.0,0.0,8423.0
1990,,,903.0,600.0,2.0,1557.0,,0.0,1370.0,0.0,0.0,3934.0,,0.0,990.0,1557.0,35.0,0.0,0.0,8232.0
1991,,,1380.0,600.0,2.0,1271.0,,0.0,1380.0,0.0,0.0,4106.0,,0.0,968.0,1271.0,53.0,0.0,0.0,5011.0
1992,6.0,400.0,1635.0,,2.0,2176.0,1500.0,250.0,1380.0,0.0,250.0,3163.0,,0.0,1089.0,2176.0,29.0,0.0,0.0,7341.0
1993,60.0,350.0,971.0,,2.0,1212.0,1200.0,200.0,,0.0,200.0,3475.0,94.0,0.0,857.0,1212.0,23.0,0.0,0.0,7930.0
1994,200.0,300.0,1000.0,,2.0,1604.0,2500.0,210.0,,0.0,210.0,4297.0,96.0,0.0,945.0,1604.0,5.0,0.0,0.0,7910.0
1995,310.0,300.0,979.0,,1.0,1404.0,3000.0,170.0,,0.0,170.0,5761.0,103.0,0.0,619.0,1404.0,31.0,0.0,0.0,6840.0
