,Peru
1961,10000.0
1962,10000.0
1963,10000.0
1964,10000.0
1965,10000.0
1966,9925.0
1967,9952.0
1968,10131.0
1969,9907.0
1970,9882.0
1971,9909.0
1972,9976.0
1973,9993.0
1974,9906.0
1975,9957.0
1976,9869.0
1977,9962.0
1978,9920.0
1979,9975.0
1980,9884.0
1981,10015.0
1982,9973.0
1983,9813.0
1984,9857.0
1985,3488.0
1986,2737.0
1987,2121.0
1988,3151.0
1989,2418.0
1990,5463.0
1991,5106.0
1992,5183.0
1993,5455.0
1994,4357.0
1995,4317.0
1996,4310.0
1997,4839.0
1998,5714.0
1999,5765.0
2000,5128.0
2001,5000.0
2002,4878.0
2003,5333.0
2004,4839.0
2005,7158.0
2006,5556.0
2007,5217.0
2008,5083.0
2009,5000.0
2010,5043.0
2011,5043.0
2012,4956.0
2013,4956.0
2014,4956.0
