,Israel,Japan,Switzerland,Australia,Greece,France,Republic of Korea,Italy,Slovenia,Montenegro,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),China,United States of America,Australia & New Zealand,Bulgaria,"China, mainland",Chile,Cyprus,Canada,Spain,Kyrgyzstan,New Zealand
1997,106766.0,112251.0,176111.0,70291.0,105685.0,175932.0,105746.0,145029.0,,,10000.0,92453.0,,125000.0,,148023.0,226853.0,,,181582.0,99348.0,250000.0,124274.0,30600.0,234047.0
1998,114286.0,112232.0,14118.0,87104.0,119153.0,201626.0,115748.0,153810.0,,,10000.0,45036.0,,125000.0,,154793.0,228196.0,,,185232.0,97826.0,277778.0,103963.0,12000.0,234283.0
1999,113787.0,132154.0,230000.0,99286.0,162465.0,189922.0,119241.0,190888.0,,,10000.0,97190.0,,133333.0,,114191.0,209273.0,,,133503.0,84783.0,262500.0,123632.0,30000.0,212745.0
2000,112680.0,150000.0,235294.0,125000.0,186802.0,196030.0,132805.0,194965.0,,,10000.0,91401.0,62500.0,130176.0,121429.0,143795.0,211887.0,,121429.0,148553.0,87500.0,287500.0,159431.0,60000.0,214739.0
2001,111765.0,146667.0,185570.0,128397.0,92379.0,185633.0,133333.0,180241.0,,,10000.0,77034.0,62258.0,130293.0,126667.0,118033.0,263844.0,,126667.0,177632.0,100000.0,218963.0,145055.0,50000.0,268022.0
2002,107407.0,143841.0,181439.0,134807.0,124858.0,183154.0,135000.0,193346.0,,,10000.0,111296.0,62500.0,131250.0,128205.0,130027.0,206113.0,,128205.0,166234.0,90625.0,162500.0,145652.0,58140.0,207772.0
2003,111389.0,139033.0,66429.0,140865.0,142061.0,168297.0,130951.0,165496.0,277778.0,,10000.0,104034.0,61766.0,138889.0,131250.0,119561.0,223331.0,8000.0,131250.0,162338.0,25000.0,125000.0,142857.0,87500.0,224953.0
2004,109787.0,111069.0,207778.0,172743.0,123404.0,177700.0,125000.0,205874.0,239427.0,,10000.0,102601.0,61427.0,134615.0,132530.0,133015.0,280874.0,8750.0,132530.0,161111.0,38636.0,123077.0,126554.0,80000.0,282605.0
2005,111071.0,142188.0,207778.0,183565.0,155778.0,174131.0,124022.0,193236.0,264444.0,,10000.0,101556.0,61069.0,130435.0,129412.0,185321.0,275545.0,8889.0,129412.0,227273.0,70455.0,125000.0,91244.0,75000.0,277390.0
2006,117532.0,131579.0,178333.0,182630.0,193778.0,178131.0,141644.0,203545.0,160000.0,,9965.0,92308.0,60693.0,128735.0,132184.0,131118.0,272188.0,5714.0,132184.0,253731.0,75000.0,133333.0,155675.0,100000.0,274487.0
2007,102861.0,135537.0,173889.0,216599.0,146042.0,169091.0,140444.0,191882.0,192222.0,,10161.0,124174.0,60304.0,127598.0,133333.0,130741.0,275975.0,16667.0,133333.0,212644.0,105333.0,133333.0,121209.0,100000.0,277082.0
2008,106025.0,161345.0,114444.0,212766.0,175625.0,157748.0,142937.0,211427.0,166667.0,200000.0,10850.0,105915.0,59902.0,126316.0,130435.0,122735.0,306292.0,,130435.0,215189.0,125833.0,125000.0,149191.0,100000.0,308065.0
2009,103772.0,147679.0,304444.0,185809.0,179310.0,186923.0,145430.0,181733.0,229091.0,200000.0,11845.0,174511.0,59488.0,131860.0,131579.0,136612.0,288932.0,62353.0,131579.0,210185.0,250000.0,103648.0,213736.0,100000.0,290802.0
2010,154399.0,115217.0,118333.0,187936.0,180298.0,174873.0,147922.0,168542.0,267500.0,200000.0,67430.0,150428.0,59053.0,138889.0,127551.0,174500.0,330319.0,20000.0,127551.0,219261.0,175714.0,98049.0,214682.0,100000.0,332659.0
2011,194463.0,116000.0,283684.0,214663.0,209552.0,183334.0,150415.0,173108.0,217500.0,200000.0,116384.0,147536.0,58497.0,154902.0,125537.0,201182.0,320491.0,78235.0,125537.0,241497.0,312500.0,84967.0,193116.0,100000.0,321622.0
2012,248393.0,133036.0,242105.0,220402.0,221096.0,165115.0,152908.0,158196.0,174167.0,200000.0,182583.0,121209.0,56667.0,110345.0,132070.0,197729.0,294098.0,79500.0,132070.0,240082.0,337500.0,74664.0,133079.0,100000.0,295054.0
2013,240506.0,140092.0,292105.0,226561.0,175921.0,147560.0,155400.0,176359.0,155000.0,200000.0,195195.0,100169.0,51830.0,110000.0,126132.0,158669.0,319328.0,65455.0,126132.0,245143.0,242000.0,63928.0,139382.0,100000.0,320704.0
2014,203488.0,146977.0,227727.0,232720.0,217652.0,163588.0,157893.0,204188.0,162500.0,200000.0,143285.0,80488.0,56915.0,105494.0,126897.0,155847.0,338400.0,74286.0,126897.0,250204.0,250000.0,59104.0,142144.0,100000.0,339994.0
