,Indonesia,Thailand
1961,117065.0,37600.0
1962,115800.0,27840.0
1963,97600.0,44000.0
1964,97900.0,48000.0
1965,100200.0,49600.0
1966,98600.0,48000.0
1967,99800.0,47040.0
1968,99100.0,47520.0
1969,151500.0,47040.0
1970,155500.0,46560.0
1971,138800.0,45000.0
1972,157500.0,43700.0
1973,177300.0,42300.0
1974,199800.0,40960.0
1975,200400.0,42880.0
1976,214500.0,42080.0
1977,196200.0,40320.0
1978,201200.0,36960.0
1979,189200.0,38240.0
1980,250100.0,38560.0
1981,247700.0,40160.0
1982,249100.0,41280.0
1983,242500.0,40320.0
1984,244800.0,40480.0
1985,251400.0,40000.0
1986,251900.0,37440.0
1987,229900.0,34880.0
1988,204500.0,35520.0
1989,205300.0,34880.0
1990,195300.0,35360.0
1991,194300.0,35840.0
1992,190900.0,37920.0
1993,184800.0,37440.0
1994,183900.0,39680.0
1995,173900.0,39360.0
1996,171957.0,39520.0
1997,172127.0,39520.0
1998,174309.0,38560.0
1999,174000.0,38240.0
2000,174000.0,38080.0
2001,175000.0,38080.0
2002,170000.0,38080.0
2003,185000.0,38100.0
2004,130000.0,38000.0
2005,130000.0,35642.0
2006,135000.0,31663.0
2007,148000.0,29353.0
2008,150000.0,29307.0
2009,171000.0,29262.0
2010,168300.0,29004.0
2011,167100.0,26858.0
2012,161300.0,25291.0
2013,155300.0,24222.0
2014,157524.0,23266.0
