,Australia & New Zealand,"China, Taiwan Province of",Romania,France,Venezuela (Bolivarian Republic of),Australia,Iraq,Pakistan,Philippines,Belgium,Japan,Kenya,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Sweden,Albania,China,Finland,Slovakia,"China, Hong Kong SAR",Slovenia,Congo,Canada,Colombia,Spain,Lebanon,New Zealand,Malta,Austria,Israel,Indonesia,Belgium-Luxembourg,Jordan,Denmark,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Hungary,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),Jamaica,Peru,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Singapore,Ireland,Cyprus,United Arab Emirates,Lithuania,Bulgaria,Netherlands,Occupied Palestinian Territory
1961,98.0,,-1.0,4738.0,-1.0,98.0,700.0,,-1.0,,22300.0,-1.0,,-1.0,1350.0,8500.0,,,6935.0,470.0,-1.0,240160.0,-1.0,,160.0,,-1.0,520.0,260.0,2200.0,100.0,,-1.0,113.0,35.0,,163.0,,210.0,100.0,1680.0,,-1.0,2290.0,390.0,20.0,1072.0,4019.0,9600.0,,1000.0,-1.0,195.0,90.0,22120.0,-1.0,,,,240000.0,-1.0,,30.0,,,550.0,1500.0,-1.0
1962,108.0,,-1.0,4971.0,-1.0,108.0,800.0,,-1.0,,22800.0,-1.0,,-1.0,1350.0,7800.0,,,5450.0,480.0,-1.0,175150.0,-1.0,,150.0,,-1.0,500.0,270.0,2200.0,100.0,,-1.0,111.0,29.0,,167.0,,315.0,95.0,1260.0,,-1.0,2080.0,390.0,21.0,1138.0,2569.0,10000.0,,1000.0,-1.0,125.0,90.0,18235.0,-1.0,,,,175000.0,-1.0,,30.0,,,550.0,1600.0,-1.0
1963,131.0,,-1.0,5359.0,-1.0,131.0,816.0,,-1.0,,23600.0,-1.0,,-1.0,1400.0,9800.0,,,6668.0,790.0,-1.0,150160.0,-1.0,,160.0,,-1.0,500.0,280.0,2500.0,150.0,,-1.0,165.0,62.0,,243.0,,380.0,70.0,1260.0,,-1.0,2210.0,390.0,22.0,974.0,1902.0,10200.0,,1000.0,-1.0,195.0,95.0,18781.0,-1.0,,,,150000.0,-1.0,,30.0,,,650.0,1600.0,-1.0
1964,146.0,,-1.0,4777.0,-1.0,146.0,970.0,,-1.0,,24000.0,-1.0,,-1.0,1400.0,8850.0,,,6142.0,690.0,-1.0,135120.0,-1.0,,120.0,,-1.0,570.0,290.0,2500.0,175.0,,-1.0,176.0,63.0,,194.0,,380.0,100.0,1260.0,,-1.0,2230.0,390.0,22.0,380.0,1606.0,10600.0,,1100.0,-1.0,195.0,95.0,17563.0,-1.0,,,,135000.0,-1.0,,30.0,,,650.0,1600.0,-1.0
1965,166.0,,-1.0,4888.0,-1.0,166.0,1273.0,,-1.0,,24100.0,-1.0,,-1.0,1450.0,9345.0,,,5972.0,690.0,-1.0,135100.0,-1.0,,100.0,,-1.0,433.0,300.0,2200.0,175.0,,-1.0,199.0,56.0,,127.0,,267.0,120.0,1680.0,,-1.0,2000.0,400.0,23.0,896.0,424.0,11000.0,,1500.0,-1.0,195.0,100.0,15560.0,-1.0,,,,135000.0,-1.0,,30.0,,,650.0,1600.0,-1.0
1966,183.0,,-1.0,4834.0,-1.0,183.0,1487.0,,-1.0,,24800.0,-1.0,,-1.0,1450.0,9179.0,,,6472.0,760.0,-1.0,132750.0,-1.0,,750.0,,-1.0,449.0,310.0,2200.0,175.0,,-1.0,157.0,40.0,,146.0,,164.0,125.0,1629.0,,-1.0,2000.0,450.0,24.0,1028.0,300.0,10100.0,,1700.0,-1.0,195.0,95.0,16835.0,-1.0,,,,132000.0,-1.0,,30.0,22.0,,700.0,1600.0,-1.0
1967,187.0,,-1.0,4971.0,-1.0,187.0,1708.0,,-1.0,,24200.0,-1.0,,-1.0,1500.0,9432.0,,,5190.0,660.0,-1.0,132900.0,-1.0,,900.0,,-1.0,340.0,320.0,2400.0,176.0,,-1.0,182.0,50.0,,138.0,,235.0,100.0,1619.0,,-1.0,1997.0,650.0,25.0,903.0,300.0,12000.0,,2000.0,-1.0,160.0,140.0,17563.0,-1.0,,,,132000.0,-1.0,,30.0,21.0,,764.0,1600.0,-1.0
1968,170.0,,-1.0,5633.0,-1.0,170.0,1579.0,,-1.0,,23900.0,-1.0,,-1.0,1500.0,9556.0,,,4878.0,600.0,-1.0,120750.0,-1.0,,750.0,,-1.0,370.0,330.0,2500.0,160.0,,-1.0,321.0,45.0,,143.0,,144.0,100.0,2100.0,,-1.0,2250.0,750.0,25.0,919.0,392.0,13100.0,,2200.0,-1.0,140.0,125.0,15855.0,-1.0,,,,120000.0,-1.0,,30.0,20.0,,761.0,1700.0,-1.0
1969,187.0,,-1.0,5741.0,-1.0,187.0,1562.0,,-1.0,,23800.0,-1.0,,-1.0,1550.0,9823.0,,,4839.0,710.0,-1.0,120800.0,-1.0,,800.0,,-1.0,355.0,340.0,2500.0,180.0,,-1.0,260.0,35.0,,140.0,,178.0,434.0,2100.0,,-1.0,2330.0,730.0,25.0,4106.0,414.0,13300.0,,1700.0,-1.0,140.0,205.0,13901.0,-1.0,,,,120000.0,-1.0,,30.0,22.0,,852.0,1800.0,-1.0
1970,213.0,,-1.0,5800.0,-1.0,213.0,1309.0,,-1.0,,24100.0,-1.0,,-1.0,1600.0,9467.0,,,5344.0,760.0,-1.0,71000.0,-1.0,,1000.0,,-1.0,270.0,350.0,2000.0,164.0,,-1.0,270.0,60.0,,188.0,,209.0,450.0,2520.0,,-1.0,2300.0,800.0,26.0,3133.0,514.0,15300.0,,1900.0,-1.0,140.0,355.0,14892.0,-1.0,,,,70000.0,-1.0,,30.0,21.0,,884.0,1650.0,-1.0
