,Ukraine,Serbia and Montenegro,Croatia,Serbia,United Kingdom,Austria,Denmark,Canada,The former Yugoslav Republic of Macedonia,Spain,Zimbabwe,Sweden,Norway,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Slovenia,Czechoslovakia,Czechia,Luxembourg,Germany,Belgium,Morocco,Poland,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Bosnia and Herzegovina,Ireland,Latvia,Slovakia,Kyrgyzstan,Chile,Hungary,Montenegro,Estonia,Australia,France,Lithuania,Finland,Netherlands,Russian Federation,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,46737.0,-1.0,-1.0,38171.0,-1.0,-1.0,-1.0,-1.0,66067.0,30000.0,55227.0,38316.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59772.0,51380.0,-1.0,75000.0,-1.0,-1.0,46250.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,51817.0,-1.0,-1.0,37394.0,-1.0,-1.0,-1.0,-1.0,60333.0,31579.0,57987.0,43772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59772.0,36084.0,-1.0,50000.0,-1.0,-1.0,54796.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,52493.0,-1.0,-1.0,37818.0,-1.0,-1.0,-1.0,-1.0,65467.0,30952.0,47294.0,53679.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47507.0,46936.0,-1.0,50000.0,-1.0,-1.0,46957.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,56200.0,-1.0,-1.0,39363.0,-1.0,-1.0,-1.0,-1.0,45825.0,30952.0,49814.0,46871.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52289.0,36255.0,-1.0,80000.0,-1.0,-1.0,45740.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,51820.0,-1.0,-1.0,36800.0,-1.0,-1.0,-1.0,-1.0,49275.0,30909.0,51622.0,40007.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12893.0,-1.0,-1.0,50909.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50178.0,46390.0,-1.0,125000.0,-1.0,-1.0,53812.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,53173.0,-1.0,-1.0,38428.0,-1.0,-1.0,-1.0,-1.0,52276.0,30435.0,54848.0,45501.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16557.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56215.0,45101.0,-1.0,100000.0,-1.0,-1.0,52796.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,48989.0,-1.0,-1.0,35564.0,-1.0,-1.0,-1.0,-1.0,49744.0,30417.0,55484.0,43372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26403.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57378.0,46637.0,-1.0,111111.0,-1.0,-1.0,52905.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,57270.0,-1.0,-1.0,36143.0,-1.0,-1.0,-1.0,-1.0,52303.0,30000.0,55685.0,37180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18386.0,-1.0,-1.0,44000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57336.0,46789.0,-1.0,117647.0,-1.0,-1.0,53876.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,60135.0,-1.0,-1.0,36868.0,-1.0,-1.0,-1.0,-1.0,57198.0,30242.0,53864.0,50358.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22727.0,-1.0,-1.0,44000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54625.0,46462.0,-1.0,153846.0,-1.0,-1.0,53074.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,56961.0,-1.0,-1.0,37089.0,-1.0,-1.0,-1.0,-1.0,56745.0,28205.0,52989.0,38449.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20388.0,-1.0,-1.0,48235.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57451.0,45818.0,-1.0,100000.0,-1.0,-1.0,49158.0,-1.0,-1.0
