,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Tonga,China,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Liberia,Greece,Tunisia,Zimbabwe,Uganda,Bangladesh,Malawi,Melanesia,Papua New Guinea,Uzbekistan,Eritrea,Yemen,Rwanda,Libya,Australia & New Zealand,Yugoslav SFR,Mozambique,Guatemala,Algeria,Slovenia,Senegal,Madagascar,Tajikistan,Ukraine,Haiti,Bhutan,Guinea,Botswana,Zambia,Fiji,Cabo Verde,Chad,Belgium,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,Germany,Nigeria,Colombia,Latvia,Portugal,Sweden,Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Guinea-Bissau,Kazakhstan,South Africa,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Namibia,Kenya,Poland,"China, mainland",Nicaragua,Mali,Timor-Leste,Thailand,Luxembourg,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Comoros,Sudan (former),Dominican Republic,South Sudan,El Salvador,Benin,Denmark,Canada,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Philippines,New Zealand,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Turkmenistan,Somalia,Pakistan,Morocco,Cuba,Turkey,Czechia,Togo,Argentina,Cambodia,Lithuania,Costa Rica,Georgia,India,Guadeloupe,Paraguay,Austria,Niger,Czechoslovakia,Ethiopia PDR,Congo,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Jordan,Israel,Mexico,Russian Federation,Viet Nam,Suriname,Ireland,Côte d'Ivoire,Angola,Albania,Slovakia,Spain,Italy,Polynesia,Panama,Sierra Leone,Swaziland,Australia,Egypt,Ghana,Netherlands,Mauritania,Gambia,Guyana,Norway,Republic of Moldova,Belgium-Luxembourg
1961,434.0,4495.0,-1.0,-1.0,21511.0,3627.0,25.0,982006.0,11717.0,74826.0,228.0,4846.0,1200.0,-1.0,33173.0,214.0,17373.0,66.0,5219.0,13465.0,3616.0,6216.0,61.0,60.0,-1.0,-1.0,558.0,76.0,152.0,2349.0,2083.0,12246.0,928.0,408.0,-1.0,24792.0,1584.0,-1.0,-1.0,274.0,7.0,1948.0,23.0,3025.0,1.0,61.0,16001.0,-1.0,0.0,226.0,5.0,6047.0,-1.0,4393.0,-1.0,11.0,4122.0,60512.0,3735.0,-1.0,46.0,286.0,64.0,-1.0,6.0,0.0,755.0,2660.0,-1.0,7127.0,5.0,23.0,2088.0,3147.0,0.0,968.0,19160.0,977511.0,1007.0,7103.0,51.0,4499.0,-1.0,0.0,173.0,6013.0,19898.0,-1.0,8286.0,-1.0,68.0,0.0,10860.0,955.0,-1.0,1348.0,2523.0,863.0,27729.0,11940.0,2881.0,799.0,-1.0,669.0,17.0,6.0,4405.0,280.0,0.0,7540.0,889587.0,5887.0,12264.0,-1.0,-1.0,777.0,34822.0,940.0,1155.0,23684.0,-1.0,1809.0,47454.0,1336.0,-1.0,33.0,-1.0,306262.0,4.0,1236.0,15.0,7448.0,1303.0,7767.0,1067.0,12507.0,74.0,420039.0,3379.0,808.0,61.0,31.0,629.0,18822.0,-1.0,2935.0,21.0,0.0,2015.0,1736.0,1794.0,-1.0,10066.0,1761.0,25.0,2.0,516.0,183.0,2069.0,17160.0,1824.0,1091.0,37.0,2052.0,0.0,4.0,-1.0,3090.0
1962,509.0,4168.0,-1.0,-1.0,23648.0,3213.0,25.0,1028694.0,11305.0,74981.0,225.0,5506.0,1219.0,-1.0,31562.0,181.0,14691.0,61.0,4855.0,14491.0,3541.0,6489.0,68.0,67.0,-1.0,-1.0,763.0,121.0,213.0,2988.0,2205.0,11786.0,1162.0,331.0,-1.0,22957.0,1591.0,-1.0,-1.0,231.0,7.0,1986.0,44.0,3033.0,1.0,77.0,14101.0,-1.0,0.0,260.0,5.0,6595.0,-1.0,4254.0,-1.0,11.0,3878.0,73562.0,3526.0,-1.0,69.0,266.0,76.0,-1.0,9.0,0.0,805.0,2660.0,-1.0,9097.0,5.0,9.0,3303.0,3795.0,0.0,937.0,15247.0,1024527.0,1241.0,7673.0,51.0,4575.0,-1.0,0.0,185.0,6107.0,20530.0,-1.0,9334.0,-1.0,65.0,0.0,11041.0,947.0,-1.0,1523.0,2527.0,552.0,20527.0,10878.0,3423.0,638.0,-1.0,611.0,17.0,7.0,5623.0,338.0,0.0,6996.0,911863.0,6052.0,12240.0,-1.0,-1.0,512.0,37616.0,1134.0,980.0,23018.0,-1.0,1991.0,47423.0,922.0,-1.0,38.0,-1.0,302188.0,2.0,1504.0,21.0,7383.0,1362.0,8033.0,749.0,11824.0,74.0,413840.0,3699.0,856.0,89.0,28.0,629.0,19908.0,-1.0,2822.0,24.0,0.0,2324.0,1769.0,1877.0,-1.0,8506.0,1506.0,25.0,2.0,516.0,220.0,2649.0,19746.0,1854.0,1207.0,43.0,2280.0,0.0,6.0,-1.0,3205.0
1963,479.0,4166.0,-1.0,-1.0,23633.0,4036.0,26.0,1095009.0,11200.0,78302.0,245.0,5689.0,1209.0,-1.0,31592.0,181.0,9009.0,47.0,5295.0,15201.0,3249.0,6026.0,73.0,71.0,-1.0,-1.0,650.0,358.0,152.0,3632.0,2246.0,12911.0,1257.0,367.0,-1.0,24762.0,1613.0,-1.0,-1.0,221.0,7.0,2005.0,40.0,3044.0,2.0,65.0,14852.0,-1.0,0.0,244.0,2.0,5483.0,-1.0,4113.0,-1.0,11.0,4033.0,74515.0,3824.0,-1.0,38.0,280.0,73.0,-1.0,9.0,0.0,886.0,2660.0,-1.0,9856.0,5.0,12.0,3259.0,4095.0,0.0,1080.0,18185.0,1090843.0,1523.0,6853.0,51.0,4702.0,-1.0,0.0,213.0,5853.0,21162.0,-1.0,8998.0,-1.0,93.0,0.0,10826.0,878.0,-1.0,1963.0,2127.0,829.0,23634.0,10018.0,3423.0,924.0,-1.0,700.0,19.0,4.0,6339.0,350.0,0.0,6407.0,938088.0,6050.0,11225.0,-1.0,-1.0,560.0,37519.0,1219.0,590.0,25280.0,-1.0,2082.0,48342.0,1285.0,-1.0,71.0,-1.0,315215.0,2.0,1825.0,24.0,6829.0,1348.0,8064.0,724.0,11734.0,74.0,427410.0,3527.0,985.0,113.0,22.0,629.0,19366.0,-1.0,3063.0,25.0,0.0,2325.0,1769.0,1901.0,-1.0,6971.0,1364.0,26.0,2.0,516.0,235.0,3282.0,23820.0,1961.0,1382.0,43.0,2280.0,0.0,8.0,-1.0,3703.0
1964,533.0,4135.0,-1.0,-1.0,22609.0,4067.0,27.0,981229.0,11269.0,82493.0,245.0,6893.0,1234.0,-1.0,32352.0,181.0,8571.0,44.0,5427.0,15786.0,3161.0,6588.0,59.0,58.0,-1.0,-1.0,1042.0,260.0,152.0,1746.0,2380.0,14031.0,1286.0,322.0,-1.0,27440.0,1579.0,-1.0,-1.0,231.0,7.0,2062.0,17.0,2394.0,2.0,64.0,15377.0,-1.0,0.0,248.0,2.0,4734.0,-1.0,3964.0,-1.0,7.0,3877.0,80427.0,4248.0,-1.0,53.0,164.0,58.0,-1.0,9.0,0.0,873.0,2660.0,-1.0,7508.0,10.0,14.0,3087.0,3393.0,0.0,1087.0,20269.0,977093.0,1763.0,6651.0,51.0,4968.0,-1.0,0.0,217.0,5663.0,21794.0,-1.0,10476.0,-1.0,89.0,0.0,11036.0,878.0,-1.0,1936.0,2587.0,875.0,28337.0,10654.0,2700.0,1056.0,-1.0,813.0,8.0,6.0,5969.0,197.0,0.0,6935.0,1024588.0,6055.0,11488.0,-1.0,-1.0,593.0,40139.0,1473.0,620.0,25446.0,-1.0,1996.0,48233.0,1334.0,-1.0,105.0,-1.0,315754.0,2.0,2127.0,25.0,7952.0,1041.0,8219.0,698.0,12845.0,74.0,431923.0,3659.0,1128.0,180.0,22.0,629.0,19757.0,-1.0,3320.0,24.0,0.0,2303.0,1872.0,1903.0,-1.0,6850.0,1264.0,27.0,2.0,521.0,253.0,1549.0,24956.0,945.0,995.0,43.0,2280.0,0.0,14.0,-1.0,2553.0
1965,521.0,2242.0,-1.0,-1.0,22202.0,4340.0,27.0,964349.0,10068.0,83383.0,249.0,6955.0,1181.0,-1.0,32382.0,181.0,8447.0,41.0,5478.0,15911.0,3536.0,6887.0,48.0,47.0,-1.0,-1.0,509.0,182.0,182.0,2383.0,2246.0,14124.0,1087.0,344.0,-1.0,28611.0,1636.0,-1.0,-1.0,220.0,7.0,2112.0,16.0,3401.0,2.0,70.0,13802.0,-1.0,0.0,226.0,2.0,3296.0,-1.0,4208.0,-1.0,9.0,3759.0,81415.0,4783.0,-1.0,64.0,27.0,59.0,-1.0,19.0,0.0,921.0,2394.0,-1.0,7915.0,9.0,14.0,2829.0,3391.0,0.0,1071.0,19962.0,962107.0,1928.0,5452.0,51.0,7784.0,-1.0,0.0,237.0,4870.0,16928.0,-1.0,11343.0,-1.0,79.0,0.0,11090.0,794.0,-1.0,1528.0,2602.0,681.0,33110.0,9675.0,2112.0,1028.0,-1.0,680.0,7.0,12.0,5839.0,141.0,0.0,7244.0,1048529.0,5640.0,11959.0,-1.0,-1.0,728.0,41693.0,1604.0,556.0,26849.0,-1.0,2105.0,44800.0,1287.0,-1.0,87.0,-1.0,312111.0,5.0,2354.0,28.0,8270.0,896.0,8394.0,566.0,11512.0,74.0,431872.0,5337.0,1066.0,187.0,13.0,629.0,21146.0,-1.0,3276.0,27.0,0.0,2121.0,1777.0,1903.0,-1.0,8357.0,1147.0,27.0,2.0,462.0,286.0,2242.0,24530.0,986.0,852.0,43.0,2280.0,0.0,18.0,-1.0,2226.0
1966,599.0,7108.0,-1.0,-1.0,19558.0,4526.0,27.0,979605.0,9537.0,82591.0,254.0,6158.0,1258.0,-1.0,33112.0,201.0,8685.0,35.0,5575.0,15820.0,4112.0,7555.0,61.0,52.0,-1.0,-1.0,425.0,638.0,192.0,2843.0,2159.0,14557.0,1171.0,299.0,-1.0,29467.0,1668.0,-1.0,-1.0,209.0,7.0,2133.0,44.0,3396.0,9.0,58.0,13840.0,-1.0,0.0,245.0,2.0,3234.0,-1.0,4613.0,-1.0,9.0,3751.0,78974.0,5298.0,-1.0,69.0,20.0,79.0,-1.0,48.0,0.0,762.0,2394.0,-1.0,8340.0,10.0,12.0,2534.0,3195.0,0.0,1048.0,22896.0,972498.0,2051.0,6060.0,56.0,6451.0,-1.0,0.0,237.0,4341.0,17117.0,-1.0,12415.0,-1.0,87.0,0.0,13073.0,718.0,-1.0,975.0,2916.0,658.0,29622.0,8692.0,2198.0,1150.0,-1.0,803.0,7.0,12.0,6568.0,146.0,0.0,7443.0,1036732.0,4933.0,12505.0,-1.0,-1.0,774.0,45441.0,1247.0,517.0,27043.0,-1.0,2223.0,37222.0,1240.0,-1.0,100.0,-1.0,316196.0,9.0,1971.0,29.0,8305.0,865.0,8710.0,567.0,12905.0,74.0,419251.0,9892.0,957.0,182.0,6.0,620.0,19379.0,-1.0,3079.0,22.0,0.0,1929.0,1884.0,1996.0,-1.0,7368.0,877.0,27.0,2.0,462.0,303.0,2697.0,24094.0,1415.0,465.0,43.0,2006.0,0.0,27.0,-1.0,1324.0
1967,631.0,8398.0,-1.0,-1.0,21242.0,4806.0,28.0,953823.0,11096.0,90641.0,264.0,5929.0,1272.0,-1.0,34752.0,201.0,8920.0,38.0,5998.0,14981.0,4478.0,7084.0,78.0,54.0,-1.0,-1.0,321.0,450.0,192.0,2663.0,1810.0,14574.0,1264.0,312.0,-1.0,29528.0,1682.0,-1.0,-1.0,190.0,7.0,2154.0,70.0,3448.0,24.0,50.0,14406.0,-1.0,0.0,301.0,2.0,2439.0,-1.0,5006.0,-1.0,9.0,4150.0,70806.0,6556.0,-1.0,19.0,10.0,106.0,-1.0,41.0,0.0,755.0,2394.0,-1.0,9849.0,8.0,9.0,2496.0,2232.0,0.0,1255.0,25300.0,945425.0,1999.0,8573.0,54.0,6680.0,-1.0,0.0,344.0,3982.0,17370.0,-1.0,12458.0,-1.0,121.0,0.0,12879.0,731.0,-1.0,732.0,3228.0,494.0,22598.0,6973.0,2214.0,1213.0,-1.0,770.0,6.0,6.0,5628.0,148.0,0.0,7123.0,1137222.0,5606.0,14173.0,-1.0,-1.0,878.0,45531.0,1152.0,517.0,27513.0,-1.0,2107.0,31451.0,1182.0,-1.0,75.0,-1.0,295162.0,8.0,1723.0,28.0,10032.0,980.0,8969.0,568.0,13025.0,74.0,419960.0,9986.0,959.0,147.0,6.0,619.0,21757.0,-1.0,2991.0,19.0,0.0,2185.0,2031.0,2021.0,-1.0,6308.0,586.0,28.0,2.0,462.0,291.0,2515.0,25918.0,1849.0,514.0,45.0,2006.0,0.0,33.0,-1.0,1382.0
1968,607.0,8902.0,-1.0,-1.0,23167.0,4595.0,29.0,946827.0,11838.0,105877.0,282.0,6641.0,1361.0,-1.0,36268.0,201.0,9893.0,53.0,7124.0,14820.0,4471.0,7582.0,78.0,54.0,-1.0,-1.0,652.0,231.0,152.0,3547.0,2091.0,14573.0,1103.0,319.0,-1.0,29198.0,1760.0,-1.0,-1.0,191.0,8.0,2176.0,73.0,3657.0,24.0,33.0,14773.0,-1.0,0.0,279.0,2.0,3448.0,-1.0,4870.0,-1.0,9.0,4159.0,70839.0,7303.0,-1.0,32.0,7.0,137.0,-1.0,57.0,0.0,781.0,2394.0,-1.0,10317.0,12.0,10.0,2213.0,2837.0,0.0,1230.0,12040.0,937924.0,1803.0,8016.0,63.0,5762.0,-1.0,0.0,327.0,4033.0,17623.0,-1.0,12380.0,-1.0,101.0,0.0,13134.0,1151.0,-1.0,906.0,3066.0,392.0,26073.0,6153.0,2237.0,1289.0,-1.0,814.0,7.0,5.0,5501.0,214.0,0.0,7165.0,1176959.0,6513.0,15840.0,-1.0,-1.0,901.0,45151.0,1357.0,428.0,25941.0,-1.0,1499.0,36800.0,1527.0,-1.0,32.0,-1.0,306714.0,8.0,2173.0,15.0,7516.0,992.0,9270.0,587.0,12776.0,74.0,415247.0,10857.0,781.0,134.0,2.0,628.0,20529.0,-1.0,2933.0,10.0,0.0,2706.0,2670.0,2099.0,-1.0,4100.0,449.0,29.0,1.0,462.0,247.0,3333.0,26684.0,2266.0,448.0,51.0,1938.0,0.0,22.0,-1.0,1472.0
1969,584.0,9905.0,-1.0,-1.0,23655.0,4654.0,29.0,923922.0,9939.0,125970.0,295.0,6893.0,1394.0,-1.0,31556.0,201.0,9060.0,38.0,6949.0,15249.0,4061.0,7531.0,78.0,59.0,-1.0,-1.0,464.0,258.0,142.0,3883.0,2033.0,14494.0,975.0,299.0,-1.0,27840.0,1715.0,-1.0,-1.0,202.0,8.0,2199.0,71.0,3637.0,18.0,40.0,14245.0,-1.0,0.0,255.0,2.0,5762.0,-1.0,5218.0,-1.0,9.0,4274.0,72006.0,7986.0,-1.0,41.0,5.0,133.0,-1.0,31.0,0.0,689.0,2394.0,-1.0,11699.0,13.0,10.0,2271.0,2975.0,0.0,1486.0,20886.0,914018.0,1494.0,11076.0,63.0,5553.0,-1.0,0.0,366.0,3429.0,17876.0,-1.0,13750.0,-1.0,108.0,0.0,14585.0,1032.0,-1.0,1006.0,3214.0,404.0,36824.0,5324.0,2225.0,1392.0,-1.0,776.0,9.0,6.0,4886.0,214.0,0.0,7261.0,1155747.0,5835.0,17827.0,-1.0,-1.0,962.0,44731.0,1537.0,428.0,23627.0,-1.0,1573.0,37716.0,1116.0,-1.0,7.0,-1.0,304831.0,8.0,2542.0,14.0,8355.0,815.0,9530.0,529.0,12399.0,74.0,415012.0,14681.0,454.0,58.0,4.0,689.0,18552.0,-1.0,2769.0,11.0,0.0,2451.0,2913.0,2085.0,-1.0,3319.0,333.0,29.0,1.0,376.0,258.0,3669.0,27924.0,2998.0,294.0,160.0,1984.0,0.0,10.0,-1.0,775.0
1970,604.0,9443.0,-1.0,-1.0,27303.0,4685.0,29.0,911529.0,10054.0,127831.0,313.0,6213.0,1482.0,-1.0,36645.0,223.0,8892.0,53.0,5998.0,18005.0,4046.0,8348.0,79.0,64.0,-1.0,-1.0,597.0,284.0,169.0,3615.0,1924.0,14634.0,944.0,338.0,-1.0,42444.0,1711.0,-1.0,-1.0,193.0,8.0,2222.0,100.0,3899.0,15.0,15.0,14332.0,-1.0,0.0,215.0,1.0,3670.0,-1.0,5493.0,-1.0,9.0,4685.0,71802.0,8293.0,-1.0,37.0,4.0,156.0,-1.0,41.0,0.0,684.0,2128.0,-1.0,10366.0,12.0,10.0,2426.0,3073.0,0.0,1124.0,24778.0,902086.0,1328.0,10333.0,63.0,6048.0,-1.0,0.0,471.0,3262.0,18065.0,-1.0,13933.0,-1.0,98.0,0.0,15240.0,1126.0,-1.0,1097.0,3266.0,764.0,49663.0,6032.0,2235.0,1149.0,-1.0,861.0,9.0,7.0,5251.0,265.0,0.0,7377.0,1171361.0,5489.0,17829.0,-1.0,-1.0,973.0,50315.0,1381.0,428.0,28774.0,-1.0,1679.0,39711.0,855.0,-1.0,7.0,-1.0,320732.0,3.0,3289.0,13.0,9196.0,724.0,9699.0,649.0,11558.0,74.0,407248.0,23690.0,568.0,47.0,7.0,749.0,22400.0,-1.0,2854.0,9.0,0.0,2387.0,3356.0,2140.0,-1.0,3828.0,305.0,29.0,1.0,377.0,218.0,3350.0,27491.0,3019.0,405.0,106.0,2166.0,6.0,6.0,-1.0,1177.0
