,"China, mainland",Israel,Uzbekistan,Chile,Spain,New Zealand,"China, Taiwan Province of",Republic of Korea,Mexico,Australia,Azerbaijan,Brazil,Australia & New Zealand,Slovenia,Nepal,China,Japan,Iran (Islamic Republic of),Italy
1961,495000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2250.0,13271.0,-1.0,-1.0,-1.0,15298.0,-1.0,-1.0,-1.0,497250.0,393500.0,20.0,70740.0
1962,440000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2109.0,16594.0,-1.0,-1.0,-1.0,16005.0,-1.0,-1.0,-1.0,442109.0,322500.0,20.0,72830.0
1963,475000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1804.0,14114.0,-1.0,-1.0,-1.0,16239.0,-1.0,-1.0,-1.0,476804.0,383500.0,20.0,75200.0
1964,465000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2340.0,23602.0,-1.0,-1.0,-1.0,17198.0,-1.0,-1.0,-1.0,467340.0,464000.0,20.0,73500.0
1965,515000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1997.0,23510.0,-1.0,-1.0,-1.0,19988.0,-1.0,-1.0,-1.0,516997.0,346400.0,20.0,72000.0
1966,495000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2101.0,22075.0,-1.0,-1.0,-1.0,19586.0,-1.0,-1.0,-1.0,497101.0,419300.0,20.0,71400.0
1967,475000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2203.0,23609.0,-1.0,-1.0,-1.0,20037.0,-1.0,-1.0,-1.0,477203.0,504400.0,20.0,73600.0
1968,470000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2333.0,34579.0,-1.0,-1.0,-1.0,20427.0,-1.0,-1.0,-1.0,472333.0,450100.0,25.0,73300.0
1969,414000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2152.0,33854.0,-1.0,-1.0,-1.0,20849.0,-1.0,-1.0,-1.0,416152.0,444100.0,25.0,74000.0
1970,455000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2341.0,30310.0,-1.0,-1.0,-1.0,21659.0,-1.0,-1.0,-1.0,457341.0,342700.0,25.0,59600.0
1971,427000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2411.0,22887.0,-1.0,-1.0,-1.0,21558.0,-1.0,-1.0,-1.0,429411.0,303200.0,30.0,59200.0
1972,480000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2359.0,31115.0,-1.0,-1.0,-1.0,25188.0,-1.0,-1.0,-1.0,482359.0,306900.0,30.0,61700.0
1973,535000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2515.0,32284.0,-1.0,-1.0,-1.0,19374.0,-1.0,-1.0,-1.0,537515.0,347200.0,30.0,59000.0
1974,538000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2745.0,41928.0,-1.0,-1.0,-1.0,20446.0,-1.0,-1.0,-1.0,540745.0,283600.0,30.0,63500.0
1975,528000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2843.0,20890.0,-1.0,-1.0,-1.0,22114.0,-1.0,-1.0,-1.0,530843.0,274700.0,60.0,60000.0
