,Slovakia,USSR,Bhutan,Denmark,Sri Lanka,Mexico,Czechoslovakia,France,Czechia,Romania,Italy,Hungary,Germany,Russian Federation,"China, mainland",China,United States of America,Sweden,Nepal,Canada,Lithuania,Bulgaria,Myanmar,Ukraine
1961,,14245.0,11.0,0.0,29.0,0.0,116.0,65.0,,80.0,52.0,0.0,746.0,,0.0,0.0,90.0,91.0,1220.0,546.0,,15.0,18.0,
1962,,13500.0,11.0,0.0,58.0,0.0,105.0,56.0,,86.0,50.0,0.0,490.0,,0.0,0.0,60.0,109.0,1220.0,765.0,,15.0,31.0,
1963,,13750.0,12.0,0.0,42.0,0.0,46.0,43.0,,96.0,40.0,0.0,147.0,,0.0,0.0,84.0,110.0,1090.0,461.0,,23.0,27.0,
1964,,13800.0,12.0,0.0,38.0,0.0,21.0,39.0,,14.0,34.0,0.0,107.0,,0.0,0.0,72.0,44.0,1100.0,947.0,,20.0,39.0,
1965,,13050.0,12.0,0.0,30.0,0.0,22.0,35.0,,14.0,32.0,0.0,244.0,,0.0,0.0,72.0,32.0,976.0,1218.0,,21.0,36.0,
1966,,11750.0,13.0,0.0,48.0,0.0,24.0,36.0,,26.0,22.0,0.0,191.0,,0.0,0.0,72.0,20.0,995.0,1342.0,,20.0,38.0,
1967,,11700.0,13.0,0.0,34.0,0.0,17.0,30.0,,27.0,22.0,0.0,186.0,,0.0,0.0,60.0,17.0,985.0,3236.0,,21.0,40.0,
1968,,11200.0,13.0,0.0,30.0,0.0,16.0,29.0,,60.0,16.0,0.0,233.0,,0.0,0.0,58.0,12.0,1025.0,1621.0,,15.0,37.0,
1969,,11050.0,13.0,0.0,28.0,0.0,12.0,29.0,,71.0,14.0,0.0,113.0,,0.0,0.0,148.0,8.0,1050.0,1214.0,,14.0,41.0,
1970,,12950.0,14.0,0.0,43.0,0.0,8.0,28.0,,53.0,8.0,0.0,138.0,,0.0,0.0,166.0,8.0,1087.0,1252.0,,8.0,51.0,
1971,,12450.0,14.0,0.0,68.0,0.0,8.0,15.0,,75.0,5.0,0.0,200.0,,0.0,0.0,176.0,5.0,1143.0,1093.0,,12.0,53.0,
1972,,12300.0,14.0,0.0,66.0,0.0,14.0,13.0,,66.0,3.0,0.0,173.0,,0.0,0.0,187.0,4.0,1140.0,2034.0,,11.0,55.0,
1973,,12850.0,14.0,0.0,53.0,0.0,28.0,11.0,,87.0,4.0,0.0,210.0,,0.0,0.0,197.0,10.0,1145.0,2125.0,,8.0,60.0,
1974,,12800.0,14.0,0.0,72.0,0.0,16.0,7.0,,87.0,4.0,0.0,176.0,,0.0,0.0,200.0,8.0,1145.0,989.0,,6.0,62.0,
1975,,12600.0,15.0,0.0,88.0,0.0,13.0,8.0,,12.0,3.0,2.0,145.0,,0.0,0.0,202.0,5.0,1150.0,528.0,,6.0,68.0,
