,Comoros,Indonesia,Seychelles,Grenada,China,Madagascar,Togo,Morocco,Malaysia,"China, mainland",Mexico,Sri Lanka,Kenya,United Republic of Tanzania
1961,70.0,7000.0,,-1.0,-1.0,11000.0,,,50.0,-1.0,-1.0,150.0,,9500.0
1962,160.0,6600.0,,-1.0,-1.0,3200.0,,,30.0,-1.0,-1.0,100.0,,9000.0
1963,180.0,7900.0,,-1.0,-1.0,5200.0,,,90.0,-1.0,-1.0,100.0,,13000.0
1964,180.0,14000.0,,-1.0,-1.0,5060.0,,,40.0,-1.0,-1.0,100.0,,10000.0
1965,200.0,8600.0,,-1.0,-1.0,6585.0,,,30.0,-1.0,-1.0,100.0,,11000.0
1966,200.0,17500.0,,-1.0,-1.0,815.0,,,45.0,-1.0,-1.0,100.0,,17000.0
1967,230.0,8821.0,,-1.0,-1.0,13540.0,,,50.0,-1.0,-1.0,100.0,20.0,17000.0
1968,250.0,17156.0,,-1.0,-1.0,920.0,,,50.0,-1.0,-1.0,100.0,20.0,15500.0
1969,250.0,11038.0,,-1.0,-1.0,4790.0,,,50.0,-1.0,-1.0,300.0,20.0,7428.0
1970,280.0,15447.0,,-1.0,-1.0,13430.0,,,75.0,-1.0,-1.0,300.0,20.0,4821.0
1971,375.0,11331.0,,-1.0,-1.0,6345.0,,,100.0,-1.0,-1.0,200.0,20.0,11000.0
1972,250.0,15130.0,,-1.0,-1.0,5810.0,,,65.0,-1.0,-1.0,200.0,20.0,13000.0
1973,250.0,27446.0,,-1.0,-1.0,4305.0,,,100.0,-1.0,-1.0,650.0,20.0,13000.0
1974,370.0,14998.0,,-1.0,-1.0,23000.0,,,125.0,-1.0,-1.0,600.0,20.0,5000.0
1975,521.0,19294.0,,-1.0,-1.0,4500.0,,,125.0,-1.0,-1.0,400.0,20.0,13341.0
1976,764.0,20032.0,,-1.0,-1.0,12930.0,,,150.0,-1.0,-1.0,500.0,20.0,10159.0
1977,212.0,39923.0,,-1.0,-1.0,13555.0,,,150.0,-1.0,-1.0,1300.0,20.0,9441.0
1978,250.0,21554.0,,-1.0,-1.0,12790.0,,,175.0,-1.0,-1.0,1000.0,20.0,3769.0
1979,350.0,18208.0,,-1.0,-1.0,4180.0,,,175.0,-1.0,-1.0,1000.0,20.0,12573.0
1980,1200.0,34218.0,,-1.0,-1.0,12250.0,,,225.0,-1.0,-1.0,1300.0,20.0,6484.0
1981,500.0,29352.0,,-1.0,-1.0,10800.0,,,200.0,-1.0,-1.0,1400.0,20.0,6144.0
1982,700.0,32809.0,,-1.0,-1.0,9905.0,,,210.0,-1.0,-1.0,1200.0,20.0,2931.0
1983,1200.0,41828.0,,-1.0,-1.0,4230.0,,,200.0,-1.0,-1.0,1800.0,20.0,6843.0
1984,950.0,48888.0,,-1.0,-1.0,18000.0,,,175.0,-1.0,-1.0,1700.0,20.0,10815.0
1985,1200.0,41900.0,,-1.0,-1.0,14000.0,,,200.0,-1.0,-1.0,737.0,20.0,1548.0
1986,1500.0,50628.0,,-1.0,500.0,7100.0,,,210.0,500.0,-1.0,710.0,20.0,11300.0
1987,1300.0,71002.0,,23.0,500.0,6500.0,,,225.0,500.0,-1.0,651.0,20.0,1880.0
1988,1300.0,81224.0,,20.0,500.0,10100.0,,,230.0,500.0,-1.0,1052.0,20.0,12700.0
1989,1300.0,56398.0,,21.0,400.0,7100.0,,,230.0,400.0,-1.0,1179.0,20.0,4065.0
1990,1350.0,66912.0,,21.0,500.0,9500.0,,,235.0,500.0,-1.0,1351.0,21.0,2078.0
1991,1090.0,80253.0,,21.0,400.0,14644.0,,,240.0,400.0,-1.0,1354.0,468.0,15393.0
1992,900.0,73124.0,,22.0,200.0,11534.0,-1.0,,250.0,200.0,-1.0,1799.0,403.0,1700.0
1993,1586.0,67366.0,-1.0,21.0,265.0,16500.0,-1.0,,255.0,265.0,-1.0,1500.0,339.0,1900.0
1994,2755.0,78379.0,-1.0,23.0,293.0,14000.0,-1.0,-1.0,230.0,293.0,-1.0,1400.0,274.0,4927.0
1995,1500.0,90007.0,-1.0,24.0,300.0,13000.0,-1.0,-1.0,224.0,300.0,-1.0,1500.0,98.0,1576.0
1996,2000.0,59479.0,-1.0,20.0,343.0,13000.0,-1.0,-1.0,218.0,343.0,-1.0,1977.0,30.0,10339.0
1997,2000.0,59194.0,-1.0,24.0,358.0,14500.0,-1.0,,200.0,358.0,-1.0,2500.0,40.0,2506.0
1998,2294.0,67177.0,-1.0,25.0,350.0,13500.0,-1.0,,210.0,350.0,-1.0,2466.0,50.0,6300.0
1999,2438.0,52903.0,-1.0,25.0,400.0,12460.0,-1.0,,208.0,400.0,-1.0,3500.0,70.0,8027.0
2000,2582.0,59879.0,-1.0,26.0,500.0,11790.0,-1.0,,206.0,500.0,-1.0,1500.0,550.0,9000.0
2001,2725.0,72685.0,,26.0,521.0,11830.0,-1.0,,205.0,521.0,-1.0,2000.0,700.0,9200.0
2002,2869.0,79010.0,,27.0,550.0,11770.0,,,204.0,550.0,-1.0,4100.0,1000.0,8018.0
2003,3013.0,116415.0,,27.0,600.0,18950.0,,,214.0,600.0,-1.0,3350.0,1000.0,9500.0
2004,3200.0,73837.0,,28.0,700.0,18055.0,,,215.0,700.0,-1.0,3270.0,1000.0,9900.0
2005,1500.0,78350.0,,28.0,627.0,9873.0,,,215.0,627.0,-1.0,3260.0,1000.0,10200.0
2006,2500.0,61408.0,,29.0,696.0,9900.0,,,216.0,696.0,-1.0,3140.0,1096.0,9800.0
2007,3500.0,80404.0,,29.0,800.0,10051.0,,,217.0,800.0,-1.0,3070.0,1316.0,9900.0
2008,3000.0,70535.0,,30.0,825.0,10142.0,,,217.0,825.0,-1.0,3990.0,1700.0,9127.0
2009,2630.0,82033.0,,31.0,900.0,10233.0,,,218.0,900.0,-1.0,3790.0,2000.0,8920.0
2010,2515.0,98400.0,,31.0,978.0,10356.0,,,219.0,978.0,-1.0,3770.0,2500.0,8688.0
2011,2428.0,72300.0,,32.0,1054.0,11040.0,,,218.0,1054.0,-1.0,3870.0,1700.0,8701.0
2012,1735.0,99900.0,,36.0,1150.0,11066.0,,,220.0,1150.0,-1.0,4250.0,1750.0,6850.0
2013,2402.0,109600.0,,33.0,1200.0,10986.0,,,219.0,1200.0,-1.0,3920.0,1800.0,6850.0
2014,2174.0,122200.0,,33.0,1235.0,10851.0,,,218.0,1235.0,-1.0,5594.0,1950.0,8713.0
