,Jordan,Australia,Madagascar,Pakistan,Mexico,Azerbaijan,Italy,Turkey,Syrian Arab Republic,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Greece,Australia & New Zealand,"China, mainland",Cameroon,Cyprus,Afghanistan,Côte d'Ivoire,Spain,Kyrgyzstan
1961,,-1.0,-1.0,,,,,13893.0,6500.0,,15000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1962,,-1.0,-1.0,,,,,14466.0,4000.0,,15000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1963,,-1.0,-1.0,,,,,14763.0,4000.0,,15000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1964,,-1.0,-1.0,,,,,15000.0,5000.0,,15000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1965,,-1.0,-1.0,,,,,15357.0,6000.0,,20000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1966,,-1.0,-1.0,,,,,16029.0,6400.0,,30000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1967,,-1.0,-1.0,,,,,16457.0,6400.0,,20000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1968,,-1.0,-1.0,,,,,14370.0,6347.0,,34000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1969,,-1.0,-1.0,,,,,14857.0,6991.0,,34000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1970,,-1.0,-1.0,,,,,15624.0,6644.0,1500.0,35000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1971,,-1.0,-1.0,,,,,16081.0,6906.0,1700.0,23890.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1972,,-1.0,-1.0,,,,,16643.0,7762.0,2055.0,39500.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1973,,-1.0,-1.0,,,,,16807.0,8700.0,2200.0,45000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1974,,-1.0,-1.0,,,,,19286.0,7758.0,2350.0,46000.0,,-1.0,,-1.0,0.0,-1.0,,,,,,
1975,16.0,-1.0,-1.0,,,,,20000.0,9325.0,3055.0,46000.0,,-1.0,,-1.0,0.0,-1.0,,,0.0,,,
1976,18.0,-1.0,-1.0,,,,,20429.0,11315.0,3300.0,50000.0,,-1.0,,-1.0,0.0,-1.0,,,4650.0,,,
1977,20.0,-1.0,-1.0,,,,,20714.0,13260.0,3700.0,47000.0,,-1.0,690.0,-1.0,0.0,-1.0,,,4700.0,,,
1978,22.0,-1.0,-1.0,,,,,22000.0,15933.0,4060.0,84000.0,,-1.0,1420.0,-1.0,0.0,-1.0,,54.0,4700.0,,,
1979,29.0,-1.0,-1.0,65.0,,,,21583.0,16699.0,4380.0,96000.0,,-1.0,10280.0,-1.0,0.0,-1.0,,54.0,4600.0,,,
1980,33.0,-1.0,-1.0,64.0,,,,23071.0,18721.0,4400.0,112000.0,,-1.0,10930.0,-1.0,0.0,-1.0,,55.0,4500.0,,,
1981,27.0,-1.0,-1.0,75.0,,,,24857.0,21707.0,6774.0,114000.0,,-1.0,11370.0,-1.0,0.0,-1.0,,60.0,4400.0,,,
1982,27.0,-1.0,-1.0,79.0,,,,24857.0,23921.0,7700.0,92014.0,,-1.0,12100.0,-1.0,0.0,-1.0,,60.0,4300.0,,,
1983,25.0,-1.0,-1.0,88.0,,,,24857.0,24900.0,8350.0,101555.0,,-1.0,12590.0,-1.0,0.0,-1.0,,80.0,4200.0,,,
1984,15.0,-1.0,-1.0,91.0,6.0,,,25143.0,30600.0,10000.0,100843.0,,-1.0,12460.0,-1.0,0.0,-1.0,,94.0,4000.0,,,
1985,15.0,-1.0,-1.0,79.0,27.0,,3300.0,25857.0,7400.0,11000.0,107371.0,,16000.0,13070.0,3650.0,0.0,16000.0,,80.0,3700.0,,,
1986,15.0,-1.0,-1.0,79.0,33.0,,3300.0,26629.0,8800.0,12000.0,109181.0,,16000.0,13840.0,3780.0,0.0,16000.0,,94.0,3400.0,,,
1987,15.0,-1.0,-1.0,79.0,,,3300.0,27110.0,9200.0,14000.0,114888.0,,16000.0,16590.0,3840.0,0.0,16000.0,,100.0,3100.0,,,
1988,15.0,-1.0,-1.0,79.0,,,3300.0,27633.0,11000.0,15785.0,125123.0,,16000.0,19101.0,3920.0,0.0,16000.0,,105.0,2900.0,,,
1989,,-1.0,-1.0,77.0,,,3300.0,28667.0,12800.0,22787.0,131150.0,,16000.0,20600.0,3980.0,0.0,16000.0,,125.0,2800.0,,,
1990,0.0,-1.0,500.0,81.0,0.0,,3672.0,29121.0,14900.0,27703.0,154276.0,,16400.0,21730.0,3840.0,-1.0,16400.0,-1.0,145.0,2700.0,-1.0,0.0,
1991,0.0,-1.0,500.0,125.0,21.0,,3672.0,30114.0,17000.0,33014.0,161461.0,,16897.0,22540.0,3910.0,-1.0,16897.0,-1.0,145.0,2549.0,-1.0,2732.0,
1992,0.0,-1.0,500.0,98.0,101.0,-1.0,3593.0,31429.0,21400.0,36400.0,171630.0,1000.0,15279.0,22860.0,4270.0,-1.0,15279.0,-1.0,180.0,2700.0,-1.0,2780.0,-1.0
1993,0.0,-1.0,500.0,101.0,60.0,-1.0,3588.0,32783.0,13300.0,38600.0,201893.0,900.0,16600.0,23070.0,4510.0,-1.0,16600.0,-1.0,185.0,2700.0,-1.0,2830.0,-1.0
1994,0.0,-1.0,500.0,100.0,80.0,-1.0,3500.0,33343.0,14600.0,38000.0,206000.0,1000.0,16586.0,23270.0,5000.0,-1.0,16586.0,-1.0,180.0,2700.0,-1.0,2884.0,-1.0
1995,0.0,-1.0,500.0,95.0,80.0,-1.0,3911.0,34071.0,15000.0,35000.0,218000.0,1200.0,16648.0,24400.0,4900.0,-1.0,16648.0,-1.0,200.0,2700.0,-1.0,2941.0,-1.0
1996,0.0,-1.0,500.0,163.0,80.0,-1.0,4000.0,34981.0,18000.0,32000.0,231945.0,1100.0,16814.0,26000.0,5050.0,-1.0,16814.0,-1.0,220.0,2700.0,-1.0,3001.0,-1.0
1997,0.0,-1.0,520.0,104.0,81.0,-1.0,4000.0,36200.0,21043.0,28000.0,247130.0,1200.0,17000.0,26814.0,5050.0,-1.0,17000.0,-1.0,220.0,2700.0,-1.0,3065.0,-1.0
1998,0.0,-1.0,510.0,111.0,121.0,-1.0,3639.0,37214.0,20000.0,26000.0,259431.0,1000.0,17500.0,27880.0,5100.0,-1.0,17500.0,-1.0,220.0,2700.0,,3134.0,-1.0
1999,0.0,-1.0,520.0,118.0,81.0,-1.0,3602.0,37685.0,19000.0,24000.0,256444.0,1220.0,15000.0,29110.0,5500.0,-1.0,15000.0,-1.0,190.0,2700.0,,3208.0,100.0
2000,11.0,-1.0,510.0,135.0,85.0,-1.0,3602.0,36349.0,28482.0,21670.0,274728.0,1137.0,12000.0,30200.0,5500.0,-1.0,12000.0,-1.0,140.0,2700.0,,3286.0,116.0
2001,12.0,-1.0,510.0,134.0,92.0,-1.0,3602.0,36999.0,31057.0,21600.0,280510.0,1196.0,15000.0,31565.0,5110.0,-1.0,15000.0,-1.0,120.0,2700.0,,3371.0,135.0
2002,13.0,-1.0,505.0,135.0,16.0,-1.0,3602.0,37428.0,33079.0,16000.0,295000.0,1250.0,15063.0,33590.0,5400.0,-1.0,15063.0,-1.0,120.0,2700.0,,3463.0,159.0
2003,14.0,-1.0,500.0,135.0,16.0,4.0,3600.0,37570.0,35638.0,22000.0,298939.0,1200.0,15318.0,35610.0,5600.0,-1.0,15318.0,-1.0,146.0,3200.0,,3561.0,150.0
2004,15.0,-1.0,500.0,73.0,39.0,4.0,3607.0,37572.0,34849.0,32000.0,431418.0,1600.0,15814.0,37636.0,4670.0,-1.0,15814.0,-1.0,146.0,2000.0,,3668.0,195.0
2005,0.0,-1.0,510.0,171.0,39.0,4.0,3635.0,40000.0,35513.0,36000.0,440025.0,2000.0,16000.0,42492.0,4945.0,-1.0,16000.0,,153.0,2211.0,,3784.0,300.0
2006,0.0,840.0,515.0,201.0,25.0,3.0,3285.0,40377.0,37000.0,49000.0,444000.0,1893.0,16630.0,44515.0,4956.0,840.0,16630.0,,150.0,2211.0,,3911.0,401.0
2007,0.0,850.0,520.0,185.0,36.0,4.0,3671.0,40663.0,37970.0,45000.0,350000.0,1900.0,17500.0,46539.0,4884.0,850.0,17500.0,,135.0,2347.0,,4050.0,500.0
2008,320.0,900.0,520.0,189.0,33.0,4.0,3500.0,40954.0,38127.0,42132.0,251467.0,2000.0,18000.0,47753.0,4900.0,900.0,18000.0,,115.0,2900.0,,4203.0,610.0
2009,250.0,920.0,515.0,190.0,122.0,4.0,3515.0,43063.0,38000.0,42020.0,251467.0,2000.0,20000.0,50990.0,4752.0,920.0,20000.0,,72.0,2000.0,,4057.0,603.0
2010,304.0,950.0,515.0,197.0,143.0,5.0,3634.0,42310.0,37650.0,38184.0,251467.0,2000.0,24000.0,55442.0,4571.0,950.0,24000.0,,68.0,2275.0,,4123.0,600.0
2011,290.0,1740.0,2500.0,195.0,123.0,5.0,3522.0,44097.0,40840.0,35648.0,304855.0,2000.0,25000.0,61917.0,4429.0,1740.0,25000.0,,75.0,2344.0,,4229.0,600.0
2012,290.0,1291.0,4750.0,193.0,66.0,4.0,3543.0,53071.0,59890.0,26590.0,314000.0,2000.0,25000.0,73655.0,4161.0,1291.0,25000.0,,63.0,2332.0,,5274.0,600.0
2013,290.0,1250.0,4750.0,193.0,85.0,5.0,3544.0,281355.0,59903.0,27060.0,325000.0,2000.0,25000.0,82151.0,4079.0,1250.0,25000.0,,57.0,2315.0,,5754.0,600.0
2014,301.0,1216.0,4608.0,193.0,91.0,5.0,3546.0,282334.0,59893.0,26700.0,316780.0,2000.0,26280.0,89436.0,4090.0,1216.0,26280.0,,60.0,2299.0,,6092.0,600.0
