,Slovakia,South Africa,Eritrea,USSR,Philippines,Bulgaria,United Republic of Tanzania,Samoa,Japan,Ethiopia,Kenya,Czechia,Bangladesh,Senegal,Serbia,Germany,Uganda,Syrian Arab Republic,Togo,Benin,Uzbekistan,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Canada,Timor-Leste,Kyrgyzstan,Tajikistan,Azerbaijan,Austria,Israel,Cabo Verde,Indonesia,Poland,Switzerland,Ethiopia PDR,The former Yugoslav Republic of Macedonia,Malaysia,Latvia,Czechoslovakia,France,Republic of Korea,Democratic Republic of the Congo,Mali,Zimbabwe,Croatia,Hungary,Russian Federation,Central African Republic,Iran (Islamic Republic of),Kazakhstan,Nepal,India,Peru,Côte d'Ivoire,Polynesia,Lithuania,Portugal,Thailand,Ukraine
1961,,5000.0,,20000.0,3000.0,10000.0,20000.0,200.0,,,2000.0,,5261.0,,,1612.0,-1.0,,,-1.0,,-1.0,50000.0,-1.0,,140.0,,-1.0,,,,,1498.0,120.0,1000.0,,30000.0,-1.0,130000.0,,6000.0,,619.0,-1.0,6329.0,,,-1.0,,,,-1.0,100.0,,-1.0,477000.0,,-1.0,200.0,,,,
1962,,5000.0,,20000.0,3000.0,10000.0,20000.0,200.0,,,2000.0,,4856.0,,,8788.0,-1.0,,,-1.0,,-1.0,51000.0,-1.0,,125.0,,-1.0,,,,,1433.0,230.0,1200.0,,20000.0,-1.0,130000.0,,8000.0,,752.0,-1.0,7004.0,,,-1.0,,,,-1.0,100.0,,-1.0,480000.0,,-1.0,200.0,,,,
1963,,5000.0,,20000.0,3000.0,10000.0,20000.0,200.0,,,2500.0,,5261.0,,,6367.0,-1.0,,,-1.0,,-1.0,58000.0,-1.0,,83.0,,-1.0,,,,,2044.0,340.0,1500.0,,15000.0,-1.0,140000.0,,8000.0,,611.0,-1.0,6644.0,,,-1.0,,,,-1.0,100.0,,-1.0,483000.0,,-1.0,200.0,,,,
1964,,5000.0,,20000.0,3000.0,10000.0,20000.0,200.0,,,2500.0,,4856.0,,,3504.0,-1.0,,,-1.0,,-1.0,65000.0,-1.0,,58.0,,-1.0,,,,,2350.0,510.0,1100.0,,15000.0,-1.0,130000.0,,7000.0,,1004.0,-1.0,7586.0,,,-1.0,,,,-1.0,150.0,,-1.0,490000.0,,-1.0,200.0,,,,
1965,,6000.0,,22000.0,3000.0,10000.0,20000.0,200.0,,,2500.0,,4856.0,,,4569.0,-1.0,,,-1.0,,-1.0,65000.0,-1.0,,83.0,,-1.0,,,,,1950.0,580.0,1100.0,,15000.0,-1.0,130000.0,,8000.0,,812.0,-1.0,8226.0,,,-1.0,,,,-1.0,150.0,,-1.0,522000.0,,-1.0,200.0,,,,
1966,,6000.0,,13000.0,3120.0,10000.0,20000.0,200.0,,,2500.0,,4856.0,,,3694.0,-1.0,,,-1.0,,-1.0,58000.0,-1.0,,66.0,,-1.0,,,,,2276.0,515.0,1200.0,,34200.0,-1.0,125000.0,,17000.0,,553.0,-1.0,9414.0,,,-1.0,,,,-1.0,200.0,,-1.0,473000.0,,-1.0,200.0,,,,
1967,,6000.0,,10000.0,3100.0,10000.0,20000.0,200.0,,,2500.0,,4856.0,,,2211.0,-1.0,,,-1.0,,-1.0,67000.0,-1.0,,66.0,,-1.0,,,,,2432.0,540.0,1000.0,,32600.0,-1.0,130000.0,,10000.0,,207.0,-1.0,10508.0,,,-1.0,,,,-1.0,100.0,,-1.0,468000.0,,-1.0,200.0,,,,
1968,,7000.0,,10000.0,3000.0,10000.0,20000.0,200.0,,,2500.0,,3642.0,,,1091.0,-1.0,,,-1.0,,-1.0,105000.0,-1.0,,50.0,,-1.0,,,,,2461.0,500.0,800.0,,28400.0,-1.0,135000.0,,27000.0,,133.0,-1.0,10540.0,,,-1.0,,,,-1.0,100.0,,-1.0,441000.0,,-1.0,200.0,,,,
1969,,7000.0,,9000.0,2900.0,10000.0,20000.0,200.0,,,2500.0,,5665.0,,,1100.0,-1.0,,,-1.0,,-1.0,95000.0,-1.0,,50.0,,-1.0,,,,,2095.0,450.0,600.0,,29500.0,-1.0,140000.0,,11000.0,,500.0,-1.0,10607.0,,,-1.0,,,,-1.0,100.0,,-1.0,482000.0,,-1.0,200.0,,,,
1970,,7000.0,,10400.0,2650.0,10000.0,20000.0,200.0,,,2500.0,,2833.0,,,1212.0,-1.0,,,-1.0,,-1.0,100000.0,-1.0,,83.0,,-1.0,,,,,2082.0,520.0,800.0,,36400.0,-1.0,140000.0,,26500.0,,500.0,-1.0,11572.0,,,-1.0,,,,-1.0,150.0,,-1.0,489000.0,,-1.0,200.0,,,,
1971,,7000.0,,12000.0,2390.0,10000.0,20000.0,200.0,,,2500.0,,2251.0,,,1515.0,-1.0,,,-1.0,,-1.0,150000.0,-1.0,,83.0,,-1.0,,,,,2308.0,980.0,200.0,,36000.0,-1.0,145000.0,,18000.0,,564.0,-1.0,10805.0,,,-1.0,,,,-1.0,1000.0,,-1.0,493600.0,,-1.0,200.0,,,,
1972,,8000.0,,14000.0,1700.0,10000.0,20000.0,200.0,,,4000.0,,1847.0,,,2332.0,-1.0,,,-1.0,,-1.0,180000.0,-1.0,,83.0,,-1.0,,,,,2579.0,950.0,200.0,,12300.0,-1.0,150000.0,,20000.0,,466.0,-1.0,11424.0,,,-1.0,,,,-1.0,100.0,,-1.0,466800.0,,-1.0,200.0,,,,
