,Mali,Brazil,Madagascar,Guyana
1961,7000.0,251550.0,42000.0,-1.0
1962,30000.0,288961.0,42000.0,-1.0
1963,30000.0,341388.0,44000.0,-1.0
1964,30000.0,311816.0,44000.0,-1.0
1965,36000.0,340244.0,45000.0,-1.0
1966,36000.0,339770.0,45000.0,-1.0
1967,36000.0,408448.0,45000.0,-1.0
1968,36000.0,454004.0,46000.0,-1.0
1969,45000.0,447717.0,46000.0,-1.0
1970,45000.0,405762.0,46000.0,-1.0
1971,45000.0,543464.0,47000.0,-1.0
1972,45000.0,494774.0,47000.0,-1.0
1973,45000.0,387320.0,47000.0,-1.0
1974,48000.0,478982.0,48000.0,-1.0
1975,48000.0,466129.0,50000.0,-1.0
1976,48000.0,620789.0,50000.0,-1.0
1977,48000.0,671273.0,50000.0,-1.0
1978,48000.0,920438.0,52000.0,-1.0
1979,48000.0,585876.0,52725.0,-1.0
1980,54000.0,660054.0,56860.0,-1.0
1981,54000.0,735214.0,57015.0,-1.0
1982,54000.0,941663.0,58000.0,-1.0
1983,54000.0,353134.0,59000.0,-1.0
1984,54000.0,1129738.0,60000.0,-1.0
1985,60000.0,1141675.0,62500.0,-1.0
1986,60000.0,820576.0,61700.0,-1.0
1987,60000.0,1043747.0,62000.0,-1.0
1988,60000.0,1100000.0,63000.0,-1.0
1989,63000.0,1250000.0,64000.0,-1.0
1990,61106.0,1350000.0,65000.0,-1.0
1991,77551.0,1500000.0,65269.0,-1.0
1992,72000.0,1650000.0,66000.0,-1.0
1993,84867.0,1700000.0,66500.0,-1.0
1994,90000.0,1550000.0,65000.0,-1.0
1995,94271.0,1600000.0,66000.0,-1.0
1996,97065.0,1650000.0,67000.0,-1.0
1997,100000.0,1700000.0,68000.0,-1.0
1998,106070.0,1450000.0,68103.0,-1.0
1999,106660.0,1500000.0,69000.0,-1.0
2000,110000.0,1570922.0,68000.0,8.0
2001,112386.0,1550000.0,68350.0,7.0
2002,120000.0,1600000.0,68616.0,7.0
2003,117441.0,1603000.0,68860.0,6.0
2004,118382.0,1610000.0,69118.0,6.0
2005,122506.0,1650000.0,69377.0,6.0
2006,120600.0,1660000.0,69000.0,5.0
2007,120600.0,1675492.0,70000.0,5.0
2008,127000.0,1688367.0,71086.0,5.0
2009,134000.0,1707853.0,71907.0,5.0
2010,134000.0,1729722.0,72722.0,5.0
2011,122000.0,1747476.0,73601.0,5.0
2012,89572.0,1805000.0,75000.0,5.0
2013,39498.0,1805000.0,74900.0,5.0
2014,72009.0,1743020.0,74900.0,5.0
