,Ukraine,Georgia,Germany,USSR,Belarus,Croatia,Cameroon,Tajikistan,Armenia,Romania,Italy,Azerbaijan,China,Denmark,Tunisia,Greece,Portugal,Slovakia,Uzbekistan,Cyprus,Chile,Hungary,Spain,Bulgaria,United States of America,Iran (Islamic Republic of),Mongolia,France,Slovenia,Poland,"China, mainland",Russian Federation,Kyrgyzstan,Republic of Moldova,Turkey
1961,-1.0,-1.0,85.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55379.0,-1.0,2000.0,-1.0,-1.0,1516.0,600.0,-1.0,-1.0,102.0,-1.0,500.0,14200.0,35.0,10668.0,20000.0,-1.0,290.0,-1.0,-1.0,2000.0,-1,-1.0,-1.0,76000.0
1962,-1.0,-1.0,77.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53004.0,-1.0,1800.0,-1.0,-1.0,738.0,600.0,-1.0,-1.0,114.0,-1.0,521.0,18400.0,37.0,7058.0,20000.0,-1.0,381.0,-1.0,-1.0,1800.0,-1,-1.0,-1.0,122380.0
1963,-1.0,-1.0,82.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58122.0,-1.0,2500.0,-1.0,-1.0,867.0,700.0,-1.0,-1.0,127.0,-1.0,567.0,20000.0,25.0,6350.0,12000.0,-1.0,236.0,-1.0,-1.0,2500.0,-1,-1.0,-1.0,88440.0
1964,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46877.0,-1.0,2650.0,-1.0,-1.0,830.0,800.0,-1.0,-1.0,102.0,-1.0,874.0,17600.0,42.0,7348.0,13000.0,-1.0,240.0,-1.0,-1.0,2650.0,-1,-1.0,-1.0,195215.0
1965,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60782.0,-1.0,3000.0,-1.0,-1.0,872.0,1000.0,-1.0,-1.0,105.0,-1.0,920.0,20000.0,38.0,6985.0,13000.0,-1.0,260.0,-1.0,-1.0,3000.0,-1,-1.0,-1.0,62000.0
1966,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72951.0,-1.0,3500.0,-1.0,-1.0,1040.0,1300.0,-1.0,-1.0,122.0,-1.0,3151.0,15800.0,60.0,11068.0,13000.0,-1.0,270.0,-1.0,-1.0,3500.0,-1,-1.0,-1.0,190000.0
1967,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64805.0,-1.0,3800.0,-1.0,-1.0,1163.0,1400.0,-1.0,-1.0,112.0,-1.0,183.0,15500.0,50.0,6804.0,13000.0,-1.0,300.0,-1.0,-1.0,3800.0,-1,-1.0,-1.0,71000.0
1968,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82960.0,-1.0,4000.0,-1.0,-1.0,1251.0,1359.0,-1.0,-1.0,102.0,-1.0,211.0,17700.0,35.0,6895.0,13000.0,-1.0,303.0,-1.0,-1.0,4000.0,-1,-1.0,-1.0,138000.0
1969,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53672.0,-1.0,3500.0,-1.0,-1.0,1244.0,983.0,-1.0,-1.0,102.0,-1.0,327.0,12000.0,20.0,6713.0,12000.0,-1.0,734.0,-1.0,-1.0,3500.0,-1,-1.0,-1.0,170000.0
1970,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78877.0,-1.0,3800.0,-1.0,-1.0,1721.0,668.0,-1.0,-1.0,508.0,-1.0,286.0,20200.0,10.0,8400.0,12000.0,-1.0,481.0,-1.0,-1.0,3800.0,-1,-1.0,-1.0,255000.0
