,Slovakia,Ecuador,Madagascar,Romania,Canada,Turkey,Australia & New Zealand,Denmark,Ethiopia PDR,Egypt,United Republic of Tanzania,Viet Nam,Greece,Ethiopia,Kenya,Serbia,Ukraine,Australia,Morocco,Zimbabwe,Lithuania,Hungary,Lebanon,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,China,Mexico,Malawi,"China, mainland",Cyprus,Argentina,Afghanistan,Spain,Bosnia and Herzegovina,Bulgaria,Netherlands,Guatemala,India
1961,,,,,,6452.0,,7059.0,,8333.0,,7000.0,4877.0,,,,,,5417.0,,,,10000.0,,,,,,6500.0,,,40000.0,,,5957.0,,,,,10807.0,14475.0,,5000.0
1962,,,,,,6286.0,,11056.0,,8333.0,,7000.0,5891.0,,,,,,6250.0,,,,10000.0,,,,,,6250.0,,,40000.0,,,5000.0,,,,,8130.0,17735.0,,5000.0
1963,,,,,,7000.0,,13961.0,,8333.0,,7000.0,5792.0,,,,,,5250.0,,,,10000.0,,,,,,6500.0,,,40000.0,,,4478.0,,,,,7678.0,15711.0,,5000.0
1964,,,,,,6111.0,,11481.0,,8333.0,,8500.0,4375.0,,,,,,4500.0,,,,10000.0,,36000.0,,,,6500.0,,,40000.0,,,4478.0,,,,,5401.0,17369.0,,5000.0
1965,,,,,,9450.0,,5990.0,,8333.0,,8700.0,5745.0,,,,,,7500.0,,,,10000.0,,36000.0,,,,6154.0,,,40000.0,,,21250.0,,,,,4510.0,10820.0,,5000.0
1966,,,,,,8333.0,,11417.0,,8333.0,,9000.0,4687.0,,,,,,5000.0,,,,12500.0,,35000.0,,,,6560.0,,,40000.0,,,21429.0,,,,,1819.0,15403.0,,4948.0
1967,,,,,,7200.0,,12152.0,,8333.0,,5000.0,7216.0,,,,,,5800.0,,,,10000.0,,48889.0,,,,6538.0,,,40000.0,,,20000.0,,,,,4168.0,13710.0,,4948.0
1968,,,,,,6897.0,,13068.0,7143.0,8333.0,,5000.0,5000.0,,9067.0,,,,9875.0,,,,13500.0,,18750.0,,,,7063.0,,,40000.0,,,19231.0,,,,,4693.0,12974.0,,4948.0
1969,,,,,,7419.0,,8986.0,7143.0,6667.0,,6000.0,4556.0,,8000.0,,,,5655.0,,,,,,4224.0,,,,7429.0,,,40000.0,,,29231.0,,,,,3795.0,15751.0,,4526.0
1970,,,,,,7500.0,,9281.0,9000.0,6667.0,,4500.0,5556.0,,8571.0,,,,6690.0,,,,,,2999.0,,,,6538.0,,,40000.0,,,20000.0,,,,,7116.0,17759.0,,4526.0
1971,,,,,,8846.0,,7801.0,8750.0,8333.0,,10000.0,5500.0,,5000.0,,,,10125.0,,,,,,6922.0,,,,6471.0,,,40000.0,,,20000.0,,,,,13174.0,16950.0,,4526.0
1972,,,,,,7727.0,,9655.0,6250.0,8750.0,,8000.0,5700.0,,7500.0,,,,10017.0,,,,,,8738.0,,,,7727.0,,,40000.0,,,20000.0,,,,,14730.0,10726.0,,4327.0
1973,,,,,,7353.0,,10773.0,4286.0,7692.0,,7143.0,5900.0,,8889.0,,,,6965.0,,,,,,6882.0,,,,6471.0,,,40000.0,,,,,,,,378.0,13625.0,,4327.0
1974,,,,,,6842.0,,7414.0,4286.0,7692.0,,7857.0,6000.0,,8750.0,,,,5175.0,,,,,,9215.0,,,,7368.0,,,40000.0,,,,,,,,107.0,13162.0,,4327.0
1975,,,,,,6462.0,,10138.0,4286.0,7527.0,,7143.0,6667.0,,8000.0,,,,5500.0,,,,,,5436.0,,,,6471.0,,,40000.0,,,20000.0,,,,,152.0,14633.0,,4361.0
1976,,7667.0,,,,6282.0,,8613.0,4286.0,7549.0,,6429.0,6667.0,,5000.0,,,,5500.0,,,,,,6880.0,,,,6600.0,,,40000.0,,,20000.0,,,,,144.0,15787.0,,4679.0
1977,,1000.0,,,,7714.0,,6459.0,4000.0,10000.0,,6400.0,7222.0,,8000.0,,,,5000.0,,,,,,7204.0,,,,6250.0,,,41511.0,,,20000.0,,,,,196.0,14695.0,,6150.0
1978,,1667.0,5000.0,,,8871.0,,12346.0,4000.0,8667.0,,6000.0,7000.0,,5000.0,,,,5750.0,,,,,,10576.0,,,,6364.0,,,41429.0,,,20000.0,,,,,524.0,18776.0,,5036.0
1979,,1923.0,5000.0,,,7143.0,,13446.0,4000.0,9583.0,,6600.0,8797.0,,6667.0,,,,5500.0,,,,,,4167.0,,,,5833.0,,,40000.0,,,20000.0,,,,,503.0,12019.0,,5084.0
1980,,2000.0,5000.0,,,6261.0,,11710.0,5000.0,9167.0,,7000.0,8774.0,,5000.0,,,,6000.0,,,,,,5106.0,,,,6000.0,,,67850.0,,,20000.0,,,,,619.0,13918.0,,5698.0
1981,,2750.0,5000.0,,,7273.0,,9850.0,5000.0,9167.0,,7400.0,8060.0,,4000.0,,,,7500.0,,,,12500.0,,6078.0,,,,6667.0,,,69040.0,,,20000.0,,,,,3883.0,12726.0,,5933.0
1982,,3824.0,5000.0,,,7212.0,,13310.0,5000.0,7500.0,,5714.0,7760.0,,5000.0,,,,8500.0,,,,13000.0,,6667.0,,,,7000.0,,,77369.0,,,,,,,,3772.0,17843.0,,5008.0
1983,,3600.0,5000.0,,,5591.0,48095.0,10285.0,8333.0,7500.0,,6429.0,4690.0,,5000.0,,,48095.0,8500.0,,,,12500.0,,7115.0,,,,6250.0,,,77954.0,,,,,,,,4147.0,13963.0,,6400.0
1984,,3667.0,5000.0,,,7059.0,36500.0,9167.0,5000.0,7625.0,,6714.0,8493.0,,5000.0,,,36500.0,9091.0,5556.0,,,13333.0,,7143.0,,,,6000.0,,,91265.0,,,,,,,,,6146.0,,6053.0
1985,,5000.0,5000.0,,,4348.0,36400.0,9893.0,5000.0,7396.0,,7143.0,6000.0,,5000.0,,,36400.0,9545.0,5556.0,,8000.0,13333.0,,3137.0,7280.0,8000.0,,6667.0,,7500.0,114015.0,,7500.0,,6667.0,,4985.0,,,13649.0,6582.0,5265.0
1986,,2963.0,5000.0,5000.0,,5967.0,11540.0,5000.0,6429.0,7692.0,,6250.0,9775.0,,5000.0,,,11540.0,10000.0,5556.0,,8205.0,12500.0,,4854.0,7360.0,7143.0,,6941.0,,7579.0,102228.0,5000.0,7579.0,15000.0,6970.0,7143.0,4969.0,,,20000.0,6709.0,5320.0
