,Slovakia,USSR,Puerto Rico,Poland,Haiti,Belgium-Luxembourg,Belgium,Czechoslovakia,France,Czechia,Romania,Qatar,Croatia,Russian Federation,Cameroon,Yugoslav SFR,Kazakhstan,Serbia and Montenegro,Serbia,Philippines,Spain,Bosnia and Herzegovina,Portugal,Netherlands,Ukraine,South Africa
1961,,7000.0,-1.0,30000.0,-1.0,40000.0,,4000.0,160050.0,,27700.0,-1.0,,,,2000.0,,,,-1.0,25068.0,,500.0,-1.0,,12738.0
1962,,7500.0,-1.0,30000.0,-1.0,40000.0,,7000.0,98110.0,,16200.0,-1.0,,,,2000.0,,,,-1.0,14810.0,,500.0,-1.0,,6514.0
1963,,8000.0,-1.0,30000.0,-1.0,46856.0,,7500.0,150530.0,,8600.0,-1.0,,,,2000.0,,,,-1.0,22190.0,,500.0,-1.0,,8283.0
1964,,7400.0,-1.0,30000.0,-1.0,67515.0,,12000.0,187340.0,,16000.0,-1.0,,,,2000.0,,,,-1.0,18184.0,,500.0,-1.0,,14835.0
1965,,7600.0,-1.0,30000.0,-1.0,45968.0,,6000.0,192690.0,,9900.0,-1.0,,,,2000.0,,,,-1.0,18831.0,,500.0,-1.0,,14157.0
1966,,8800.0,-1.0,30000.0,-1.0,29099.0,,5000.0,145890.0,,13800.0,-1.0,,,,2000.0,,,,-1.0,21804.0,,500.0,-1.0,,19274.0
1967,,10000.0,-1.0,30000.0,-1.0,31778.0,,5500.0,107050.0,,13300.0,-1.0,,,,2000.0,,,,-1.0,18761.0,,1000.0,-1.0,,6180.0
1968,,9000.0,-1.0,40000.0,-1.0,39669.0,,5500.0,116190.0,,23500.0,-1.0,,,,2000.0,,,,-1.0,22021.0,,1000.0,-1.0,,11303.0
1969,,8600.0,-1.0,15000.0,-1.0,43646.0,,5000.0,167160.0,,10700.0,-1.0,,,,2000.0,,,,-1.0,17076.0,,1500.0,-1.0,,12482.0
1970,,8900.0,-1.0,20000.0,-1.0,56757.0,,5500.0,222630.0,,8200.0,-1.0,,,,2000.0,,,,-1.0,12778.0,,1700.0,-1.0,,10821.0
1971,,8900.0,-1.0,15000.0,-1.0,54250.0,,5000.0,204640.0,,8100.0,-1.0,,,,1685.0,,,,-1.0,16600.0,,2000.0,-1.0,,21519.0
1972,,8300.0,-1.0,20000.0,-1.0,27398.0,,4500.0,91050.0,,8500.0,-1.0,,,,2309.0,,,,-1.0,5220.0,,13900.0,-1.0,,8893.0
1973,,10000.0,-1.0,20000.0,-1.0,31301.0,,4500.0,115500.0,,6600.0,-1.0,,,,870.0,,,,-1.0,,,11400.0,-1.0,,3756.0
1974,,9200.0,-1.0,23000.0,-1.0,32085.0,,4000.0,114000.0,,5700.0,-1.0,,,,950.0,,,,-1.0,16904.0,,11300.0,-1.0,,11959.0
1975,,8300.0,-1.0,28000.0,-1.0,61859.0,,4000.0,178850.0,,4600.0,-1.0,,,,4075.0,,,,-1.0,19551.0,,42400.0,-1.0,,11934.0
1976,,8900.0,-1.0,35000.0,-1.0,56094.0,,3600.0,128750.0,,3700.0,-1.0,,,,10268.0,,,,-1.0,19024.0,,28800.0,-1.0,,17752.0
1977,,8100.0,-1.0,55533.0,-1.0,60905.0,,3500.0,200025.0,,4900.0,-1.0,,,,13896.0,,,,-1.0,34201.0,,37800.0,-1.0,,15625.0
1978,,8300.0,-1.0,94400.0,-1.0,45780.0,,3000.0,184000.0,,6200.0,-1.0,,,,14396.0,,,,-1.0,27857.0,,41800.0,-1.0,,15416.0
1979,,8100.0,-1.0,50505.0,-1.0,34400.0,,3500.0,141000.0,,5100.0,-1.0,,,,7764.0,,,,-1.0,25847.0,,30040.0,-1.0,,16940.0
1980,,7800.0,-1.0,34172.0,-1.0,32144.0,,3500.0,122500.0,,5400.0,-1.0,,,,1850.0,,,,-1.0,24010.0,,12617.0,-1.0,,6106.0
1981,,8500.0,-1.0,44019.0,-1.0,34598.0,,4000.0,176000.0,,4400.0,-1.0,,,,4389.0,,,,-1.0,21360.0,,8499.0,-1.0,,15754.0
1982,,9000.0,-1.0,46480.0,-1.0,56387.0,,3500.0,200000.0,,14100.0,-1.0,,,,5183.0,,,,-1.0,21866.0,,7131.0,-1.0,,19956.0
1983,,11000.0,-1.0,67690.0,-1.0,42368.0,,3000.0,141000.0,,19600.0,-1.0,,,,3870.0,,,,-1.0,20468.0,,6810.0,-1.0,,8678.0
1984,,15000.0,-1.0,66242.0,-1.0,36499.0,,4000.0,139000.0,,9100.0,-1.0,,,50.0,7934.0,,,,-1.0,20003.0,,15031.0,-1.0,,17739.0
1985,,15000.0,-1.0,66470.0,-1.0,46360.0,,4000.0,183000.0,,4400.0,-1.0,,,50.0,4664.0,,,,-1.0,26760.0,,11218.0,-1.0,,13107.0
1986,,16000.0,-1.0,30501.0,-1.0,49746.0,,4100.0,178000.0,,13800.0,-1.0,,,60.0,3253.0,,,,-1.0,20234.0,,11000.0,-1.0,,19108.0
1987,,19000.0,-1.0,40000.0,-1.0,40543.0,,4100.0,90155.0,,9800.0,-1.0,,,60.0,3956.0,,,,-1.0,26611.0,,4108.0,-1.0,,19446.0
1988,,20000.0,-1.0,79475.0,-1.0,32540.0,,4200.0,101700.0,,10300.0,-1.0,,,80.0,575.0,,,,-1.0,36432.0,,3717.0,-1.0,,10713.0
1989,,22000.0,-1.0,32159.0,-1.0,30294.0,,16585.0,100600.0,,16600.0,-1.0,,,80.0,1236.0,,,,-1.0,31329.0,,1915.0,-1.0,,11374.0
1990,,23000.0,-1.0,73617.0,200.0,64925.0,,16620.0,132600.0,,600.0,-1.0,,,100.0,2538.0,,,,1514.0,16648.0,,2095.0,-1.0,,14880.0
1991,,24000.0,-1.0,35999.0,200.0,117969.0,,13019.0,109610.0,,0.0,-1.0,,,100.0,3064.0,,,,1672.0,11062.0,,2600.0,-1.0,,9473.0
1992,,,-1.0,31480.0,200.0,212148.0,,180.0,152900.0,,-1.0,-1.0,1483.0,2000.0,101.0,,5000.0,0.0,,1616.0,11512.0,-1.0,2905.0,-1.0,1000.0,10085.0
1993,-1.0,,-1.0,27840.0,200.0,176832.0,,,197870.0,,-1.0,-1.0,1040.0,3000.0,101.0,,4500.0,-1.0,,1759.0,8039.0,-1.0,2778.0,-1.0,1156.0,11685.0
1994,-1.0,,-1.0,25000.0,200.0,229568.0,,,129700.0,-1.0,-1.0,-1.0,1608.0,2000.0,100.0,,4200.0,-1.0,,1781.0,5523.0,-1.0,3423.0,-1.0,1898.0,19214.0
1995,-1.0,,-1.0,26000.0,200.0,299285.0,,,116572.0,-1.0,-1.0,-1.0,2012.0,2531.0,100.0,,4500.0,-1.0,,1774.0,4908.0,-1.0,2365.0,-1.0,2474.0,18000.0
1996,-1.0,,-1.0,25000.0,200.0,521572.0,,,121857.0,-1.0,-1.0,-1.0,3065.0,3000.0,120.0,,4090.0,,,1821.0,6798.0,-1.0,2143.0,-1.0,3222.0,18000.0
1997,-1.0,,-1.0,26000.0,200.0,590613.0,,,123539.0,-1.0,-1.0,-1.0,3113.0,2692.0,120.0,,4000.0,,,1794.0,6097.0,-1.0,2666.0,-1.0,3778.0,18000.0
1998,-1.0,,-1.0,25000.0,200.0,411538.0,,,120565.0,-1.0,-1.0,-1.0,3100.0,2715.0,120.0,,4200.0,,,1597.0,6000.0,-1.0,2060.0,60000.0,4333.0,17000.0
1999,-1.0,,5500.0,26000.0,200.0,638127.0,,,125956.0,-1.0,-1.0,70.0,3112.0,2633.0,130.0,,3800.0,,,1439.0,5654.0,-1.0,2300.0,75000.0,4890.0,16000.0
2000,-1.0,,5600.0,29116.0,200.0,,730960.0,,186880.0,-1.0,-1.0,70.0,3053.0,2652.0,130.0,,3500.0,,,1421.0,6050.0,-1.0,-1.0,70000.0,5444.0,17000.0
2001,-1.0,,5700.0,29523.0,200.0,,600000.0,,168724.0,-1.0,-1.0,70.0,3106.0,-1.0,140.0,,3000.0,,,1475.0,6000.0,-1.0,3300.0,63000.0,6000.0,16000.0
2002,-1.0,,5800.0,29595.0,200.0,,606900.0,,172548.0,,-1.0,101.0,3168.0,-1.0,140.0,,3300.0,,,1495.0,5228.0,-1.0,2500.0,70000.0,6400.0,16310.0
2003,-1.0,,5889.0,28500.0,200.0,,692510.0,,167123.0,,-1.0,211.0,3220.0,-1.0,140.0,,3000.0,-1.0,,1579.0,4707.0,100.0,-1.0,64000.0,9800.0,16000.0
2004,150.0,,5919.0,29842.0,200.0,,768000.0,,181198.0,,-1.0,70.0,3272.0,-1.0,140.0,,3067.0,-1.0,,1721.0,4294.0,92.0,-1.0,59000.0,8200.0,16625.0
2005,45.0,,5776.0,30000.0,200.0,,694267.0,,133390.0,,-1.0,69.0,3317.0,-1.0,140.0,,3200.0,-1.0,,3386.0,4288.0,89.0,-1.0,67000.0,6600.0,16778.0
2006,50.0,,5776.0,34533.0,200.0,,379448.0,,142200.0,,-1.0,100.0,3300.0,-1.0,140.0,,3000.0,,3300.0,3348.0,4000.0,88.0,2550.0,56000.0,5000.0,16955.0
2007,368.0,,5850.0,34633.0,200.0,,386307.0,,110880.0,,-1.0,98.0,3100.0,-1.0,140.0,,3000.0,,3500.0,3335.0,1600.0,85.0,2600.0,68000.0,3400.0,16000.0
2008,25.0,,5916.0,30402.0,200.0,,425085.0,,125475.0,,-1.0,95.0,3473.0,-1.0,140.0,,3000.0,,3500.0,3566.0,1000.0,81.0,2620.0,60000.0,1700.0,15000.0
2009,26.0,,5845.0,38347.0,200.0,,474423.0,,169475.0,,-1.0,94.0,3687.0,-1.0,143.0,,3000.0,,3500.0,3750.0,800.0,80.0,2650.0,55500.0,3500.0,13133.0
2010,0.0,,5840.0,36998.0,200.0,,393000.0,,113591.0,,-1.0,94.0,3907.0,-1.0,145.0,,3000.0,,3500.0,3894.0,275.0,100.0,-1.0,53000.0,3700.0,23700.0
2011,45.0,,5842.0,35002.0,200.0,,360717.0,,100948.0,,-1.0,94.0,4132.0,-1.0,146.0,,3000.0,,3500.0,4016.0,300.0,100.0,-1.0,50000.0,2200.0,28300.0
2012,47.0,,5844.0,49187.0,200.0,,232800.0,,116670.0,,-1.0,90.0,4500.0,-1.0,148.0,,3000.0,,3500.0,4246.0,540.0,100.0,-1.0,52000.0,1222.0,26645.0
2013,52.0,,5846.0,25909.0,200.0,,269515.0,,88323.0,,-1.0,95.0,4600.0,-1.0,147.0,,3000.0,,3500.0,4419.0,270.0,100.0,-1.0,57000.0,2410.0,12536.0
2014,50.0,,5848.0,32174.0,200.0,,309187.0,,108128.0,,-1.0,95.0,4524.0,-1.0,147.0,,3000.0,,3500.0,4591.0,195.0,100.0,-1.0,51000.0,4170.0,4988.0
