,"China, Taiwan Province of",Belarus,Croatia,Japan,Belgium,United Kingdom,Denmark,Spain,Republic of Korea,Sweden,Greece,New Zealand,Bulgaria,Australia & New Zealand,Yugoslav SFR,Czechia,Argentina,Ukraine,"China, mainland",Germany,Austria,Czechoslovakia,USSR,Romania,Italy,Egypt,Bosnia and Herzegovina,China,Latvia,Slovakia,France,Chile,Hungary,Estonia,Australia,Portugal,Togo,Lithuania,Poland,Netherlands,Russian Federation,Angola,Belgium-Luxembourg,Turkey
1961,1171.0,-1.0,-1.0,6156.0,-1.0,-1.0,876.0,3724.0,40.0,2032.0,323.0,205.0,3100.0,352.0,3860.0,-1.0,1451.0,-1.0,40000.0,8530.0,68.0,24100.0,399000.0,9370.0,500.0,9617.0,-1,41171.0,-1.0,-1.0,55520.0,1000.0,5400.0,-1.0,147.0,259.0,-1,-1.0,54000.0,27294.0,-1.0,-1,32086.0,6750.0
1962,1394.0,-1.0,-1.0,6384.0,-1.0,-1.0,1046.0,5485.0,70.0,2147.0,128.0,201.0,2000.0,790.0,2420.0,-1.0,2325.0,-1.0,55000.0,9638.0,52.0,23900.0,432000.0,14786.0,370.0,8990.0,-1,56394.0,-1.0,-1.0,58520.0,1000.0,5500.0,-1.0,589.0,221.0,-1,-1.0,65000.0,30304.0,-1.0,-1,37842.0,3500.0
1963,1946.0,-1.0,-1.0,4731.0,-1.0,-1.0,1425.0,4892.0,64.0,1774.0,96.0,205.0,2490.0,272.0,2520.0,-1.0,1370.0,-1.0,55000.0,6023.0,-1.0,29500.0,380000.0,13176.0,330.0,8611.0,-1,56946.0,-1.0,-1.0,71690.0,1000.0,6600.0,-1.0,67.0,211.0,-1,-1.0,51000.0,33812.0,-1.0,-1,39564.0,5000.0
1964,2282.0,-1.0,-1.0,4503.0,-1.0,-1.0,1445.0,2360.0,72.0,2214.0,691.0,197.0,3691.0,489.0,2500.0,-1.0,2034.0,-1.0,70000.0,4088.0,-1.0,29000.0,346000.0,10126.0,230.0,11110.0,-1,72282.0,-1.0,-1.0,86250.0,1000.0,6800.0,-1.0,292.0,211.0,-1,-1.0,46000.0,39454.0,-1.0,-1,46417.0,5500.0
1965,2504.0,-1.0,-1.0,3363.0,-1.0,-1.0,1178.0,601.0,112.0,1352.0,220.0,193.0,2988.0,193.0,1755.0,-1.0,1806.0,-1.0,70000.0,6154.0,-1.0,23100.0,480000.0,12908.0,160.0,8128.0,-1,72504.0,-1.0,-1.0,59352.0,1000.0,7900.0,-1.0,-1.0,240.0,-1,-1.0,56600.0,26544.0,-1.0,-1,31229.0,4000.0
1966,1870.0,-1.0,-1.0,1499.0,-1.0,-1.0,783.0,792.0,234.0,-1.0,157.0,205.0,4859.0,205.0,1872.0,-1.0,2046.0,-1.0,60000.0,6634.0,-1.0,19800.0,461000.0,18739.0,130.0,7560.0,-1,61870.0,-1.0,-1.0,66477.0,1000.0,9300.0,-1.0,-1.0,227.0,-1,-1.0,55300.0,20259.0,-1.0,-1,25908.0,3800.0
1967,1761.0,-1.0,-1.0,689.0,-1.0,-1.0,617.0,328.0,305.0,-1.0,147.0,170.0,6302.0,170.0,1616.0,-1.0,2055.0,-1.0,65000.0,7014.0,-1.0,21200.0,485000.0,16641.0,120.0,7582.0,-1,66761.0,-1.0,-1.0,66473.0,1000.0,8400.0,-1.0,-1.0,278.0,-1,-1.0,70900.0,12804.0,-1.0,-1,17205.0,3900.0
1968,2139.0,-1.0,-1.0,260.0,-1.0,-1.0,337.0,348.0,467.0,-1.0,55.0,130.0,3011.0,130.0,1126.0,-1.0,2100.0,-1.0,70000.0,5876.0,-1.0,22000.0,402000.0,11153.0,90.0,11620.0,-1,72139.0,-1.0,-1.0,51105.0,1000.0,4100.0,-1.0,-1.0,278.0,-1,-1.0,62000.0,13035.0,-1.0,-1,17637.0,3500.0
1969,1581.0,-1.0,-1.0,240.0,-1.0,-1.0,267.0,252.0,420.0,-1.0,72.0,203.0,2712.0,203.0,1202.0,-1.0,3405.0,-1.0,72000.0,5806.0,-1.0,25300.0,487000.0,14542.0,63.0,12000.0,-1,73581.0,-1.0,-1.0,56726.0,1000.0,7700.0,-1.0,-1.0,263.0,-1,-1.0,53100.0,11033.0,-1.0,-1,18228.0,3700.0
1970,1479.0,-1.0,-1.0,200.0,-1.0,-1.0,95.0,84.0,284.0,-1.0,56.0,203.0,4076.0,203.0,1062.0,-1.0,2271.0,-1.0,75000.0,5709.0,-1.0,16600.0,456000.0,16104.0,29.0,7280.0,-1,76479.0,-1.0,-1.0,40343.0,1500.0,8100.0,-1.0,-1.0,120.0,-1,-1.0,52100.0,5287.0,-1.0,-1,7752.0,1400.0
1971,1606.0,-1.0,-1.0,200.0,-1.0,-1.0,0.0,36.0,176.0,-1.0,35.0,203.0,4464.0,203.0,900.0,-1.0,1860.0,-1.0,80000.0,5282.0,-1.0,18000.0,486000.0,22985.0,5.0,7700.0,-1,81606.0,-1.0,-1.0,50124.0,1400.0,9000.0,-1.0,-1.0,160.0,-1,-1.0,59800.0,9906.0,-1.0,-1,15224.0,1500.0
1972,1232.0,-1.0,-1.0,180.0,-1.0,-1.0,-1.0,130.0,6.0,-1.0,25.0,200.0,3485.0,200.0,612.0,-1.0,2040.0,-1.0,80000.0,5014.0,-1.0,19700.0,456000.0,19984.0,3.0,11900.0,-1,81232.0,-1.0,-1.0,46294.0,1200.0,6500.0,-1.0,-1.0,212.0,-1,-1.0,56800.0,8609.0,-1.0,-1,9999.0,1300.0
1973,1273.0,-1.0,-1.0,180.0,-1.0,-1.0,-1.0,126.0,-1.0,-1.0,-1.0,221.0,2305.0,221.0,486.0,-1.0,1290.0,-1.0,83000.0,4302.0,-1.0,22200.0,443000.0,17714.0,3.0,14000.0,-1,84273.0,-1.0,-1.0,42497.0,1100.0,2300.0,-1.0,-1.0,177.0,-1,-1.0,44100.0,6305.0,-1.0,-1,8363.0,1425.0
1974,1444.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0,381.0,-1.0,-1.0,-1.0,220.0,3165.0,220.0,360.0,-1.0,1740.0,-1.0,85000.0,2692.0,-1.0,19100.0,402000.0,24522.0,3.0,16100.0,-1,86444.0,-1.0,-1.0,46000.0,1300.0,5200.0,-1.0,-1.0,166.0,-1,-1.0,44000.0,8564.0,-1.0,-1,11264.0,3500.0
1975,1643.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0,41.0,-1.0,-1.0,-1.0,220.0,2859.0,220.0,252.0,-1.0,1605.0,-1.0,90000.0,1811.0,-1.0,21713.0,493000.0,27694.0,4.0,19460.0,-1,91643.0,-1.0,-1.0,57000.0,1700.0,4400.0,-1.0,-1.0,56.0,-1,-1.0,60700.0,5090.0,-1.0,-1,9722.0,3500.0
1976,1129.0,-1.0,-1.0,140.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,220.0,2891.0,220.0,346.0,-1.0,1536.0,-1.0,95000.0,600.0,-1.0,15770.0,509000.0,48200.0,7.0,17402.0,-1,96129.0,-1.0,-1.0,75000.0,2000.0,5600.0,-1.0,-1.0,23.0,-1,-1.0,52884.0,4914.0,-1.0,-1,8475.0,1750.0
1977,1067.0,-1.0,-1.0,140.0,-1.0,-1.0,-1.0,1045.0,-1.0,-1.0,-1.0,220.0,1246.0,220.0,239.0,-1.0,1410.0,-1.0,95000.0,400.0,-1.0,22465.0,480000.0,25800.0,10.0,21823.0,-1,96067.0,-1.0,-1.0,73400.0,2000.0,3724.0,-1.0,-1.0,23.0,-1,-1.0,36164.0,6700.0,-1.0,-1,11703.0,1750.0
