,Ukraine,India,Kenya,Peru,China,Morocco,Ethiopia PDR,Serbia,Malawi,Mexico,Romania,Ecuador,Syrian Arab Republic,Egypt,Bosnia and Herzegovina,Russian Federation,Ethiopia,Denmark,Canada,Greece,Afghanistan,Zimbabwe,Yugoslav SFR,Iran (Islamic Republic of),Lebanon,United Republic of Tanzania,Cyprus,Occupied Palestinian Territory,Netherlands,Hungary,Spain,Bulgaria,Australia & New Zealand,Australia,Guatemala,Viet Nam,Lithuania,Tunisia,"China, mainland",Madagascar,Slovakia,Argentina,Turkey
1961,-1.0,5000.0,-1.0,-1.0,-1.0,5417.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,8333.0,-1.0,-1.0,-1.0,7059.0,-1.0,4877.0,-1.0,-1.0,-1.0,6500.0,10000.0,-1.0,5957.0,-1.0,14475.0,-1.0,-1.0,10807.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6452.0
1962,-1.0,5000.0,-1.0,-1.0,-1.0,6250.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,8333.0,-1.0,-1.0,-1.0,11056.0,-1.0,5891.0,-1.0,-1.0,-1.0,6250.0,10000.0,-1.0,5000.0,-1.0,17735.0,-1.0,-1.0,8130.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6286.0
1963,-1.0,5000.0,-1.0,-1.0,-1.0,5250.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,8333.0,-1.0,-1.0,-1.0,13961.0,-1.0,5792.0,-1.0,-1.0,-1.0,6500.0,10000.0,-1.0,4478.0,-1.0,15711.0,-1.0,-1.0,7678.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0
1964,-1.0,5000.0,-1.0,-1.0,-1.0,4500.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,36000.0,8333.0,-1.0,-1.0,-1.0,11481.0,-1.0,4375.0,-1.0,-1.0,-1.0,6500.0,10000.0,-1.0,4478.0,-1.0,17369.0,-1.0,-1.0,5401.0,-1.0,-1.0,-1.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6111.0
1965,-1.0,5000.0,-1.0,-1.0,-1.0,7500.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,36000.0,8333.0,-1.0,-1.0,-1.0,5990.0,-1.0,5745.0,-1.0,-1.0,-1.0,6154.0,10000.0,-1.0,21250.0,-1.0,10820.0,-1.0,-1.0,4510.0,-1.0,-1.0,-1.0,8700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9450.0
1966,-1.0,4948.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,35000.0,8333.0,-1.0,-1.0,-1.0,11417.0,-1.0,4687.0,-1.0,-1.0,-1.0,6560.0,12500.0,-1.0,21429.0,-1.0,15403.0,-1.0,-1.0,1819.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8333.0
1967,-1.0,4948.0,-1.0,-1.0,-1.0,5800.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,48889.0,8333.0,-1.0,-1.0,-1.0,12152.0,-1.0,7216.0,-1.0,-1.0,-1.0,6538.0,10000.0,-1.0,20000.0,-1.0,13710.0,-1.0,-1.0,4168.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7200.0
1968,-1.0,4948.0,9067.0,-1.0,-1.0,9875.0,7143.0,-1.0,-1.0,40000.0,-1.0,-1.0,18750.0,8333.0,-1.0,-1.0,-1.0,13068.0,-1.0,5000.0,-1.0,-1.0,-1.0,7063.0,13500.0,-1.0,19231.0,-1.0,12974.0,-1.0,-1.0,4693.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6897.0
1969,-1.0,4526.0,8000.0,-1.0,-1.0,5655.0,7143.0,-1.0,-1.0,40000.0,-1.0,-1.0,4224.0,6667.0,-1.0,-1.0,-1.0,8986.0,-1.0,4556.0,-1.0,-1.0,-1.0,7429.0,-1.0,-1.0,29231.0,-1.0,15751.0,-1.0,-1.0,3795.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7419.0
1970,-1.0,4526.0,8571.0,-1.0,-1.0,6690.0,9000.0,-1.0,-1.0,40000.0,-1.0,-1.0,2999.0,6667.0,-1.0,-1.0,-1.0,9281.0,-1.0,5556.0,-1.0,-1.0,-1.0,6538.0,-1.0,-1.0,20000.0,-1.0,17759.0,-1.0,-1.0,7116.0,-1.0,-1.0,-1.0,4500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7500.0
1971,-1.0,4526.0,5000.0,-1.0,-1.0,10125.0,8750.0,-1.0,-1.0,40000.0,-1.0,-1.0,6922.0,8333.0,-1.0,-1.0,-1.0,7801.0,-1.0,5500.0,-1.0,-1.0,-1.0,6471.0,-1.0,-1.0,20000.0,-1.0,16950.0,-1.0,-1.0,13174.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8846.0
1972,-1.0,4327.0,7500.0,-1.0,-1.0,10017.0,6250.0,-1.0,-1.0,40000.0,-1.0,-1.0,8738.0,8750.0,-1.0,-1.0,-1.0,9655.0,-1.0,5700.0,-1.0,-1.0,-1.0,7727.0,-1.0,-1.0,20000.0,-1.0,10726.0,-1.0,-1.0,14730.0,-1.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7727.0
1973,-1.0,4327.0,8889.0,-1.0,-1.0,6965.0,4286.0,-1.0,-1.0,40000.0,-1.0,-1.0,6882.0,7692.0,-1.0,-1.0,-1.0,10773.0,-1.0,5900.0,-1.0,-1.0,-1.0,6471.0,-1.0,-1.0,-1.0,-1.0,13625.0,-1.0,-1.0,378.0,-1.0,-1.0,-1.0,7143.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7353.0
1974,-1.0,4327.0,8750.0,-1.0,-1.0,5175.0,4286.0,-1.0,-1.0,40000.0,-1.0,-1.0,9215.0,7692.0,-1.0,-1.0,-1.0,7414.0,-1.0,6000.0,-1.0,-1.0,-1.0,7368.0,-1.0,-1.0,-1.0,-1.0,13162.0,-1.0,-1.0,107.0,-1.0,-1.0,-1.0,7857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6842.0
1975,-1.0,4361.0,8000.0,-1.0,-1.0,5500.0,4286.0,-1.0,-1.0,40000.0,-1.0,-1.0,5436.0,7527.0,-1.0,-1.0,-1.0,10138.0,-1.0,6667.0,-1.0,-1.0,-1.0,6471.0,-1.0,-1.0,20000.0,-1.0,14633.0,-1.0,-1.0,152.0,-1.0,-1.0,-1.0,7143.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6462.0
1976,-1.0,4679.0,5000.0,-1.0,-1.0,5500.0,4286.0,-1.0,-1.0,40000.0,-1.0,7667.0,6880.0,7549.0,-1.0,-1.0,-1.0,8613.0,-1.0,6667.0,-1.0,-1.0,-1.0,6600.0,-1.0,-1.0,20000.0,-1.0,15787.0,-1.0,-1.0,144.0,-1.0,-1.0,-1.0,6429.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6282.0
1977,-1.0,6150.0,8000.0,-1.0,-1.0,5000.0,4000.0,-1.0,-1.0,41511.0,-1.0,1000.0,7204.0,10000.0,-1.0,-1.0,-1.0,6459.0,-1.0,7222.0,-1.0,-1.0,-1.0,6250.0,-1.0,-1.0,20000.0,-1.0,14695.0,-1.0,-1.0,196.0,-1.0,-1.0,-1.0,6400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7714.0
1978,-1.0,5036.0,5000.0,-1.0,-1.0,5750.0,4000.0,-1.0,-1.0,41429.0,-1.0,1667.0,10576.0,8667.0,-1.0,-1.0,-1.0,12346.0,-1.0,7000.0,-1.0,-1.0,-1.0,6364.0,-1.0,-1.0,20000.0,-1.0,18776.0,-1.0,-1.0,524.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,8871.0
