,Slovakia,Uzbekistan,Romania,Turkmenistan,USSR,Norway,Australia,Mexico,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Croatia,Tajikistan,Turkey,"China, mainland",Estonia,Serbia,Brazil,Finland,Serbia and Montenegro,Armenia,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,Chile,Hungary,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,South Africa,Austria,Ecuador,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Egypt,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Viet Nam,Bosnia and Herzegovina,Montenegro,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,Albania,Azerbaijan,Ireland,Cyprus,Peru,United Kingdom,Lithuania,Bulgaria,Netherlands,China
1961,,,104400.0,,15044000.0,2800.0,10887.0,,,,,,,95900.0,1400.0,4019138.0,,,570000.0,1300000.0,,,17204.0,126719.0,,,10887.0,-1.0,,5131.0,309856.0,510000.0,130006.0,351200.0,,8890.0,472092.0,4100.0,1590.0,8356000.0,166000.0,168830.0,,513876.0,33700.0,-1.0,,21873.0,994309.0,346810.0,20389.0,,,,,119248.0,50.0,191000.0,,,694000.0,,,7206.0,,1219.0,,1000.0,18289.0,,69809.0,301069.0,1300000.0
1962,,,75400.0,,15322000.0,4000.0,9716.0,,,,,,,92900.0,2100.0,4691933.0,,,690000.0,1500000.0,,,19799.0,101308.0,,,9716.0,-1.0,,5918.0,244651.0,163100.0,128806.0,452700.0,,7000.0,467295.0,1744.0,1770.0,6685000.0,311200.0,168880.0,,512262.0,64700.0,-1.0,,19661.0,916413.0,355650.0,19910.0,,,,,171446.0,50.0,169000.0,,,1034000.0,,,7075.0,,1016.0,,950.0,17178.0,,48781.0,339047.0,1500000.0
1963,,,78200.0,,10690000.0,2600.0,9634.0,,,,,,,76800.0,1800.0,4913880.0,,,900000.0,1300000.0,,,16535.0,124100.0,,,9634.0,-1.0,,7098.0,227939.0,538000.0,135554.0,423600.0,,12000.0,322482.0,1511.0,1620.0,7124000.0,349500.0,78450.0,,319871.0,49800.0,-1.0,,17679.0,879810.0,354460.0,16818.0,,,,,216017.0,50.0,156000.0,,,741000.0,,,5175.0,,1016.0,,950.0,22353.0,,55935.0,313260.0,1300000.0
1964,,,92100.0,,12257000.0,1879.0,13989.0,,,,,,,85700.0,1100.0,5499179.0,,,735000.0,1300000.0,,,16801.0,163400.0,,,13989.0,-1.0,,9205.0,275263.0,651500.0,144856.0,346430.0,,15000.0,387747.0,1482.0,1560.0,6964000.0,313575.0,121760.0,,291633.0,62600.0,-1.0,,18349.0,870037.0,388690.0,16856.0,,,,,167442.0,50.0,175000.0,,,825000.0,,,6498.0,,1400.0,,950.0,25401.0,,63715.0,356167.0,1300000.0
1965,,,124936.0,,14660000.0,1621.0,10669.0,,,,,,,83200.0,4900.0,4734743.0,,,775000.0,1500000.0,,,16835.0,189700.0,,,10669.0,-1.0,,8482.0,298792.0,245000.0,110265.0,348969.0,,9000.0,315523.0,1919.0,1490.0,8202000.0,453000.0,171360.0,,264340.0,51100.0,-1.0,,15576.0,822336.0,387410.0,13996.0,,,,,209080.0,120.0,156000.0,,,846031.0,,,4608.0,,1052.0,,903.0,21337.0,,51542.0,249996.0,1500000.0
1966,,,99600.0,,11830000.0,727.0,15785.0,,,,,,,83300.0,700.0,4338244.0,,,850000.0,1300000.0,,,16555.0,118600.0,,,15785.0,-1.0,,11084.0,251581.0,270000.0,82612.0,325800.0,,7711.0,363184.0,1753.0,1000.0,7661000.0,437400.0,84900.0,,136886.0,45600.0,-1.0,,14836.0,789820.0,356500.0,19710.0,,,,,144611.0,550.0,176000.0,,,705919.0,,,6174.0,,1100.0,,890.0,11177.0,,56159.0,190381.0,1300000.0
1967,,,70600.0,,11687000.0,2319.0,10342.0,,,,,,,81500.0,1600.0,5148055.0,,,900000.0,1300000.0,,,17201.0,162700.0,,,10342.0,-1.0,,8450.0,229860.0,352000.0,103546.0,335937.0,,12701.0,377150.0,2050.0,700.0,7645000.0,303974.0,197100.0,,118398.0,62900.0,-1.0,,12642.0,688947.0,344400.0,13133.0,,,,,174837.0,550.0,171000.0,,,608329.0,,,7001.0,,1000.0,,979.0,12193.0,,38238.0,239077.0,1300000.0
1968,,,47796.0,,12708000.0,4224.0,20173.0,,,,,,,75100.0,2100.0,5125650.0,,,820000.0,1100000.0,,,18528.0,133900.0,,,20173.0,-1.0,,7704.0,239946.0,360000.0,95759.0,355100.0,,7000.0,413298.0,2518.0,200.0,8438200.0,330823.0,211400.0,,130780.0,58300.0,-1.0,,8281.0,768651.0,326950.0,11921.0,,,,,199179.0,550.0,138000.0,,,583486.0,,,6280.0,,600.0,,877.0,11177.0,,24069.0,239081.0,1100000.0
1969,,,46704.0,,9850000.0,4170.0,11349.0,,,,,,,70700.0,800.0,4432537.0,,,817000.0,1300000.0,,,19005.0,125800.0,,,11349.0,-1.0,,10159.0,239048.0,377000.0,81006.0,344900.0,,7300.0,439896.0,2000.0,210.0,8166900.0,384952.0,184300.0,,125898.0,43400.0,-1.0,,8981.0,686722.0,309010.0,13094.0,,,,,167279.0,400.0,135290.0,,,767212.0,,,7664.0,,1000.0,,787.0,11177.0,,28631.0,206532.0,1300000.0
1970,,,42884.0,,11675000.0,4800.0,22157.0,,,,,,,68500.0,8160.0,4148214.0,,,630000.0,1350000.0,,,18972.0,131400.0,,,22157.0,-1.0,,10746.0,157783.0,180700.0,69645.0,258800.0,,7000.0,362521.0,2000.0,210.0,5433400.0,480206.0,227500.0,,133190.0,49400.0,-1.0,,8987.0,453688.0,287000.0,10335.0,,,,,156954.0,400.0,127000.0,,,935773.0,,,9043.0,,1000.0,,930.0,13209.0,,27874.0,172347.0,1350000.0
