,Luxembourg,Germany,Serbia,Belgium,Serbia and Montenegro,Czechoslovakia,USSR,Poland,Sweden,Switzerland,Malta,United Kingdom,Denmark,Canada,Greece,Latvia,Finland,Czechia,Austria,Spain,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Croatia,Netherlands,Turkey,Kyrgyzstan,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,23535.0,-1.0,-1.0,-1.0,15834.0,5939.0,15094.0,26400.0,30164.0,22000.0,28795.0,29920.0,19752.0,6339.0,-1.0,18546.0,-1.0,22783.0,6604.0,28136.0,-1.0,12042.0,16698.0,-1.0,-1.0,-1.0,30672.0,9118.0,-1.0,-1.0,31763.0
1962,-1.0,28019.0,-1.0,-1.0,-1.0,16961.0,6448.0,14927.0,24200.0,36008.0,22000.0,30888.0,32586.0,23926.0,6055.0,-1.0,11705.0,-1.0,24784.0,8179.0,19960.0,-1.0,10839.0,17749.0,-1.0,-1.0,-1.0,34776.0,10938.0,-1.0,-1.0,29796.0
1963,-1.0,27053.0,-1.0,-1.0,-1.0,15953.0,6771.0,15000.0,24149.0,28973.0,21765.0,29901.0,31742.0,24332.0,6086.0,-1.0,19145.0,-1.0,24286.0,6958.0,27253.0,-1.0,10851.0,19716.0,-1.0,-1.0,-1.0,34235.0,12664.0,-1.0,-1.0,37147.0
1964,-1.0,28783.0,-1.0,-1.0,-1.0,14017.0,10437.0,14505.0,27722.0,34440.0,21875.0,32470.0,35429.0,23376.0,6461.0,-1.0,12902.0,-1.0,25237.0,5641.0,25943.0,-1.0,10720.0,22493.0,-1.0,-1.0,-1.0,36491.0,10169.0,-1.0,-1.0,35462.0
1965,-1.0,26953.0,-1.0,-1.0,-1.0,15189.0,16626.0,17183.0,28212.0,30295.0,22143.0,30850.0,34749.0,24859.0,8100.0,-1.0,20068.0,-1.0,21690.0,6029.0,23527.0,-1.0,12320.0,24201.0,-1.0,-1.0,-1.0,30810.0,10179.0,-1.0,-1.0,31919.0
1966,-1.0,26890.0,-1.0,-1.0,-1.0,15179.0,13568.0,17703.0,23098.0,31872.0,22632.0,31961.0,33557.0,23253.0,8506.0,-1.0,17110.0,-1.0,26973.0,9191.0,23096.0,-1.0,12807.0,23728.0,-1.0,-1.0,-1.0,29686.0,11034.0,-1.0,-1.0,31602.0
1967,-1.0,31036.0,-1.0,-1.0,-1.0,19442.0,16136.0,18070.0,27346.0,36711.0,22778.0,32983.0,33719.0,23119.0,10865.0,-1.0,19236.0,-1.0,28487.0,7913.0,27973.0,-1.0,12260.0,26941.0,-1.0,-1.0,-1.0,35195.0,11111.0,-1.0,-1.0,39831.0
1968,-1.0,32239.0,-1.0,-1.0,-1.0,18070.0,18795.0,19100.0,29720.0,35457.0,21977.0,33838.0,35828.0,26172.0,6881.0,-1.0,16440.0,-1.0,30160.0,8689.0,34716.0,-1.0,10952.0,27455.0,-1.0,-1.0,-1.0,31896.0,10800.0,-1.0,-1.0,34093.0
1969,-1.0,31591.0,-1.0,-1.0,-1.0,21421.0,18171.0,18949.0,22918.0,35057.0,18750.0,34524.0,34472.0,25273.0,8969.0,-1.0,21388.0,-1.0,30663.0,9857.0,24114.0,-1.0,11949.0,27936.0,-1.0,-1.0,-1.0,33272.0,11880.0,-1.0,-1.0,35891.0
1970,-1.0,27079.0,-1.0,-1.0,-1.0,18055.0,19104.0,19086.0,27571.0,34579.0,20430.0,32400.0,31916.0,25565.0,9130.0,-1.0,23357.0,-1.0,29300.0,7778.0,30168.0,-1.0,11250.0,25559.0,-1.0,-1.0,-1.0,25565.0,10449.0,-1.0,-1.0,27946.0
1971,-1.0,34175.0,-1.0,-1.0,-1.0,22515.0,17791.0,23038.0,29312.0,41056.0,19000.0,37173.0,34248.0,26285.0,10089.0,-1.0,23012.0,-1.0,31429.0,10000.0,32055.0,-1.0,12143.0,30000.0,-1.0,-1.0,-1.0,35021.0,13080.0,-1.0,-1.0,38016.0
1972,-1.0,34380.0,-1.0,-1.0,-1.0,19368.0,13830.0,23611.0,28863.0,38484.0,20000.0,35288.0,36129.0,25474.0,8767.0,-1.0,23617.0,-1.0,29325.0,10000.0,30000.0,-1.0,11538.0,32509.0,-1.0,-1.0,-1.0,33168.0,12613.0,-1.0,-1.0,35244.0
1973,-1.0,33626.0,-1.0,-1.0,-1.0,21244.0,13710.0,29046.0,22350.0,38650.0,21591.0,37616.0,32065.0,24448.0,9200.0,-1.0,21735.0,-1.0,32480.0,6000.0,31871.0,-1.0,11818.0,32420.0,-1.0,-1.0,-1.0,35059.0,11588.0,-1.0,-1.0,40853.0
1974,-1.0,37274.0,-1.0,-1.0,-1.0,22743.0,17581.0,30818.0,34473.0,45630.0,17143.0,35106.0,34841.0,22493.0,10377.0,-1.0,21542.0,-1.0,33201.0,11875.0,34953.0,-1.0,13000.0,31394.0,-1.0,-1.0,-1.0,36906.0,10465.0,-1.0,-1.0,37708.0
1975,-1.0,34167.0,-1.0,-1.0,-1.0,16681.0,11136.0,26039.0,25234.0,38990.0,23333.0,33714.0,32829.0,24703.0,10008.0,-1.0,25622.0,-1.0,30962.0,11875.0,20881.0,-1.0,12527.0,29797.0,-1.0,-1.0,-1.0,37464.0,12887.0,-1.0,-1.0,33286.0
1976,-1.0,29263.0,-1.0,-1.0,-1.0,21152.0,15385.0,27823.0,26192.0,39899.0,28049.0,31786.0,26560.0,24171.0,10525.0,-1.0,32229.0,-1.0,34786.0,11062.0,27278.0,-1.0,13063.0,21269.0,-1.0,-1.0,-1.0,38911.0,12527.0,-1.0,-1.0,28485.0
1977,-1.0,33957.0,-1.0,-1.0,-1.0,16962.0,13933.0,25974.0,26427.0,35503.0,26875.0,39184.0,32258.0,25576.0,8756.0,-1.0,22727.0,-1.0,34138.0,8905.0,38089.0,-1.0,12473.0,26435.0,-1.0,-1.0,-1.0,41026.0,12222.0,-1.0,-1.0,34181.0
1978,-1.0,37479.0,-1.0,-1.0,-1.0,18605.0,8990.0,27483.0,29522.0,44809.0,30455.0,37961.0,34226.0,27064.0,11822.0,-1.0,23093.0,-1.0,36386.0,7100.0,36994.0,-1.0,11212.0,32415.0,-1.0,-1.0,-1.0,42553.0,12412.0,-1.0,-1.0,41818.0
1979,-1.0,36443.0,-1.0,-1.0,-1.0,15519.0,12136.0,23069.0,27068.0,44068.0,30526.0,37122.0,35531.0,26332.0,10067.0,-1.0,25948.0,-1.0,29471.0,5900.0,30088.0,-1.0,12075.0,32506.0,-1.0,-1.0,-1.0,37249.0,12903.0,-1.0,-1.0,30782.0
1980,-1.0,35922.0,-1.0,-1.0,-1.0,15800.0,19077.0,24061.0,28628.0,43628.0,30000.0,43271.0,34202.0,26528.0,14720.0,-1.0,27851.0,-1.0,37460.0,9392.0,40268.0,-1.0,12195.0,33791.0,-1.0,-1.0,-1.0,50000.0,13071.0,-1.0,-1.0,35810.0
1981,-1.0,35964.0,-1.0,-1.0,-1.0,18569.0,9709.0,26349.0,31199.0,44156.0,30000.0,40000.0,32468.0,26783.0,9633.0,-1.0,22560.0,-1.0,35014.0,8224.0,49261.0,-1.0,13889.0,31419.0,-1.0,-1.0,-1.0,50000.0,13462.0,-1.0,-1.0,38012.0
1982,-1.0,39279.0,-1.0,-1.0,-1.0,16186.0,12500.0,26969.0,30164.0,43590.0,30000.0,39000.0,41360.0,27937.0,12800.0,-1.0,27075.0,-1.0,38340.0,7866.0,37200.0,-1.0,12813.0,31399.0,-1.0,-1.0,-1.0,55000.0,13402.0,-1.0,-1.0,44774.0
1983,-1.0,32540.0,-1.0,-1.0,-1.0,31878.0,5208.0,26332.0,25806.0,42857.0,30000.0,44500.0,24642.0,22729.0,8500.0,-1.0,30846.0,-1.0,38155.0,6504.0,34615.0,-1.0,13600.0,29739.0,-1.0,-1.0,-1.0,50000.0,13483.0,-1.0,-1.0,30000.0
1984,-1.0,40796.0,-1.0,-1.0,-1.0,29502.0,5306.0,30074.0,37898.0,49020.0,30952.0,43750.0,45503.0,26810.0,9100.0,-1.0,30615.0,-1.0,40109.0,12581.0,-1.0,-1.0,22710.0,39569.0,-1.0,-1.0,-1.0,45098.0,13500.0,-1.0,-1.0,42857.0
1985,-1.0,42142.0,-1.0,-1.0,-1.0,30950.0,6732.0,29867.0,30231.0,48523.0,30952.0,44286.0,40000.0,28804.0,11320.0,-1.0,28804.0,-1.0,41467.0,12489.0,-1.0,-1.0,14980.0,37758.0,-1.0,-1.0,-1.0,44910.0,13421.0,-1.0,-1.0,42857.0
1986,-1.0,40943.0,-1.0,-1.0,-1.0,33013.0,11151.0,30114.0,25591.0,40426.0,30952.0,41429.0,36667.0,28305.0,13000.0,-1.0,27350.0,-1.0,38270.0,10802.0,-1.0,-1.0,18741.0,33168.0,-1.0,-1.0,-1.0,-1.0,14191.0,-1.0,-1.0,40000.0
1987,-1.0,39329.0,-1.0,-1.0,-1.0,28523.0,12750.0,31128.0,27826.0,44231.0,30682.0,37143.0,46667.0,27801.0,7875.0,-1.0,15579.0,-1.0,36059.0,11909.0,-1.0,-1.0,16038.0,40760.0,-1.0,-1.0,-1.0,-1.0,13750.0,-1.0,-1.0,38879.0
1988,-1.0,40648.0,-1.0,-1.0,-1.0,30641.0,9524.0,28606.0,27750.0,51220.0,30667.0,44000.0,33333.0,16897.0,14706.0,-1.0,23100.0,-1.0,42318.0,12695.0,-1.0,-1.0,14410.0,36147.0,-1.0,-1.0,-1.0,-1.0,13062.0,-1.0,-1.0,39128.0
