,Austria,Slovakia,Japan,Bhutan,USSR,Belarus,Republic of Korea,Estonia,United Republic of Tanzania,Georgia,Greece,Czechoslovakia,Lithuania,France,Czechia,Poland,Ukraine,Bosnia and Herzegovina,Hungary,Ireland,Republic of Moldova,Russian Federation,Tajikistan,Kyrgyzstan,Yugoslav SFR,Slovenia,Kazakhstan,Brazil,United States of America,Serbia and Montenegro,Latvia,China,"China, mainland",Nepal,Canada,Uzbekistan,Croatia,Bulgaria,Guatemala,South Africa
1961,256.0,,42800.0,3000.0,745000.0,,6124.0,,-1.0,,-1.0,634.0,,55660.0,,59000.0,,,-1.0,-1.0,,,,,9530.0,,,500.0,19596.0,,,1500000.0,1500000.0,-1.0,26496.0,,,-1.0,,11000.0
1962,246.0,,37200.0,3100.0,750000.0,,5552.0,,-1.0,,-1.0,482.0,,45470.0,,44000.0,,,-1.0,-1.0,,,,,6700.0,,,1200.0,18780.0,,,1700000.0,1700000.0,-1.0,25060.0,,,-1.0,,11000.0
1963,202.0,,40500.0,3200.0,428000.0,,6421.0,,-1.0,,-1.0,524.0,,46010.0,,37000.0,,,-1.0,-1.0,,,,,7640.0,,,11000.0,21591.0,,,1400000.0,1400000.0,-1.0,26061.0,,,-1.0,,11000.0
1964,201.0,,27100.0,3300.0,614000.0,,6861.0,,-1.0,,-1.0,402.0,,33550.0,,34000.0,,,-1.0,-1.0,,,,,7300.0,,,8500.0,23133.0,,,1400000.0,1400000.0,-1.0,27738.0,,,-1.0,,15000.0
1965,183.0,,30100.0,3400.0,817000.0,,10475.0,,-1.0,,-1.0,346.0,,33620.0,,47000.0,,,-1.0,-1.0,,,,,6000.0,,,6500.0,9500.0,,,1700000.0,1700000.0,-1.0,19334.0,,,-1.0,,12000.0
1966,326.0,,27700.0,3500.0,804000.0,,6793.0,,-1.0,,-1.0,520.0,,30010.0,,45000.0,,,-1.0,-1.0,,,,,5200.0,,,3500.0,16500.0,,,1600000.0,1600000.0,-1.0,25343.0,,,-1.0,,10000.0
1967,82.0,,27500.0,3600.0,1000000.0,,5103.0,,-1.0,,-1.0,683.0,,26650.0,,45000.0,,,-1.0,-1.0,,,,,5600.0,,,5500.0,18500.0,,,1600000.0,1600000.0,-1.0,28412.0,,,-1.0,,10833.0
1968,56.0,,22100.0,3700.0,1266000.0,,12642.0,,-1.0,,-1.0,306.0,,21830.0,,42000.0,,,-1.0,-1.0,,,,,5670.0,,,21500.0,18500.0,,,1500000.0,1500000.0,-1.0,30568.0,,,-1.0,,20409.0
1969,,,21900.0,3800.0,1180000.0,,5756.0,,-1.0,,-1.0,296.0,,20870.0,,53000.0,,,-1.0,-1.0,,,,,5944.0,,,11000.0,18511.0,,,1700000.0,1700000.0,-1.0,37339.0,,,-1.0,,20400.0
1970,,,17200.0,3900.0,930000.0,,5086.0,,-1.0,,-1.0,244.0,,18510.0,,52000.0,,,-1.0,-1.0,,,,,5976.0,,,10500.0,20000.0,,,1900000.0,1900000.0,-1.0,61941.0,,,-1.0,,2697.0
1971,,,19500.0,4000.0,1000000.0,,4842.0,,-1.0,,-1.0,186.0,,18990.0,,49000.0,,,-1.0,-1.0,,,,,3300.0,,,9500.0,18000.0,,,2000000.0,2000000.0,-1.0,54974.0,,,-1.0,,6700.0
1972,,,25100.0,4100.0,700000.0,,4076.0,,-1.0,,-1.0,230.0,,15490.0,,38000.0,,,-1.0,-1.0,,,,,2419.0,,,9500.0,18500.0,,,2000000.0,2000000.0,-1.0,37252.0,,,-1.0,,3910.0
1973,,,28000.0,4200.0,1120000.0,,6745.0,,-1.0,,-1.0,90.0,,14200.0,,36000.0,,,-1.0,-1.0,,,,,2797.0,,,28000.0,19000.0,,,2200000.0,2200000.0,-1.0,30024.0,,,-1.0,,2880.0
1974,,,28400.0,4300.0,840000.0,,4267.0,,-1.0,,-1.0,90.0,,14520.0,,33000.0,,,-1.0,-1.0,,,,,2211.0,,,35500.0,19500.0,,,2400000.0,2400000.0,-1.0,26475.0,,,-1.0,,11863.0
1975,,,21300.0,4400.0,420000.0,,4404.0,,-1.0,,-1.0,16.0,,13460.0,,20259.0,,,-1.0,-1.0,,,,,2051.0,,,46000.0,20000.0,,,2700000.0,2700000.0,-1.0,22000.0,,,-1.0,,17896.0
1976,,,17900.0,4600.0,770000.0,,5093.0,,-1.0,,-1.0,14.0,,8150.0,,33647.0,,,-1.0,-1.0,,,,,1719.0,,,28500.0,20500.0,,,2563000.0,2563000.0,-1.0,19800.0,,,-1.0,,3015.0
