,Benin,Nigeria,Cameroon,Côte d'Ivoire,Sierra Leone,Ghana
1961,-1.0,8968.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,9097.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,9063.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,9576.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,9333.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,9235.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,9529.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,9824.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,10059.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1972,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1975,-1.0,9615.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,9407.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,9556.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,9357.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,9500.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,9643.0,-1.0,-1.0,-1.0,-1.0
1981,-1.0,9786.0,-1.0,-1.0,-1.0,-1.0
1982,-1.0,9333.0,-1.0,-1.0,-1.0,-1.0
1983,-1.0,9688.0,-1.0,-1.0,-1.0,-1.0
1984,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0
1985,2778.0,9829.0,3189.0,6044.0,3667.0,2642.0
1986,2778.0,9943.0,3263.0,6052.0,3067.0,2778.0
1987,2778.0,10235.0,3368.0,6096.0,2733.0,2667.0
1988,2778.0,10357.0,3474.0,5731.0,2400.0,2632.0
1989,2778.0,10769.0,3474.0,6363.0,2400.0,2750.0
1990,3267.0,10800.0,3537.0,6293.0,2467.0,2727.0
1991,3041.0,12692.0,3579.0,6217.0,2467.0,2712.0
1992,3041.0,13646.0,3615.0,6358.0,1875.0,2692.0
1993,3040.0,13406.0,3684.0,6268.0,2667.0,2727.0
1994,3040.0,9130.0,3683.0,6188.0,2625.0,2692.0
1995,3039.0,9048.0,3716.0,6292.0,2687.0,2734.0
1996,3039.0,9043.0,3748.0,5862.0,2628.0,2727.0
1997,3038.0,9011.0,3779.0,6820.0,2694.0,2774.0
1998,3038.0,9177.0,3785.0,6756.0,2671.0,2857.0
1999,3037.0,9130.0,3810.0,6664.0,2683.0,2818.0
2000,3037.0,9011.0,3834.0,6713.0,2778.0,2832.0
2001,3037.0,9011.0,3857.0,6707.0,2895.0,2831.0
2002,3036.0,9043.0,3879.0,6820.0,2900.0,2835.0
2003,3029.0,9043.0,3890.0,6820.0,2857.0,2839.0
2004,2993.0,9362.0,3776.0,6800.0,2952.0,2842.0
2005,2973.0,9045.0,3951.0,7637.0,2909.0,2845.0
2006,3011.0,9048.0,3789.0,6800.0,2826.0,2847.0
2007,3000.0,8000.0,4061.0,6800.0,2913.0,2887.0
2008,3100.0,8000.0,4132.0,6922.0,2894.0,2854.0
2009,3035.0,6000.0,4207.0,6898.0,2917.0,2848.0
2010,3027.0,5366.0,4285.0,6946.0,2933.0,2837.0
2011,3015.0,6000.0,4366.0,6960.0,2949.0,2840.0
2012,3000.0,6000.0,4921.0,6929.0,2930.0,2844.0
2013,3000.0,6000.0,4510.0,6942.0,2943.0,2848.0
2014,3005.0,5856.0,4337.0,6953.0,2951.0,2851.0
