,USSR,Ethiopia PDR,Poland,Argentina,Mongolia,Oman,Togo,Thailand,Czechoslovakia,Ethiopia,Luxembourg,Republic of Korea,Romania,Italy,Senegal,Hungary,Eritrea,Russian Federation,Czechia,Tunisia,Armenia,Morocco,Australia & New Zealand,Sierra Leone,Chad,Spain,Bosnia and Herzegovina,Bulgaria,Myanmar,New Zealand
1961,11040.0,53325.0,0.0,275.0,800.0,128.0,124.0,0.0,0.0,,,0.0,0.0,8800.0,480.0,1400.0,,,,800.0,,3500.0,50.0,39.0,350.0,0.0,,2700.0,632.0,50.0
1962,10400.0,52500.0,0.0,286.0,600.0,128.0,125.0,0.0,0.0,,,0.0,0.0,6600.0,450.0,1500.0,,,,1200.0,,3500.0,50.0,39.0,350.0,0.0,,3600.0,1020.0,50.0
1963,12960.0,52700.0,0.0,352.0,1500.0,136.0,135.0,0.0,0.0,,,0.0,0.0,6500.0,300.0,1500.0,,,,1600.0,,3100.0,50.0,41.0,350.0,0.0,,5400.0,1126.0,50.0
1964,8480.0,52750.0,0.0,407.0,1400.0,136.0,135.0,0.0,0.0,,,0.0,0.0,6600.0,300.0,1600.0,,,,2200.0,,4000.0,50.0,42.0,363.0,0.0,,9111.0,760.0,50.0
1965,8640.0,52790.0,0.0,407.0,500.0,144.0,155.0,0.0,57.0,,,0.0,0.0,6500.0,381.0,1600.0,,,,1500.0,,3400.0,58.0,45.0,375.0,0.0,,460.0,1174.0,58.0
1966,5440.0,53318.0,0.0,438.0,400.0,152.0,35.0,0.0,318.0,,,0.0,0.0,6000.0,480.0,1700.0,,,,1400.0,,3400.0,58.0,42.0,375.0,0.0,,540.0,1036.0,58.0
1967,4000.0,53850.0,0.0,413.0,400.0,152.0,25.0,0.0,303.0,,,0.0,0.0,5800.0,303.0,1700.0,,,,1500.0,,2350.0,58.0,42.0,375.0,0.0,,810.0,1182.0,58.0
1968,2720.0,54388.0,0.0,398.0,400.0,152.0,30.0,4.0,321.0,,,0.0,0.0,4600.0,361.0,1700.0,,,,800.0,,3200.0,58.0,42.0,375.0,0.0,,412.0,1271.0,58.0
1969,2400.0,54933.0,0.0,373.0,600.0,160.0,55.0,7.0,256.0,,,0.0,0.0,4000.0,234.0,2900.0,,,,800.0,,6400.0,50.0,41.0,400.0,0.0,,798.0,1141.0,50.0
1970,1760.0,55445.0,0.0,355.0,400.0,160.0,55.0,14.0,239.0,,,0.0,0.0,1600.0,348.0,3400.0,,,,660.0,,5200.0,50.0,39.0,400.0,0.0,,540.0,769.0,50.0
1971,1280.0,55988.0,0.0,361.0,600.0,168.0,40.0,22.0,129.0,,,0.0,0.0,1100.0,375.0,4600.0,,,,600.0,,4540.0,50.0,39.0,425.0,0.0,,621.0,664.0,50.0
1972,1440.0,41625.0,0.0,380.0,900.0,168.0,50.0,30.0,127.0,,,0.0,0.0,1200.0,209.0,3200.0,,,,600.0,,7030.0,63.0,39.0,425.0,0.0,,464.0,898.0,63.0
1973,1600.0,42150.0,0.0,364.0,800.0,168.0,55.0,42.0,91.0,,,0.0,0.0,1100.0,261.0,2200.0,,,,500.0,,8540.0,63.0,39.0,450.0,0.0,,16401.0,1196.0,63.0
