,"China, Taiwan Province of",Zambia,Syrian Arab Republic,Brazil,Nepal,Ethiopia,Indonesia,Liberia,Greece,Bangladesh,Malawi,Eritrea,New Caledonia,Bahamas,Mongolia,Guatemala,Latvia,Slovenia,Madagascar,Luxembourg,Guinea,Botswana,Saudi Arabia,Fiji,Sweden,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Bosnia and Herzegovina,China,Colombia,Libya,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Estonia,Saint Vincent and the Grenadines,Hungary,France,Togo,Mali,Paraguay,Saint Kitts and Nevis,Melanesia,Serbia and Montenegro,Cameroon,Grenada,Dominican Republic,El Salvador,Denmark,Canada,Spain,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,New Zealand,Belize,Czechoslovakia,Nigeria,Czechia,Argentina,Democratic People's Republic of Korea,Germany,Cabo Verde,Morocco,Ethiopia PDR,Gabon,Romania,Ecuador,Jordan,Mexico,Albania,Slovakia,Jamaica,Trinidad and Tobago,Thailand,Lithuania,Finland,Netherlands,Angola,Norway,Turkey,Burundi,Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Viet Nam,Lao People's Democratic Republic,Australia,Maldives,Ireland,Zimbabwe,Yugoslav SFR,Republic of Korea,Papua New Guinea,Cuba,Rwanda,Australia & New Zealand,Barbados,Algeria,Senegal,Saint Lucia,Uganda,Dominica,Belgium,Chad,Lesotho,Comoros,Uruguay,Italy,Panama,Sudan (former),Armenia,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Portugal,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Haiti,India,Ukraine,Bolivia (Plurinational State of),Peru,Serbia,Israel,Malta,South Sudan,Namibia,Benin,United Kingdom,Japan,Pakistan,Somalia,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Cambodia,Timor-Leste,Costa Rica,Tajikistan,Austria,Niger,Mozambique,Bhutan,Congo,USSR,Honduras,Tunisia,Côte d'Ivoire,Gambia,Solomon Islands,South Africa,Sierra Leone,Réunion,Egypt,Ghana,Mauritania,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,1882.0,1000.0,15480.0,118887.0,6050.0,-1.0,13600.0,200.0,25788.0,7871.0,15100.0,-1.0,6.0,6.0,350.0,3857.0,-1.0,-1.0,3914.0,-1.0,2475.0,500.0,64.0,73.0,4913.0,480.0,213.0,-1.0,400.0,-1.0,1019882.0,9426.0,267.0,11465.0,90.0,-1.0,-1.0,14.0,32570.0,20785.0,1925.0,239.0,1640.0,3.0,268.0,-1.0,6680.0,1.0,1680.0,1513.0,600.0,10855.0,96263.0,1260.0,2080.0,-1.0,4000.0,26.0,9284.0,57600.0,-1.0,7012.0,23520.0,30426.0,1440.0,17957.0,49715.0,6.0,45674.0,4004.0,4548.0,56942.0,3279.0,-1.0,244.0,75.0,3411.0,-1.0,700.0,4078.0,3450.0,12.0,58523.0,16900.0,-1.0,-1.0,21600.0,4260.0,2006.0,9953.0,408.0,3200.0,2.0,160.0,2250.0,76764.0,2340.0,96.0,3400.0,4812.0,7200.0,12.0,2886.0,1482.0,1.0,12927.0,16.0,-1.0,6610.0,902.0,120.0,399.0,150224.0,640.0,3021.0,-1.0,742.0,-1.0,0.0,12905.0,17853.0,22300.0,38840.0,1018000.0,-1.0,1725.0,5668.0,853548.0,-1.0,1693.0,6640.0,-1.0,662.0,145.0,-1.0,405.0,2320.0,1200.0,22342.0,82127.0,120.0,2310.0,1509.0,2.0,16971.0,68000.0,19546.0,6023.0,1400.0,239.0,1776.0,-1.0,405.0,20250.0,4400.0,56.0,334.0,851670.0,3062.0,5079.0,1560.0,400.0,93.0,12194.0,1894.0,65.0,33680.0,750.0,1800.0,205.0,-1.0,2207.0
1962,1826.0,1100.0,14164.0,131344.0,6675.0,-1.0,13000.0,200.0,23773.0,7782.0,15540.0,-1.0,6.0,7.0,350.0,4575.0,-1.0,-1.0,4058.0,-1.0,2475.0,500.0,68.0,73.0,4306.0,480.0,243.0,-1.0,400.0,-1.0,813826.0,9080.0,268.0,13745.0,90.0,-1.0,-1.0,14.0,37750.0,20645.0,1946.0,239.0,1656.0,3.0,276.0,-1.0,6730.0,1.0,1680.0,1278.0,600.0,11006.0,96230.0,1350.0,1984.0,-1.0,4000.0,29.0,10123.0,98505.0,-1.0,6874.0,27440.0,29920.0,1440.0,17987.0,51495.0,6.0,48418.0,3733.0,3371.0,56848.0,4830.0,-1.0,257.0,94.0,6518.0,-1.0,400.0,4915.0,3450.0,5.0,56419.0,17076.0,-1.0,-1.0,27024.0,4365.0,2056.0,10258.0,412.0,2857.0,2.0,150.0,2198.0,77166.0,2482.0,104.0,3250.0,4761.0,6857.0,12.0,2851.0,1543.0,1.0,13578.0,16.0,-1.0,6690.0,862.0,126.0,399.0,154393.0,640.0,3415.0,-1.0,643.0,-1.0,0.0,12343.0,18102.0,22500.0,43040.0,812000.0,-1.0,1724.0,5930.0,846085.0,-1.0,1870.0,6733.0,-1.0,525.0,165.0,-1.0,405.0,2320.0,1600.0,22500.0,82426.0,176.0,2790.0,1685.0,2.0,17939.0,63000.0,19746.0,6103.0,2200.0,244.0,2072.0,-1.0,685.0,21490.0,4800.0,60.0,351.0,1279620.0,3310.0,6220.0,960.0,400.0,93.0,13518.0,1894.0,65.0,32050.0,900.0,2200.0,196.0,-1.0,2418.0
1963,2074.0,1200.0,16591.0,137116.0,6309.0,-1.0,13500.0,200.0,21446.0,7398.0,16660.0,-1.0,6.0,7.0,350.0,5306.0,-1.0,-1.0,4085.0,-1.0,2475.0,500.0,72.0,70.0,4244.0,480.0,212.0,-1.0,400.0,-1.0,805074.0,9018.0,230.0,12188.0,90.0,-1.0,-1.0,14.0,37240.0,18513.0,2250.0,263.0,1862.0,3.0,284.0,-1.0,6130.0,1.0,1920.0,983.0,600.0,11357.0,88804.0,1350.0,1984.0,-1.0,4000.0,38.0,10835.0,94955.0,-1.0,7260.0,28400.0,30222.0,1360.0,18156.0,52175.0,6.0,44646.0,5656.0,4716.0,69392.0,4463.0,-1.0,241.0,92.0,6572.0,-1.0,500.0,4761.0,3600.0,5.0,56050.0,18704.0,-1.0,-1.0,29328.0,4710.0,1939.0,10566.0,412.0,2696.0,2.0,160.0,2159.0,75535.0,2524.0,112.0,3100.0,3968.0,6696.0,12.0,2630.0,1544.0,1.0,15757.0,16.0,-1.0,6850.0,980.0,126.0,409.0,147575.0,440.0,3507.0,-1.0,950.0,-1.0,0.0,10969.0,17689.0,22500.0,38840.0,803000.0,-1.0,1994.0,6020.0,815366.0,-1.0,1830.0,6990.0,-1.0,558.0,137.0,-1.0,405.0,1613.0,1600.0,22420.0,75296.0,240.0,2990.0,1585.0,4.0,21658.0,64000.0,20040.0,6183.0,2000.0,252.0,1749.0,-1.0,658.0,22084.0,4800.0,63.0,365.0,1259160.0,3739.0,7190.0,1260.0,400.0,96.0,10733.0,1897.0,65.0,40790.0,975.0,2200.0,201.0,-1.0,2384.0
1964,1715.0,1300.0,18998.0,144281.0,6839.0,-1.0,14000.0,200.0,21751.0,7373.0,17900.0,-1.0,6.0,8.0,380.0,5123.0,-1.0,-1.0,3945.0,-1.0,2475.0,500.0,76.0,70.0,3933.0,352.0,276.0,-1.0,400.0,-1.0,804715.0,8982.0,230.0,9548.0,90.0,-1.0,-1.0,14.0,37470.0,16819.0,2173.0,224.0,2284.0,3.0,291.0,-1.0,6130.0,1.0,1880.0,1082.0,500.0,12694.0,87936.0,1440.0,2261.0,-1.0,4000.0,41.0,10464.0,102570.0,-1.0,7766.0,27200.0,28150.0,1360.0,18200.0,52725.0,6.0,41787.0,5411.0,6132.0,70815.0,3219.0,-1.0,205.0,92.0,7839.0,-1.0,600.0,3781.0,3570.0,0.0,54700.0,18844.0,-1.0,-1.0,25040.0,4540.0,1838.0,10791.0,416.0,3024.0,2.0,160.0,2522.0,73760.0,2682.0,120.0,3000.0,4965.0,7024.0,12.0,3322.0,1634.0,1.0,14920.0,16.0,-1.0,6700.0,980.0,138.0,409.0,137464.0,340.0,3522.0,-1.0,1075.0,-1.0,0.0,10469.0,17708.0,22700.0,44000.0,803000.0,-1.0,2117.0,6100.0,748789.0,-1.0,1833.0,6565.0,-1.0,892.0,132.0,-1.0,405.0,1670.0,1400.0,21209.0,78480.0,520.0,3010.0,1506.0,3.0,20046.0,58000.0,20230.0,6303.0,2080.0,286.0,2096.0,-1.0,712.0,20521.0,4800.0,62.0,378.0,809820.0,2695.0,5075.0,720.0,400.0,96.0,13253.0,1897.0,40.0,42530.0,1020.0,2330.0,193.0,-1.0,1888.0
1965,1785.0,1400.0,12506.0,146938.0,6526.0,-1.0,14000.0,200.0,20162.0,8036.0,17350.0,-1.0,6.0,8.0,165.0,4518.0,-1.0,-1.0,3952.0,-1.0,2475.0,500.0,80.0,70.0,3659.0,392.0,250.0,-1.0,400.0,-1.0,743285.0,8539.0,239.0,12655.0,90.0,-1.0,-1.0,15.0,41500.0,16227.0,1794.0,224.0,2362.0,3.0,302.0,-1.0,6030.0,1.0,2280.0,1216.0,400.0,13343.0,90984.0,1530.0,2344.0,-1.0,4000.0,56.0,9879.0,113135.0,-1.0,7915.0,24960.0,26568.0,1314.0,19683.0,53555.0,6.0,43983.0,6310.0,3840.0,74821.0,4332.0,-1.0,389.0,76.0,8920.0,-1.0,600.0,3792.0,3570.0,0.0,54860.0,18921.0,-1.0,-1.0,26498.0,4705.0,1797.0,10954.0,416.0,3311.0,2.0,120.0,2952.0,19798.0,3080.0,128.0,3000.0,6396.0,7311.0,12.0,2545.0,2592.0,1.0,14152.0,16.0,-1.0,6590.0,941.0,138.0,292.0,132982.0,540.0,3353.0,-1.0,1308.0,-1.0,0.0,10617.0,17189.0,23100.0,46560.0,741500.0,-1.0,2264.0,6260.0,809805.0,-1.0,1819.0,7784.0,-1.0,578.0,56.0,-1.0,423.0,1766.0,1400.0,20301.0,69790.0,584.0,3040.0,1178.0,4.0,18993.0,61000.0,20439.0,6470.0,2120.0,290.0,1728.0,-1.0,1119.0,26542.0,4800.0,65.0,391.0,709950.0,3001.0,8145.0,636.0,440.0,99.0,12836.0,1854.0,50.0,35425.0,1500.0,2380.0,202.0,-1.0,2149.0
1966,1836.0,1500.0,14819.0,162569.0,6635.0,-1.0,13500.0,200.0,18909.0,8151.0,18110.0,-1.0,5.0,8.0,135.0,4549.0,-1.0,-1.0,4049.0,-1.0,2700.0,500.0,84.0,91.0,3546.0,384.0,271.0,-1.0,400.0,-1.0,743336.0,8729.0,244.0,13170.0,90.0,-1.0,-1.0,16.0,40990.0,16306.0,1717.0,230.0,2389.0,3.0,331.0,-1.0,4430.0,1.0,1896.0,1307.0,600.0,11436.0,88905.0,1080.0,2666.0,-1.0,4000.0,36.0,8771.0,144355.0,-1.0,8180.0,24960.0,25250.0,1139.0,18730.0,54700.0,6.0,42897.0,6156.0,3401.0,66475.0,4629.0,-1.0,556.0,99.0,8968.0,-1.0,500.0,3666.0,3581.0,0.0,54740.0,20324.0,-1.0,-1.0,27623.0,4848.0,1589.0,11889.0,420.0,2994.0,2.0,100.0,2900.0,16605.0,3091.0,136.0,3000.0,6198.0,6994.0,13.0,2909.0,2988.0,1.0,18330.0,16.0,-1.0,6600.0,1019.0,147.0,292.0,128233.0,540.0,3021.0,-1.0,1022.0,-1.0,0.0,10508.0,16290.0,23100.0,39980.0,741500.0,-1.0,2362.0,6264.0,715519.0,-1.0,1759.0,8607.0,-1.0,676.0,37.0,-1.0,423.0,2320.0,1600.0,21494.0,79856.0,608.0,3270.0,1087.0,3.0,17272.0,60287.0,20619.0,6615.0,2360.0,252.0,1480.0,-1.0,1110.0,30031.0,4800.0,68.0,400.0,653610.0,3156.0,8725.0,720.0,400.0,99.0,13942.0,1898.0,40.0,29455.0,1500.0,2510.0,219.0,-1.0,2178.0
1967,1976.0,1600.0,15771.0,162432.0,6848.0,-1.0,10500.0,200.0,15463.0,8390.0,18669.0,-1.0,5.0,8.0,85.0,5493.0,-1.0,-1.0,4144.0,-1.0,2700.0,500.0,88.0,154.0,3766.0,384.0,283.0,-1.0,400.0,-1.0,726476.0,9087.0,280.0,13352.0,90.0,-1.0,-1.0,16.0,38760.0,15830.0,1775.0,245.0,2224.0,3.0,405.0,-1.0,4731.0,1.0,1627.0,1458.0,790.0,11575.0,84185.0,1620.0,2609.0,-1.0,3000.0,65.0,6876.0,124500.0,-1.0,9178.0,24960.0,21610.0,240.0,15854.0,55980.0,6.0,39857.0,6798.0,3064.0,62494.0,4992.0,-1.0,706.0,81.0,13165.0,-1.0,400.0,3389.0,3581.0,0.0,54160.0,21036.0,-1.0,-1.0,25190.0,5035.0,1625.0,11348.0,432.0,3582.0,2.0,70.0,2900.0,16433.0,3088.0,144.0,2250.0,6259.0,6582.0,14.0,3948.0,2103.0,1.0,21880.0,16.0,-1.0,6450.0,1019.0,150.0,305.0,119866.0,440.0,2785.0,-1.0,1041.0,-1.0,0.0,10330.0,15847.0,23500.0,31920.0,724500.0,-1.0,2398.0,6124.0,670194.0,-1.0,1779.0,7592.0,-1.0,656.0,40.0,-1.0,423.0,2326.0,2000.0,15631.0,72849.0,608.0,3340.0,1157.0,3.0,13681.0,55298.0,20818.0,6695.0,2640.0,294.0,1104.0,-1.0,1001.0,32195.0,4800.0,69.0,418.0,604560.0,3131.0,7835.0,720.0,400.0,102.0,13240.0,1975.0,40.0,29430.0,1575.0,2230.0,181.0,-1.0,2101.0
1968,1946.0,1600.0,18363.0,160795.0,6963.0,-1.0,11000.0,225.0,14514.0,8838.0,19245.0,-1.0,5.0,8.0,85.0,4845.0,-1.0,-1.0,4358.0,-1.0,2700.0,500.0,92.0,102.0,3519.0,384.0,257.0,-1.0,450.0,-1.0,698946.0,8933.0,300.0,13045.0,90.0,-1.0,-1.0,16.0,33060.0,15278.0,1850.0,233.0,2025.0,3.0,361.0,-1.0,6026.0,1.0,1960.0,1512.0,190.0,12549.0,77687.0,1620.0,2329.0,-1.0,5000.0,77.0,5831.0,148475.0,-1.0,9559.0,25200.0,21449.0,400.0,16272.0,56365.0,6.0,35409.0,5342.0,2942.0,58863.0,4386.0,-1.0,504.0,70.0,13871.0,-1.0,300.0,3685.0,3600.0,0.0,54250.0,19662.0,-1.0,-1.0,27684.0,4855.0,1540.0,10860.0,432.0,4786.0,2.0,80.0,2900.0,14807.0,3174.0,152.0,1750.0,6620.0,9786.0,16.0,3869.0,2151.0,1.0,20900.0,16.0,-1.0,6374.0,1098.0,156.0,312.0,114568.0,440.0,2626.0,-1.0,1000.0,-1.0,0.0,8317.0,15192.0,23300.0,31080.0,697000.0,-1.0,2362.0,6206.0,815957.0,-1.0,1808.0,8893.0,-1.0,687.0,35.0,-1.0,423.0,1958.0,2200.0,14609.0,60944.0,800.0,3540.0,1033.0,4.0,11709.0,56926.0,21018.0,6477.0,2320.0,273.0,1520.0,-1.0,519.0,41734.0,4800.0,72.0,431.0,620760.0,3105.0,8390.0,720.0,400.0,102.0,12197.0,2018.0,40.0,31300.0,1875.0,2450.0,208.0,-1.0,2429.0
1969,2010.0,1700.0,17747.0,153779.0,7066.0,-1.0,12200.0,225.0,14548.0,9315.0,19846.0,-1.0,5.0,8.0,45.0,7813.0,-1.0,-1.0,4275.0,-1.0,2700.0,500.0,96.0,80.0,3894.0,384.0,240.0,-1.0,480.0,-1.0,709510.0,8706.0,257.0,15620.0,90.0,-1.0,-1.0,16.0,35190.0,16696.0,1902.0,290.0,3645.0,3.0,350.0,-1.0,7015.0,1.0,1720.0,1662.0,640.0,13326.0,73291.0,1680.0,2630.0,-1.0,6000.0,122.0,4375.0,140720.0,-1.0,8611.0,25200.0,18239.0,160.0,20940.0,57285.0,7.0,36189.0,5727.0,2833.0,61685.0,4496.0,-1.0,460.0,58.0,16067.0,-1.0,400.0,3806.0,3600.0,0.0,52820.0,20869.0,-1.0,-1.0,25623.0,4960.0,1902.0,10750.0,432.0,5326.0,2.0,90.0,2770.0,14706.0,3136.0,160.0,1750.0,6677.0,11326.0,17.0,3911.0,1908.0,1.0,20300.0,16.0,-1.0,6350.0,1333.0,162.0,367.0,111377.0,439.0,2468.0,-1.0,934.0,-1.0,0.0,10437.0,14473.0,23800.0,31060.0,707500.0,-1.0,2210.0,6266.0,722182.0,-1.0,1343.0,8964.0,-1.0,654.0,32.0,-1.0,432.0,2104.0,3000.0,13574.0,59941.0,1888.0,3370.0,1205.0,4.0,10752.0,58380.0,21217.0,6645.0,1520.0,462.0,1200.0,-1.0,497.0,42007.0,4800.0,78.0,440.0,606150.0,3083.0,8390.0,660.0,400.0,105.0,11128.0,2054.0,40.0,28520.0,2295.0,2450.0,209.0,-1.0,2392.0
1970,1940.0,1700.0,16873.0,174380.0,7110.0,-1.0,13700.0,250.0,14141.0,9619.0,20447.0,-1.0,4.0,9.0,5.0,9060.0,-1.0,-1.0,4727.0,-1.0,2700.0,625.0,100.0,48.0,3769.0,368.0,201.0,-1.0,500.0,-1.0,597940.0,8622.0,127.0,15150.0,90.0,-1.0,-1.0,16.0,33450.0,16801.0,1850.0,281.0,3568.0,4.0,325.0,-1.0,7255.0,1.0,1960.0,1835.0,760.0,8207.0,68552.0,1560.0,2462.0,-1.0,7000.0,85.0,4091.0,139670.0,-1.0,9463.0,25200.0,19727.0,160.0,18877.0,58410.0,7.0,32936.0,4780.0,2639.0,68725.0,4336.0,-1.0,540.0,96.0,11446.0,-1.0,300.0,3165.0,3600.0,0.0,53690.0,21284.0,-1.0,-1.0,24685.0,4270.0,1875.0,10780.0,432.0,7300.0,2.0,120.0,2910.0,14347.0,2820.0,168.0,1750.0,6644.0,14300.0,17.0,3615.0,2139.0,1.0,30270.0,16.0,-1.0,6350.0,1372.0,168.0,311.0,91216.0,449.0,2472.0,-1.0,922.0,-1.0,0.0,12272.0,12963.0,24800.0,29520.0,596000.0,-1.0,2240.0,6388.0,794197.0,-1.0,1436.0,8045.0,-1.0,628.0,31.0,-1.0,432.0,1773.0,2400.0,14734.0,61276.0,1696.0,3360.0,1428.0,5.0,10019.0,54380.0,21378.0,6866.0,1600.0,588.0,933.0,-1.0,428.0,42799.0,4800.0,84.0,458.0,619650.0,3055.0,9070.0,720.0,480.0,105.0,8941.0,2059.0,30.0,27385.0,2280.0,2460.0,251.0,-1.0,2099.0
