,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Pakistan,Slovakia,Nepal,Kenya,Libya,Yemen,Republic of Moldova,Italy,Serbia,USSR,Germany,Turkmenistan,Tajikistan,Portugal,Albania,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Spain,Kyrgyzstan,India,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Turkey,Jordan,Afghanistan,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Zimbabwe,New Zealand,Bosnia and Herzegovina,Hungary,Lebanon,Russian Federation,Bulgaria,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,South Africa,Mexico,Ukraine,"China, mainland",Azerbaijan,Madagascar,Algeria,Peru,Croatia,Cameroon,Occupied Palestinian Territory
1974,67045.0,,31235.0,200714.0,123299.0,121251.0,,,104681.0,,,50000.0,,,,82357.0,,28142.0,,,,64780.0,,,67045.0,,,,,104916.0,,,93333.0,,30263.0,39551.0,,,,,75921.0,29844.0,44667.0,83734.0,,73810.0,,,103018.0,,41659.0,,135225.0,,,44272.0,,55614.0,12681.0,,46429.0,,70371.0,84871.0,76064.0,,,,46000.0,29540.0,85385.0,,,
1975,64968.0,,49532.0,187692.0,97002.0,99535.0,,,98406.0,,,50000.0,,,,72786.0,,23099.0,,,,50675.0,,,64968.0,,,,,100798.0,,,56824.0,,31667.0,63184.0,,,,,75800.0,39759.0,16345.0,84040.0,,65714.0,,,110576.0,,41832.0,,84663.0,,,70370.0,,55965.0,13698.0,,46429.0,,138273.0,77143.0,64798.0,,,,91429.0,34977.0,85833.0,,,
1976,76281.0,,40824.0,208955.0,96376.0,99627.0,,,102049.0,,,50000.0,,,,72044.0,,32286.0,,,,55268.0,,,76281.0,,,,,93638.0,,,100139.0,,30303.0,78551.0,,,,,75676.0,40000.0,42558.0,78672.0,,58128.0,,,131848.0,,99013.0,20000.0,81481.0,,,71429.0,,55505.0,15263.0,,50000.0,,122063.0,89115.0,71709.0,,,,95714.0,34722.0,77500.0,,,
1977,69830.0,,27286.0,126667.0,109450.0,110500.0,,,107253.0,,,50000.0,,,,60809.0,,40714.0,,,,20290.0,,,69830.0,,,,,95900.0,,,32426.0,,29630.0,61729.0,,,,,75314.0,34318.0,5739.0,46620.0,,44406.0,,,109376.0,,50516.0,20000.0,104750.0,,,74138.0,,39457.0,14612.0,,51429.0,,117194.0,85174.0,70129.0,,,,96250.0,30008.0,75536.0,,,
1978,78980.0,,38459.0,204098.0,101496.0,103908.0,,,104797.0,,,50000.0,,,,58963.0,,24333.0,,,,21085.0,,,78980.0,,,,,84314.0,,,108663.0,,29630.0,59346.0,,,,,76576.0,34580.0,18633.0,68511.0,,89166.0,,,94472.0,,56999.0,24000.0,91051.0,,,73333.0,,38939.0,13458.0,,37143.0,,101408.0,82410.0,61512.0,,,,74615.0,29888.0,92857.0,,,
1979,75242.0,,37283.0,184483.0,128980.0,131564.0,,,110000.0,,,50000.0,,27375.0,,76462.0,,40000.0,,,,28155.0,,,75242.0,,,,,83125.0,,,79231.0,,29167.0,22379.0,,,,,75632.0,37866.0,23838.0,67548.0,,72322.0,,,122794.0,,39394.0,25333.0,118281.0,,,76667.0,,44497.0,10958.0,,39286.0,,130299.0,93176.0,66291.0,,,,72857.0,34703.0,89821.0,,,
1980,132589.0,,38073.0,143750.0,110786.0,111194.0,,,111150.0,,,50000.0,,27166.0,,73923.0,,32941.0,,,,29137.0,,,132589.0,,,,,85135.0,,48276.0,58964.0,,32500.0,52094.0,,,,,76457.0,36302.0,40556.0,69648.0,,86614.0,,,152381.0,,60769.0,24500.0,109122.0,,,76667.0,,53538.0,13000.0,,39286.0,,116564.0,86362.0,55070.0,,,,76471.0,30240.0,89057.0,,,
1981,171918.0,,37053.0,191176.0,129881.0,130302.0,,,105821.0,,,50000.0,,27373.0,,88281.0,,40930.0,,,,25070.0,,,171918.0,,,,,90699.0,,24329.0,88622.0,,30000.0,23889.0,,,,,50128.0,34545.0,35882.0,70509.0,,113840.0,,,206947.0,,65753.0,26000.0,127945.0,,,46875.0,,56751.0,19091.0,,39286.0,,86002.0,97536.0,57618.0,,,,73958.0,35343.0,89623.0,,,
1982,102207.0,,60451.0,123864.0,118321.0,116167.0,,,115894.0,,,50000.0,,27744.0,,132047.0,,45000.0,,,,26045.0,,,102207.0,,,,,87919.0,,45476.0,90704.0,,29412.0,43419.0,,,,,50255.0,46857.0,36667.0,70827.0,,109524.0,,,156955.0,,58880.0,25000.0,127110.0,,,76923.0,,58293.0,13393.0,,48138.0,,117835.0,97067.0,215442.0,,,,94231.0,36269.0,86863.0,,,
1983,56576.0,,61401.0,164368.0,110143.0,118805.0,,,111677.0,,,50000.0,,27744.0,,112294.0,,48000.0,,,,30211.0,,,56576.0,,,,,84314.0,,60422.0,70939.0,,28947.0,45643.0,,,,,50465.0,49495.0,24500.0,71799.0,,113636.0,,,210611.0,,84160.0,24000.0,80838.0,,,84084.0,,49840.0,16949.0,,52817.0,,95658.0,115423.0,172477.0,,,,94091.0,60519.0,62115.0,,,
