,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Israel,Malta,Syrian Arab Republic,United Republic of Tanzania,United Kingdom,Ethiopia,Japan,Tunisia,Iraq,Cyprus,Greece,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Guatemala,Thailand,Algeria,Kuwait,Kyrgyzstan,Netherlands,Ukraine,Germany,Austria,Niger,Morocco,Sweden,Switzerland,Mexico,Romania,Ecuador,Spain,Egypt,China,Ireland,Uzbekistan,Colombia,Libya,Albania,Czechia,Slovakia,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Italy,Montenegro,Kazakhstan,Chile,France,Jordan,Portugal,Lithuania,Poland,"China, mainland",Russian Federation,Turkey
1961,-1.0,24667.0,31034.0,-1.0,15942.0,16667.0,52000.0,-1.0,104351.0,-1.0,66925.0,29412.0,43973.0,47619.0,20820.0,75000.0,29639.0,75000.0,-1.0,-1.0,55000.0,83333.0,-1.0,-1.0,-1.0,117236.0,-1.0,124613.0,-1.0,-1.0,36667.0,-1.0,-1.0,-1.0,-1.0,15882.0,90984.0,59524.0,-1.0,-1.0,-1.0,-1.0,83333.0,-1.0,-1.0,-1.0,72727.0,-1.0,-1.0,49545.0,-1.0,-1.0,50000.0,146167.0,84974.0,100000.0,-1.0,-1.0,-1.0,-1.0,60345.0
1962,-1.0,24667.0,31624.0,-1.0,35417.0,16667.0,60000.0,-1.0,106022.0,-1.0,42800.0,29630.0,52765.0,48077.0,18529.0,80000.0,34981.0,80000.0,-1.0,-1.0,54706.0,85000.0,-1.0,-1.0,-1.0,133953.0,-1.0,116551.0,-1.0,-1.0,33333.0,-1.0,-1.0,-1.0,-1.0,15556.0,83433.0,142857.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,70833.0,-1.0,-1.0,48423.0,-1.0,-1.0,55000.0,139768.0,76471.0,100000.0,-1.0,-1.0,-1.0,-1.0,61017.0
1963,-1.0,24667.0,32203.0,-1.0,39130.0,16667.0,50000.0,-1.0,106022.0,-1.0,25528.0,30303.0,53491.0,44000.0,18629.0,65000.0,43010.0,65000.0,-1.0,-1.0,55000.0,86667.0,-1.0,-1.0,-1.0,124236.0,-1.0,135802.0,-1.0,-1.0,36522.0,-1.0,-1.0,-1.0,-1.0,15556.0,72794.0,83333.0,-1.0,-1.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,48833.0,-1.0,-1.0,57500.0,108703.0,82266.0,100000.0,-1.0,-1.0,-1.0,-1.0,64407.0
1964,-1.0,25000.0,33333.0,-1.0,44186.0,16667.0,51111.0,-1.0,105838.0,-1.0,44298.0,30345.0,33370.0,40000.0,16806.0,83333.0,34843.0,83333.0,-1.0,-1.0,55000.0,90000.0,-1.0,-1.0,-1.0,116742.0,-1.0,111335.0,-1.0,-1.0,39500.0,-1.0,-1.0,-1.0,-1.0,15263.0,61914.0,83333.0,-1.0,-1.0,-1.0,-1.0,96154.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,47600.0,-1.0,-1.0,60000.0,108219.0,65060.0,100000.0,-1.0,-1.0,-1.0,-1.0,57143.0
1965,-1.0,25000.0,32192.0,-1.0,73810.0,16667.0,51111.0,-1.0,106443.0,-1.0,43784.0,30426.0,38971.0,68627.0,49474.0,82305.0,24886.0,82305.0,-1.0,-1.0,56700.0,93333.0,-1.0,-1.0,-1.0,120818.0,-1.0,121971.0,-1.0,-1.0,37778.0,-1.0,-1.0,-1.0,-1.0,15000.0,57397.0,47619.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,77143.0,-1.0,-1.0,58302.0,-1.0,-1.0,60000.0,106309.0,60000.0,100000.0,-1.0,-1.0,-1.0,-1.0,57333.0
1966,-1.0,25000.0,31875.0,-1.0,86047.0,27868.0,42857.0,-1.0,112965.0,-1.0,47692.0,30333.0,55941.0,86957.0,43286.0,75000.0,24744.0,75000.0,-1.0,-1.0,51261.0,96667.0,-1.0,-1.0,-1.0,103609.0,-1.0,128734.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,16000.0,65113.0,101360.0,-1.0,-1.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,60117.0,-1.0,-1.0,51188.0,-1.0,-1.0,60000.0,67739.0,58280.0,100000.0,-1.0,-1.0,-1.0,-1.0,60377.0
1967,-1.0,25385.0,33788.0,-1.0,47458.0,23014.0,42799.0,-1.0,116798.0,-1.0,40236.0,30000.0,47331.0,78182.0,49104.0,75000.0,23779.0,75000.0,-1.0,-1.0,51091.0,100000.0,-1.0,-1.0,-1.0,136173.0,-1.0,133594.0,-1.0,-1.0,34848.0,-1.0,-1.0,-1.0,-1.0,16522.0,64706.0,71429.0,-1.0,-1.0,-1.0,-1.0,93750.0,-1.0,-1.0,-1.0,82921.0,-1.0,-1.0,56683.0,-1.0,-1.0,60000.0,85889.0,69005.0,100000.0,-1.0,-1.0,-1.0,-1.0,60345.0
1968,-1.0,25385.0,32331.0,-1.0,68571.0,31349.0,48754.0,-1.0,97075.0,-1.0,47882.0,30241.0,54602.0,45820.0,45840.0,75000.0,21881.0,75000.0,-1.0,-1.0,51111.0,103333.0,-1.0,-1.0,-1.0,129499.0,-1.0,139989.0,-1.0,-1.0,37313.0,-1.0,-1.0,-1.0,-1.0,16081.0,60041.0,95238.0,-1.0,-1.0,-1.0,-1.0,95238.0,-1.0,-1.0,-1.0,36495.0,-1.0,-1.0,49581.0,-1.0,-1.0,60000.0,88235.0,82645.0,100000.0,-1.0,-1.0,-1.0,-1.0,59916.0
1969,-1.0,25000.0,36523.0,-1.0,90476.0,22806.0,41410.0,-1.0,105515.0,-1.0,48734.0,30208.0,44788.0,75486.0,51458.0,20000.0,23224.0,20000.0,-1.0,-1.0,51000.0,106667.0,20000.0,-1.0,-1.0,107624.0,-1.0,142780.0,-1.0,-1.0,37313.0,-1.0,-1.0,-1.0,-1.0,16552.0,55900.0,47619.0,-1.0,-1.0,-1.0,-1.0,96154.0,-1.0,-1.0,-1.0,43677.0,-1.0,-1.0,59158.0,-1.0,-1.0,60000.0,95974.0,61957.0,100000.0,-1.0,-1.0,-1.0,-1.0,60329.0
1970,-1.0,24286.0,37461.0,-1.0,57407.0,25069.0,50863.0,-1.0,94585.0,-1.0,40000.0,30111.0,47789.0,69022.0,49268.0,20000.0,46804.0,20000.0,-1.0,-1.0,52440.0,106667.0,20000.0,-1.0,-1.0,87818.0,-1.0,143660.0,-1.0,-1.0,37313.0,-1.0,-1.0,-1.0,-1.0,16667.0,63742.0,47619.0,-1.0,-1.0,-1.0,-1.0,93750.0,-1.0,-1.0,-1.0,51241.0,-1.0,-1.0,57636.0,-1.0,-1.0,60000.0,93778.0,34831.0,100000.0,-1.0,-1.0,-1.0,-1.0,58824.0
1971,-1.0,24286.0,38180.0,-1.0,81579.0,32091.0,55568.0,-1.0,110296.0,-1.0,15734.0,31300.0,62550.0,87586.0,50011.0,28722.0,26123.0,28722.0,-1.0,-1.0,55200.0,97143.0,17500.0,-1.0,-1.0,119695.0,-1.0,140573.0,-1.0,-1.0,34667.0,-1.0,-1.0,-1.0,-1.0,16757.0,67059.0,118024.0,-1.0,-1.0,-1.0,-1.0,78414.0,-1.0,-1.0,-1.0,42082.0,-1.0,-1.0,59595.0,-1.0,-1.0,60000.0,99333.0,76012.0,100000.0,-1.0,-1.0,-1.0,-1.0,60227.0
1972,-1.0,24118.0,42405.0,-1.0,61538.0,26531.0,65795.0,-1.0,102723.0,-1.0,16667.0,30426.0,45775.0,67255.0,47050.0,15416.0,31418.0,15416.0,-1.0,-1.0,54898.0,100000.0,15000.0,-1.0,-1.0,132095.0,-1.0,147887.0,-1.0,-1.0,37148.0,-1.0,-1.0,-1.0,-1.0,16667.0,68393.0,23810.0,-1.0,-1.0,-1.0,-1.0,79935.0,-1.0,-1.0,-1.0,38940.0,-1.0,-1.0,60410.0,-1.0,-1.0,63636.0,75051.0,83607.0,100000.0,-1.0,-1.0,-1.0,-1.0,60000.0
1973,-1.0,24211.0,42083.0,-1.0,92308.0,24712.0,45456.0,-1.0,106013.0,-1.0,20000.0,30244.0,47148.0,62415.0,56696.0,16154.0,31949.0,16154.0,-1.0,-1.0,55000.0,102857.0,14865.0,-1.0,-1.0,99241.0,-1.0,141316.0,-1.0,-1.0,36839.0,-1.0,-1.0,-1.0,-1.0,17045.0,73140.0,71429.0,-1.0,-1.0,-1.0,-1.0,80137.0,-1.0,-1.0,-1.0,27738.0,-1.0,-1.0,60385.0,-1.0,-1.0,69565.0,113657.0,29703.0,100000.0,-1.0,-1.0,-1.0,-1.0,60227.0
1974,-1.0,25862.0,42463.0,-1.0,100000.0,25314.0,71830.0,-1.0,97429.0,-1.0,26667.0,31400.0,50616.0,61452.0,59660.0,22311.0,29872.0,22311.0,-1.0,-1.0,54894.0,92500.0,19481.0,-1.0,-1.0,118040.0,-1.0,123860.0,-1.0,-1.0,37097.0,-1.0,-1.0,-1.0,-1.0,17096.0,86188.0,23810.0,-1.0,-1.0,-1.0,-1.0,79831.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,63129.0,-1.0,-1.0,75000.0,103645.0,47594.0,100000.0,-1.0,-1.0,-1.0,-1.0,60000.0
1975,-1.0,25556.0,42783.0,-1.0,90000.0,31605.0,74178.0,-1.0,109737.0,-1.0,33333.0,30531.0,70122.0,100370.0,58358.0,16680.0,28628.0,16680.0,-1.0,-1.0,54889.0,95000.0,22785.0,185000.0,-1.0,94811.0,-1.0,119796.0,-1.0,-1.0,38667.0,-1.0,-1.0,-1.0,-1.0,17143.0,83427.0,59524.0,-1.0,-1.0,-1.0,-1.0,70284.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,62186.0,-1.0,-1.0,78571.0,101672.0,60064.0,100000.0,-1.0,-1.0,-1.0,-1.0,60000.0
