,Kenya,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Tonga,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Australia & New Zealand,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Liberia,Greece,Zimbabwe,Bangladesh,Melanesia,New Caledonia,Rwanda,Bahamas,Yugoslav SFR,Guatemala,French Polynesia,Algeria,Senegal,Madagascar,Tajikistan,Namibia,Haiti,Botswana,Zambia,Dominica,Fiji,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,China,Colombia,Libya,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Guinea-Bissau,Montenegro,South Africa,Argentina,France,Martinique,"China, mainland",Russian Federation,Nicaragua,Thailand,Paraguay,Seychelles,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Malaysia,Cuba,Malta,Dominican Republic,El Salvador,Benin,Cook Islands,Pakistan,Saint Vincent and the Grenadines,Japan,Afghanistan,Iraq,Togo,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Belize,Portugal,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Kuwait,Sudan (former),Egypt,French Guiana,Ethiopia PDR,Cambodia,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Morocco,Bhutan,Congo,USSR,Mexico,Ecuador,Honduras,Jordan,Israel,Viet Nam,Suriname,Tunisia,Côte d'Ivoire,Mali,Albania,Jamaica,Trinidad and Tobago,Italy,Saint Lucia,Polynesia,Australia,Panama,Ghana,Puerto Rico,Guyana,Swaziland,Turkey
1961,25000.0,70081.0,31667.0,-1.0,-1.0,50000.0,17586.0,54000.0,148359.0,60000.0,110276.0,-1.0,-1.0,-1.0,40000.0,27778.0,176284.0,25000.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67838.0,30000.0,75000.0,-1.0,-1.0,-1.0,30000.0,33333.0,-1.0,200000.0,29630.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26635.0,136000.0,134785.0,222807.0,50000.0,-1.0,107143.0,-1.0,-1.0,159543.0,-1.0,31325.0,28571.0,25625.0,-1.0,50357.0,147059.0,-1.0,-1.0,80769.0,150380.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,65128.0,72624.0,105057.0,10944.0,-1.0,151818.0,70629.0,-1.0,-1.0,55461.0,186774.0,188936.0,20625.0,175000.0,87333.0,203086.0,46364.0,145833.0,-1.0,62500.0,70000.0,74286.0,74762.0,-1.0,50000.0,-1.0,-1.0,80000.0,-1.0,139259.0,-1.0,-1.0,40506.0,26667.0,55556.0,106488.0,231615.0,33087.0,75000.0,199600.0,58333.0,34325.0,-1.0,100000.0,30000.0,-1.0,92880.0,48571.0,139476.0,-1.0,85561.0,111173.0,-1.0,65000.0,-1.0,60000.0,50000.0,92719.0
1962,27500.0,67809.0,31667.0,-1.0,-1.0,50000.0,12830.0,56000.0,147103.0,60465.0,110175.0,-1.0,-1.0,-1.0,40000.0,27778.0,136181.0,27869.0,50000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,68955.0,30000.0,70000.0,-1.0,-1.0,-1.0,30000.0,35294.0,-1.0,200000.0,30394.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29942.0,141176.0,135507.0,229310.0,50000.0,-1.0,114286.0,-1.0,-1.0,173314.0,-1.0,31262.0,28571.0,28824.0,-1.0,50000.0,147059.0,-1.0,-1.0,79630.0,149286.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,64390.0,69333.0,85714.0,6773.0,-1.0,141923.0,70629.0,-1.0,-1.0,56084.0,188333.0,129882.0,27083.0,181250.0,100645.0,231848.0,45833.0,146575.0,-1.0,65000.0,70000.0,77778.0,112000.0,-1.0,54545.0,-1.0,-1.0,80000.0,-1.0,124074.0,-1.0,-1.0,40741.0,26667.0,62222.0,111579.0,229530.0,33110.0,98381.0,217700.0,58824.0,83915.0,-1.0,100000.0,20000.0,-1.0,92771.0,51429.0,119296.0,-1.0,73684.0,111173.0,-1.0,65000.0,-1.0,61753.0,50000.0,96585.0
1963,30000.0,78827.0,31250.0,-1.0,-1.0,50800.0,12900.0,54000.0,151832.0,60000.0,121537.0,-1.0,-1.0,-1.0,40000.0,27778.0,137655.0,26230.0,48571.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67143.0,30000.0,70000.0,-1.0,-1.0,-1.0,30000.0,33333.0,-1.0,200000.0,33675.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26643.0,144231.0,129874.0,241935.0,50000.0,-1.0,97500.0,-1.0,-1.0,174154.0,-1.0,36699.0,30667.0,24706.0,-1.0,49688.0,147059.0,-1.0,-1.0,80357.0,149438.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,64286.0,70000.0,91429.0,9119.0,-1.0,100000.0,70629.0,-1.0,-1.0,56738.0,188571.0,183765.0,23333.0,192422.0,68667.0,185681.0,46400.0,147297.0,-1.0,60000.0,70000.0,75676.0,124815.0,-1.0,54545.0,-1.0,-1.0,79623.0,-1.0,121818.0,-1.0,-1.0,40476.0,26667.0,70676.0,109445.0,243199.0,33140.0,160313.0,189850.0,67143.0,82024.0,-1.0,100000.0,20000.0,-1.0,94905.0,37583.0,144772.0,-1.0,77474.0,122786.0,-1.0,60000.0,-1.0,54153.0,47143.0,107197.0
1964,32500.0,53600.0,31250.0,-1.0,-1.0,66667.0,12760.0,48000.0,142911.0,60000.0,110857.0,-1.0,-1.0,-1.0,40000.0,27778.0,181822.0,27419.0,51282.0,187500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,68283.0,30000.0,70000.0,-1.0,-1.0,-1.0,30684.0,33333.0,-1.0,187500.0,39640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28759.0,147170.0,128613.0,207143.0,50000.0,-1.0,102381.0,-1.0,-1.0,188315.0,-1.0,50843.0,31250.0,27619.0,-1.0,49701.0,147059.0,-1.0,-1.0,79310.0,150526.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,67907.0,70000.0,95930.0,12020.0,-1.0,142192.0,82119.0,-1.0,-1.0,57425.0,186774.0,184064.0,29362.0,173342.0,93125.0,158616.0,45926.0,148000.0,-1.0,61111.0,70000.0,75676.0,102813.0,-1.0,53846.0,-1.0,-1.0,79636.0,-1.0,123393.0,-1.0,-1.0,40698.0,26667.0,21176.0,108163.0,223071.0,33129.0,166613.0,207900.0,70833.0,67919.0,-1.0,100000.0,20000.0,-1.0,93104.0,49014.0,149283.0,-1.0,82831.0,111985.0,-1.0,60000.0,-1.0,60453.0,47143.0,99204.0
1965,35000.0,51032.0,31250.0,-1.0,-1.0,66667.0,17535.0,38571.0,152108.0,60870.0,133656.0,-1.0,-1.0,-1.0,40000.0,27778.0,172695.0,28125.0,51282.0,194444.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,68033.0,20000.0,65000.0,-1.0,-1.0,-1.0,30500.0,33333.0,-1.0,194444.0,30160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28870.0,148148.0,131911.0,171741.0,50000.0,-1.0,104762.0,-1.0,-1.0,176611.0,-1.0,37089.0,31250.0,27727.0,-1.0,49718.0,147059.0,-1.0,-1.0,80000.0,150505.0,-1.0,-1.0,48889.0,-1.0,-1.0,-1.0,67955.0,50000.0,100865.0,11466.0,-1.0,150828.0,86164.0,-1.0,-1.0,58147.0,190313.0,189053.0,24904.0,141249.0,96250.0,194041.0,45517.0,148684.0,-1.0,63333.0,70000.0,78947.0,96353.0,-1.0,53846.0,-1.0,-1.0,80000.0,-1.0,132203.0,-1.0,-1.0,40909.0,26667.0,48714.0,156428.0,223778.0,37729.0,222725.0,214433.0,74667.0,61916.0,-1.0,100000.0,20278.0,-1.0,92634.0,51978.0,140890.0,-1.0,85457.0,135284.0,-1.0,59946.0,-1.0,60241.0,43750.0,120000.0
1966,37500.0,70407.0,31250.0,-1.0,-1.0,66667.0,16793.0,41818.0,142314.0,60870.0,110369.0,-1.0,-1.0,-1.0,40000.0,27778.0,190924.0,28125.0,81818.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67145.0,20000.0,66667.0,-1.0,-1.0,-1.0,30500.0,35000.0,-1.0,200000.0,25858.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31129.0,150000.0,122667.0,191696.0,49778.0,-1.0,100000.0,-1.0,-1.0,174655.0,-1.0,68212.0,35000.0,28696.0,-1.0,48919.0,141026.0,-1.0,-1.0,79516.0,149488.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,68000.0,50000.0,152738.0,96317.0,-1.0,147059.0,86932.0,-1.0,-1.0,63642.0,192857.0,202866.0,27115.0,149707.0,80864.0,209847.0,47000.0,149351.0,-1.0,64444.0,70000.0,79487.0,119702.0,-1.0,53571.0,-1.0,-1.0,79355.0,-1.0,128571.0,-1.0,-1.0,40217.0,27500.0,71429.0,145629.0,208374.0,43790.0,211971.0,199188.0,75000.0,46431.0,-1.0,100000.0,20278.0,-1.0,94967.0,52470.0,156449.0,-1.0,112444.0,111583.0,-1.0,64886.0,-1.0,39616.0,45000.0,124834.0
1967,32000.0,75929.0,31250.0,-1.0,-1.0,66667.0,17487.0,42727.0,150285.0,60000.0,128683.0,-1.0,-1.0,-1.0,40000.0,27778.0,125483.0,28788.0,90909.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67209.0,10000.0,53333.0,-1.0,-1.0,-1.0,30500.0,36667.0,-1.0,200000.0,29622.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30349.0,153704.0,114867.0,195512.0,50000.0,-1.0,97561.0,-1.0,-1.0,189231.0,-1.0,145116.0,33333.0,27200.0,-1.0,50130.0,141026.0,-1.0,-1.0,79531.0,160924.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,81087.0,50000.0,129683.0,95930.0,-1.0,135722.0,94388.0,-1.0,-1.0,65415.0,192889.0,176434.0,24227.0,109919.0,80124.0,252018.0,46923.0,150000.0,-1.0,60000.0,70000.0,80000.0,116851.0,-1.0,53571.0,-1.0,-1.0,80000.0,-1.0,133333.0,-1.0,-1.0,40860.0,27500.0,50000.0,129823.0,237858.0,45198.0,216912.0,239359.0,71111.0,54578.0,-1.0,100000.0,20270.0,-1.0,95623.0,52592.0,160861.0,-1.0,100450.0,130388.0,-1.0,65075.0,-1.0,43118.0,46667.0,151413.0
1968,34000.0,90728.0,32500.0,-1.0,-1.0,66667.0,17662.0,21421.0,156918.0,58696.0,115568.0,-1.0,-1.0,-1.0,40000.0,27778.0,176138.0,29851.0,90909.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67260.0,20000.0,60000.0,-1.0,-1.0,-1.0,30500.0,35385.0,-1.0,200000.0,29058.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31994.0,158182.0,114357.0,200839.0,50000.0,-1.0,104762.0,-1.0,-1.0,193337.0,-1.0,71475.0,35556.0,26800.0,-1.0,50125.0,141026.0,-1.0,-1.0,79545.0,153590.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,68333.0,50000.0,86455.0,100000.0,-1.0,138404.0,97396.0,-1.0,-1.0,67240.0,191698.0,153412.0,39259.0,111101.0,66669.0,163049.0,47625.0,150000.0,-1.0,61000.0,70000.0,80488.0,105209.0,-1.0,53333.0,-1.0,-1.0,79710.0,-1.0,127684.0,-1.0,-1.0,40625.0,28750.0,47143.0,120382.0,170393.0,43643.0,93761.0,282150.0,66000.0,50316.0,-1.0,100000.0,20270.0,-1.0,95601.0,51351.0,174553.0,-1.0,77961.0,116689.0,-1.0,64461.0,-1.0,43653.0,50000.0,199581.0
1969,36000.0,86627.0,32500.0,-1.0,-1.0,66667.0,22705.0,44484.0,158246.0,60000.0,133770.0,-1.0,-1.0,-1.0,40000.0,28333.0,184395.0,29851.0,68000.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,69073.0,20000.0,67179.0,-1.0,-1.0,-1.0,31143.0,35385.0,-1.0,200000.0,15227.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32243.0,158929.0,120919.0,183810.0,50444.0,-1.0,100000.0,-1.0,-1.0,176544.0,-1.0,88608.0,31818.0,26400.0,-1.0,50235.0,141026.0,-1.0,-1.0,79661.0,153614.0,-1.0,-1.0,49231.0,-1.0,-1.0,-1.0,68271.0,50000.0,170029.0,102048.0,-1.0,185497.0,96923.0,-1.0,-1.0,69115.0,190500.0,192915.0,33937.0,127752.0,76622.0,221323.0,47536.0,152439.0,-1.0,63000.0,70000.0,80000.0,130928.0,-1.0,53333.0,-1.0,-1.0,80282.0,-1.0,125000.0,-1.0,-1.0,40816.0,28750.0,60000.0,113386.0,173461.0,43734.0,142415.0,256688.0,66667.0,59342.0,-1.0,100000.0,20270.0,-1.0,97739.0,41581.0,170828.0,-1.0,121439.0,135555.0,-1.0,65363.0,-1.0,43960.0,52500.0,171257.0
1970,31667.0,100169.0,34000.0,-1.0,-1.0,66667.0,24211.0,32755.0,153410.0,60714.0,119548.0,-1.0,-1.0,-1.0,36897.0,28889.0,156383.0,30000.0,71765.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,125000.0,67998.0,30000.0,81071.0,-1.0,-1.0,-1.0,31143.0,33333.0,-1.0,200000.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31789.0,159649.0,121229.0,200302.0,50000.0,-1.0,102381.0,-1.0,-1.0,187426.0,-1.0,85185.0,31818.0,22308.0,-1.0,49889.0,141026.0,-1.0,-1.0,79412.0,145024.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,63443.0,50000.0,144092.0,102295.0,-1.0,138519.0,93367.0,-1.0,-1.0,71042.0,193239.0,137759.0,47634.0,84901.0,65712.0,211422.0,48108.0,155181.0,-1.0,65000.0,70000.0,80000.0,114386.0,8667.0,50000.0,-1.0,-1.0,79865.0,-1.0,129032.0,-1.0,-1.0,41000.0,28235.0,175385.0,81348.0,167916.0,43740.0,66667.0,295158.0,68182.0,55022.0,-1.0,100000.0,21053.0,-1.0,100218.0,46911.0,154790.0,-1.0,108696.0,120928.0,-1.0,67895.0,-1.0,33404.0,58824.0,179965.0
