,"China, mainland",Comoros,Indonesia,Seychelles,Sri Lanka,Viet Nam,Dominica,China,Madagascar,"China, Macao SAR",Sao Tome and Principe
1961,-1.0,,18000.0,7000.0,11000.0,1000.0,-1.0,-1.0,60.0,,40.0
1962,-1.0,,22000.0,8000.0,11000.0,1000.0,-1.0,-1.0,60.0,,40.0
1963,-1.0,,19000.0,6000.0,11000.0,1000.0,-1.0,-1.0,100.0,,40.0
1964,-1.0,,18000.0,7000.0,11942.0,1000.0,-1.0,-1.0,300.0,,40.0
1965,-1.0,,18000.0,8000.0,11504.0,1000.0,-1.0,-1.0,400.0,,40.0
1966,-1.0,,10000.0,10000.0,13445.0,1000.0,-1.0,-1.0,550.0,,70.0
1967,-1.0,,14000.0,15000.0,14681.0,1000.0,-1.0,-1.0,550.0,,90.0
1968,-1.0,,15500.0,17500.0,16004.0,1000.0,-1.0,-1.0,600.0,,50.0
1969,-1.0,,18000.0,8500.0,17300.0,1000.0,-1.0,-1.0,1350.0,,50.0
1970,-1.0,,17000.0,7800.0,13898.0,1000.0,-1.0,-1.0,550.0,,80.0
1971,-1.0,,16500.0,7200.0,23235.0,1500.0,-1.0,-1.0,508.0,,80.0
1972,-1.0,,17000.0,11500.0,16962.0,1500.0,-1.0,-1.0,363.0,,100.0
1973,-1.0,,21000.0,9400.0,21568.0,1500.0,-1.0,-1.0,342.0,,110.0
1974,-1.0,,19909.0,8500.0,22081.0,1500.0,-1.0,-1.0,451.0,,100.0
1975,-1.0,,13755.0,6400.0,21691.0,1500.0,-1.0,-1.0,87.0,,100.0
1976,-1.0,,15592.0,6600.0,21816.0,1500.0,-1.0,-1.0,90.0,,100.0
1977,-1.0,,14000.0,4700.0,21892.0,1500.0,-1.0,-1.0,120.0,,100.0
1978,-1.0,,24000.0,3500.0,21909.0,1500.0,-1.0,-1.0,120.0,,100.0
1979,-1.0,,27359.0,2950.0,22980.0,1500.0,-1.0,-1.0,370.0,,100.0
1980,-1.0,,30957.0,3450.0,22150.0,1500.0,-1.0,-1.0,370.0,,100.0
1981,-1.0,,45037.0,2650.0,21870.0,2000.0,-1.0,-1.0,370.0,,100.0
1982,-1.0,,50424.0,4800.0,22094.0,2000.0,-1.0,-1.0,375.0,,100.0
1983,-1.0,,48500.0,5200.0,22180.0,2000.0,-1.0,-1.0,375.0,,100.0
1984,-1.0,,47500.0,2000.0,21080.0,2000.0,-1.0,-1.0,380.0,,100.0
1985,35000.0,,39500.0,5200.0,20900.0,2500.0,35.0,35000.0,450.0,,100.0
1986,35000.0,,37193.0,5900.0,20715.0,3000.0,35.0,35000.0,550.0,,100.0
1987,35000.0,,34490.0,2600.0,21060.0,3500.0,35.0,35000.0,800.0,,100.0
1988,35000.0,,36300.0,1800.0,20360.0,4150.0,35.0,35000.0,1500.0,,100.0
1989,35000.0,,39200.0,1600.0,20420.0,5700.0,35.0,35000.0,1800.0,,100.0
1990,28488.0,,40581.0,1100.0,20199.0,6100.0,38.0,28488.0,1000.0,,103.0
1991,29536.0,,43651.0,2700.0,20313.0,6485.0,23.0,29536.0,1100.0,,206.0
1992,29400.0,,43683.0,1600.0,20214.0,6200.0,50.0,29400.0,1000.0,,207.0
1993,29277.0,-1.0,47000.0,1500.0,24180.0,6400.0,60.0,29277.0,1029.0,,207.0
1994,24304.0,-1.0,48000.0,2700.0,24216.0,7100.0,60.0,24304.0,944.0,-1.0,208.0
1995,29063.0,,51000.0,3400.0,24250.0,7500.0,65.0,29063.0,900.0,-1.0,209.0
1996,31198.0,,54000.0,3500.0,24300.0,8437.0,71.0,31198.0,800.0,,210.0
1997,32092.0,,59000.0,3300.0,24360.0,10490.0,70.0,32092.0,825.0,,211.0
1998,32637.0,,62000.0,3100.0,24510.0,8179.0,75.0,32637.0,822.0,,212.0
1999,35664.0,,64000.0,2800.0,24570.0,12500.0,75.0,35664.0,792.0,,212.0
2000,36000.0,,66000.0,2900.0,24670.0,13863.0,76.0,36000.0,763.0,,213.0
2001,37000.0,,70000.0,2909.0,24570.0,15986.0,77.0,37000.0,754.0,,214.0
2002,38000.0,,72000.0,3216.0,24600.0,16000.0,78.0,38000.0,759.0,,215.0
2003,39498.0,,73000.0,2500.0,26110.0,17000.0,75.0,39498.0,740.0,,216.0
2004,39000.0,,80000.0,2000.0,25090.0,28000.0,79.0,39000.0,745.0,,217.0
2005,40000.0,,80000.0,1800.0,26100.0,26229.0,80.0,40000.0,775.0,,219.0
2006,42000.0,,80000.0,1500.0,25620.0,40000.0,82.0,42000.0,782.0,,218.0
2007,45000.0,,104651.0,1020.0,25760.0,48000.0,80.0,45000.0,800.0,,220.0
2008,41529.0,,101961.0,1550.0,26770.0,48000.0,83.0,41529.0,800.0,,220.0
2009,40019.0,,102633.0,1000.0,28090.0,53000.0,84.0,40019.0,950.0,,222.0
2010,40000.0,,99300.0,370.0,28860.0,59753.0,84.0,40000.0,1350.0,,228.0
2011,40924.0,,102100.0,650.0,29160.0,68949.0,85.0,40924.0,1300.0,,225.0
2012,40000.0,,101800.0,700.0,30430.0,74778.0,100.0,40000.0,1350.0,,220.0
2013,41000.0,,105500.0,230.0,30090.0,81024.0,88.0,41000.0,1350.0,,234.0
2014,41245.0,,109600.0,130.0,29517.0,87287.0,82.0,41245.0,1332.0,,230.0
