,India,El Salvador,Mozambique,Myanmar,Malaysia,Cuba,USSR,China,Central African Republic,Russian Federation,Ethiopia,Indonesia,Pakistan,Spain,Mali,Chile,South Africa,Democratic Republic of the Congo,Bangladesh,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Nigeria,Ethiopia PDR,Thailand
1961,629515.0,800.0,1000.0,140.0,-1.0,1000.0,25000.0,34000.0,-1.0,-1.0,-1.0,3000.0,8100.0,1610.0,-1.0,-1.0,2300.0,9000.0,30900.0,700.0,9800.0,34000.0,2000.0,1500.0,-1.0,-1.0,189760.0
1962,612000.0,800.0,1000.0,140.0,-1.0,1000.0,25000.0,32000.0,130.0,-1.0,-1.0,3000.0,9700.0,1020.0,-1.0,-1.0,2300.0,7000.0,30900.0,800.0,11300.0,32000.0,2000.0,1500.0,-1.0,-1.0,112000.0
1963,685000.0,800.0,1000.0,140.0,-1.0,2000.0,25000.0,39000.0,500.0,-1.0,-1.0,3000.0,10100.0,440.0,-1.0,-1.0,2300.0,7000.0,31700.0,1100.0,10700.0,39000.0,2000.0,1500.0,-1.0,-1.0,152000.0
1964,564000.0,800.0,2000.0,5674.0,-1.0,2300.0,25000.0,44000.0,900.0,-1.0,-1.0,3500.0,10500.0,60.0,-1.0,-1.0,2500.0,5000.0,37700.0,400.0,10700.0,44000.0,2245.0,1500.0,-1.0,-1.0,215360.0
1965,526000.0,1600.0,4000.0,3269.0,-1.0,4000.0,23000.0,59000.0,1000.0,-1.0,-1.0,3000.0,9700.0,90.0,-1.0,-1.0,1500.0,6000.0,50700.0,300.0,10700.0,59000.0,2160.0,1500.0,-1.0,-1.0,372960.0
1966,501700.0,2900.0,5000.0,2691.0,-1.0,6600.0,23000.0,117000.0,1200.0,-1.0,-1.0,4200.0,10100.0,110.0,-1.0,-1.0,1000.0,5000.0,23500.0,350.0,11500.0,117000.0,2000.0,1500.0,-1.0,-1.0,497600.0
1967,494600.0,2300.0,4000.0,2605.0,-1.0,7193.0,23000.0,118000.0,2500.0,-1.0,-1.0,7900.0,10500.0,36.0,-1.0,-1.0,1100.0,4100.0,51100.0,800.0,11000.0,118000.0,2065.0,2000.0,-1.0,-1.0,342560.0
1968,445800.0,2300.0,5000.0,1991.0,-1.0,6537.0,23000.0,99200.0,2300.0,-1.0,-1.0,6300.0,10900.0,-1.0,76.0,-1.0,2000.0,6000.0,25205.0,600.0,11000.0,99200.0,2035.0,2000.0,-1.0,-1.0,247840.0
1969,486400.0,2200.0,6000.0,1293.0,-1.0,2018.0,23000.0,93000.0,2930.0,-1.0,-1.0,6755.0,9300.0,-1.0,157.0,-1.0,2000.0,7000.0,38731.0,300.0,11000.0,93000.0,4405.0,2000.0,-1.0,-1.0,358400.0
1970,492400.0,1200.0,6000.0,1335.0,-1.0,2000.0,23000.0,90000.0,3650.0,-1.0,-1.0,7506.0,8989.0,-1.0,428.0,-1.0,2000.0,6000.0,27305.0,559.0,11000.0,90000.0,3480.0,2000.0,-1.0,-1.0,390240.0
1971,436900.0,2900.0,6000.0,1173.0,-1.0,2000.0,25000.0,88000.0,1620.0,-1.0,-1.0,4829.0,9509.0,-1.0,636.0,-1.0,2000.0,5000.0,23316.0,628.0,15915.0,88000.0,2545.0,1500.0,-1.0,-1.0,445120.0
